symbol,name,price,pl,status,
SMCI,超微电脑,284.26$,185.8%,纳入,
MANH,曼哈顿联合软件,215.32$,19.2%,纳入,
LSCC,莱迪思半导体,68.99$,13.4%,纳入,
ALGM,Allegro,30.27$,7.3%,纳入,
PRF,,65.82$,7.0%,纳入,
NSIT,Insight Enterprises,177.19$,5.9%,纳入,
ACLS,Axcelis 科技设计公司,129.69$,0.8%,纳入,
DOCU,DocuSign,59.45$,-0.9%,纳入,
IDCC,InterDigital,108.54$,-3.1%,纳入,
NTNX,Nutanix,29.87$,59.7%,剔除,
ZBRA,美国斑马技术有限公司,241.22$,13.3%,剔除,
BDC,百通公司,68.47$,12.9%,剔除,
TRMB,天宝导航公司,47.35$,12.3%,剔除,
NSSC,Napco Security Technologies,31.29$,9.5%,剔除,
APP,Applovin,38.25$,4.2%,剔除,
BL,Blackline,60.00$,4.1%,剔除,
PANW,Palo Alto Networks,296.16$,-0.4%,剔除,
NTAP,美国网存公司,91.28$,-3.4%,剔除,
