Symbol,Buy Date,Buy Price,Final Price,Shares,Final Market Value,Cost Basis,Total P&L,Total P&L %,Final Weight %
ON,2025-05-01,39.60,56.82,263,14943.66,10414.80,4528.86,43.48,8.32
SPNS,2025-08-01,26.75,26.75,467,12492.25,12492.25,0.00,0.00,6.96
ASGN,2025-08-01,48.60,48.60,257,12490.20,12490.20,0.00,0.00,6.96
VSAT,2025-08-01,16.58,16.58,753,12484.74,12484.74,0.00,0.00,6.95
IT,2025-08-01,328.54,328.54,38,12484.52,12484.52,0.00,0.00,6.95
TXN,2025-08-01,180.86,180.86,69,12479.34,12479.34,0.00,0.00,6.95
MCHP,2025-08-01,66.36,66.36,188,12475.68,12475.68,0.00,0.00,6.95
CHKP,2025-08-01,188.58,188.58,66,12446.28,12446.28,0.00,0.00,6.93
QLYS,2025-08-01,130.53,130.53,95,12400.35,12400.35,0.00,0.00,6.91
YOU,2025-01-02,27.04,28.84,427,12314.68,11546.08,768.60,6.66,6.86
WDAY,2025-07-01,239.23,222.22,54,11999.88,12918.42,-918.54,-7.11,6.68
FTNT,2025-06-02,102.47,97.36,113,11001.68,11579.11,-577.43,-4.99,6.13
SWKS,2025-05-01,65.23,67.69,159,10762.71,10371.57,391.14,3.77,5.99
BILL,2025-05-01,45.49,41.73,229,9556.17,10417.21,-861.04,-8.27,5.32
ADBE,2025-01-02,441.00,347.80,26,9042.80,11466.00,-2423.20,-21.13,5.04
,,,,,,,,,
Final Summary,,,,,,,,,
Total Portfolio Value,179564.77,,,,,,,,
Cash Balance,189.83,,,,,,,,
Total Stock Value,179374.94,,,,,,,,
Total Return %,79.56,,,,,,,,
Initial Capital,100000.00,,,,,,,,
