Symbol,Buy Date,Buy Price,Current Price,Shares,Market Value,Cost Basis,P&L,P&L %,Weight %,Trading Actions
SMCI,2024-01-02,28.55,77.06,310,23888.60,8850.50,15038.10,169.91,15.60,
ADSK,2024-06-03,210.82,210.82,39,8221.98,8221.98,0.00,0.00,5.37,BUY 39 shares at $210.82 (股票被纳入)
EPAM,2024-06-03,176.19,176.19,47,8280.93,8280.93,0.00,0.00,5.41,BUY 47 shares at $176.19 (股票被纳入)
RPD,2024-06-03,35.57,35.57,235,8358.95,8358.95,0.00,0.00,5.46,BUY 235 shares at $35.57 (股票被纳入)
PENG,2024-06-03,20.66,20.66,406,8387.96,8387.96,0.00,0.00,5.48,BUY 406 shares at $20.66 (股票被纳入)
AGYS,2024-06-03,94.00,94.00,89,8366.00,8366.00,0.00,0.00,5.46,BUY 89 shares at $94.00 (股票被纳入)
NVDA,2024-03-01,82.24,114.95,125,14368.75,10280.00,4088.75,39.77,9.38,
TDC,2024-03-01,38.56,32.16,268,8618.88,10334.08,-1715.20,-16.60,5.63,
DOCU,2024-06-03,53.44,53.44,157,8390.08,8390.08,0.00,0.00,5.48,BUY 157 shares at $53.44 (股票被纳入)
ADBE,2024-06-03,439.02,439.02,19,8341.38,8341.38,0.00,0.00,5.45,BUY 19 shares at $439.02 (股票被纳入)
SCSC,2024-06-03,48.01,48.01,174,8353.74,8353.74,0.00,0.00,5.45,BUY 174 shares at $48.01 (股票被纳入)
RNG,2024-05-01,30.08,34.31,252,8646.12,7580.16,1065.96,14.06,5.65,
APP,2024-03-01,62.26,82.70,166,13728.20,10335.16,3393.04,32.83,8.96,
FORM,2024-06-03,53.52,53.52,156,8349.12,8349.12,0.00,0.00,5.45,BUY 156 shares at $53.52 (股票被纳入)
BL,2024-06-03,46.99,46.99,178,8364.22,8364.22,0.00,0.00,5.46,BUY 178 shares at $46.99 (股票被纳入)
,,,,,,,,,,
Summary,,,,,,,,,,
Total Value,153161.77,,,,,,,,,
Cash,496.86,,,,,,,,,
Stock Value,152664.91,,,,,,,,,
Monthly Return %,6.28,,,,,,,,,
Cumulative Return %,53.16,,,,,,,,,
