Date,Total Value,Cash,Stock Value,Monthly Return %,Cumulative Return %,Number of Positions
2023-01-01,100000.00,10038.60,89961.40,0.00,0.00,2
2023-02-01,115842.93,25956.05,89886.88,15.84,15.84,5
2023-03-01,108898.62,215.76,108682.86,-5.99,8.90,12
2023-04-01,111668.18,136.70,111531.48,2.54,11.67,12
2023-05-01,100489.17,263.43,100225.74,-10.01,0.49,13
2023-06-01,106780.83,7822.33,98958.50,6.26,6.78,12
2023-07-01,110285.91,50.24,110235.67,3.28,10.29,13
2023-08-01,111591.01,229.30,111361.71,1.18,11.59,14
2023-09-01,108403.68,7609.66,100794.02,-2.86,8.40,13
2023-10-01,102276.40,190.21,102086.19,-5.65,2.28,13
2023-11-01,93711.31,115.34,93595.97,-8.37,-6.29,14
2023-12-01,108068.01,543.30,107524.71,15.32,8.07,14
2024-01-01,120111.87,410.55,119701.32,11.14,20.11,14
2024-02-01,126370.28,309.83,126060.45,5.21,26.37,14
2024-03-01,157239.65,319.63,156920.02,24.43,57.24,14
2024-04-01,168739.60,101.38,168638.22,7.31,68.74,15
2024-05-01,144109.82,457.99,143651.83,-14.60,44.11,15
2024-06-01,153161.77,496.86,152664.91,6.28,53.16,15
2024-07-01,163680.30,307.64,163372.66,6.87,63.68,15
2024-08-01,158638.38,131.22,158507.16,-3.08,58.64,15
2024-09-01,153712.74,190.16,153522.58,-3.10,53.71,15
2024-10-01,157531.25,10710.79,146820.46,2.48,57.53,14
2024-11-01,163232.54,486.97,162745.57,3.62,63.23,15
2024-12-01,178210.10,9129.86,169080.24,9.18,78.21,15
2025-01-01,170446.53,807.88,169638.65,-4.36,70.45,15
2025-02-01,172948.73,746.44,172202.29,1.47,72.95,15
2025-03-01,158695.10,11039.67,147655.43,-8.24,58.70,14
2025-04-01,154770.63,12279.98,142490.65,-2.47,54.77,13
2025-05-01,157045.70,394.20,156651.50,1.47,57.05,15
2025-06-01,169899.72,327.02,169572.70,8.18,69.90,15
2025-07-01,189107.12,663.54,188443.58,11.31,89.11,15
2025-08-01,181794.00,704.99,181089.01,-3.87,81.79,15
