Date,Open,High,Low,Close,Volume
2025-09-03,79.70,80.17,77.55,78.69,823,500
2025-09-02,77.32,80.07,77.16,79.60,416,800
2025-08-29,81.83,82.27,79.55,80.04,385,800
2025-08-28,82.05,82.77,79.96,82.01,876,300
2025-08-27,81.06,82.22,80.39,81.92,292,500
2025-08-26,79.82,81.82,79.78,80.91,390,300
2025-08-25,81.90,82.18,80.33,80.38,293,200
2025-08-22,79.38,83.36,78.86,81.29,493,600
2025-08-21,78.18,79.83,77.70,78.51,390,800
2025-08-20,80.21,80.40,77.71,79.07,361,900
2025-08-19,80.73,82.28,79.24,80.20,340,100
2025-08-18,80.51,81.70,79.77,80.73,289,700
2025-08-15,81.00,81.21,78.75,80.51,618,500
2025-08-14,83.75,84.15,82.51,83.76,346,300
2025-08-13,81.68,85.45,81.68,84.97,870,400
2025-08-12,78.44,82.55,78.02,81.32,580,600
2025-08-11,79.60,80.50,77.83,78.00,356,800
2025-08-08,80.04,80.23,78.52,79.42,390,000
2025-08-07,77.87,80.48,77.37,79.51,671,100
2025-08-06,77.16,77.83,74.88,75.72,1,090,500
2025-08-05,80.00,84.37,75.98,78.01,1,579,600
2025-08-04,68.98,70.92,67.49,70.88,649,100
2025-08-01,66.58,69.15,65.64,68.75,545,400
2025-07-31,71.18,71.18,67.16,67.69,757,900
2025-07-30,73.99,74.61,71.78,72.89,433,600
2025-07-29,76.24,77.42,73.00,73.17,501,600
2025-07-28,74.39,75.77,73.95,75.38,482,900
2025-07-25,72.66,73.49,71.82,73.40,246,500
2025-07-24,74.51,74.74,71.83,72.85,476,100
2025-07-23,75.73,76.28,73.10,74.84,436,900
2025-07-22,74.81,76.40,73.30,75.25,555,600
2025-07-21,71.63,75.27,71.63,74.54,707,900
2025-07-18,72.43,72.86,70.67,70.96,303,300
2025-07-17,71.28,72.34,70.65,71.52,367,700
2025-07-16,70.62,71.95,69.18,71.64,315,400
2025-07-15,73.52,74.17,71.01,71.75,420,900
2025-07-14,73.82,74.15,70.39,71.46,362,400
2025-07-11,74.42,76.19,74.00,74.86,378,900
2025-07-10,75.07,76.80,74.50,75.65,371,500
2025-07-09,73.82,75.01,72.83,74.37,330,400
2025-07-08,71.29,74.82,71.29,74.21,516,900
2025-07-07,71.69,73.15,70.64,70.95,341,900
2025-07-03,72.90,73.48,72.30,73.04,255,200
2025-07-02,71.99,74.15,71.72,72.95,491,600
2025-07-01,69.11,72.50,68.51,71.99,465,900
2025-06-30,70.05,71.01,69.29,69.69,465,300
2025-06-27,70.85,71.38,68.33,69.69,1,291,800
2025-06-26,71.20,72.40,70.21,70.92,514,900
2025-06-25,70.25,70.89,69.06,70.16,719,700
2025-06-24,68.00,70.00,67.38,69.64,533,300
2025-06-23,65.99,67.03,65.00,66.53,317,100
2025-06-20,67.96,68.58,64.62,66.02,588,100
2025-06-18,68.94,69.12,66.20,66.89,465,400
2025-06-17,68.53,69.79,68.28,68.48,468,700
2025-06-16,66.56,69.13,66.41,68.96,538,600
2025-06-13,66.87,67.50,64.26,65.07,776,600
2025-06-12,67.63,68.99,67.37,68.91,610,500
2025-06-11,71.50,71.50,67.50,67.93,931,700
2025-06-10,68.16,73.57,68.16,70.76,1,560,500
2025-06-09,64.73,68.93,64.17,67.61,1,092,300
2025-06-06,61.92,63.87,61.50,63.51,480,800
2025-06-05,62.20,62.88,59.99,60.35,598,700
2025-06-04,58.81,62.24,58.47,61.49,558,600
2025-06-03,56.76,59.39,56.20,59.27,487,100
2025-06-02,56.34,57.50,56.19,56.46,472,300
2025-05-30,57.54,57.85,55.93,56.34,728,800
2025-05-29,59.02,59.74,57.56,58.00,423,400
2025-05-28,59.65,60.60,57.40,57.55,525,300
2025-05-27,59.43,61.03,59.08,59.67,421,000
2025-05-23,57.10,59.04,56.65,58.32,326,400
