Date,Open,High,Low,Close,Volume
"Sep 3, 2025","345.72","348.51","343.36","348.50","3,032,700"
"Sep 2, 2025","350.24","352.71","341.28","345.63","4,229,400"
"Aug 29, 2025","354.00","357.25","352.46","356.70","2,639,300"
"Aug 28, 2025","357.63","358.26","349.11","353.96","3,803,100"
"Aug 27, 2025","355.98","360.37","355.16","356.35","2,353,800"
"Aug 26, 2025","363.03","363.23","353.70","354.91","4,067,400"
"Aug 25, 2025","362.56","364.65","361.40","363.21","2,259,500"
"Aug 22, 2025","355.80","362.65","354.00","362.09","3,058,600"
"Aug 21, 2025","349.91","353.82","347.00","353.43","2,363,200"
"Aug 20, 2025","361.68","363.00","353.20","353.43","3,727,900"
"Aug 19, 2025","359.22","364.24","358.12","361.03","2,808,000"
"Aug 18, 2025","355.68","358.39","353.00","357.24","2,923,000"
"Aug 15, 2025","348.33","357.29","348.00","354.85","3,718,700"
"Aug 14, 2025","349.50","351.56","346.10","348.58","3,745,600"
"Aug 13, 2025","339.54","351.76","337.55","351.07","4,375,100"
"Aug 12, 2025","333.52","338.76","330.04","338.43","3,569,400"
"Aug 11, 2025","334.53","343.40","332.47","333.65","4,366,200"
"Aug 8, 2025","338.68","341.57","336.37","341.05","3,507,800"
"Aug 7, 2025","344.04","347.38","332.65","338.27","4,661,800"
"Aug 6, 2025","341.65","345.66","339.19","345.62","3,347,200"
"Aug 5, 2025","339.31","342.74","337.35","338.74","3,909,000"
"Aug 4, 2025","351.16","351.21","338.04","338.85","6,449,300"
"Aug 1, 2025","355.95","356.29","347.46","347.80","4,307,900"
"Jul 31, 2025","362.26","362.50","354.27","357.69","4,513,100"
"Jul 30, 2025","370.68","370.72","363.48","364.00","3,295,200"
"Jul 29, 2025","370.45","376.16","369.71","370.70","4,234,200"
"Jul 28, 2025","371.03","372.59","368.72","369.47","2,984,200"
"Jul 25, 2025","372.31","372.41","369.51","370.74","2,053,200"
"Jul 24, 2025","371.90","376.00","370.61","371.69","2,692,100"
"Jul 23, 2025","373.49","373.99","369.26","372.46","1,994,600"
"Jul 22, 2025","368.00","374.50","368.00","372.87","2,449,000"
"Jul 21, 2025","366.49","368.28","363.13","367.68","2,770,400"
"Jul 18, 2025","367.07","367.79","364.00","365.79","2,459,200"
"Jul 17, 2025","360.60","366.96","359.28","366.45","3,340,500"
"Jul 16, 2025","364.59","365.55","358.71","361.77","3,592,900"
"Jul 15, 2025","367.00","368.32","363.88","364.18","2,551,000"
"Jul 14, 2025","363.19","367.68","360.18","366.99","2,898,700"
"Jul 11, 2025","368.00","371.15","362.70","363.35","3,548,700"
"Jul 10, 2025","371.99","373.50","365.51","371.43","4,022,500"
"Jul 9, 2025","383.50","384.75","370.91","373.38","4,726,600"
"Jul 8, 2025","378.50","386.60","377.18","382.24","3,708,200"
"Jul 7, 2025","378.90","382.22","375.52","376.93","3,545,100"
"Jul 3, 2025","378.00","383.20","377.80","379.31","2,863,700"
"Jul 2, 2025","384.64","386.88","372.73","378.47","6,912,200"
"Jul 1, 2025","385.10","392.58","381.52","392.10","4,516,400"
"Jun 30, 2025","387.30","390.98","384.63","386.88","4,645,500"
"Jun 27, 2025","385.44","390.31","384.41","385.83","5,083,800"
"Jun 26, 2025","387.20","389.99","382.87","384.95","3,139,700"
"Jun 25, 2025","383.60","388.05","382.00","387.55","3,718,800"
"Jun 24, 2025","384.96","385.00","378.51","382.34","4,797,100"
"Jun 23, 2025","377.59","380.21","374.24","380.12","3,841,800"
"Jun 20, 2025","380.48","382.29","373.76","376.92","8,126,900"
