Date,Open,High,Low,Close,Volume
2025-09-03,107.18,107.62,105.81,106.11,133,500
2025-09-02,107.33,108.76,105.89,107.56,153,400
2025-08-29,109.37,111.37,108.49,109.12,160,900
2025-08-28,109.76,111.13,108.92,109.09,143,300
2025-08-27,108.42,109.65,108.01,109.38,131,600
2025-08-26,108.39,110.06,107.58,108.25,214,400
2025-08-25,110.16,110.65,107.50,108.42,139,700
2025-08-22,107.26,111.76,106.35,110.53,196,100
2025-08-21,105.68,107.40,104.18,106.94,98,300
2025-08-20,106.51,107.01,105.14,106.50,162,400
2025-08-19,107.28,107.43,105.11,106.20,99,700
2025-08-18,106.25,107.83,105.44,107.20,156,300
2025-08-15,106.24,107.37,105.06,105.83,354,100
2025-08-14,110.55,110.63,106.09,106.16,131,200
2025-08-13,109.67,111.53,108.30,110.91,172,300
2025-08-12,106.20,109.19,106.01,108.36,173,100
2025-08-11,104.17,107.86,104.17,105.51,304,600
2025-08-08,112.93,112.93,103.72,103.75,227,100
2025-08-07,115.99,116.48,112.16,112.73,183,100
2025-08-06,115.64,116.76,114.29,115.19,151,900
2025-08-05,118.50,118.60,114.75,114.99,256,900
2025-08-04,115.19,118.82,114.65,118.75,263,800
2025-08-01,113.89,116.77,112.48,114.99,252,500
2025-07-31,116.29,116.29,111.45,114.08,325,300
2025-07-30,118.37,119.51,116.40,116.88,285,900
2025-07-29,118.99,118.99,116.14,118.09,163,400
2025-07-28,117.80,119.22,116.88,117.95,220,300
2025-07-25,114.16,117.26,113.12,116.89,201,700
2025-07-24,112.28,115.54,112.03,113.49,252,400
2025-07-23,113.38,115.79,110.81,112.63,316,000
2025-07-22,100.45,112.38,98.82,111.41,1,014,400
2025-07-21,115.97,118.48,115.25,116.94,389,900
2025-07-18,120.29,120.29,114.70,115.21,288,400
2025-07-17,116.89,120.35,116.89,119.39,159,200
2025-07-16,114.00,119.43,113.75,116.91,240,700
2025-07-15,115.24,115.62,112.50,112.85,193,400
2025-07-14,113.91,116.38,113.66,114.62,221,100
2025-07-11,115.21,115.69,112.98,113.92,160,700
2025-07-10,115.33,116.43,112.96,115.21,143,500
2025-07-09,117.00,117.00,112.30,114.78,202,800
2025-07-08,115.04,117.78,114.68,117.19,202,800
2025-07-07,114.27,117.49,114.17,114.39,234,300
2025-07-03,113.33,116.24,112.00,115.29,195,900
2025-07-02,114.66,114.71,110.70,112.07,297,700
2025-07-01,113.72,115.64,110.78,115.19,267,900
2025-06-30,114.46,117.19,114.45,114.64,365,500
2025-06-27,118.97,118.98,111.20,112.94,894,900
2025-06-26,114.84,118.82,114.51,118.19,296,100
2025-06-25,115.69,116.22,113.60,114.84,215,300
2025-06-24,114.20,116.26,114.04,115.17,203,100
2025-06-23,108.73,113.29,108.47,113.15,325,300
2025-06-20,108.93,108.93,107.43,108.49,256,500
2025-06-18,109.07,110.50,107.96,108.47,119,600
2025-06-17,108.67,110.06,108.44,109.37,154,400
2025-06-16,109.30,110.27,107.88,109.95,168,900
2025-06-13,108.68,110.36,107.40,109.30,209,700
2025-06-12,110.87,112.64,109.73,111.00,242,500
2025-06-11,111.71,113.40,109.61,111.75,252,600
2025-06-10,113.92,114.22,109.54,111.32,189,700
2025-06-09,113.81,114.22,112.23,113.70,169,700
2025-06-06,113.42,113.63,111.93,112.96,228,000
2025-06-05,110.03,112.60,109.37,111.14,217,700
2025-06-04,111.37,111.77,108.94,109.66,304,300
2025-06-03,108.88,111.81,107.40,111.37,450,700
2025-06-02,105.75,108.54,104.51,108.20,327,600
2025-05-30,105.49,106.83,104.23,105.91,401,800
2025-05-29,106.07,106.59,105.41,106.37,656,300
2025-05-28,105.24,106.01,104.00,105.85,352,900
2025-05-27,103.39,105.63,102.19,105.46,364,900
2025-05-23,100.47,102.78,100.47,101.61,300,600
2025-05-22,100.07,104.44,99.78,102.69,511,400
2025-05-21,99.50,101.60,98.39,100.19,428,000
2025-05-20,86.14,103.31,85.10,101.37,1,283,800
2025-05-19,84.60,86.32,82.93,83.02,520,700
2025-05-16,82.58,86.30,82.44,86.00,311,000
2025-05-15,82.25,83.12,81.58,82.72,173,800
2025-05-14,84.23,84.45,82.24,82.30,204,700
2025-05-13,84.69,85.15,83.17,84.67,217,400
2025-05-12,84.67,84.94,82.07,83.78,202,200
2025-05-09,80.50,81.46,79.62,80.97,164,500
2025-05-08,79.40,81.02,78.70,80.52,176,700
