Date,Open,High,Low,Close,Volume
2025-09-03,57.37,57.57,56.65,57.00,302,800
2025-09-02,57.61,58.19,57.38,57.43,367,600
2025-08-29,58.83,59.38,57.97,58.63,363,100
2025-08-28,58.77,58.92,58.26,58.75,474,900
2025-08-27,57.26,58.60,57.26,58.52,260,500
2025-08-26,57.68,57.99,56.90,57.10,353,700
2025-08-25,58.97,59.10,57.79,57.83,377,200
2025-08-22,57.17,59.53,56.95,59.16,352,700
2025-08-21,56.69,57.18,56.56,56.98,190,400
2025-08-20,57.51,57.51,56.53,57.01,346,000
2025-08-19,56.90,57.48,56.64,57.41,191,000
2025-08-18,55.95,56.92,55.67,56.68,329,600
2025-08-15,56.94,56.94,55.63,55.79,329,800
2025-08-14,57.13,57.23,56.37,56.75,460,100
2025-08-13,55.28,58.17,54.81,57.51,767,300
2025-08-12,53.84,55.04,53.05,55.00,611,000
2025-08-11,54.32,54.76,52.43,53.40,483,400
2025-08-08,55.56,56.15,54.25,54.41,695,900
2025-08-07,56.10,56.24,53.57,54.34,457,400
2025-08-06,55.35,56.06,55.28,55.77,361,300
2025-08-05,55.66,55.73,55.04,55.24,327,000
2025-08-04,54.24,55.60,54.24,55.60,279,400
2025-08-01,54.20,54.92,53.97,54.05,501,100
2025-07-31,55.54,55.66,54.54,54.63,301,300
2025-07-30,55.76,56.70,55.53,55.84,250,000
2025-07-29,56.38,56.38,55.39,55.74,276,600
2025-07-28,55.66,56.25,55.29,55.84,333,400
2025-07-25,55.29,55.74,54.89,55.65,259,000
2025-07-24,55.51,55.86,55.17,55.29,192,400
2025-07-23,55.90,56.21,55.34,55.76,233,600
2025-07-22,55.22,55.95,55.05,55.59,302,400
2025-07-21,55.33,55.65,54.97,55.03,222,800
2025-07-18,55.91,56.32,55.19,55.32,233,000
2025-07-17,54.77,55.73,54.77,55.51,368,100
2025-07-16,54.34,55.01,54.13,54.76,319,900
2025-07-15,54.86,54.98,53.93,53.98,229,400
2025-07-14,54.48,55.28,54.15,54.60,248,900
2025-07-11,56.22,56.24,54.72,54.77,288,500
2025-07-10,57.08,57.32,56.52,56.62,260,400
2025-07-09,57.01,57.60,56.58,57.39,333,700
2025-07-08,56.38,57.60,56.34,57.05,296,900
2025-07-07,57.32,57.74,56.36,56.40,310,400
