Date,Open,High,Low,Close,Adj Close,Volume
"Sep 3, 2025","23.89","24.35","23.61","23.80","23.80","2,376,900"
"Sep 3, 2025","0.083","","","","",""
"Sep 2, 2025","23.44","23.94","23.37","23.90","23.82","1,412,000"
"Aug 29, 2025","24.54","24.61","23.96","24.19","24.11","1,501,000"
"Aug 28, 2025","24.59","24.80","24.44","24.66","24.57","1,460,100"
"Aug 27, 2025","24.47","24.61","24.27","24.58","24.49","1,557,700"
"Aug 26, 2025","24.17","24.53","24.14","24.36","24.28","1,768,500"
"Aug 25, 2025","24.03","24.28","23.88","24.15","24.07","1,279,300"
"Aug 22, 2025","23.23","24.53","23.22","24.09","24.01","2,201,700"
"Aug 21, 2025","22.89","23.23","22.81","23.21","23.13","1,369,500"
"Aug 20, 2025","23.64","23.73","22.74","23.00","22.92","1,969,100"
"Aug 19, 2025","24.10","24.31","23.62","23.74","23.66","1,557,400"
"Aug 18, 2025","23.79","24.15","23.77","24.05","23.97","1,544,700"
"Aug 15, 2025","24.26","24.27","23.65","23.76","23.68","1,816,000"
"Aug 14, 2025","24.65","24.69","24.13","24.52","24.43","1,655,400"
"Aug 13, 2025","24.38","24.97","24.37","24.96","24.87","1,800,000"
"Aug 12, 2025","23.28","24.38","23.05","24.36","24.28","2,002,400"
"Aug 11, 2025","23.34","23.74","23.11","23.15","23.07","2,370,100"
"Aug 8, 2025","22.91","23.17","22.68","23.13","23.05","2,284,900"
"Aug 7, 2025","23.34","23.36","22.45","22.87","22.79","3,108,000"
"Aug 6, 2025","22.41","22.43","22.02","22.21","22.13","2,636,900"
"Aug 5, 2025","22.45","22.62","21.96","22.17","22.09","1,855,000"
"Aug 4, 2025","21.99","22.36","21.87","22.35","22.27","2,516,400"
"Aug 1, 2025","22.03","22.31","21.57","21.75","21.67","2,120,400"
"Jul 31, 2025","23.79","23.88","22.53","22.56","22.48","3,300,800"
"Jul 30, 2025","25.24","25.38","23.18","23.94","23.86","4,966,500"
"Jul 29, 2025","24.52","26.31","24.38","25.08","24.99","9,435,100"
"Jul 28, 2025","21.51","21.53","20.87","21.23","21.16","4,102,000"
"Jul 25, 2025","21.03","21.22","20.91","21.16","21.09","1,233,500"
"Jul 24, 2025","21.48","21.50","21.02","21.14","21.07","1,699,000"
"Jul 23, 2025","21.76","21.76","21.22","21.52","21.45","1,312,400"
"Jul 22, 2025","22.02","22.10","21.35","21.51","21.44","1,627,500"
"Jul 21, 2025","21.63","22.04","21.63","21.95","21.87","1,737,700"
"Jul 18, 2025","21.78","21.81","21.36","21.51","21.44","1,094,000"
"Jul 17, 2025","21.17","21.72","21.05","21.64","21.56","1,430,700"
"Jul 16, 2025","21.47","21.47","20.59","21.23","21.16","2,125,000"
"Jul 15, 2025","21.85","21.91","21.51","21.56","21.49","2,259,800"
"Jul 14, 2025","21.63","21.63","20.96","21.32","21.25","1,405,900"
"Jul 11, 2025","21.62","22.00","21.51","21.86","21.78","1,286,500"
"Jul 10, 2025","22.17","22.23","21.78","21.89","21.81","1,319,400"
"Jul 9, 2025","22.13","22.38","21.76","22.06","21.98","1,179,500"
"Jul 8, 2025","21.66","22.47","21.64","22.10","22.02","1,616,500"
"Jul 7, 2025","21.98","22.17","21.42","21.44","21.37","1,545,800"
"Jul 3, 2025","22.38","22.45","22.01","22.23","22.15","824,800"
"Jul 2, 2025","21.50","22.40","21.43","22.30","22.22","1,822,000"
"Jul 1, 2025","20.78","21.91","20.71","21.48","21.41","1,991,100"
