Date,Open,High,Low,Close,Volume
2025-09-03,53.18,53.75,52.70,53.66,429,900
2025-09-02,53.50,54.00,52.19,53.77,612,900
2025-08-29,53.31,54.26,53.31,54.25,690,800
2025-08-28,53.55,53.83,52.45,53.25,334,600
2025-08-27,52.45,53.39,52.45,53.35,357,300
2025-08-26,52.68,53.53,52.12,52.54,552,700
2025-08-25,54.09,54.82,52.89,52.92,299,700
2025-08-22,52.00,54.29,51.61,54.14,448,300
2025-08-21,51.18,51.67,50.52,51.44,364,100
2025-08-20,52.70,53.10,51.39,51.57,406,100
2025-08-19,53.10,54.11,52.14,52.63,484,700
2025-08-18,52.06,53.71,51.94,52.77,695,500
2025-08-15,50.97,52.15,50.70,51.77,749,100
2025-08-14,51.55,51.82,50.35,50.67,380,700
2025-08-13,49.74,52.25,49.74,52.10,494,600
2025-08-12,49.21,50.37,48.58,50.36,348,400
2025-08-11,49.55,51.03,48.64,48.95,434,300
2025-08-08,50.30,51.04,49.36,49.44,519,900
2025-08-07,51.18,51.69,49.62,50.20,612,100
2025-08-06,51.20,51.83,49.78,50.53,858,200
2025-08-05,51.08,52.10,50.69,51.29,809,000
2025-08-04,48.63,51.12,48.63,51.08,742,300
2025-08-01,50.55,51.01,48.38,48.60,753,400
2025-07-31,50.84,51.46,50.00,50.14,742,600
2025-07-30,53.24,53.53,51.30,51.83,518,600
2025-07-29,54.28,54.61,53.27,53.54,507,100
2025-07-28,54.69,55.28,54.09,54.28,524,800
2025-07-25,55.44,55.65,54.04,54.74,1,301,700
2025-07-24,59.09,60.75,55.22,55.65,1,666,500
2025-07-23,50.35,50.63,49.36,50.02,758,800
2025-07-22,48.46,49.78,48.30,49.73,446,500
2025-07-21,48.66,48.88,48.20,48.25,340,400
2025-07-18,49.82,49.82,48.05,48.41,457,300
2025-07-17,47.99,50.10,47.99,49.52,651,000
2025-07-16,47.17,48.21,46.64,48.05,521,800
2025-07-15,48.72,48.87,46.93,47.05,434,500
2025-07-14,48.33,48.98,47.91,48.50,564,800
2025-07-11,50.11,50.23,48.58,48.62,409,100
2025-07-10,51.04,51.67,50.41,50.52,455,300
2025-07-09,51.31,52.02,50.38,51.34,342,800
2025-07-08,49.82,51.90,49.51,51.19,861,700
2025-07-07,50.70,51.14,48.01,49.56,944,000
2025-07-03,52.81,53.04,52.24,52.84,338,200
2025-07-02,52.03,52.42,51.11,52.20,487,900
2025-07-01,49.63,53.36,49.63,52.03,683,100
2025-06-30,50.64,50.64,49.67,49.93,512,400
2025-06-27,50.29,50.81,49.50,50.16,872,600
2025-06-26,50.23,50.59,49.36,50.24,672,900
2025-06-25,49.77,50.77,49.45,49.89,419,200
2025-06-24,49.63,50.23,49.18,49.81,437,400
2025-06-23,48.22,49.19,48.09,49.17,545,600
2025-06-20,49.53,49.60,48.42,48.58,833,200
2025-06-18,50.90,50.90,49.01,49.26,692,400
2025-06-17,51.30,51.93,50.88,50.98,471,900
2025-06-16,52.04,52.04,50.53,51.89,455,900
2025-06-13,51.89,52.68,51.40,51.60,427,200
2025-06-12,52.95,53.31,52.61,52.92,449,600
2025-06-11,55.31,55.54,52.89,53.46,467,700
2025-06-10,54.45,55.86,54.12,54.96,344,800
2025-06-09,53.80,54.59,53.58,54.27,274,100
2025-06-06,53.46,53.80,52.64,53.26,475,100
2025-06-05,52.82,53.09,52.44,52.58,406,800
2025-06-04,52.59,53.12,52.50,52.84,337,500
2025-06-03,51.46,53.01,51.04,52.78,392,000
2025-06-02,52.49,52.70,50.95,51.72,510,400
2025-05-30,52.62,53.08,52.02,52.81,697,700
2025-05-29,53.02,53.36,52.43,52.86,265,300
2025-05-28,55.25,55.36,52.65,52.69,406,300
2025-05-27,54.24,55.40,53.79,55.29,305,700
2025-05-23,53.09,53.79,52.89,53.55,397,200
2025-05-22,54.11,54.50,53.73,54.21,278,600
2025-05-21,55.50,55.90,53.97,54.23,358,500
2025-05-20,56.12,56.85,55.77,56.42,438,200
2025-05-19,55.96,56.54,55.79,56.29,322,500
2025-05-16,55.83,57.02,55.27,56.63,379,900
2025-05-15,54.77,56.21,54.67,56.00,521,000
2025-05-14,56.32,56.70,55.00,55.02,326,600
2025-05-13,58.26,58.26,56.73,56.81,452,300
2025-05-12,57.70,58.36,56.40,58.26,501,500
2025-05-09,56.13,56.64,55.53,55.69,375,600
2025-05-08,55.33,56.78,54.92,56.42,503,600
2025-05-07,53.14,54.56,53.14,54.50,780,500
2025-05-06,52.09,53.25,51.45,52.66,671,700
2025-05-05,51.26,53.39,51.26,52.10,835,400
2025-05-02,51.40,52.47,51.22,51.95,621,500
2025-05-01,50.40,51.14,49.85,50.71,808,700
2025-04-30,50.37,50.72,49.80,50.38,744,300
2025-04-29,50.96,51.31,50.19,50.86,679,500
2025-04-28,51.51,51.98,49.80,51.06,626,200
2025-04-25,50.83,51.80,49.54,51.37,777,000
2025-04-24,55.83,55.83,47.64,51.76,1,482,000
2025-04-23,59.30,60.73,58.35,58.55,518,300
2025-04-22,57.45,58.28,57.19,58.07,338,600
2025-04-21,57.83,57.83,56.32,56.98,383,300
2025-04-17,58.79,59.44,57.73,58.23,398,600
2025-04-16,59.10,59.54,58.28,59.28,342,700
2025-04-15,59.72,60.34,58.43,58.94,285,300
2025-04-14,60.87,60.96,59.72,60.25,484,600
2025-04-11,59.09,60.70,58.66,60.13,516,800
2025-04-10,59.75,60.11,57.43,59.33,453,500
2025-04-09,56.27,62.42,56.00,61.58,643,500
2025-04-08,60.13,61.21,55.95,56.85,637,100
2025-04-07,59.78,62.75,57.86,58.68,631,900
2025-04-04,59.91,62.42,59.83,61.25,580,800
2025-04-03,61.23,62.76,60.61,61.62,540,300
2025-04-02,61.93,64.29,61.80,63.92,436,000
2025-04-01,62.62,63.24,62.00,62.71,384,700
2025-03-31,62.59,63.76,61.70,63.02,576,300
2025-03-28,64.01,64.46,62.64,63.02,338,900
2025-03-27,64.46,64.79,63.62,64.22,310,200
2025-03-26,64.45,65.15,64.00,64.33,329,100
2025-03-25,64.19,64.96,64.03,64.34,524,000
2025-03-24,64.52,65.51,63.05,63.73,550,600
2025-03-21,63.37,64.51,63.08,63.66,1,539,400
2025-03-20,67.19,67.38,64.26,64.46,496,700
2025-03-19,68.26,69.04,67.30,68.00,324,800
2025-03-18,68.06,68.68,67.54,68.05,346,200
2025-03-17,68.15,69.63,67.53,68.74,288,400
2025-03-14,67.53,68.72,66.67,68.05,385,500
