Date,Open,High,Low,Close,Adj Close,Volume
2025-09-03,17.27,17.63,17.21,17.61,17.61,470,900
2025-09-02,17.51,17.58,17.11,17.34,17.34,915,400
2025-08-29,17.59,17.75,17.50,17.71,17.71,1,171,700
2025-08-28,17.45,17.74,17.35,17.59,17.59,675,900
2025-08-27,17.29,17.50,17.20,17.45,17.45,446,300
2025-08-26,17.29,17.33,17.17,17.23,17.23,673,500
2025-08-25,17.42,17.47,17.22,17.23,17.23,582,800
2025-08-22,17.03,17.49,16.92,17.38,17.38,568,500
2025-08-21,16.97,17.09,16.90,16.99,16.99,478,100
2025-08-20,17.05,17.11,16.75,17.01,17.01,583,600
2025-08-19,17.20,17.25,17.02,17.06,17.06,615,300
2025-08-18,17.18,17.24,17.03,17.20,17.20,533,600
2025-08-15,17.29,17.38,17.05,17.18,17.18,611,300
2025-08-14,17.99,18.02,17.30,17.36,17.30,760,400
2025-08-13,18.03,18.19,17.87,18.14,18.08,818,700
2025-08-12,17.19,17.92,17.19,17.82,17.76,977,000
2025-08-11,17.29,17.56,17.10,17.13,17.07,1,009,900
2025-08-08,17.95,18.03,17.37,17.41,17.35,960,700
2025-08-07,18.84,18.92,17.53,17.84,17.78,1,121,000
2025-08-06,19.10,19.57,18.28,18.72,18.66,1,752,100
2025-08-05,18.31,18.31,17.77,17.79,17.73,750,500
2025-08-04,17.95,18.23,17.85,18.17,18.11,978,700
2025-08-01,18.24,18.26,17.67,17.75,17.69,693,200
2025-07-31,18.77,18.92,18.31,18.42,18.36,758,700
2025-07-30,18.85,19.19,18.64,18.69,18.63,987,600
2025-07-29,18.77,18.99,18.68,18.80,18.74,617,300
2025-07-28,18.62,18.65,18.36,18.52,18.46,623,200
2025-07-25,18.78,18.82,18.54,18.58,18.52,420,300
2025-07-24,19.01,19.02,18.72,18.73,18.67,403,600
2025-07-23,18.83,19.00,18.81,18.96,18.89,603,900
2025-07-22,18.78,18.95,18.67,18.83,18.76,869,200
2025-07-21,18.75,18.99,18.72,18.81,18.74,662,100
2025-07-18,18.47,18.84,18.38,18.73,18.67,1,827,400
2025-07-17,18.05,18.68,18.02,18.45,18.39,1,557,100
2025-07-16,17.96,18.09,17.79,18.00,17.94,696,700
2025-07-15,17.82,18.01,17.73,17.91,17.85,843,800
2025-07-14,17.94,17.95,17.01,17.81,17.75,1,577,100
2025-07-11,18.87,18.87,18.23,18.26,18.20,586,900
2025-07-10,19.54,19.65,18.88,18.93,18.86,873,200
2025-07-09,19.54,19.65,19.21,19.59,19.52,838,800
2025-07-08,19.94,19.94,19.19,19.51,19.44,932,600
2025-07-07,20.06,20.28,19.85,19.91,19.84,600,100
2025-07-03,19.90,20.21,19.80,20.14,20.07,526,400
2025-07-02,19.47,19.82,19.28,19.76,19.69,830,300
2025-07-01,19.25,19.48,18.93,19.44,19.37,1,119,000
2025-06-30,19.31,19.48,19.15,19.35,19.28,1,087,200
2025-06-27,19.25,19.34,18.88,19.12,19.05,1,515,200
2025-06-26,19.00,19.07,18.69,19.06,18.99,733,700
2025-06-25,19.08,19.31,18.75,18.96,18.89,1,018,300
2025-06-24,18.35,18.53,18.13,18.34,18.28,542,200
2025-06-23,17.74,18.24,17.54,18.22,18.16,580,600
2025-06-20,18.26,18.33,17.65,17.78,17.72,2,106,500
2025-06-18,18.07,18.31,17.92,18.18,18.12,664,000
2025-06-17,17.89,18.29,17.86,18.06,18.00,538,200
2025-06-16,17.81,18.17,17.81,17.99,17.93,602,100
2025-06-13,17.76,18.01,17.64,17.68,17.62,658,600
2025-06-12,17.91,18.14,17.76,17.94,17.88,526,900
2025-06-11,18.09,18.20,17.83,17.95,17.89,513,600
2025-06-10,18.36,18.40,17.95,18.08,18.02,514,700
2025-06-09,18.31,18.48,18.13,18.34,18.28,657,100
2025-06-06,17.96,18.28,17.88,18.26,18.20,788,400
2025-06-05,17.57,17.86,17.53,17.79,17.73,507,900
2025-06-04,17.79,17.85,17.52,17.58,17.52,730,400
2025-06-03,17.57,17.93,17.57,17.79,17.73,580,100
2025-06-02,17.24,17.59,17.15,17.57,17.51,642,500
2025-05-30,17.13,17.30,17.00,17.26,17.20,803,600
2025-05-29,17.22,17.26,16.92,17.16,17.10,511,200
2025-05-28,17.48,17.51,17.11,17.14,17.08,497,500
2025-05-27,17.26,17.48,17.10,17.44,17.38,706,900
2025-05-23,16.91,17.11,16.79,17.03,16.97,461,200
2025-05-22,17.18,17.35,17.11,17.12,17.06,619,700
2025-05-21,17.24,17.51,17.12,17.15,17.09,700,000
2025-05-20,17.44,17.59,17.38,17.46,17.40,657,600
2025-05-19,17.42,17.59,17.35,17.50,17.44,601,600
