Date,Open,High,Low,Close,Adj Close,Volume
2025-09-03,126.11,127.71,125.97,126.92,126.92,256,000
2025-09-02,127.45,128.97,125.25,126.61,126.61,490,800
2025-08-29,132.66,132.71,129.29,130.20,130.20,223,100
2025-08-28,133.36,133.55,132.07,132.70,132.70,237,000
2025-08-27,130.60,133.13,130.60,132.89,132.89,336,900
2025-08-26,130.64,133.29,130.64,131.51,131.51,507,500
2025-08-25,131.12,132.01,130.58,130.68,130.68,273,600
2025-08-22,125.43,132.53,125.43,131.12,131.12,315,300
2025-08-21,123.02,124.49,122.92,124.18,124.18,322,900
2025-08-20,125.19,126.16,122.39,123.38,123.38,237,700
2025-08-19,124.65,127.17,124.08,126.06,126.06,278,700
2025-08-18,123.94,125.74,123.19,124.22,124.22,163,400
2025-08-15,125.78,125.78,123.42,124.13,124.13,280,800
2025-08-14,125.48,126.00,124.32,125.59,125.59,214,300
2025-08-13,125.97,127.66,125.16,127.61,127.61,291,200
2025-08-12,119.65,125.02,118.78,124.96,124.96,247,900
2025-08-11,118.93,120.03,117.98,118.23,118.23,217,400
2025-08-08,116.55,120.03,115.85,118.89,118.89,335,400
2025-08-07,116.91,117.10,114.61,116.06,116.06,331,500
2025-08-06,118.17,118.50,115.54,115.58,115.58,225,200
2025-08-05,119.19,119.89,116.55,118.50,118.50,252,500
2025-08-04,118.25,119.14,116.90,118.87,118.87,335,900
2025-08-01,121.11,121.11,117.30,117.63,117.63,545,200
2025-07-31,129.36,131.80,122.25,123.65,123.65,783,200
2025-07-30,130.87,131.77,127.25,128.04,128.04,474,500
2025-07-29,131.00,132.99,129.97,130.49,130.49,363,000
2025-07-28,128.89,130.23,128.31,129.92,129.92,224,000
2025-07-25,128.04,128.56,126.51,128.56,128.56,235,400
2025-07-24,129.05,129.46,127.01,127.16,127.16,179,700
2025-07-23,128.57,130.50,128.45,129.87,129.87,245,300
2025-07-22,127.50,128.57,125.68,127.37,127.37,246,600
2025-07-21,128.36,128.62,127.21,127.63,127.63,213,300
2025-07-18,131.27,131.27,127.51,127.87,127.87,450,000
2025-07-17,126.07,131.09,126.07,130.81,130.81,661,700
2025-07-16,121.53,126.72,120.86,126.28,126.28,370,600
2025-07-15,122.98,123.30,120.64,120.69,120.69,237,300
2025-07-14,122.07,122.53,120.92,122.23,122.23,257,100
2025-07-11,122.99,123.85,122.25,122.60,122.60,263,600
2025-07-10,122.06,125.38,121.80,123.58,123.58,312,500
2025-07-09,120.59,122.31,119.77,122.01,122.01,280,400
2025-07-08,120.69,121.41,119.94,120.33,120.33,299,400
2025-07-07,119.92,121.77,119.32,119.59,119.59,211,300
2025-07-03,121.00,121.83,120.94,121.77,121.77,116,700
2025-07-02,117.89,120.52,117.06,120.41,120.41,172,700
2025-07-01,115.38,119.08,115.22,117.86,117.86,262,400
2025-06-30,116.72,116.72,114.96,115.80,115.80,260,800
2025-06-27,116.93,117.39,114.73,116.41,116.41,870,700
2025-06-26,114.92,116.88,114.92,116.54,116.54,308,200
2025-06-25,114.32,115.19,113.50,114.48,114.48,244,300
2025-06-24,113.48,114.44,112.58,113.88,113.88,232,700
2025-06-23,109.36,112.13,108.64,112.02,112.02,183,300
2025-06-20,110.42,110.42,108.90,109.83,109.83,454,800
2025-06-18,108.74,110.94,108.63,109.48,109.48,161,600
2025-06-17,108.99,111.39,108.61,108.87,108.87,211,500
2025-06-16,108.87,110.34,108.42,109.56,109.56,232,800
2025-06-13,108.27,109.39,106.50,107.41,107.41,253,900
2025-06-12,109.88,111.31,109.06,110.77,110.77,225,900
2025-06-11,112.49,113.36,110.99,111.22,111.17,308,100
2025-06-10,112.64,112.64,110.86,111.42,111.37,163,500
2025-06-09,111.67,112.91,110.36,112.29,112.24,260,300
2025-06-06,112.71,112.95,110.02,110.81,110.76,147,400
2025-06-05,108.64,111.77,108.47,110.46,110.41,348,200
2025-06-04,108.41,109.16,108.02,108.07,108.02,144,100
2025-06-03,105.22,108.71,104.66,108.37,108.32,236,500
2025-06-02,105.57,105.60,103.57,104.64,104.59,202,100
2025-05-30,106.60,106.71,104.79,106.20,106.15,216,500
2025-05-29,109.07,109.07,106.51,107.59,107.54,184,100
2025-05-28,109.89,110.00,107.88,108.13,108.08,189,000
2025-05-27,108.03,109.69,107.17,109.67,109.62,179,400
2025-05-23,105.64,107.38,105.64,106.16,106.11,166,600
2025-05-22,108.91,109.34,107.68,108.27,108.22,128,500
2025-05-21,110.09,111.10,108.91,109.27,109.22,214,700
2025-05-20,110.97,111.85,110.64,111.53,111.48,171,000
2025-05-19,110.06,111.81,110.06,111.38,111.33,122,400
2025-05-16,111.99,112.83,110.91,112.39,112.34,206,600
2025-05-15,112.12,113.78,111.76,111.91,111.86,155,500
2025-05-14,113.64,114.40,112.23,112.89,112.84,339,900
2025-05-13,113.06,114.70,113.00,113.87,113.82,168,700
2025-05-12,112.13,113.59,110.82,112.32,112.27,244,500
2025-05-09,107.72,108.16,106.25,106.58,106.53,181,300
2025-05-08,106.83,109.07,105.84,107.27,107.22,235,300
2025-05-07,104.00,105.81,103.63,105.03,104.98,255,800
2025-05-06,103.18,104.70,102.49,103.53,103.48,240,500
2025-05-05,103.67,106.05,103.67,104.55,104.50,228,300
2025-05-02,103.00,105.70,102.50,104.76,104.71,337,600
2025-05-01,103.85,104.04,97.47,101.35,101.30,639,600
2025-04-30,100.38,103.55,100.38,103.11,103.06,367,300
2025-04-29,101.86,103.11,101.01,102.75,102.70,198,900
2025-04-28,101.54,102.80,100.60,102.25,102.20,176,200
2025-04-25,100.83,101.97,99.47,101.94,101.89,139,000
2025-04-24,97.16,101.56,97.16,101.37,101.32,191,400
2025-04-23,98.69,100.51,96.58,96.93,96.89,288,000
2025-04-22,94.10,94.92,92.74,94.73,94.69,176,700
2025-04-21,92.99,93.20,90.99,92.21,92.17,163,200
2025-04-17,93.65,94.37,92.72,94.02,93.98,186,200
2025-04-16,93.45,94.79,91.59,93.57,93.53,369,300
2025-04-15,94.67,95.57,93.99,94.94,94.90,197,400
2025-04-14,96.12,96.50,92.91,94.82,94.78,303,200
2025-04-11,91.66,94.04,89.19,93.48,93.44,237,800
2025-04-10,94.31,95.74,89.43,92.33,92.29,312,600
2025-04-09,86.72,99.37,86.49,98.31,98.27,458,600
2025-04-08,92.00,93.86,85.70,87.10,87.06,477,800
2025-04-07,85.22,93.07,83.18,89.74,89.70,542,600
2025-04-04,88.33,91.36,85.56,89.03,88.99,504,000
2025-04-03,97.63,99.04,91.58,93.00,92.96,388,500
2025-04-02,99.48,104.91,99.48,104.50,104.45,372,200
2025-04-01,100.13,101.57,99.41,101.08,101.03,297,300
2025-03-31,99.02,101.10,97.43,100.25,100.20,398,100
2025-03-28,103.63,103.69,99.56,100.89,100.84,327,700
2025-03-27,104.61,105.36,103.36,104.31,104.26,242,800
2025-03-26,106.42,106.97,104.39,105.15,105.10,248,600
2025-03-25,105.94,106.80,105.44,105.98,105.93,221,700
2025-03-24,104.14,105.88,103.75,105.44,105.39,318,700
2025-03-21,100.97,102.27,100.32,101.80,101.75,705,700
2025-03-20,104.79,105.27,102.52,102.78,102.73,562,900
2025-03-19,104.19,106.78,104.19,106.53,106.48,229,200
2025-03-18,102.49,104.15,102.02,103.70,103.65,239,100
2025-03-17,101.15,104.40,101.15,102.92,102.87,267,800
2025-03-14,100.93,102.55,100.37,101.38,101.33,329,300
2025-03-13,101.87,102.31,98.98,99.82,99.78,269,700
2025-03-12,103.52,103.52,100.80,101.71,101.61,338,500
2025-03-11,101.36,104.09,100.29,102.12,102.02,246,100
2025-03-10,102.73,103.32,100.20,101.09,100.99,473,300
2025-03-07,104.16,104.86,101.42,104.47,104.37,290,900
2025-03-06,104.26,106.13,103.06,104.16,104.06,312,200
2025-03-05,103.12,106.53,102.57,105.85,105.75,338,500
2025-03-04,104.64,104.91,101.75,102.95,102.85,365,100
2025-03-03,110.30,110.73,105.86,106.41,106.31,361,600
2025-02-28,106.87,110.12,106.87,110.03,109.93,347,700
2025-02-27,109.21,109.60,106.87,107.07,106.97,269,800
2025-02-26,110.06,111.59,108.77,109.23,109.13,266,400
2025-02-25,111.76,112.40,108.83,109.50,109.40,283,400
2025-02-24,111.90,112.74,109.44,111.72,111.61,387,400
2025-02-21,114.71,114.72,110.66,111.53,111.43,292,900
2025-02-20,114.45,115.27,112.35,113.61,113.50,209,400
2025-02-19,114.76,116.11,113.42,114.67,114.56,258,500
2025-02-18,114.91,115.41,112.89,115.13,115.02,291,200
2025-02-14,115.00,115.61,114.01,114.91,114.80,350,100
2025-02-13,113.43,114.54,112.31,114.39,114.28,205,300
2025-02-12,110.08,113.16,109.97,112.64,112.53,225,800
2025-02-11,113.15,114.25,111.35,112.65,112.54,241,000
2025-02-10,115.66,115.75,113.35,114.05,113.94,284,000
2025-02-07,114.77,118.33,114.33,115.12,115.01,567,900
2025-02-06,110.82,118.61,107.50,115.06,114.95,595,400
2025-02-05,115.37,117.22,115.26,116.29,116.18,292,300
2025-02-04,113.12,115.94,112.86,115.20,115.09,201,600
2025-02-03,113.78,114.98,111.51,113.44,113.33,213,800
2025-01-31,118.20,118.75,115.83,116.47,116.36,209,600
2025-01-30,117.68,118.64,116.75,117.58,117.47,170,600
2025-01-29,115.95,116.99,115.37,116.16,116.05,165,400
2025-01-28,114.93,116.23,112.65,115.87,115.76,204,100
2025-01-27,118.05,119.38,112.76,114.18,114.07,274,000
2025-01-24,121.09,121.91,120.24,120.94,120.83,176,500
2025-01-23,121.09,121.27,119.34,121.12,121.01,296,500
2025-01-22,121.82,124.24,121.23,122.07,121.96,254,300
2025-01-21,118.51,121.52,118.51,120.71,120.60,188,600
2025-01-17,120.11,120.11,116.23,117.34,117.23,270,400
2025-01-16,117.88,119.34,116.88,118.80,118.69,208,300
2025-01-15,118.66,119.34,116.48,117.35,117.24,206,300
2025-01-14,114.90,116.99,113.78,116.06,115.95,253,800
2025-01-13,111.81,114.17,111.31,114.06,113.95,192,200
2025-01-10,114.42,114.88,112.59,113.71,113.60,217,000
2025-01-08,113.16,116.03,112.56,115.95,115.84,213,500
2025-01-07,117.22,117.47,113.72,114.47,114.36,244,800
2025-01-06,116.27,118.54,115.69,116.20,116.09,247,100
2025-01-03,113.50,115.98,113.24,115.63,115.52,215,100
2025-01-02,114.20,114.95,112.40,113.20,113.09,235,000
2024-12-31,112.38,113.58,111.40,112.61,112.50,303,900
2024-12-30,112.04,112.76,109.81,112.15,112.04,146,500
2024-12-27,114.17,115.06,112.12,113.47,113.36,161,300
2024-12-26,113.57,115.73,112.94,115.38,115.27,139,200
2024-12-24,113.12,114.96,112.83,114.50,114.39,97,600
2024-12-23,113.39,114.45,112.39,113.49,113.38,243,800
2024-12-20,113.40,115.57,113.16,113.74,113.63,1,023,900
2024-12-19,115.15,116.37,114.00,114.61,114.50,311,700
2024-12-18,120.31,120.62,112.84,113.79,113.68,307,100
2024-12-17,122.48,123.96,117.95,118.85,118.74,289,700
2024-12-16,121.09,124.35,121.08,123.50,123.38,237,000
2024-12-13,122.65,123.21,120.03,121.00,120.89,246,700
2024-12-12,122.17,123.61,120.90,122.84,122.72,233,200
2024-12-11,121.60,123.50,120.48,123.12,122.95,329,500
2024-12-10,122.09,122.09,119.08,119.87,119.71,183,200
2024-12-09,123.24,124.87,121.51,121.86,121.70,229,400
2024-12-06,122.86,123.74,120.95,122.39,122.23,224,600
2024-12-05,122.92,123.50,121.98,122.15,121.99,127,000
2024-12-04,123.82,124.89,121.94,123.10,122.93,295,700
2024-12-03,124.09,124.24,122.47,122.71,122.54,137,500
2024-12-02,122.50,124.89,121.76,123.91,123.74,165,000
2024-11-29,122.91,123.17,121.58,122.40,122.24,132,000
2024-11-27,124.43,125.66,121.56,121.87,121.71,162,900
2024-11-26,124.65,124.86,123.25,123.93,123.76,247,300
2024-11-25,125.10,126.61,123.77,124.97,124.80,348,300
2024-11-22,121.32,123.81,121.11,123.52,123.35,250,700
2024-11-21,119.55,122.17,119.22,120.64,120.48,190,400
2024-11-20,118.36,120.34,117.71,118.68,118.52,178,500
2024-11-19,116.79,118.89,116.51,118.68,118.52,141,300
2024-11-18,119.44,119.56,117.47,118.33,118.17,206,800
2024-11-15,120.36,120.36,117.53,118.61,118.45,201,900
2024-11-14,122.19,122.19,119.49,119.81,119.65,194,700
2024-11-13,124.96,125.16,121.19,121.27,121.11,150,400
2024-11-12,126.59,126.85,123.20,123.84,123.67,183,900
2024-11-11,128.42,128.59,124.96,126.61,126.44,229,400
2024-11-08,128.58,128.79,126.28,126.62,126.45,284,000
2024-11-07,131.67,131.67,127.26,128.00,127.83,370,700
2024-11-06,125.00,131.82,123.88,131.43,131.25,489,600
2024-11-05,115.49,118.86,115.49,118.50,118.34,231,800
2024-11-04,114.79,117.04,114.24,116.17,116.01,190,800
2024-11-01,114.03,117.75,114.03,115.24,115.08,353,800
2024-10-31,113.60,116.83,111.17,113.87,113.72,500,000
2024-10-30,118.32,120.59,117.45,117.68,117.52,277,700
2024-10-29,117.88,120.16,117.35,118.97,118.81,605,400
2024-10-28,118.27,118.79,117.50,118.50,118.34,202,300
2024-10-25,118.61,119.00,116.17,116.55,116.39,163,700
2024-10-24,116.95,118.51,116.90,117.54,117.38,214,000
2024-10-23,116.46,117.86,115.16,116.57,116.41,150,600
2024-10-22,117.26,117.66,116.42,116.52,116.36,166,800
2024-10-21,119.46,120.08,117.29,117.88,117.72,220,600
2024-10-18,122.23,122.36,119.42,119.89,119.73,187,900
2024-10-17,121.45,122.79,120.28,122.23,122.07,220,400
2024-10-16,119.43,121.96,118.83,120.47,120.31,262,100
2024-10-15,121.51,123.03,118.53,118.67,118.51,289,700
2024-10-14,120.80,122.75,120.37,121.89,121.73,368,200
2024-10-11,116.31,120.55,116.25,120.51,120.35,387,800
2024-10-10,116.90,117.01,115.66,116.28,116.12,215,600
2024-10-09,118.39,119.46,117.98,118.42,118.26,165,200
2024-10-08,118.04,118.84,117.31,118.01,117.85,185,300
2024-10-07,116.63,118.41,116.28,117.41,117.25,199,800
2024-10-04,117.51,118.11,116.16,117.46,117.30,191,800
2024-10-03,115.37,116.38,114.57,115.72,115.56,235,500
2024-10-02,115.50,117.27,114.76,115.49,115.33,241,100
2024-10-01,117.16,117.20,114.37,116.10,115.94,194,500
2024-09-30,115.18,117.26,115.18,117.13,116.97,271,400
2024-09-27,117.69,118.26,115.18,115.87,115.71,266,000
2024-09-26,116.87,117.89,116.16,116.91,116.75,280,600
2024-09-25,116.65,116.68,113.06,114.75,114.60,274,700
2024-09-24,114.49,117.25,114.49,116.56,116.40,381,400
2024-09-23,112.38,114.86,112.07,113.94,113.79,424,300
2024-09-20,110.06,112.87,108.85,112.43,112.28,779,800
2024-09-19,109.26,110.15,108.76,110.13,109.98,358,400
2024-09-18,106.93,110.34,106.50,106.71,106.57,535,500
2024-09-17,104.45,106.95,104.45,106.29,106.15,292,100
2024-09-16,103.40,105.30,103.00,103.34,103.20,255,900
2024-09-13,102.09,103.84,101.71,103.04,102.90,314,600
2024-09-12,103.26,104.04,99.70,100.93,100.79,208,400
2024-09-11,98.47,99.19,96.69,99.05,98.87,190,600
2024-09-10,99.52,99.59,98.30,99.19,99.01,175,500
2024-09-09,99.33,101.29,98.70,99.46,99.28,259,600
2024-09-06,101.92,101.92,99.19,99.36,99.18,199,400
2024-09-05,102.43,103.20,101.25,102.17,101.98,146,300
2024-09-04,100.57,102.60,99.67,102.45,102.26,226,900
2024-09-03,106.00,107.37,100.24,101.05,100.86,262,500
2024-08-30,107.42,107.56,106.09,107.28,107.08,381,500
2024-08-29,106.99,108.65,104.72,107.04,106.84,243,700
2024-08-28,106.93,108.18,106.36,106.77,106.57,210,700
2024-08-27,106.20,107.19,105.61,106.80,106.60,140,600
2024-08-26,107.47,108.32,106.35,106.55,106.35,150,500
2024-08-23,104.82,107.02,104.41,106.69,106.49,240,100
2024-08-22,105.11,105.94,103.77,104.00,103.81,114,000
2024-08-21,104.42,105.18,103.49,105.17,104.98,119,300
2024-08-20,104.59,105.17,102.47,103.30,103.11,216,300
2024-08-19,101.70,104.93,101.70,104.87,104.68,252,900
2024-08-16,100.11,102.37,100.11,101.55,101.36,372,900
2024-08-15,100.00,101.46,98.57,100.40,100.21,410,800
2024-08-14,98.05,98.80,96.13,98.46,98.28,227,600
2024-08-13,95.52,98.54,94.67,97.63,97.45,252,900
2024-08-12,94.57,94.78,92.77,94.68,94.50,147,600
2024-08-09,94.54,95.08,93.44,94.72,94.54,147,900
2024-08-08,92.44,95.31,91.84,94.79,94.61,257,900
2024-08-07,97.65,99.64,91.04,91.60,91.43,400,900
2024-08-06,95.78,98.47,94.87,96.46,96.28,384,100
2024-08-05,94.72,97.64,93.55,96.20,96.02,418,500
2024-08-02,97.01,99.53,95.00,99.35,99.17,625,700
2024-08-01,93.18,102.47,93.18,100.52,100.33,837,000
2024-07-31,91.74,94.88,90.77,92.69,92.52,302,600
2024-07-30,92.83,92.83,88.61,89.54,89.37,222,300
2024-07-29,92.25,93.70,91.68,92.06,91.89,159,300
2024-07-26,94.66,94.66,91.69,91.97,91.80,342,300
2024-07-25,92.56,94.43,91.76,92.55,92.38,252,300
2024-07-24,95.02,95.85,92.29,92.42,92.25,197,900
2024-07-23,94.93,96.74,93.90,95.80,95.62,200,800
2024-07-22,92.56,95.17,92.29,94.95,94.77,243,000
2024-07-19,94.59,94.74,91.74,91.84,91.67,185,300
2024-07-18,95.72,98.02,94.16,94.54,94.37,243,700
2024-07-17,97.60,97.92,95.54,95.65,95.47,421,400
2024-07-16,97.86,99.07,97.42,98.78,98.60,312,300
2024-07-15,96.77,98.72,96.41,96.83,96.65,271,700
2024-07-12,95.61,97.50,95.41,96.03,95.85,206,400
2024-07-11,93.89,95.42,92.69,94.55,94.38,294,600
2024-07-10,91.26,92.61,91.04,92.33,92.16,191,100
2024-07-09,91.44,91.69,90.22,90.33,90.16,150,400
2024-07-08,91.73,92.70,91.53,91.80,91.63,226,300
2024-07-05,92.91,92.91,90.87,90.89,90.72,195,700
2024-07-03,92.82,93.06,91.99,92.30,92.13,77,000
2024-07-02,91.64,92.40,90.65,91.87,91.70,206,000
2024-07-01,94.48,94.98,91.02,91.55,91.38,254,800
2024-06-28,93.30,94.26,92.69,93.80,93.63,628,100
2024-06-27,94.29,95.79,92.09,92.13,91.96,298,100
2024-06-26,92.57,93.12,91.60,93.06,92.89,184,600
2024-06-25,93.96,93.96,91.47,93.20,93.03,260,200
2024-06-24,95.79,96.85,94.16,94.22,94.05,276,500
2024-06-21,94.40,95.31,93.14,95.15,94.97,1,045,000
2024-06-20,95.83,97.73,93.87,94.02,93.85,504,200
2024-06-18,96.75,96.80,95.35,96.03,95.85,267,700
2024-06-17,94.43,96.69,94.15,96.35,96.17,274,300
2024-06-14,96.48,96.48,94.09,94.71,94.53,255,800
2024-06-13,96.64,98.39,96.28,97.80,97.62,421,800
2024-06-12,96.37,98.41,96.08,96.93,96.70,292,900
2024-06-11,93.17,94.20,92.58,93.42,93.20,237,000
2024-06-10,93.54,94.93,93.54,94.10,93.88,168,100
2024-06-07,94.93,95.60,93.96,94.76,94.54,144,300
2024-06-06,96.20,96.98,94.69,95.49,95.26,311,200
2024-06-05,94.89,97.35,93.80,96.72,96.49,197,900
2024-06-04,94.38,96.32,94.02,94.07,93.85,254,800
2024-06-03,96.12,96.12,93.06,95.14,94.91,187,800
2024-05-31,95.60,95.75,94.01,95.69,95.46,255,200
2024-05-30,94.60,95.70,94.27,95.47,95.24,197,600
2024-05-29,95.73,96.56,94.24,94.31,94.09,258,700
2024-05-28,98.21,98.60,96.51,96.79,96.56,199,100
2024-05-24,97.50,97.85,96.60,97.59,97.36,229,400
2024-05-23,96.80,97.45,95.68,96.51,96.28,256,300
2024-05-22,94.78,96.22,94.62,96.22,95.99,218,000
2024-05-21,93.83,94.90,93.63,94.88,94.66,131,400
2024-05-20,93.51,95.25,93.51,94.43,94.21,191,900
2024-05-17,93.87,94.23,92.63,93.50,93.28,165,500
2024-05-16,95.22,95.39,93.37,93.38,93.16,182,700
2024-05-15,93.81,95.40,93.05,95.15,94.92,215,500
2024-05-14,93.27,93.28,92.33,93.05,92.83,173,000
2024-05-13,93.00,93.47,92.05,92.07,91.85,141,900
2024-05-10,92.06,92.86,91.56,92.50,92.28,169,000
2024-05-09,91.85,92.35,91.22,91.83,91.61,182,600
2024-05-08,89.82,91.60,89.36,91.46,91.24,186,500
2024-05-07,88.09,90.93,87.80,90.41,90.20,282,900
2024-05-06,88.91,90.31,87.43,87.78,87.57,208,200
2024-05-03,91.00,91.15,87.30,88.23,88.02,278,800
2024-05-02,88.31,88.94,86.44,88.91,88.70,467,700
2024-05-01,81.22,82.79,81.02,81.32,81.13,244,700
2024-04-30,83.69,84.44,81.21,81.27,81.08,302,900
2024-04-29,83.89,84.58,83.85,84.44,84.24,209,200
2024-04-26,83.28,84.13,83.26,83.40,83.20,167,100
2024-04-25,82.12,83.24,82.00,82.89,82.69,273,800
2024-04-24,83.99,85.55,82.64,83.25,83.05,276,200
2024-04-23,83.52,84.86,83.52,84.23,84.03,186,000
2024-04-22,82.25,83.72,81.76,83.37,83.17,210,000
2024-04-19,81.32,82.71,80.90,81.92,81.73,235,700
2024-04-18,82.50,83.38,81.57,81.74,81.55,171,500
2024-04-17,85.12,85.17,82.22,82.33,82.14,286,700
2024-04-16,84.33,84.97,83.37,84.52,84.32,182,000
2024-04-15,85.90,86.34,84.46,84.80,84.60,171,700
2024-04-12,86.90,87.08,84.83,85.26,85.06,259,600
2024-04-11,87.29,87.95,86.56,87.75,87.54,211,000
2024-04-10,87.31,87.79,86.13,87.02,86.81,284,200
2024-04-09,89.81,89.81,88.42,89.08,88.87,169,600
2024-04-08,89.80,89.86,88.90,89.31,89.10,170,700
2024-04-05,89.48,89.71,88.57,88.97,88.76,211,300
2024-04-04,90.50,91.07,88.61,89.31,89.10,327,100
2024-04-03,87.88,90.16,87.88,89.29,89.08,516,800
2024-04-02,89.99,89.99,87.80,88.32,88.11,263,900
2024-04-01,92.28,92.33,90.77,90.78,90.57,241,200
2024-03-28,93.32,93.41,92.00,92.61,92.39,255,400
2024-03-27,92.30,93.43,91.83,93.21,92.99,266,400
2024-03-26,92.36,92.71,91.24,91.61,91.39,190,600
2024-03-25,92.75,93.25,91.91,92.04,91.82,229,200
2024-03-22,93.09,93.24,92.04,92.75,92.53,223,800
2024-03-21,91.99,93.58,91.54,92.68,92.46,365,700
2024-03-20,87.87,91.24,87.57,91.03,90.81,349,500
2024-03-19,86.31,88.63,86.31,88.29,88.08,243,400
2024-03-18,85.80,87.68,85.62,86.84,86.63,274,500
2024-03-15,84.70,86.63,84.70,86.33,86.13,618,400
