Date,Open,High,Low,Close,Volume
"Sep 3, 2025","46.60","47.86","45.74","46.12","3,921,500"
"Sep 2, 2025","45.27","46.79","44.46","46.73","6,091,700"
"Aug 29, 2025","49.28","49.84","46.18","46.42","7,428,500"
"Aug 28, 2025","44.82","49.39","44.60","49.20","13,968,600"
"Aug 27, 2025","41.08","41.95","41.08","41.63","7,234,000"
"Aug 26, 2025","41.15","41.52","40.42","40.63","4,576,400"
"Aug 25, 2025","42.09","42.39","40.83","41.06","4,116,700"
"Aug 22, 2025","41.29","42.56","40.88","42.29","2,721,500"
"Aug 21, 2025","41.14","41.42","40.19","41.25","3,715,100"
"Aug 20, 2025","41.25","41.76","40.52","41.65","5,073,100"
"Aug 19, 2025","41.86","42.05","40.82","41.34","3,737,800"
"Aug 18, 2025","40.40","41.66","40.40","41.65","3,722,800"
"Aug 15, 2025","39.79","40.66","39.38","40.44","3,086,200"
"Aug 14, 2025","39.93","40.31","39.16","39.48","3,401,300"
"Aug 13, 2025","39.23","40.52","38.85","40.41","4,776,900"
"Aug 12, 2025","39.50","39.62","38.70","39.02","4,443,300"
"Aug 11, 2025","40.75","41.16","39.08","39.12","3,217,800"
"Aug 8, 2025","41.59","41.64","40.38","40.74","3,363,900"
"Aug 7, 2025","42.67","42.84","40.55","41.51","2,151,500"
"Aug 6, 2025","42.09","42.89","41.61","42.22","1,556,000"
"Aug 5, 2025","42.47","42.52","41.36","41.74","1,697,100"
"Aug 4, 2025","42.26","42.63","41.97","42.40","1,509,500"
"Aug 1, 2025","42.22","42.72","41.48","41.73","2,439,700"
"Jul 31, 2025","45.44","45.44","42.80","42.85","2,348,800"
"Jul 30, 2025","45.47","45.70","44.11","45.28","2,475,100"
"Jul 29, 2025","46.21","46.63","44.80","45.03","1,362,200"
"Jul 28, 2025","46.62","46.86","46.06","46.07","1,729,300"
"Jul 25, 2025","45.55","46.24","44.97","45.92","1,255,500"
"Jul 24, 2025","46.36","46.56","45.21","45.24","1,167,100"
"Jul 23, 2025","46.47","46.57","45.44","46.54","2,170,000"
