Date,Open,High,Low,Close,Volume
2025-09-03,53.78,54.22,52.49,52.61,925,500
2025-09-02,53.81,54.49,53.57,53.95,759,200
2025-08-29,54.38,54.90,54.15,54.37,533,500
2025-08-28,54.73,55.05,54.17,54.24,518,000
2025-08-27,53.27,54.91,53.00,54.68,678,300
2025-08-26,53.00,53.60,52.67,52.91,831,100
2025-08-25,53.02,53.77,52.72,53.01,1,036,400
2025-08-22,52.80,54.14,52.53,53.98,1,132,900
2025-08-21,51.87,52.92,51.70,52.85,997,200
2025-08-20,51.80,52.39,51.50,52.23,681,600
2025-08-19,51.58,52.30,51.28,51.86,625,300
2025-08-18,50.97,51.79,50.81,51.48,785,600
2025-08-15,50.54,51.57,50.49,50.83,1,247,900
2025-08-14,51.20,51.51,50.17,50.37,828,000
2025-08-13,49.69,51.36,49.58,51.26,1,496,600
2025-08-12,48.52,49.71,48.29,49.34,1,220,400
2025-08-11,48.08,49.17,47.94,48.05,976,800
2025-08-08,50.55,50.55,48.28,48.35,995,700
2025-08-07,52.60,53.00,49.60,50.50,1,328,800
2025-08-06,54.22,54.31,51.39,52.00,1,980,600
2025-08-05,53.70,54.60,53.23,54.43,1,429,300
2025-08-04,53.10,53.80,52.99,53.50,610,900
2025-08-01,53.65,53.65,52.08,52.93,632,400
2025-07-31,55.07,55.35,53.72,53.78,562,800
2025-07-30,55.96,56.24,54.97,55.15,474,200
2025-07-29,56.90,57.55,55.75,55.75,753,000
2025-07-28,56.01,56.78,55.65,55.70,326,000
2025-07-25,56.59,57.01,55.94,56.00,422,100
2025-07-24,56.83,57.13,56.46,56.51,259,500
2025-07-23,57.27,57.77,56.70,57.15,364,200
2025-07-22,56.46,57.99,56.11,57.05,630,100
2025-07-21,56.81,56.94,56.11,56.34,361,900
2025-07-18,56.39,56.58,55.54,56.56,525,200
2025-07-17,55.26,55.99,55.22,55.93,444,400
2025-07-16,54.62,55.44,54.46,55.01,568,300
2025-07-15,54.89,55.18,54.15,54.17,838,700
2025-07-14,53.79,55.08,53.40,54.74,523,200
2025-07-11,55.81,55.81,53.47,53.65,574,800
2025-07-10,56.58,57.17,55.96,56.01,538,600
2025-07-09,57.47,57.52,55.97,56.63,528,400
2025-07-08,57.21,58.00,56.99,57.44,826,100
2025-07-07,57.60,58.19,56.99,57.16,458,700
2025-07-03,57.41,58.32,56.68,57.81,296,400
2025-07-02,57.16,57.68,56.10,56.96,673,200
2025-07-01,56.16,57.93,56.16,57.45,712,100
2025-06-30,57.07,57.44,56.19,56.62,794,400
2025-06-27,56.62,56.78,55.80,56.64,1,570,300
2025-06-26,56.32,56.62,55.60,56.53,590,900
2025-06-25,56.55,57.10,55.92,56.17,721,400
2025-06-24,56.85,57.10,55.83,56.74,802,000
2025-06-23,54.76,56.51,54.25,56.37,766,900
2025-06-20,55.23,55.52,53.99,54.78,1,132,800
2025-06-18,55.00,55.36,54.47,54.96,775,400
2025-06-17,54.81,55.87,54.81,54.98,579,100
2025-06-16,54.49,55.84,54.49,55.33,712,600
2025-06-13,54.90,55.29,53.99,54.06,810,800
2025-06-12,56.62,57.29,55.34,55.77,575,800
2025-06-11,55.95,56.75,55.43,56.63,918,700
2025-06-10,57.28,57.38,55.84,56.00,513,900
2025-06-09,57.55,57.97,57.16,57.30,483,100
2025-06-06,58.52,58.70,57.02,57.35,1,410,900
2025-06-05,58.05,59.43,57.98,58.22,1,153,900
2025-06-04,57.40,58.47,57.31,58.05,816,100
2025-06-03,55.53,57.74,55.25,57.59,970,900
2025-06-02,55.97,56.49,55.22,55.76,603,700
2025-05-30,54.88,55.99,54.77,55.93,964,600
2025-05-29,55.10,55.33,54.70,55.32,541,600
2025-05-28,55.20,55.44,54.77,55.05,542,000
2025-05-27,54.85,55.24,54.31,55.19,525,700
2025-05-23,53.41,54.45,53.37,54.16,500,400
2025-05-22,53.86,54.91,53.65,54.46,768,000
2025-05-21,54.65,55.06,53.85,53.94,589,300
2025-05-20,54.71,55.48,54.63,55.43,380,500
2025-05-19,54.79,55.56,54.42,54.87,432,900
2025-05-16,54.83,55.69,54.65,55.54,348,700
2025-05-15,55.00,55.32,54.15,55.04,333,700
2025-05-14,54.83,55.69,54.65,55.00,719,000
2025-05-13,55.00,55.45,54.35,55.16,694,600
2025-05-12,54.32,55.20,53.98,54.91,984,700
2025-05-09,53.00,53.92,52.86,53.23,762,000
2025-05-08,50.67,53.32,50.47,52.96,1,319,000
2025-05-07,49.29,50.92,48.43,50.67,1,520,800
2025-05-06,46.43,47.28,46.37,46.65,958,000
2025-05-05,46.63,48.04,46.63,47.15,892,600
2025-05-02,47.91,47.91,46.71,47.27,548,000
2025-05-01,47.58,47.96,47.17,47.33,401,600
2025-04-30,47.13,47.33,46.56,47.23,583,800
2025-04-29,46.90,48.06,46.85,47.80,575,900
2025-04-28,47.09,47.69,46.70,46.85,438,000
2025-04-25,46.83,47.31,46.47,47.22,496,700
2025-04-24,45.70,46.97,45.67,46.86,545,000
2025-04-23,46.78,46.90,45.12,45.56,563,300
2025-04-22,44.00,45.10,43.85,45.06,547,100
2025-04-21,44.08,44.85,43.17,43.48,493,800
2025-04-17,44.62,45.00,44.11,44.44,412,300
2025-04-16,44.85,45.47,44.13,44.62,484,500
2025-04-15,45.95,46.37,45.18,45.24,547,900
2025-04-14,46.28,46.28,44.49,46.05,868,400
2025-04-11,44.93,45.87,43.53,45.59,819,600
2025-04-10,45.13,45.51,43.31,45.25,949,200
2025-04-09,41.76,46.33,41.00,46.13,1,232,900
2025-04-08,43.64,44.08,41.75,42.27,1,365,500
2025-04-07,41.97,44.21,40.82,42.83,1,791,800
2025-04-04,44.90,45.19,43.02,44.10,1,292,400
2025-04-03,47.52,48.44,45.97,46.08,936,900
2025-04-02,48.30,49.89,48.30,49.44,548,400
2025-04-01,48.73,49.58,48.35,49.13,518,600
2025-03-31,48.45,48.86,47.82,48.42,655,200
2025-03-28,50.12,50.12,48.17,48.81,382,800
2025-03-27,50.32,50.85,49.94,50.19,441,600
2025-03-26,50.65,51.06,50.06,50.52,427,600
2025-03-25,50.50,50.87,50.11,50.66,513,800
2025-03-24,50.85,51.28,50.17,50.29,666,100
2025-03-21,49.48,50.39,49.40,50.29,1,310,200
2025-03-20,49.44,50.69,49.44,49.78,513,400
2025-03-19,49.39,50.31,49.31,50.16,455,200
2025-03-18,48.93,50.25,48.93,49.58,827,500
2025-03-17,49.77,50.51,48.77,49.18,651,700
2025-03-14,48.08,49.98,47.67,49.89,930,500
2025-03-13,47.94,47.99,47.12,47.46,637,800
2025-03-12,48.39,48.54,46.88,48.20,703,800
2025-03-11,48.37,48.89,47.65,48.05,699,400
2025-03-10,48.80,49.60,48.38,48.45,814,600
2025-03-07,48.50,49.41,47.70,48.88,718,300
2025-03-06,47.60,49.07,47.23,48.87,1,056,900
2025-03-05,47.97,48.49,47.83,47.97,540,900
2025-03-04,47.68,48.49,47.08,47.96,990,200
2025-03-03,48.22,49.08,47.88,48.03,720,600
2025-02-28,49.04,49.04,47.69,48.30,734,700
2025-02-27,49.07,49.60,48.25,48.27,847,700
2025-02-26,49.65,50.32,48.73,48.99,886,800
2025-02-25,49.34,50.00,48.18,49.26,1,018,900
2025-02-24,49.22,49.57,48.19,49.11,816,800
2025-02-21,49.67,49.85,48.89,49.10,1,711,100
2025-02-20,50.06,50.08,48.75,49.32,1,096,300
2025-02-19,51.24,51.36,49.85,49.96,1,190,300
2025-02-18,51.38,52.11,51.20,51.61,980,500
2025-02-14,52.40,53.02,51.25,51.37,913,400
2025-02-13,52.33,52.54,51.22,52.26,1,201,800
2025-02-12,54.05,55.19,51.60,51.94,4,317,500
2025-02-11,63.99,64.92,62.98,63.40,826,200
2025-02-10,65.06,65.51,63.57,64.41,925,100
2025-02-07,65.13,65.49,63.83,64.63,463,400
2025-02-06,65.90,66.02,64.82,65.13,416,400
2025-02-05,64.68,65.79,64.62,65.64,376,200
2025-02-04,63.71,64.67,63.68,64.57,538,300
2025-02-03,62.26,63.76,61.84,63.60,413,900
2025-01-31,63.72,64.37,63.17,63.85,619,300
2025-01-30,66.25,66.25,63.28,63.44,880,200
2025-01-29,64.81,64.81,62.85,62.89,508,800
2025-01-28,61.55,65.14,61.53,64.90,976,700
2025-01-27,60.19,63.39,60.03,61.72,454,600
2025-01-24,60.56,61.02,59.86,60.46,429,600
2025-01-23,58.98,60.53,58.76,60.45,349,400
2025-01-22,61.26,61.38,58.82,59.70,576,600
2025-01-21,60.14,61.29,60.00,61.20,442,500
2025-01-17,60.79,60.90,59.47,59.65,425,700
2025-01-16,59.66,60.25,59.15,60.01,651,300
2025-01-15,59.54,59.94,57.94,58.67,425,400
2025-01-14,56.78,58.42,56.21,58.21,617,800
2025-01-13,55.01,56.49,55.00,56.42,719,400
2025-01-10,56.20,56.40,55.27,55.66,515,500
2025-01-08,57.34,57.68,56.84,57.09,500,600
2025-01-07,58.99,59.11,57.46,57.75,620,700
2025-01-06,60.68,61.41,58.31,58.95,793,400
2025-01-03,60.87,61.66,60.57,61.64,376,600
2025-01-02,61.00,61.27,59.76,60.33,426,600
2024-12-31,60.77,60.97,59.67,60.76,578,700
2024-12-30,60.59,60.98,59.54,60.37,657,300
2024-12-27,62.10,62.29,60.54,61.20,335,400
2024-12-26,62.16,62.63,61.81,62.49,210,800
2024-12-24,62.53,62.54,61.83,62.38,123,700
2024-12-23,63.17,63.54,61.65,62.17,422,700
2024-12-20,61.70,63.93,61.70,63.43,1,073,600
2024-12-19,63.17,64.44,62.13,62.51,635,300
2024-12-18,64.60,65.10,61.63,62.72,953,100
2024-12-17,65.04,65.04,62.66,64.46,723,900
2024-12-16,63.75,65.09,63.58,64.94,492,400
2024-12-13,64.33,64.55,63.26,63.86,465,500
2024-12-12,64.28,65.00,63.66,64.80,584,600
2024-12-11,63.69,64.95,62.49,64.68,581,800
2024-12-10,63.06,63.67,62.68,63.33,333,100
2024-12-09,64.36,64.67,62.81,63.43,340,500
2024-12-06,63.52,64.43,63.17,64.23,452,800
2024-12-05,63.67,63.92,62.78,62.91,340,200
2024-12-04,63.04,64.31,62.67,63.50,597,500
2024-12-03,62.05,63.12,61.88,62.80,697,200
2024-12-02,62.15,62.99,61.40,62.37,562,800
2024-11-29,62.16,62.45,61.35,62.01,213,300
2024-11-27,63.28,63.59,61.83,61.88,537,100
2024-11-26,62.07,63.50,61.80,63.07,771,400
2024-11-25,63.00,63.78,62.52,62.77,745,200
2024-11-22,62.16,63.08,61.88,62.70,577,000
2024-11-21,59.67,62.23,59.26,61.69,973,100
2024-11-20,58.05,58.55,56.69,58.53,1,087,800
2024-11-19,59.46,59.68,57.37,57.70,869,200
2024-11-18,59.50,59.58,57.95,57.96,491,700
2024-11-15,61.41,61.41,58.94,59.31,671,800
2024-11-14,62.68,63.11,60.43,60.56,530,500
2024-11-13,61.42,63.10,60.25,62.39,699,100
2024-11-12,62.12,62.80,60.88,61.15,490,700
2024-11-11,60.32,62.59,60.28,62.52,1,139,200
2024-11-08,59.85,61.20,57.71,60.37,1,268,200
2024-11-07,58.83,59.62,58.26,59.45,1,313,100
2024-11-06,58.52,58.96,57.66,58.63,1,151,200
2024-11-05,54.87,56.19,54.87,55.99,506,600
2024-11-04,55.24,55.95,54.93,55.11,249,000
2024-11-01,55.47,56.17,55.30,55.51,395,800
2024-10-31,56.25,56.72,55.37,55.37,546,200
2024-10-30,57.06,57.51,56.05,56.13,391,600
2024-10-29,56.59,57.94,56.56,57.33,568,800
2024-10-28,57.24,58.44,57.02,57.04,822,300
2024-10-25,57.39,57.63,56.03,56.57,413,200
2024-10-24,57.13,57.51,56.76,57.22,340,300
2024-10-23,57.55,57.55,56.42,56.86,554,200
2024-10-22,57.12,57.62,56.73,57.57,337,500
2024-10-21,59.00,59.13,57.00,57.08,406,200
2024-10-18,59.42,60.22,58.80,58.93,1,000,400
2024-10-17,58.55,59.33,58.11,59.19,699,600
2024-10-16,57.58,58.30,57.54,58.29,807,600
2024-10-15,56.45,57.73,56.31,57.62,833,300
2024-10-14,56.14,56.44,55.13,56.40,528,100
2024-10-11,54.84,56.11,54.61,56.04,333,300
2024-10-10,54.72,55.17,54.29,54.88,328,700
2024-10-09,54.20,55.58,54.20,55.40,864,200
2024-10-08,54.42,55.09,54.35,54.55,516,800
2024-10-07,54.39,54.94,54.00,54.35,386,000
2024-10-04,54.63,54.82,54.19,54.51,479,400
2024-10-03,54.21,54.43,53.63,53.89,498,900
2024-10-02,54.13,55.31,54.01,54.60,490,000
2024-10-01,55.02,55.02,53.54,54.13,637,100
2024-09-30,54.67,56.48,53.16,55.14,1,689,400
2024-09-27,52.57,53.02,52.24,52.85,416,400
2024-09-26,51.53,52.60,50.44,52.29,651,600
2024-09-25,51.05,51.32,50.17,50.47,830,700
2024-09-24,51.47,52.04,50.64,51.11,1,275,200
2024-09-23,51.93,52.10,51.18,51.24,693,200
2024-09-20,52.03,52.08,51.36,51.98,1,015,000
2024-09-19,52.57,52.57,51.29,51.91,468,100
2024-09-18,50.78,51.68,50.52,51.30,593,900
