Date,Open,High,Low,Close,Adj Close,Volume
"Sep 3, 2025","161.70","163.70","161.15","163.37","163.37","844,300"
"Sep 2, 2025","162.06","163.87","160.19","162.27","162.27","849,300"
"Aug 29, 2025","165.62","168.06","164.11","164.76","164.76","1,109,800"
"Aug 28, 2025","166.30","166.37","163.90","165.87","165.87","1,225,200"
"Aug 27, 2025","163.75","166.31","163.10","165.23","165.23","1,343,500"
"Aug 26, 2025","166.00","166.57","163.39","163.67","163.67","1,531,200"
"Aug 25, 2025","0.625","","","","",""
"Aug 25, 2025","166.06","166.63","165.16","166.46","166.46","856,500"
"Aug 22, 2025","165.65","169.84","164.28","167.00","166.38","1,576,500"
"Aug 21, 2025","165.69","165.91","162.88","164.18","163.57","710,800"
"Aug 20, 2025","167.59","168.25","166.15","166.91","166.29","947,900"
"Aug 19, 2025","166.04","169.29","165.41","167.58","166.95","1,037,400"
"Aug 18, 2025","163.90","166.51","163.43","165.84","165.22","787,000"
"Aug 15, 2025","165.83","167.35","163.44","163.76","163.15","1,829,600"
"Aug 14, 2025","166.20","166.49","163.92","166.09","165.47","1,183,300"
"Aug 13, 2025","164.39","167.71","163.54","167.48","166.85","1,179,900"
"Aug 12, 2025","161.02","164.76","160.56","164.06","163.45","1,212,900"
"Aug 11, 2025","162.66","165.00","159.78","160.15","159.55","1,174,800"
"Aug 8, 2025","162.70","163.65","162.05","162.92","162.31","1,066,600"
"Aug 7, 2025","166.91","167.19","160.43","161.88","161.27","1,869,800"
"Aug 6, 2025","167.69","170.00","159.69","165.51","164.89","2,705,800"
"Aug 5, 2025","172.33","173.38","165.04","165.24","164.62","2,352,100"
"Aug 4, 2025","170.23","172.20","168.94","172.14","171.50","1,316,700"
"Aug 1, 2025","172.80","173.09","167.47","168.86","168.23","1,165,100"
"Jul 31, 2025","178.48","179.27","173.85","174.38","173.73","1,408,100"
"Jul 30, 2025","182.74","182.74","178.73","179.94","179.27","854,800"
"Jul 29, 2025","182.83","183.66","181.04","182.18","181.50","641,800"
"Jul 28, 2025","181.73","182.93","181.56","181.78","181.10","545,600"
"Jul 25, 2025","181.68","182.28","180.14","181.14","180.46","631,800"
"Jul 24, 2025","179.84","182.05","179.52","180.83","180.15","754,800"
"Jul 23, 2025","180.60","182.81","179.61","181.37","180.69","792,500"
"Jul 22, 2025","177.72","180.74","177.69","180.07","179.40","668,300"
"Jul 21, 2025","179.32","180.11","176.76","176.87","176.21","589,600"
"Jul 18, 2025","180.85","181.27","178.88","179.59","178.92","833,900"
"Jul 17, 2025","175.83","180.90","175.12","179.99","179.32","991,400"
"Jul 16, 2025","176.64","177.43","174.10","175.73","175.07","617,800"
"Jul 15, 2025","179.21","179.21","175.71","175.77","175.11","972,600"
"Jul 14, 2025","177.42","179.29","175.86","177.70","177.03","1,118,300"
"Jul 11, 2025","178.06","178.62","176.96","177.38","176.72","775,100"
"Jul 10, 2025","180.83","182.90","179.60","179.70","179.03","962,400"
"Jul 9, 2025","181.59","182.19","177.54","180.75","180.07","791,000"
"Jul 8, 2025","178.01","181.62","177.86","180.65","179.97","847,600"
"Jul 7, 2025","180.86","182.44","177.19","177.36","176.70","737,500"
"Jul 3, 2025","183.37","183.91","181.92","182.13","181.45","494,500"
"Jul 2, 2025","181.00","182.98","179.57","182.84","182.16","738,200"
"Jul 1, 2025","178.58","183.70","177.29","181.16","180.48","958,400"
"Jun 30, 2025","178.00","179.39","176.91","178.59","177.92","937,100"
"Jun 27, 2025","178.08","179.06","176.35","177.41","176.75","2,773,800"
"Jun 26, 2025","178.98","179.51","175.80","177.28","176.62","933,600"
"Jun 25, 2025","180.60","181.02","176.62","177.83","177.16","1,022,400"
"Jun 24, 2025","175.72","180.45","174.43","179.84","179.17","1,340,700"
"Jun 23, 2025","170.62","174.43","170.05","173.77","173.12","1,268,100"
"Jun 20, 2025","171.87","172.37","169.28","170.62","169.98","2,210,500"
"Jun 18, 2025","170.32","172.19","169.49","170.00","169.36","1,240,400"
"Jun 17, 2025","171.47","173.70","170.41","170.80","170.16","1,025,700"
"Jun 16, 2025","171.92","173.65","171.19","172.35","171.70","1,477,200"
"Jun 13, 2025","172.45","173.67","169.96","170.42","169.78","1,116,000"
"Jun 12, 2025","175.69","176.21","173.87","174.75","174.10","971,100"
"Jun 11, 2025","179.48","180.00","175.26","175.75","175.09","785,500"
"Jun 10, 2025","177.91","179.12","176.82","178.73","178.06","1,369,000"
"Jun 9, 2025","179.51","180.02","177.23","177.43","176.77","1,038,600"
"Jun 6, 2025","177.71","178.94","176.64","178.24","177.57","615,400"
"Jun 5, 2025","176.61","177.78","175.34","175.83","175.17","1,130,100"
"Jun 4, 2025","179.62","180.42","176.73","176.80","176.14","1,005,700"
"Jun 3, 2025","175.46","179.67","174.70","179.35","178.68","819,500"
"Jun 2, 2025","176.87","177.44","171.16","174.76","174.11","2,285,100"
"May 30, 2025","181.41","182.01","178.55","180.36","179.68","1,046,300"
"May 29, 2025","185.16","185.16","181.01","182.35","181.67","617,300"
"May 28, 2025","185.54","186.70","183.17","183.34","182.65","927,600"
"May 27, 2025","185.34","185.94","182.79","185.72","185.02","993,800"
"May 23, 2025","0.625","","","","",""
"May 23, 2025","178.51","183.25","177.42","182.16","181.48","1,359,800"
"May 22, 2025","181.66","184.52","180.69","183.38","182.07","1,162,900"
"May 21, 2025","186.74","187.32","181.41","181.82","180.52","970,900"
"May 20, 2025","187.44","189.28","186.82","188.10","186.76","770,700"
"May 19, 2025","186.65","189.45","186.64","188.04","186.70","912,600"
"May 16, 2025","187.91","189.33","186.83","189.03","187.68","961,700"
"May 15, 2025","188.86","190.08","187.14","188.43","187.08","1,611,000"
"May 14, 2025","190.79","192.30","189.34","189.36","188.01","2,171,900"
"May 13, 2025","188.82","191.70","188.75","190.68","189.32","1,637,400"
"May 12, 2025","186.00","190.06","185.12","188.82","187.47","1,652,400"
"May 9, 2025","180.98","181.69","178.84","178.94","177.66","1,101,300"
"May 8, 2025","177.69","183.18","177.69","180.09","178.80","2,410,000"
"May 7, 2025","163.46","177.28","162.46","175.52","174.27","2,701,800"
"May 6, 2025","164.12","166.04","163.13","163.93","162.76","1,391,600"
"May 5, 2025","164.89","167.68","164.89","165.75","164.57","879,400"
"May 2, 2025","165.62","167.54","164.55","166.83","165.64","1,768,000"
"May 1, 2025","160.90","163.54","159.01","162.40","161.24","1,474,500"
"Apr 30, 2025","158.30","160.94","156.41","160.56","159.41","877,000"
"Apr 29, 2025","157.55","160.60","156.36","159.96","158.82","1,004,100"
"Apr 28, 2025","158.98","159.80","155.95","158.59","157.46","1,066,200"
"Apr 25, 2025","157.74","158.32","155.78","157.95","156.82","1,042,300"
"Apr 24, 2025","155.90","159.06","154.32","158.94","157.81","961,000"
"Apr 23, 2025","155.64","159.17","154.04","154.86","153.75","1,106,400"
"Apr 22, 2025","149.91","152.59","149.91","152.03","150.94","959,000"
"Apr 21, 2025","149.70","150.75","146.98","148.42","147.36","1,476,400"
"Apr 17, 2025","149.94","152.74","149.31","151.47","150.39","1,166,900"
"Apr 16, 2025","148.89","151.16","147.32","148.77","147.71","778,100"
"Apr 15, 2025","151.76","153.57","150.16","150.83","149.75","908,600"
"Apr 14, 2025","151.78","153.23","149.19","151.74","150.66","1,441,400"
"Apr 11, 2025","145.21","149.59","143.61","148.80","147.74","1,815,300"
"Apr 10, 2025","154.47","155.08","144.18","146.70","145.65","2,816,800"
"Apr 9, 2025","145.87","160.62","142.23","159.48","158.34","3,086,700"
"Apr 8, 2025","152.06","153.57","143.83","146.03","144.99","2,175,500"
"Apr 7, 2025","141.45","147.69","137.31","147.20","146.15","3,846,200"
"Apr 4, 2025","149.70","149.70","141.80","144.49","143.46","4,384,200"
"Apr 3, 2025","157.29","158.18","150.39","151.57","150.49","3,559,300"
"Apr 2, 2025","160.32","165.43","160.17","164.47","163.30","860,100"
