Date,Open,High,Low,Close,Adj Close,Volume
"Sep 3, 2025","44.27","44.54","43.39","43.97","43.97","1,408,300"
"Sep 2, 2025","43.01","44.35","42.75","44.27","44.27","2,610,800"
"Aug 29, 2025","44.00","44.19","43.66","43.94","43.94","1,338,200"
"Aug 28, 2025","44.29","44.56","43.98","44.03","44.03","1,858,400"
"Aug 27, 2025","43.54","44.36","43.51","44.25","44.25","2,234,600"
"Aug 26, 2025","43.85","44.31","43.53","43.89","43.89","2,521,300"
"Aug 25, 2025","45.03","45.03","43.89","44.02","44.02","1,759,000"
"Aug 22, 2025","43.18","44.87","42.90","44.76","44.76","1,594,800"
"Aug 21, 2025","42.38","42.98","42.32","42.74","42.74","1,707,200"
"Aug 20, 2025","43.01","43.18","41.89","42.71","42.71","1,660,300"
"Aug 19, 2025","43.05","43.83","42.95","43.40","43.40","2,213,700"
"Aug 18, 2025","42.70","43.29","42.61","43.01","43.01","1,701,600"
"Aug 15, 2025","44.26","44.31","42.58","42.70","42.70","1,964,800"
"Aug 14, 2025","0.08","","","","",""
"Aug 14, 2025","44.39","44.39","42.89","43.52","43.52","3,109,700"
"Aug 13, 2025","43.00","44.21","42.95","44.18","44.10","2,452,400"
"Aug 12, 2025","40.91","42.23","40.39","42.20","42.12","2,074,300"
"Aug 11, 2025","40.91","41.12","40.23","40.47","40.40","1,554,900"
"Aug 8, 2025","41.54","41.71","40.91","40.91","40.84","1,457,900"
"Aug 7, 2025","41.40","41.58","40.66","41.36","41.29","1,917,200"
"Aug 6, 2025","41.80","41.94","40.77","40.89","40.82","2,455,100"
"Aug 5, 2025","41.59","42.04","41.07","41.86","41.78","3,388,700"
"Aug 4, 2025","40.91","41.47","40.54","41.43","41.35","2,374,700"
"Aug 1, 2025","40.92","41.05","39.02","40.47","40.40","3,512,900"
"Jul 31, 2025","38.52","42.14","38.47","40.77","40.70","7,008,200"
"Jul 30, 2025","34.54","35.00","33.45","33.76","33.70","2,167,800"
"Jul 29, 2025","34.83","34.98","34.20","34.26","34.20","2,127,000"
"Jul 28, 2025","34.33","34.64","34.00","34.63","34.57","1,648,200"
"Jul 25, 2025","34.30","34.43","33.52","34.08","34.02","1,263,000"
"Jul 24, 2025","34.60","34.60","33.98","34.17","34.11","1,666,200"
"Jul 23, 2025","34.50","34.85","34.28","34.61","34.55","2,109,700"
"Jul 22, 2025","33.76","34.40","33.73","34.26","34.20","1,336,100"
"Jul 21, 2025","34.29","34.38","33.65","33.73","33.67","2,199,700"
"Jul 18, 2025","34.16","34.40","33.48","34.07","34.01","1,987,100"
"Jul 17, 2025","33.41","34.10","33.41","33.81","33.75","1,090,300"
"Jul 16, 2025","33.31","33.37","32.55","33.32","33.26","1,206,100"
