Date,Open,High,Low,Close,Volume
2025-09-03,191.97,192.76,188.86,191.47,579,700
2025-09-02,190.01,192.37,188.53,190.16,915,300
2025-08-29,191.54,193.86,191.54,193.14,547,500
2025-08-28,191.99,192.18,189.88,191.26,503,500
2025-08-27,187.88,190.81,187.63,190.67,531,300
2025-08-26,187.35,189.90,186.88,187.62,975,200
2025-08-25,191.10,191.91,187.55,187.72,663,000
2025-08-22,189.17,191.68,188.18,190.42,668,100
2025-08-21,188.17,189.85,186.25,188.41,617,900
2025-08-20,188.72,190.00,186.98,189.29,776,300
2025-08-19,189.75,190.63,186.74,188.00,901,300
2025-08-18,189.60,190.48,187.08,188.64,880,400
2025-08-15,184.30,189.34,184.30,188.92,801,000
2025-08-14,187.74,188.00,184.39,185.32,1,156,900
2025-08-13,182.83,188.57,181.31,188.12,1,161,200
2025-08-12,180.92,182.45,178.68,181.20,984,200
2025-08-11,183.16,185.55,180.33,180.73,794,000
2025-08-08,186.68,187.79,182.49,183.32,747,800
2025-08-07,189.35,189.35,183.69,185.03,1,704,400
2025-08-06,189.67,190.74,185.51,188.21,1,089,000
2025-08-05,192.84,195.00,188.75,188.90,1,105,400
2025-08-04,190.00,192.91,188.00,192.76,1,391,600
2025-08-01,186.33,189.84,185.05,188.58,1,821,600
2025-07-31,186.57,190.10,183.10,186.20,2,357,900
2025-07-30,203.26,205.20,185.00,186.67,4,048,800
2025-07-29,217.96,220.53,215.03,218.33,1,725,200
2025-07-28,220.53,222.22,217.83,218.29,1,064,300
2025-07-25,222.50,223.30,219.32,220.11,789,400
2025-07-24,222.74,224.20,221.12,222.01,584,800
2025-07-23,223.37,223.86,221.00,223.00,623,100
2025-07-22,222.83,225.23,221.22,222.89,517,700
2025-07-21,219.00,222.92,217.20,222.64,577,900
2025-07-18,218.17,218.94,215.06,215.48,911,600
2025-07-17,217.81,219.69,216.97,217.47,451,600
2025-07-16,218.67,220.71,216.79,218.07,514,900
2025-07-15,221.83,223.31,218.62,218.78,547,700
2025-07-14,215.83,221.42,213.28,220.68,732,000
2025-07-11,222.28,222.61,214.34,215.50,817,400
2025-07-10,232.07,232.07,221.26,221.26,868,100
2025-07-09,227.00,231.64,225.10,231.23,1,002,500
2025-07-08,223.92,226.43,222.61,226.19,710,400
2025-07-07,223.95,224.89,221.26,222.99,484,300
2025-07-03,219.55,225.22,218.69,223.63,304,400
2025-07-02,219.13,221.91,218.70,219.39,628,200
2025-07-01,221.52,222.98,218.29,221.08,889,000
2025-06-30,217.47,221.80,217.47,221.25,793,700
2025-06-27,218.00,219.00,215.83,216.45,622,100
2025-06-26,218.93,219.43,216.18,218.88,681,000
2025-06-25,218.36,222.32,218.00,218.93,449,900
