Date,Open,High,Low,Close,Volume
2025-09-03,113.75,114.13,111.59,113.16,381,500
2025-09-02,112.12,113.36,111.05,113.19,417,100
2025-08-29,115.82,115.99,113.61,114.19,356,300
2025-08-28,117.92,118.00,115.25,115.36,612,900
2025-08-27,116.01,117.66,115.74,117.20,531,800
2025-08-26,115.99,118.62,115.99,116.73,1,059,100
2025-08-25,117.38,117.38,115.61,116.01,277,900
2025-08-22,114.88,118.27,114.49,117.38,385,200
2025-08-21,111.81,114.25,111.81,113.97,382,200
2025-08-20,113.41,113.60,110.90,112.82,459,900
2025-08-19,113.22,114.00,112.50,113.11,408,000
2025-08-18,110.97,113.30,110.97,112.99,623,100
2025-08-15,112.28,113.19,110.10,111.06,535,600
2025-08-14,108.54,112.35,107.39,112.12,515,300
2025-08-13,108.66,111.03,108.10,110.66,483,000
2025-08-12,105.54,108.71,104.55,108.64,546,500
2025-08-11,104.07,106.05,104.07,104.51,679,200
2025-08-08,100.35,103.98,99.78,103.82,509,100
2025-08-07,99.95,100.74,98.67,100.64,680,800
2025-08-06,107.00,107.00,92.02,97.25,1,961,800
2025-08-05,105.45,107.10,104.00,104.97,1,288,000
2025-08-04,101.57,105.69,101.43,105.58,745,800
2025-08-01,99.96,102.56,99.32,102.08,618,200
2025-07-31,102.43,103.63,100.47,100.71,420,700
2025-07-30,106.27,106.27,103.29,103.93,343,700
2025-07-29,104.86,106.00,103.57,105.07,390,100
2025-07-28,101.61,104.43,101.47,104.08,410,400
2025-07-25,100.14,101.24,99.65,101.17,457,100
2025-07-24,102.09,102.50,100.13,100.30,597,700
2025-07-23,103.70,103.70,101.64,102.93,361,900
2025-07-22,104.32,105.01,103.69,104.31,373,700
2025-07-21,103.72,105.48,103.72,104.63,418,400
2025-07-18,104.17,104.17,102.75,103.37,267,300
2025-07-17,101.88,103.94,101.65,103.38,480,800
2025-07-16,102.12,102.52,100.47,102.29,290,900
2025-07-15,105.46,106.00,102.13,102.14,366,600
2025-07-14,103.84,104.40,102.14,104.14,478,500
2025-07-11,104.51,105.72,104.00,104.43,248,300
2025-07-10,105.32,107.52,104.92,106.33,506,900
2025-07-09,107.66,107.97,102.33,104.95,796,200
2025-07-08,107.33,109.13,106.92,107.66,617,800
2025-07-07,109.08,109.50,106.08,106.16,331,400
2025-07-03,110.00,111.48,109.93,110.27,257,800
2025-07-02,108.52,109.82,107.84,109.42,387,200
2025-07-01,104.05,109.90,104.05,108.99,833,100
2025-06-30,106.17,106.57,104.05,104.26,546,000
2025-06-27,107.77,108.50,105.08,105.98,689,200
2025-06-26,107.63,108.42,106.86,107.48,814,500
2025-06-25,107.30,107.66,105.52,107.58,413,900
2025-06-24,106.22,108.35,105.89,106.72,423,700
2025-06-23,104.49,106.38,103.85,105.66,416,100
2025-06-20,104.94,105.80,102.72,104.34,728,200
2025-06-18,103.49,105.33,103.11,104.34,450,900
2025-06-17,103.06,104.15,102.82,103.34,360,600
2025-06-16,101.94,104.09,101.72,104.09,423,300
2025-06-13,101.55,102.55,100.75,100.88,353,000
2025-06-12,101.94,103.04,101.60,102.71,388,000
2025-06-11,105.60,106.21,102.18,102.67,568,900
2025-06-10,104.02,106.06,103.42,105.25,430,100
2025-06-09,101.95,103.58,101.78,102.82,701,700
2025-06-06,100.91,101.78,100.57,101.04,390,700
2025-06-05,101.27,102.26,99.84,100.05,376,700
2025-06-04,101.19,101.20,100.14,101.01,573,200
2025-06-03,97.78,100.65,96.39,100.04,713,000
2025-06-02,97.89,98.26,96.73,97.74,558,900
2025-05-30,99.19,99.57,96.97,98.36,616,400
2025-05-29,102.30,102.54,99.47,99.81,465,900
2025-05-28,102.19,103.03,100.32,100.42,569,000
2025-05-27,101.67,102.53,101.00,102.19,439,800
2025-05-23,99.11,101.35,99.00,99.89,769,300
2025-05-22,104.45,106.40,102.06,102.18,528,000
2025-05-21,105.00,107.18,104.02,104.31,688,500
2025-05-20,106.28,106.50,105.14,105.93,565,400
2025-05-19,104.89,105.66,104.07,105.45,575,900
2025-05-16,106.50,106.89,105.67,106.23,575,600
2025-05-15,107.08,107.98,106.31,106.89,712,200
2025-05-14,107.23,108.66,106.82,107.44,513,500
2025-05-13,105.83,107.86,105.41,107.24,751,300
2025-05-12,105.36,107.20,105.00,105.83,766,300
2025-05-09,99.21,101.01,98.51,100.53,741,600
2025-05-08,98.10,99.76,96.69,97.57,962,700
2025-05-07,97.77,97.99,91.32,96.66,1,502,100
2025-05-06,97.25,98.98,96.70,98.72,1,033,900
2025-05-05,97.25,99.61,97.25,98.49,504,300
2025-05-02,97.42,99.09,97.42,98.20,420,100
2025-05-01,96.47,97.22,95.10,95.54,504,000
2025-04-30,92.03,96.23,91.79,96.04,589,700
2025-04-29,92.65,94.44,91.48,93.55,362,000
2025-04-28,93.11,94.02,92.20,93.67,372,500
2025-04-25,91.21,93.79,91.21,93.41,400,300
2025-04-24,90.89,93.20,89.64,92.40,557,600
2025-04-23,89.94,91.28,87.94,88.76,473,200
2025-04-22,86.05,87.56,85.67,86.74,463,400
2025-04-21,84.04,85.91,83.43,85.78,715,000
2025-04-17,86.42,86.48,85.04,85.58,519,800
2025-04-16,84.94,86.49,83.04,85.52,465,800
2025-04-15,87.86,88.61,86.86,86.95,458,300
2025-04-14,88.38,88.98,86.00,87.41,755,600
2025-04-11,84.85,87.40,82.02,86.27,879,200
2025-04-10,87.00,87.88,81.67,84.85,829,600
