Date,Open,High,Low,Close,Volume
"Sep 3, 2025","177.89","185.78","176.60","179.06","2,946,900"
"Sep 2, 2025","179.18","179.90","172.69","178.78","820,800"
"Aug 29, 2025","187.93","188.74","184.77","186.65","317,800"
"Aug 28, 2025","184.47","188.00","183.00","187.74","259,200"
"Aug 27, 2025","178.20","184.85","178.20","184.18","429,500"
"Aug 26, 2025","178.13","180.76","177.45","177.68","480,600"
"Aug 25, 2025","180.33","180.85","177.27","177.45","258,400"
"Aug 22, 2025","176.99","183.15","176.51","181.04","354,600"
"Aug 21, 2025","174.77","177.58","173.66","176.43","353,300"
"Aug 20, 2025","176.23","178.31","173.76","176.37","402,300"
"Aug 19, 2025","179.27","180.25","175.09","176.10","250,500"
"Aug 18, 2025","179.05","179.85","176.14","179.78","423,800"
"Aug 15, 2025","183.84","183.85","178.73","180.02","327,000"
"Aug 14, 2025","190.37","191.19","181.62","183.35","432,100"
"Aug 13, 2025","195.49","196.00","189.51","191.44","643,800"
"Aug 12, 2025","186.37","195.73","186.37","192.64","631,300"
"Aug 11, 2025","182.92","189.64","182.19","185.64","570,200"
"Aug 8, 2025","186.05","187.14","181.98","183.53","311,200"
"Aug 7, 2025","186.57","187.37","180.94","185.77","466,000"
"Aug 6, 2025","183.88","185.95","181.79","185.57","360,700"
"Aug 5, 2025","187.51","187.83","181.61","183.25","534,900"
"Aug 4, 2025","181.10","186.57","179.87","186.50","470,800"
"Aug 1, 2025","186.22","187.26","179.00","179.73","515,300"
"Jul 31, 2025","194.27","194.27","187.80","189.95","657,100"
"Jul 30, 2025","196.66","200.68","187.73","193.37","1,105,900"
"Jul 29, 2025","177.07","196.98","173.00","193.27","1,586,800"
"Jul 28, 2025","164.54","167.32","162.64","163.43","844,200"
"Jul 25, 2025","166.00","167.54","163.92","164.35","463,500"
"Jul 24, 2025","165.94","167.04","164.59","165.97","355,100"
"Jul 23, 2025","167.52","167.63","165.09","167.14","324,300"
"Jul 22, 2025","168.35","169.07","164.94","166.86","450,500"
"Jul 21, 2025","172.07","172.09","168.01","168.73","408,500"
"Jul 18, 2025","172.45","172.98","170.34","172.07","388,700"
"Jul 17, 2025","169.08","171.21","168.17","170.85","337,700"
"Jul 16, 2025","170.83","172.62","168.46","168.83","460,600"
"Jul 15, 2025","169.77","171.53","166.67","166.73","247,700"
"Jul 14, 2025","165.95","170.93","165.95","169.58","396,200"
"Jul 11, 2025","169.54","170.66","164.74","165.05","334,300"
"Jul 10, 2025","175.07","175.07","161.34","170.07","815,700"
"Jul 9, 2025","174.61","176.41","172.91","176.16","274,700"
"Jul 8, 2025","174.73","175.56","170.67","172.81","302,800"
"Jul 7, 2025","174.00","175.17","171.58","173.07","267,300"
"Jul 3, 2025","172.32","175.72","171.94","174.55","216,500"
"Jul 2, 2025","172.24","173.20","169.15","170.49","547,900"
"Jul 1, 2025","174.47","175.95","169.69","172.53","425,700"
"Jun 30, 2025","175.75","177.26","173.55","174.33","509,700"
"Jun 27, 2025","175.41","178.13","173.19","174.33","658,700"
"Jun 26, 2025","173.61","175.34","171.10","174.97","637,400"
"Jun 25, 2025","171.60","174.39","171.00","173.42","589,200"
"Jun 24, 2025","174.28","176.80","170.44","170.50","922,400"
"Jun 23, 2025","169.80","172.42","166.90","172.16","457,800"
"Jun 20, 2025","178.18","180.29","168.77","170.45","1,168,400"
"Jun 18, 2025","187.81","187.81","178.87","180.17","458,300"
"Jun 17, 2025","185.66","189.42","184.92","188.00","314,500"
"Jun 16, 2025","185.28","187.75","183.85","187.54","461,300"
"Jun 13, 2025","182.64","186.85","180.93","184.62","371,800"
"Jun 12, 2025","187.53","192.01","184.98","186.09","398,100"
"Jun 11, 2025","186.73","190.45","185.38","188.29","410,200"
