Date,Open,High,Low,Close,Volume
"Sep 3, 2025","28.48","28.99","28.35","28.97","2,117,300"
"Sep 2, 2025","28.64","28.93","28.27","28.48","2,964,200"
"Aug 29, 2025","29.01","29.20","28.85","29.06","2,596,200"
"Aug 28, 2025","28.89","29.01","28.53","28.92","3,124,700"
"Aug 27, 2025","28.40","28.84","28.40","28.82","2,865,800"
"Aug 26, 2025","28.45","28.63","28.15","28.24","4,756,500"
"Aug 25, 2025","28.77","28.81","28.48","28.49","2,064,400"
"Aug 22, 2025","28.49","28.91","28.31","28.82","2,372,200"
"Aug 21, 2025","28.21","28.41","28.05","28.32","2,146,800"
"Aug 20, 2025","28.26","28.76","28.24","28.42","3,781,000"
"Aug 19, 2025","27.90","28.42","27.83","28.29","4,018,700"
"Aug 18, 2025","27.61","27.91","27.01","27.90","5,761,900"
"Aug 15, 2025","27.85","28.19","27.75","27.82","3,517,300"
"Aug 14, 2025","27.95","28.11","27.70","27.73","2,633,000"
"Aug 13, 2025","27.44","28.15","27.31","28.13","3,898,600"
"Aug 12, 2025","26.88","27.40","26.75","27.33","2,512,200"
"Aug 11, 2025","26.91","27.44","26.74","26.87","3,804,900"
"Aug 8, 2025","27.33","27.89","26.54","26.91","7,159,500"
"Aug 7, 2025","26.65","26.79","25.75","26.20","4,924,300"
"Aug 6, 2025","26.23","26.63","26.18","26.51","3,604,400"
"Aug 5, 2025","26.64","26.71","26.11","26.13","3,316,200"
"Aug 4, 2025","26.65","26.87","26.56","26.68","2,383,100"
"Aug 1, 2025","27.08","27.11","26.33","26.46","4,328,600"
"Jul 31, 2025","27.60","27.63","27.14","27.17","2,600,700"
"Jul 30, 2025","27.83","27.93","27.35","27.55","3,235,600"
"Jul 29, 2025","28.28","28.44","27.76","27.94","3,087,900"
"Jul 28, 2025","27.88","28.17","27.80","28.10","1,944,300"
"Jul 25, 2025","27.93","28.06","27.69","27.77","2,692,800"
"Jul 24, 2025","28.02","28.11","27.87","27.91","2,759,100"
"Jul 23, 2025","27.93","28.16","27.63","28.15","2,234,800"
"Jul 22, 2025","27.23","27.91","27.16","27.88","2,698,800"
"Jul 21, 2025","27.06","27.38","27.06","27.22","2,286,900"
"Jul 18, 2025","27.00","27.08","26.69","27.06","2,160,300"
"Jul 17, 2025","26.84","26.98","26.69","26.93","2,972,900"
"Jul 16, 2025","26.72","26.87","26.41","26.78","6,196,300"
"Jul 15, 2025","27.05","27.16","26.53","26.58","4,359,600"
"Jul 14, 2025","26.65","27.26","26.65","27.09","3,385,000"
"Jul 11, 2025","27.25","27.37","26.52","26.61","2,712,700"
"Jul 10, 2025","27.59","27.76","27.20","27.32","3,580,700"
"Jul 9, 2025","27.37","27.75","27.26","27.68","2,976,200"
"Jul 8, 2025","27.43","27.65","27.22","27.36","4,114,700"
"Jul 7, 2025","27.91","27.94","27.30","27.41","3,290,300"
"Jul 3, 2025","27.54","28.23","27.42","28.00","2,351,800"
"Jul 2, 2025","27.52","27.77","27.28","27.55","4,449,600"
"Jul 1, 2025","28.43","28.44","27.66","27.70","4,907,000"
"Jun 30, 2025","28.44","28.70","28.17","28.60","3,520,100"
"Jun 27, 2025","28.08","28.15","27.66","28.12","5,986,300"
"Jun 26, 2025","28.65","28.65","27.84","27.99","3,624,600"
"Jun 25, 2025","28.79","29.08","28.48","28.54","2,591,900"
"Jun 24, 2025","28.88","29.04","28.52","28.84","2,980,800"
"Jun 23, 2025","28.62","28.77","28.31","28.72","2,609,400"
"Jun 20, 2025","28.33","28.75","28.24","28.70","9,148,400"
"Jun 18, 2025","29.07","29.10","28.20","28.32","3,134,800"
"Jun 17, 2025","28.49","29.03","28.34","28.95","2,994,800"
"Jun 16, 2025","28.16","28.69","28.09","28.65","3,630,700"
"Jun 13, 2025","27.75","28.33","27.68","28.09","3,202,700"
"Jun 12, 2025","28.32","28.49","27.93","28.05","3,858,500"
"Jun 11, 2025","28.89","28.89","28.07","28.37","3,597,400"
"Jun 10, 2025","29.44","29.62","28.87","28.94","2,803,000"
"Jun 9, 2025","29.47","29.61","29.29","29.47","3,358,700"
"Jun 6, 2025","29.72","29.81","29.35","29.47","2,572,800"
"Jun 5, 2025","29.34","29.77","29.26","29.51","3,745,300"
"Jun 4, 2025","29.45","29.64","29.10","29.20","2,986,900"
"Jun 3, 2025","29.12","29.56","28.89","29.53","3,474,600"
"Jun 2, 2025","28.81","29.25","28.79","29.12","2,534,000"
"May 30, 2025","28.78","28.95","28.49","28.86","3,236,400"
"May 29, 2025","28.67","28.75","28.33","28.67","3,298,300"
"May 28, 2025","28.41","28.91","28.39","28.66","2,688,200"
"May 27, 2025","28.89","28.89","28.15","28.41","3,827,100"
"May 23, 2025","28.44","28.84","28.41","28.59","2,825,900"
"May 22, 2025","28.59","28.86","28.44","28.74","2,471,600"
"May 21, 2025","28.46","29.06","28.44","28.59","3,158,400"
"May 20, 2025","28.56","28.78","28.49","28.67","3,066,900"
"May 19, 2025","28.59","28.80","28.47","28.70","3,371,700"
"May 16, 2025","29.23","29.43","28.74","28.91","6,113,400"
"May 15, 2025","29.53","29.66","29.32","29.46","2,893,700"
"May 14, 2025","29.59","29.90","29.43","29.61","3,326,200"
"May 13, 2025","29.44","29.92","29.33","29.70","3,924,700"
"May 12, 2025","30.00","30.27","29.04","29.29","4,317,300"
"May 9, 2025","30.27","30.40","29.32","29.46","5,041,200"
"May 8, 2025","29.50","29.93","29.32","29.69","4,793,400"
"May 7, 2025","28.82","29.43","28.82","29.41","4,433,600"
"May 6, 2025","28.66","29.19","28.64","28.81","3,321,400"
"May 5, 2025","28.37","29.26","28.31","28.98","3,367,500"
"May 2, 2025","29.14","29.20","28.61","28.61","4,139,800"
"May 1, 2025","28.82","29.17","28.51","28.84","3,565,900"
"Apr 30, 2025","28.11","28.60","28.03","28.55","3,412,600"
"Apr 29, 2025","28.33","28.80","28.23","28.67","2,854,600"
