Date,Open,High,Low,Close,Volume
2025-09-03,53.20,53.49,51.93,52.65,836,700
2025-09-02,52.98,53.41,52.24,53.20,372,100
2025-08-29,55.73,55.89,54.20,54.44,575,300
2025-08-28,56.58,56.58,55.78,55.82,546,900
2025-08-27,55.85,56.41,55.07,56.19,514,600
2025-08-26,55.37,56.15,55.15,55.31,290,200
2025-08-25,56.09,56.40,55.10,55.26,392,800
2025-08-22,53.41,56.49,53.41,56.24,411,200
2025-08-21,51.89,53.45,51.89,53.21,612,700
2025-08-20,52.95,52.95,51.22,52.61,434,300
2025-08-19,53.04,53.83,52.75,53.04,340,000
2025-08-18,52.78,53.60,52.51,52.75,499,200
2025-08-15,54.10,54.10,52.40,52.75,452,400
2025-08-14,53.47,54.15,53.02,53.92,332,100
2025-08-13,53.67,54.89,53.62,54.82,444,100
2025-08-12,52.37,53.64,51.20,53.45,629,700
2025-08-11,51.50,52.13,50.51,50.83,648,900
2025-08-08,49.28,52.72,47.18,50.91,830,800
2025-08-07,48.90,48.90,46.72,47.17,365,000
2025-08-06,48.83,48.83,47.20,48.13,588,900
2025-08-05,49.89,50.15,48.57,49.21,431,900
2025-08-04,48.69,49.47,48.26,49.46,609,400
2025-08-01,48.45,49.49,47.53,48.91,552,200
2025-07-31,50.46,50.70,48.99,49.37,390,200
2025-07-30,52.34,52.34,50.62,51.12,367,500
2025-07-29,52.50,52.76,50.81,51.60,566,100
2025-07-28,51.10,52.51,50.89,51.87,492,900
2025-07-25,50.19,50.80,49.90,50.52,308,600
2025-07-24,52.06,52.42,50.21,50.65,481,300
2025-07-23,54.34,54.64,52.26,52.49,438,900
2025-07-22,54.93,55.61,53.81,54.38,321,400
2025-07-21,55.71,56.89,55.24,55.26,247,000
2025-07-18,56.17,56.17,54.96,54.98,304,400
2025-07-17,55.19,55.80,54.71,55.45,532,900
2025-07-16,55.28,55.28,53.95,55.13,236,300
2025-07-15,56.98,57.34,55.15,55.20,503,200
2025-07-14,56.69,56.73,55.09,56.03,315,000
2025-07-11,56.74,57.49,56.59,57.39,271,500
2025-07-10,57.48,58.90,57.43,57.76,368,300
2025-07-09,57.02,57.70,55.91,57.37,290,600
2025-07-08,55.41,57.40,54.76,57.06,448,400
2025-07-07,56.50,57.10,54.21,54.62,556,300
2025-07-03,56.81,57.96,56.79,57.47,182,900
2025-07-02,55.21,56.85,54.73,56.72,630,100
2025-07-01,52.70,56.00,52.32,55.30,884,900
2025-06-30,52.94,53.29,52.24,52.89,600,900
2025-06-27,52.90,53.35,51.96,52.82,861,600
2025-06-26,52.47,53.53,51.70,52.83,679,800
2025-06-25,52.66,52.66,51.58,52.28,607,500
2025-06-24,52.61,53.25,52.30,52.59,401,300
2025-06-23,51.00,51.76,50.25,51.71,506,400
2025-06-20,50.74,51.10,50.05,51.00,1,166,600
