Date,Open,High,Low,Close,Adj Close,Volume
"Sep 3, 2025","71.90","72.42","71.81","72.36","72.36","440,800"
"Sep 2, 2025","71.00","72.14","70.84","72.10","72.10","650,200"
"Aug 29, 2025","72.06","72.68","71.37","71.68","71.68","400,500"
"Aug 28, 2025","73.03","73.03","71.78","72.14","72.14","399,700"
"Aug 27, 2025","72.88","73.39","72.16","72.77","72.77","605,400"
"Aug 26, 2025","73.77","74.62","73.01","73.03","73.03","985,600"
"Aug 25, 2025","75.39","75.39","74.06","74.17","74.17","337,500"
"Aug 22, 2025","73.08","75.66","73.08","75.62","75.62","569,600"
"Aug 21, 2025","73.04","73.35","72.64","72.84","72.84","399,500"
"Aug 20, 2025","73.70","73.94","73.17","73.40","73.40","511,500"
"Aug 19, 2025","74.00","74.56","73.52","73.80","73.80","355,600"
"Aug 18, 2025","73.00","73.83","72.59","73.80","73.80","371,500"
"Aug 15, 2025","72.60","72.94","72.41","72.81","72.81","396,500"
"Aug 14, 2025","73.07","73.61","72.34","72.53","72.53","380,000"
"Aug 13, 2025","72.73","73.78","72.28","73.72","73.72","407,300"
"Aug 12, 2025","0.33","","","","",""
"Aug 12, 2025","71.63","72.59","71.63","72.38","72.38","428,900"
"Aug 11, 2025","72.50","73.06","71.60","71.78","71.45","405,400"
"Aug 8, 2025","72.12","73.07","72.12","72.56","72.23","301,500"
"Aug 7, 2025","73.10","73.44","71.10","71.98","71.65","368,700"
"Aug 6, 2025","73.00","73.16","72.14","72.34","72.01","403,900"
"Aug 5, 2025","73.05","73.38","72.32","72.59","72.26","469,300"
"Aug 4, 2025","70.56","72.43","70.43","72.38","72.05","554,700"
"Aug 1, 2025","73.07","73.88","69.23","70.09","69.77","818,900"
"Jul 31, 2025","75.37","75.80","75.00","75.34","74.99","466,900"
"Jul 30, 2025","76.08","76.69","75.54","75.73","75.38","295,000"
"Jul 29, 2025","76.70","76.70","75.96","76.09","75.74","292,900"
"Jul 28, 2025","76.41","76.42","75.99","76.20","75.85","363,200"
"Jul 25, 2025","76.69","76.69","75.91","76.36","76.01","210,000"
"Jul 24, 2025","76.24","76.46","75.97","76.33","75.98","289,900"
"Jul 23, 2025","77.00","77.00","76.21","76.79","76.44","239,600"
"Jul 22, 2025","75.44","76.77","75.44","76.61","76.26","293,400"
"Jul 21, 2025","75.48","75.71","75.01","75.11","74.76","318,600"
"Jul 18, 2025","75.84","75.87","74.96","75.35","75.00","246,200"
"Jul 17, 2025","74.88","75.90","74.86","75.62","75.27","333,800"
"Jul 16, 2025","74.46","75.28","74.08","75.01","74.67","337,200"
"Jul 15, 2025","75.01","75.31","74.27","74.34","74.00","317,200"
"Jul 14, 2025","74.85","75.56","74.72","75.13","74.78","272,800"
"Jul 11, 2025","75.13","75.70","74.99","75.17","74.82","278,500"
"Jul 10, 2025","75.45","76.28","74.85","75.68","75.33","286,400"
"Jul 9, 2025","75.50","75.81","74.82","75.43","75.08","337,400"
"Jul 8, 2025","74.99","75.97","74.88","75.59","75.24","401,800"
"Jul 7, 2025","75.35","75.85","74.53","74.74","74.40","415,300"
"Jul 3, 2025","76.10","76.63","75.00","75.56","75.21","276,100"
"Jul 2, 2025","75.58","76.36","75.33","76.06","75.71","311,500"
"Jul 1, 2025","74.30","76.24","74.10","75.57","75.22","348,500"
"Jun 30, 2025","74.21","74.54","73.68","74.26","73.92","351,700"
"Jun 27, 2025","74.99","75.04","73.62","74.05","73.71","560,700"
"Jun 26, 2025","74.10","74.94","73.87","74.82","74.48","359,200"
"Jun 25, 2025","74.05","74.50","73.66","74.10","73.76","422,400"
"Jun 24, 2025","73.64","74.39","73.26","74.16","73.82","448,900"
"Jun 23, 2025","72.21","73.00","71.82","72.98","72.64","278,900"
"Jun 20, 2025","73.59","73.64","72.05","72.28","71.95","1,043,200"
"Jun 18, 2025","74.20","74.29","73.17","73.34","73.00","355,600"
"Jun 17, 2025","74.63","74.98","73.95","74.06","73.72","348,400"
"Jun 16, 2025","74.65","75.41","74.24","75.19","74.84","362,000"
"Jun 13, 2025","74.95","75.47","73.66","74.02","73.68","383,200"
"Jun 12, 2025","74.82","75.53","74.82","75.23","74.88","269,600"
"Jun 11, 2025","76.48","76.51","75.17","75.24","74.89","313,800"
"Jun 10, 2025","75.91","76.59","75.11","76.49","76.14","375,800"
"Jun 9, 2025","75.20","75.76","74.78","75.50","75.15","238,700"
"Jun 6, 2025","74.93","75.14","74.53","74.96","74.62","254,400"
"Jun 5, 2025","75.54","75.54","74.21","74.46","74.12","378,200"
"Jun 4, 2025","75.00","75.70","74.77","75.24","74.89","382,600"
