Date,Open,High,Low,Close,Volume
2025-09-03,173.87,175.12,170.08,174.05,586,900
2025-09-02,172.73,175.30,171.75,174.70,544,600
2025-08-29,173.65,176.84,172.70,176.36,492,200
2025-08-28,174.05,175.55,171.17,174.18,1,096,600
2025-08-27,170.02,174.41,169.07,173.55,631,600
2025-08-26,171.64,174.16,170.26,170.28,1,146,300
2025-08-25,173.97,174.20,171.18,172.51,508,100
2025-08-22,167.14,177.66,166.83,174.95,802,900
2025-08-21,165.00,166.67,162.88,166.40,499,500
2025-08-20,167.09,169.89,166.24,166.44,742,900
2025-08-19,165.50,170.94,165.21,167.53,735,500
2025-08-18,161.00,166.89,159.31,164.60,719,600
2025-08-15,159.04,159.92,155.92,157.71,879,800
2025-08-14,158.77,161.15,157.01,159.30,685,500
2025-08-13,153.40,160.88,153.27,160.80,732,700
2025-08-12,152.07,154.85,150.86,152.93,713,300
2025-08-11,160.00,164.63,151.76,151.80,993,800
2025-08-08,157.32,161.00,156.23,158.00,1,084,600
2025-08-07,164.97,166.35,153.85,157.74,2,385,900
2025-08-06,149.61,151.74,146.43,151.31,1,183,100
2025-08-05,151.53,152.00,146.68,149.33,881,600
2025-08-04,153.24,154.28,151.38,153.30,804,000
2025-08-01,155.27,156.41,150.81,150.99,854,500
2025-07-31,163.67,164.11,157.27,157.71,604,900
2025-07-30,169.31,169.98,163.15,163.97,458,700
2025-07-29,170.46,170.46,166.62,168.51,436,900
2025-07-28,170.95,172.13,169.03,169.36,357,000
2025-07-25,169.13,170.92,167.58,170.74,443,700
2025-07-24,170.58,171.81,168.33,168.95,692,400
2025-07-23,170.97,171.89,167.43,171.06,1,121,300
2025-07-22,166.55,169.62,166.17,168.73,579,400
2025-07-21,165.79,167.16,164.56,165.50,500,800
2025-07-18,165.47,165.72,163.24,164.70,456,900
2025-07-17,167.37,168.74,163.52,164.48,657,600
2025-07-16,163.86,167.11,162.46,166.84,513,400
2025-07-15,169.36,169.54,162.90,163.03,433,500
2025-07-14,169.50,170.00,166.65,168.10,549,700
2025-07-11,175.37,176.85,169.73,169.88,722,300
2025-07-10,180.84,180.84,174.29,177.75,634,900
2025-07-09,182.35,183.84,179.16,181.73,407,600
2025-07-08,181.50,185.82,179.67,183.31,563,500
2025-07-07,181.29,184.58,179.72,179.97,483,700
2025-07-03,180.15,183.18,180.11,182.83,273,800
2025-07-02,178.77,179.88,176.77,179.55,421,600
2025-07-01,176.63,183.04,175.73,179.03,554,000
2025-06-30,175.63,178.55,175.27,176.82,716,900
2025-06-27,174.93,175.71,172.82,174.93,972,300
2025-06-26,173.79,176.40,172.51,174.00,376,100
2025-06-25,172.56,174.36,171.66,173.10,517,900
2025-06-24,170.31,173.22,169.35,172.75,677,900
2025-06-23,163.31,168.21,161.53,168.01,831,700
2025-06-20,161.06,166.27,158.54,163.06,1,222,800
2025-06-18,168.00,168.82,164.48,165.02,584,200
2025-06-17,171.71,173.79,168.54,168.58,719,300
2025-06-16,174.69,174.69,171.66,172.58,599,700
2025-06-13,171.50,173.92,170.18,170.75,549,800
2025-06-12,174.63,176.67,172.12,175.84,424,300
2025-06-11,181.24,182.24,176.00,176.58,610,500
2025-06-10,179.31,181.89,178.15,180.76,892,700
2025-06-09,178.97,179.03,176.22,176.69,507,100
2025-06-06,175.85,178.55,174.00,178.23,501,900
2025-06-05,176.55,178.88,173.69,174.57,664,000
2025-06-04,175.31,177.43,174.72,175.65,571,200
2025-06-03,170.47,175.08,168.53,174.18,1,014,700
2025-06-02,173.44,174.77,169.96,170.58,912,000
2025-05-30,172.87,175.59,171.01,174.49,4,238,700
2025-05-29,175.82,175.82,172.49,173.78,914,000
2025-05-28,176.37,178.02,174.31,174.35,796,600
2025-05-27,178.32,178.32,173.97,176.65,1,082,500
2025-05-23,176.11,176.83,172.36,175.95,1,057,200
2025-05-22,183.28,184.61,180.39,180.63,809,800
2025-05-21,182.98,187.56,182.17,183.60,941,200
2025-05-20,182.33,186.15,180.15,185.89,740,900
2025-05-19,179.84,185.16,178.62,183.75,763,800
2025-05-16,179.97,183.93,177.00,183.60,1,089,500
2025-05-15,184.00,185.30,182.22,184.69,893,200
2025-05-14,184.67,185.96,182.60,184.38,1,143,800
2025-05-13,186.31,189.62,185.20,186.90,800,800
2025-05-12,184.80,188.00,182.01,186.60,710,400
2025-05-09,180.56,181.92,176.82,177.10,879,700
2025-05-08,179.00,185.61,173.38,179.71,2,026,500
2025-05-07,158.87,161.16,157.27,159.21,1,373,700
2025-05-06,157.27,159.71,156.21,157.88,586,100
2025-05-05,159.54,162.87,159.12,159.12,656,300
2025-05-02,161.35,162.12,159.80,160.36,648,600
2025-05-01,160.54,160.95,157.20,158.46,686,100
2025-04-30,155.65,158.05,153.44,156.91,846,500
2025-04-29,159.99,160.85,158.42,159.84,522,700
2025-04-28,159.72,162.02,157.33,158.89,468,800
2025-04-25,157.82,159.74,155.22,159.12,440,700
2025-04-24,152.74,158.44,152.74,158.03,413,300
2025-04-23,155.09,159.15,152.07,152.60,524,000
2025-04-22,146.79,148.41,145.06,147.39,575,400
2025-04-21,146.00,146.01,143.09,145.61,485,500
2025-04-17,148.04,148.29,145.58,147.16,419,900
2025-04-16,149.57,152.07,144.91,147.28,698,300
2025-04-15,152.10,155.12,150.44,151.55,628,200
2025-04-14,151.02,153.36,148.51,151.97,737,300
2025-04-11,145.98,147.83,142.59,147.76,465,000
2025-04-10,154.02,155.95,142.04,146.29,789,200
2025-04-09,141.20,160.03,139.13,159.00,1,483,800
2025-04-08,150.27,152.32,140.51,143.33,991,300
2025-04-07,141.03,149.64,138.15,144.95,1,198,600
2025-04-04,149.09,151.10,144.00,144.67,1,329,300
2025-04-03,162.71,163.40,152.71,155.55,963,000
2025-04-02,165.64,170.17,165.64,169.06,540,800
2025-04-01,169.20,172.21,165.47,167.53,731,800
2025-03-31,167.09,169.91,164.00,168.84,669,700
2025-03-28,173.28,173.51,167.00,168.93,634,000
2025-03-27,176.30,176.62,173.57,174.23,495,200
2025-03-26,179.34,179.77,175.82,176.92,391,100
2025-03-25,179.29,180.58,177.70,178.99,500,000
2025-03-24,178.90,181.01,177.13,178.31,580,500
2025-03-21,170.61,176.68,169.50,175.30,1,284,500
2025-03-20,178.21,178.38,171.01,172.28,1,486,400
2025-03-19,183.40,184.39,178.49,180.87,852,100
2025-03-18,185.61,186.04,181.67,183.02,464,800
2025-03-17,182.38,188.39,182.38,186.22,620,400
2025-03-14,181.80,182.93,179.45,182.73,1,000,700
2025-03-13,187.59,187.83,179.35,180.16,776,900
2025-03-12,193.00,193.81,188.38,189.21,517,800
2025-03-11,190.16,193.36,187.43,191.36,704,500
2025-03-10,195.58,196.90,189.49,190.41,790,600
2025-03-07,196.02,199.42,194.25,198.80,510,700
2025-03-06,197.76,201.98,196.16,197.27,579,500
2025-03-05,198.20,201.46,197.31,200.15,783,400
2025-03-04,196.05,202.15,195.59,198.01,978,500
2025-03-03,207.00,207.82,198.16,198.61,1,018,200
2025-02-28,208.30,212.66,203.28,206.14,1,406,800
2025-02-27,213.39,215.91,207.70,208.31,824,900
2025-02-26,208.98,217.78,208.98,213.23,1,241,600
2025-02-25,207.50,213.53,206.34,210.50,1,014,200
2025-02-24,208.56,213.00,207.09,207.38,952,900
2025-02-21,223.45,223.45,208.35,208.84,1,694,800
2025-02-20,235.34,241.04,213.42,225.07,2,293,400
2025-02-19,257.63,261.50,254.85,258.11,679,200
2025-02-18,265.91,269.00,258.50,260.91,684,500
2025-02-14,267.63,268.01,263.52,266.12,387,200
2025-02-13,266.00,268.75,263.45,267.63,463,600
2025-02-12,260.00,266.54,256.49,264.99,803,800
2025-02-11,259.78,264.55,258.75,263.92,593,600
2025-02-10,261.73,262.12,258.12,260.00,297,000
2025-02-07,267.69,267.69,259.07,260.38,342,800
2025-02-06,258.50,265.39,256.96,264.26,617,100
2025-02-05,256.29,258.61,252.52,257.31,399,600
2025-02-04,254.67,258.81,253.16,255.01,357,800
2025-02-03,249.61,257.13,247.46,256.58,573,100
2025-01-31,251.69,254.44,250.50,253.96,582,700
2025-01-30,254.00,256.70,249.68,250.63,420,200
2025-01-29,254.88,255.05,249.01,251.85,356,900
2025-01-28,249.55,256.15,248.25,255.14,541,000
2025-01-27,250.64,257.23,250.55,252.06,854,600
2025-01-24,244.66,252.73,244.66,252.43,727,300
2025-01-23,236.00,245.65,235.75,245.30,714,400
2025-01-22,238.05,238.05,229.15,235.42,967,200
2025-01-21,232.75,238.77,228.88,237.36,611,900
2025-01-17,231.98,232.02,227.99,229.08,380,000
2025-01-16,227.85,230.26,226.71,229.09,302,900
2025-01-15,231.28,232.87,226.20,228.74,344,100
2025-01-14,226.66,228.05,224.65,226.80,366,500
2025-01-13,223.83,226.47,222.50,225.82,490,000
2025-01-10,226.24,228.88,224.60,225.62,615,300
2025-01-08,229.30,229.75,224.28,228.51,398,300
2025-01-07,231.69,235.20,227.93,228.45,367,600
2025-01-06,231.00,234.72,230.46,230.99,510,700
2025-01-03,230.41,231.97,227.73,230.72,374,600
2025-01-02,236.14,236.14,228.66,229.16,414,600
2024-12-31,235.27,235.92,231.93,233.82,298,200
2024-12-30,236.09,236.09,231.58,234.68,324,300
2024-12-27,239.95,243.07,236.90,238.47,319,500
2024-12-26,241.05,243.67,240.03,241.18,298,300
2024-12-24,243.09,243.84,241.69,242.47,240,600
2024-12-23,246.87,247.45,243.20,243.80,277,800
2024-12-20,242.77,250.58,242.53,248.26,1,260,400
2024-12-19,244.02,253.08,243.30,246.80,640,900
2024-12-18,248.73,249.80,239.00,239.11,702,200
2024-12-17,246.30,249.94,246.23,247.92,489,300
2024-12-16,244.47,245.84,242.81,243.37,545,200
2024-12-13,249.51,251.10,244.36,244.64,767,500
2024-12-12,250.52,251.25,247.01,250.07,691,200
2024-12-11,252.60,257.00,250.46,253.00,878,800
2024-12-10,248.08,251.52,245.37,250.09,874,000
2024-12-09,245.84,251.60,242.19,247.20,1,490,800
2024-12-06,248.74,252.40,243.57,245.45,1,982,700
2024-12-05,243.00,244.23,239.00,240.37,1,118,400
2024-12-04,242.06,243.37,239.59,241.91,933,600
2024-12-03,245.00,245.01,239.69,240.51,602,400
2024-12-02,244.57,246.02,242.42,243.79,695,400
2024-11-29,246.04,246.67,243.91,243.92,275,100
2024-11-27,248.26,248.45,242.80,245.79,433,900
2024-11-26,248.16,248.85,242.84,248.67,583,000
2024-11-25,249.10,250.67,246.73,249.16,729,900
2024-11-22,244.37,247.12,242.94,245.27,422,900
2024-11-21,235.42,245.72,234.95,245.22,742,800
2024-11-20,228.48,235.26,226.28,234.50,526,400
2024-11-19,230.03,230.45,226.56,227.60,500,900
2024-11-18,234.31,235.53,230.82,233.40,558,300
2024-11-15,242.86,243.27,233.16,235.29,851,800
2024-11-14,248.50,249.27,242.75,244.86,684,800
2024-11-13,245.80,249.50,243.72,248.70,666,900
2024-11-12,244.21,248.04,243.16,245.75,672,400
2024-11-11,237.28,247.29,237.28,243.25,880,200
2024-11-08,234.73,236.94,230.19,233.45,794,200
2024-11-07,230.61,240.00,223.02,232.92,1,411,300
2024-11-06,202.22,203.30,197.93,202.69,1,392,600
2024-11-05,189.16,192.22,188.05,192.22,642,600
2024-11-04,189.02,191.31,187.64,189.30,493,200
2024-11-01,188.40,191.35,187.67,189.22,568,900
2024-10-31,189.00,191.98,188.10,188.65,844,400
2024-10-30,192.33,195.07,188.97,189.11,340,600
2024-10-29,191.12,195.76,191.12,193.88,1,030,500
2024-10-28,193.55,195.01,190.87,191.29,259,800
2024-10-25,191.50,194.85,190.59,191.52,376,000
2024-10-24,194.37,194.67,190.67,190.98,263,300
2024-10-23,197.47,198.93,192.21,193.16,277,100
2024-10-22,199.45,200.01,196.70,197.95,247,900
2024-10-21,200.63,202.12,199.57,199.98,259,500
2024-10-18,199.70,202.47,199.21,201.58,463,000
2024-10-17,199.54,200.66,196.96,198.45,309,800
2024-10-16,198.60,204.55,198.48,199.45,1,031,600
2024-10-15,197.06,201.17,196.99,198.49,563,900
2024-10-14,195.85,199.21,194.65,198.00,684,400
2024-10-11,193.10,196.02,193.10,195.03,703,300
2024-10-10,191.99,194.14,191.52,192.77,344,100
2024-10-09,195.52,195.57,193.00,194.15,421,200
2024-10-08,193.10,195.86,191.58,195.18,437,500
2024-10-07,197.41,197.60,191.93,192.99,370,800
2024-10-04,198.40,200.20,195.83,198.35,570,000
2024-10-03,195.54,195.89,192.61,195.72,350,500
2024-10-02,195.00,196.86,194.27,196.00,305,800
2024-10-01,199.19,199.40,194.75,196.38,432,400
2024-09-30,198.32,200.54,196.71,199.03,337,900
2024-09-27,201.84,202.53,198.44,199.46,300,900
2024-09-26,199.82,204.93,197.50,200.58,819,000
2024-09-25,200.00,201.22,195.21,196.18,613,700
2024-09-24,199.17,201.46,197.97,200.22,620,100
2024-09-23,197.76,198.89,194.93,198.63,499,900
2024-09-20,193.78,197.84,192.98,197.00,2,473,200
2024-09-19,200.91,200.91,196.74,198.06,561,100
2024-09-18,199.57,200.93,196.20,198.00,569,900
2024-09-17,206.39,206.91,197.95,200.40,504,900
2024-09-16,202.40,206.15,202.15,205.46,564,300
