Date,Open,High,Low,Close,Volume
2025-09-03,305.94,309.12,303.61,309.03,450,600
2025-09-02,309.89,311.12,306.04,306.73,598,900
2025-08-29,319.07,319.07,310.33,313.14,593,500
2025-08-28,317.00,320.25,315.24,318.40,414,200
2025-08-27,315.24,318.53,314.71,317.74,249,600
2025-08-26,316.98,319.14,313.22,315.57,694,700
2025-08-25,317.41,317.58,315.48,315.70,246,800
2025-08-22,316.02,322.42,315.58,317.23,312,600
2025-08-21,314.48,316.58,313.01,314.23,332,300
2025-08-20,315.48,316.39,308.41,315.79,372,000
2025-08-19,315.66,319.10,314.23,315.48,334,000
2025-08-18,315.00,317.12,312.65,316.26,367,800
2025-08-15,318.78,318.78,313.95,315.34,327,800
2025-08-14,322.53,323.68,315.10,318.50,301,000
2025-08-13,327.83,327.83,324.05,325.79,492,500
2025-08-12,319.01,326.64,319.01,326.47,770,400
2025-08-11,320.34,323.52,317.25,318.11,412,800
2025-08-08,319.20,322.60,317.28,321.77,403,200
2025-08-07,322.50,323.00,314.86,317.23,469,200
2025-08-06,319.98,323.20,316.65,321.23,523,200
2025-08-05,320.59,324.12,315.93,318.78,826,700
2025-08-04,309.73,322.63,308.97,321.00,813,800
2025-08-01,308.14,309.77,301.52,307.43,790,500
2025-07-31,323.00,334.00,312.59,313.42,1,829,100
2025-07-30,299.97,301.89,294.89,298.99,830,300
2025-07-29,302.89,305.98,298.36,299.24,462,400
2025-07-28,299.54,302.01,298.70,301.63,370,000
2025-07-25,302.12,303.77,299.01,299.37,262,500
2025-07-24,300.19,305.15,298.88,301.93,508,300
2025-07-23,298.81,300.69,297.85,300.62,362,300
2025-07-22,300.40,300.43,296.66,297.82,346,000
2025-07-21,301.64,302.17,298.11,300.12,292,300
2025-07-18,301.92,307.00,300.19,302.17,597,900
2025-07-17,294.89,301.21,293.13,300.34,542,100
2025-07-16,291.75,293.55,288.76,293.12,333,400
2025-07-15,294.67,296.11,290.65,290.76,436,000
2025-07-14,291.70,295.42,290.67,294.15,390,700
2025-07-11,299.23,299.23,291.24,291.89,451,300
2025-07-10,301.97,303.43,297.30,299.89,423,500
2025-07-09,302.45,302.68,297.65,302.28,430,000
2025-07-08,301.56,304.70,299.10,302.41,544,700
2025-07-07,298.75,301.66,297.00,299.26,469,500
2025-07-03,298.23,301.78,297.62,300.13,272,000
2025-07-02,294.98,296.82,293.31,296.12,388,200
2025-07-01,294.32,298.62,293.31,295.97,517,800
2025-06-30,297.45,301.83,293.83,294.32,631,000
2025-06-27,288.88,297.57,287.83,295.75,675,600
2025-06-26,295.00,295.13,284.27,289.09,996,000
2025-06-25,295.78,297.02,293.88,294.41,407,100
2025-06-24,297.00,298.70,293.28,295.90,435,300
2025-06-23,287.43,295.34,285.71,295.09,452,300
2025-06-20,288.50,289.13,283.79,287.13,842,800
2025-06-18,288.98,290.42,286.10,286.48,376,100
2025-06-17,288.56,292.26,286.58,288.59,422,200
2025-06-16,289.40,292.05,288.58,290.34,299,100
2025-06-13,287.87,291.56,285.12,286.61,253,500
2025-06-12,292.38,294.07,290.87,291.66,266,800
2025-06-11,294.60,295.00,290.44,292.89,251,000
2025-06-10,294.73,294.73,290.76,293.66,269,100
2025-06-09,296.17,297.00,294.32,294.73,230,100
2025-06-06,295.49,296.40,293.57,295.43,313,300
2025-06-05,293.79,294.69,290.58,293.96,471,500
2025-06-04,291.07,293.88,289.18,293.83,397,700
2025-06-03,286.02,290.90,285.38,290.65,389,500
2025-06-02,283.99,286.35,280.09,286.02,346,400
2025-05-30,279.31,285.67,277.78,285.38,1,291,200
2025-05-29,285.53,285.53,278.40,280.59,344,200
2025-05-28,287.04,287.51,283.13,283.29,330,800
2025-05-27,285.66,286.91,284.55,286.59,306,700
2025-05-23,279.21,283.63,278.02,282.10,248,400
2025-05-22,286.06,286.82,283.62,284.48,323,000
2025-05-21,285.11,290.34,283.93,286.26,443,400
2025-05-20,285.56,288.34,284.61,286.90,462,000
2025-05-19,281.69,286.29,281.55,285.70,284,400
2025-05-16,283.51,285.12,280.53,284.92,331,400
2025-05-15,282.06,284.01,280.25,282.67,254,800
2025-05-14,283.00,284.52,279.55,281.59,564,200
2025-05-13,280.10,285.08,280.10,283.23,469,300
2025-05-12,280.00,281.03,276.96,280.35,348,600
2025-05-09,273.99,274.82,267.86,270.07,379,600
2025-05-08,270.13,275.70,268.13,273.14,558,900
2025-05-07,266.85,267.68,264.21,267.48,488,700
2025-05-06,263.05,266.30,260.69,264.82,417,200
2025-05-05,266.89,270.46,265.35,267.19,386,400
2025-05-02,269.03,271.27,267.46,268.81,514,300
2025-05-01,264.54,269.13,262.71,265.77,664,100
2025-04-30,260.75,265.42,255.57,264.74,859,100
2025-04-29,260.03,265.96,256.49,262.72,1,281,000
2025-04-28,270.22,271.48,263.88,265.07,1,049,900
2025-04-25,268.33,270.36,264.82,270.03,607,600
2025-04-24,261.15,269.78,261.15,268.16,497,200
2025-04-23,260.72,265.99,256.56,262.46,568,800
2025-04-22,254.17,257.45,252.60,254.77,524,300
2025-04-21,255.78,258.22,247.84,250.80,370,800
2025-04-17,262.10,262.83,256.70,258.61,405,100
2025-04-16,260.70,264.04,256.94,258.98,510,400
2025-04-15,263.74,265.52,261.39,263.53,424,100
2025-04-14,266.76,268.41,260.46,262.69,424,300
2025-04-11,255.00,263.37,253.46,261.68,600,700
2025-04-10,258.18,258.61,246.64,255.00,672,000
2025-04-09,239.21,266.24,236.82,264.14,632,500
2025-04-08,256.14,256.91,238.38,241.53,738,000
2025-04-07,232.41,252.79,227.04,243.48,1,073,100
2025-04-04,244.74,246.09,236.57,239.25,725,500
2025-04-03,257.47,261.88,249.88,250.98,590,100
2025-04-02,264.37,274.54,264.37,272.73,463,600
2025-04-01,265.37,269.18,264.03,268.58,457,600
2025-03-31,260.11,268.52,259.00,266.27,719,400
2025-03-28,268.87,270.92,261.17,263.88,490,900
2025-03-27,271.85,271.85,267.48,270.08,356,100
2025-03-26,274.86,277.10,271.30,272.84,336,500
2025-03-25,274.79,278.85,270.36,275.05,570,700
2025-03-24,273.74,276.38,272.19,274.31,545,200
2025-03-21,266.88,268.80,262.76,268.40,1,289,400
2025-03-20,267.63,270.95,266.35,268.48,464,400
2025-03-19,265.33,272.87,264.38,270.21,549,500
2025-03-18,265.24,266.96,263.68,264.83,338,000
2025-03-17,259.97,269.77,257.90,267.45,485,500
2025-03-14,261.00,264.01,255.90,262.46,441,200
2025-03-13,266.03,266.07,255.65,257.42,709,200
2025-03-12,270.15,271.11,265.87,266.06,537,300
2025-03-11,265.80,269.87,263.56,265.31,569,200
2025-03-10,270.55,270.86,263.34,266.50,634,400
2025-03-07,275.62,278.03,268.75,275.63,547,700
2025-03-06,278.76,280.11,273.05,275.76,699,600
2025-03-05,279.91,283.19,276.00,282.73,794,500
2025-03-04,280.90,283.82,273.14,280.11,686,100
2025-03-03,295.46,298.54,282.16,284.15,724,800
2025-02-28,291.23,292.77,285.21,292.43,840,600
2025-02-27,296.74,297.26,290.31,290.97,353,700
2025-02-26,293.18,298.01,292.61,294.82,484,800
2025-02-25,292.67,293.64,287.64,292.98,590,400
2025-02-24,296.05,296.26,290.01,293.21,505,700
2025-02-21,305.51,305.51,294.78,295.56,467,900
2025-02-20,308.88,308.88,301.34,304.60,415,900
2025-02-19,306.99,310.20,304.88,310.08,441,400
2025-02-18,310.18,313.00,305.62,307.59,611,100
2025-02-14,310.45,310.86,308.02,310.18,435,700
2025-02-13,311.78,312.76,308.54,310.45,453,700
2025-02-12,303.76,310.63,301.34,310.60,789,700
2025-02-11,307.03,310.76,307.03,308.39,513,300
2025-02-10,309.21,310.77,306.56,308.35,441,700
2025-02-07,307.31,310.14,304.43,306.60,520,500
2025-02-06,304.35,308.32,303.81,307.44,618,000
2025-02-05,298.47,303.51,297.17,303.32,477,400
2025-02-04,294.00,301.02,293.77,299.78,806,700
2025-02-03,293.40,295.45,287.57,295.19,867,700
2025-01-31,302.29,304.00,296.98,297.26,681,600
2025-01-30,304.36,307.49,299.66,301.48,919,400
2025-01-29,307.00,308.00,277.14,300.46,2,423,100
2025-01-28,263.47,270.03,262.11,269.72,1,321,600
2025-01-27,266.19,268.32,258.06,263.01,918,800
2025-01-24,272.21,274.64,271.00,272.99,414,200
2025-01-23,271.27,273.09,269.50,272.91,425,700
2025-01-22,268.45,272.50,268.45,272.08,538,100
2025-01-21,264.25,267.96,264.25,267.74,381,900
2025-01-17,267.48,267.74,263.54,263.95,384,600
2025-01-16,263.00,266.06,262.40,263.86,335,200
2025-01-15,262.15,263.80,260.16,262.30,513,000
2025-01-14,255.83,260.24,255.16,258.11,535,600
2025-01-13,252.09,255.75,250.63,255.16,393,500
2025-01-10,256.07,257.22,253.90,254.32,789,900
2025-01-08,255.88,259.89,254.87,258.84,428,600
2025-01-07,259.70,261.59,255.87,257.29,444,900
2025-01-06,254.36,260.77,254.36,259.70,485,300
2025-01-03,252.11,255.15,251.74,254.36,410,800
2025-01-02,252.00,255.38,249.68,251.75,409,400
2024-12-31,252.82,253.34,250.74,251.47,280,900
2024-12-30,252.34,254.42,249.74,252.48,254,600
2024-12-27,254.11,256.87,253.67,255.63,212,200
2024-12-26,255.63,257.90,254.70,257.12,204,200
2024-12-24,253.99,257.04,253.90,256.20,172,600
2024-12-23,251.75,254.81,250.88,254.41,269,700
2024-12-20,249.26,254.01,248.02,252.25,1,233,800
2024-12-19,252.45,255.43,249.38,250.41,481,400
2024-12-18,261.92,264.00,251.80,252.00,428,100
2024-12-17,262.10,263.44,259.36,259.80,508,700
2024-12-16,261.59,264.03,260.82,263.36,501,200
2024-12-13,261.51,264.50,260.54,261.81,564,500
2024-12-12,260.64,263.31,258.57,261.57,587,200
2024-12-11,256.63,260.75,256.15,260.07,918,900
2024-12-10,257.72,258.16,254.27,255.60,654,200
