Date,Open,High,Low,Close,Volume
2025-09-03,28.43,28.82,28.06,28.45,510,500
2025-09-02,28.21,28.60,27.81,28.43,767,000
2025-08-29,29.23,29.47,28.84,29.19,478,900
2025-08-28,29.49,29.91,29.07,29.54,672,400
2025-08-27,29.42,29.56,29.06,29.27,443,700
2025-08-26,29.30,29.59,29.11,29.42,688,400
2025-08-25,29.26,29.70,29.08,29.21,665,600
2025-08-22,28.15,29.76,28.05,29.16,935,600
2025-08-21,27.02,27.97,27.00,27.85,970,400
2025-08-20,28.57,28.57,27.50,27.90,733,200
2025-08-19,28.81,29.03,28.27,28.55,608,600
2025-08-18,28.81,29.12,28.61,28.63,806,400
2025-08-15,30.14,30.14,28.59,28.70,636,700
2025-08-14,30.05,30.37,29.62,30.25,914,700
2025-08-13,29.58,30.62,29.43,30.56,1,079,800
2025-08-12,28.64,29.84,28.40,29.82,938,400
2025-08-11,28.93,29.14,28.15,28.23,653,400
2025-08-08,28.18,28.84,27.67,28.58,589,000
2025-08-07,28.49,28.94,27.54,27.98,1,164,600
2025-08-06,28.89,29.10,27.57,27.62,1,194,100
2025-08-05,29.23,30.02,29.04,29.14,979,200
2025-08-04,29.44,30.16,28.71,29.30,1,074,100
2025-08-01,27.77,29.07,27.36,28.93,1,601,800
2025-07-31,26.15,31.41,26.08,28.41,4,289,200
2025-07-30,35.45,35.80,34.11,34.42,766,500
2025-07-29,35.46,35.77,34.42,34.70,499,800
2025-07-28,34.64,35.26,34.14,34.98,707,300
2025-07-25,34.00,34.25,33.39,34.09,443,500
2025-07-24,34.35,34.63,33.89,34.24,452,000
2025-07-23,35.00,35.32,34.21,34.38,458,800
2025-07-22,35.56,35.74,34.43,34.97,645,100
2025-07-21,35.54,36.28,35.50,35.62,528,700
2025-07-18,36.31,36.40,35.16,35.28,491,900
2025-07-17,35.00,36.20,34.83,35.91,574,700
2025-07-16,34.70,35.19,33.60,35.10,551,600
2025-07-15,35.71,36.03,34.88,34.95,402,500
2025-07-14,35.50,35.59,34.25,34.74,420,100
2025-07-11,35.68,36.33,35.68,35.97,365,600
2025-07-10,36.23,36.61,35.88,36.30,473,600
2025-07-09,35.82,36.18,35.08,35.69,450,400
2025-07-08,35.22,36.69,34.99,35.81,669,500
2025-07-07,35.68,35.99,34.69,34.74,622,200
2025-07-03,36.41,36.74,35.92,36.18,260,000
2025-07-02,34.95,36.62,34.90,36.36,667,300
2025-07-01,34.07,35.53,33.92,34.93,549,400
2025-06-30,35.00,35.07,34.33,34.41,458,900
2025-06-27,35.55,35.78,34.50,34.91,1,504,200
2025-06-26,34.71,35.32,34.21,35.26,779,000
2025-06-25,34.57,34.95,34.29,34.45,402,400
2025-06-24,33.99,34.83,33.73,34.47,427,000
2025-06-23,32.56,33.22,32.28,33.12,447,500
2025-06-20,33.54,33.60,31.91,32.55,1,126,600
2025-06-18,33.72,33.88,32.63,33.29,802,900
2025-06-17,34.53,34.92,33.59,33.61,749,700
2025-06-16,34.20,35.02,33.84,34.88,634,300
2025-06-13,33.42,34.35,33.35,33.63,545,800
2025-06-12,34.65,34.94,34.09,34.35,408,600
2025-06-11,35.43,35.88,34.83,35.10,641,700
2025-06-10,34.48,35.29,34.02,35.20,686,400
2025-06-09,32.94,34.36,32.67,34.17,692,300
2025-06-06,32.63,33.13,32.03,32.17,823,900
2025-06-05,32.59,32.92,31.93,32.19,557,500
2025-06-04,31.45,32.52,31.44,32.22,722,600
2025-06-03,30.22,31.37,29.78,31.36,1,125,600
2025-06-02,29.84,30.46,29.47,30.02,572,000
2025-05-30,30.67,30.93,29.40,29.85,648,300
2025-05-29,31.85,31.93,30.83,31.14,527,200
2025-05-28,31.76,32.19,31.00,31.14,640,000
2025-05-27,31.31,32.30,31.23,31.95,653,500
2025-05-23,29.72,30.55,29.59,30.37,583,100
2025-05-22,31.12,31.64,30.69,30.78,458,900
2025-05-21,31.48,32.23,31.04,31.44,748,100
2025-05-20,31.78,32.16,31.67,31.91,428,600
2025-05-19,31.28,32.10,31.10,32.00,653,300
2025-05-16,32.82,32.82,31.86,32.06,465,500
2025-05-15,32.98,33.68,32.62,32.82,1,061,800
2025-05-14,32.59,33.54,32.13,33.30,1,015,900
2025-05-13,32.49,32.85,31.99,32.39,509,700
2025-05-12,32.12,32.98,31.35,32.17,574,100
2025-05-09,30.20,30.45,29.37,29.80,400,000
2025-05-08,30.30,30.61,29.66,29.97,550,300
2025-05-07,29.54,29.69,28.77,29.66,478,200
2025-05-06,29.41,29.70,29.01,29.38,523,100
2025-05-05,30.14,30.77,29.66,29.81,556,900
2025-05-02,29.80,30.62,29.32,30.26,671,600
2025-05-01,31.96,32.37,28.94,28.97,1,881,000
2025-04-30,27.08,28.25,26.33,28.14,1,104,900
2025-04-29,28.10,28.32,27.57,27.91,547,200
2025-04-28,28.18,28.91,27.90,28.54,550,000
2025-04-25,27.63,28.43,27.54,28.34,854,800
2025-04-24,27.29,28.34,27.21,28.21,521,000
2025-04-23,27.21,27.73,26.57,26.72,790,100
2025-04-22,25.24,25.64,24.68,25.54,908,800
2025-04-21,24.50,25.21,23.79,24.99,2,133,700
2025-04-17,26.02,26.35,24.93,25.19,1,579,900
2025-04-16,26.19,26.81,25.11,25.93,577,300
2025-04-15,27.09,27.67,26.87,27.11,483,200
2025-04-14,27.77,27.95,26.58,27.14,582,100
2025-04-11,26.18,27.21,25.24,26.75,800,500
2025-04-10,27.49,27.78,24.93,26.23,2,374,300
2025-04-09,23.56,30.12,23.29,29.76,2,426,800
2025-04-08,25.21,25.41,22.66,23.18,839,900
2025-04-07,23.41,26.22,22.58,24.37,1,705,500
2025-04-04,24.15,24.84,22.84,24.17,1,496,500
2025-04-03,27.16,27.78,25.21,25.25,1,066,400
2025-04-02,27.86,29.12,27.77,28.73,1,082,600
2025-04-01,28.20,28.59,27.73,28.38,892,100
2025-03-31,28.06,28.61,27.55,28.29,1,002,200
2025-03-28,29.53,29.60,28.45,28.64,569,400
2025-03-27,30.23,30.62,29.44,29.72,734,100
2025-03-26,31.35,31.59,30.38,30.49,587,600
2025-03-25,31.83,32.59,31.35,31.45,455,300
2025-03-24,32.01,32.65,31.66,32.35,761,100
2025-03-21,31.90,32.00,30.75,31.11,1,575,400
2025-03-20,32.37,32.75,31.88,32.27,456,600
2025-03-19,32.66,33.16,32.30,32.63,636,000
2025-03-18,32.37,32.87,31.86,32.82,569,500
2025-03-17,32.00,32.91,31.98,32.65,602,400
2025-03-14,31.04,32.04,30.82,32.00,611,700
2025-03-13,30.71,31.21,30.31,30.58,610,200
2025-03-12,31.24,31.77,30.38,30.70,805,000
2025-03-11,32.75,32.82,30.22,30.74,924,500
2025-03-10,32.17,33.47,31.28,32.86,1,138,400
2025-03-07,32.04,33.14,31.71,33.00,875,900
2025-03-06,31.40,32.17,31.09,31.85,858,000
2025-03-05,31.90,32.44,30.99,32.38,785,600
2025-03-04,31.26,32.39,30.97,31.56,1,041,200
2025-03-03,33.53,33.73,31.35,31.46,1,292,900
2025-02-28,32.75,33.81,32.46,33.30,916,700
2025-02-27,34.56,34.65,32.90,32.96,786,300
2025-02-26,34.51,34.95,33.99,34.27,485,400
2025-02-25,34.45,34.82,33.89,33.99,649,600
2025-02-24,35.93,35.93,34.60,34.61,612,200
2025-02-21,37.69,37.69,35.21,35.38,675,700
2025-02-20,37.64,38.93,37.26,37.39,502,300
2025-02-19,37.59,37.74,36.68,37.58,1,151,900
2025-02-18,38.19,38.27,37.23,37.99,684,200
2025-02-14,36.55,37.87,36.06,37.80,963,600
2025-02-13,36.00,36.85,35.80,36.74,769,500
2025-02-12,34.25,36.07,34.11,35.89,831,000
2025-02-11,35.17,35.85,34.89,34.99,859,800
2025-02-10,35.98,36.79,35.49,35.73,597,400
2025-02-07,38.42,38.71,35.49,35.84,1,448,200
2025-02-06,33.33,39.18,32.71,38.33,5,167,300
2025-02-05,39.54,41.58,39.19,41.12,1,268,800
2025-02-04,39.19,40.16,39.19,39.60,490,800
2025-02-03,39.16,40.49,38.28,39.58,680,900
2025-01-31,40.06,41.57,39.59,40.05,808,400
2025-01-30,39.92,40.44,39.52,39.83,591,700
2025-01-29,38.79,39.12,38.00,38.97,737,400
2025-01-28,38.37,38.87,37.32,37.90,690,700
2025-01-27,39.82,40.45,37.46,38.26,817,200
2025-01-24,42.82,42.98,41.44,41.67,540,700
2025-01-23,43.31,44.47,42.59,42.88,687,300
2025-01-22,43.22,44.48,43.09,44.20,665,400
2025-01-21,43.97,44.24,42.75,42.90,790,000
2025-01-17,44.29,44.29,43.20,43.46,430,100
2025-01-16,44.33,45.04,43.18,43.22,653,600
2025-01-15,44.17,44.20,43.07,43.19,646,700
2025-01-14,43.31,43.71,42.09,43.14,576,100
2025-01-13,42.00,43.66,41.21,42.84,891,800
2025-01-10,43.81,44.91,43.20,44.22,659,700
2025-01-08,46.28,46.66,42.19,44.11,1,470,800
2025-01-07,46.59,48.69,46.48,47.24,721,700
2025-01-06,46.52,47.44,45.51,46.12,1,002,000
2025-01-03,44.58,44.79,43.13,44.46,969,300
2025-01-02,44.37,45.13,43.28,44.22,759,300
2024-12-31,45.41,45.82,43.79,44.00,601,100
2024-12-30,45.06,45.76,44.00,45.28,610,700
2024-12-27,46.76,47.15,44.54,45.92,699,400
2024-12-26,47.50,48.11,46.32,47.07,945,800
2024-12-24,46.17,48.15,46.17,47.80,775,500
2024-12-23,44.47,46.41,44.47,45.87,1,065,000
2024-12-20,41.87,43.89,41.55,42.88,2,964,500
2024-12-19,45.52,45.68,42.16,42.44,1,334,400
2024-12-18,44.48,50.79,44.34,44.72,3,398,600
2024-12-17,44.00,45.08,43.08,43.87,683,200
2024-12-16,42.52,44.49,41.93,44.19,572,800
2024-12-13,43.25,44.12,42.02,42.50,867,500
2024-12-12,42.34,43.14,42.06,42.77,721,900
2024-12-11,43.07,43.73,42.13,43.00,457,400
2024-12-10,43.26,43.52,41.94,42.00,579,200
2024-12-09,42.46,43.91,42.46,42.89,524,100
2024-12-06,41.26,42.41,40.58,42.27,387,000
2024-12-05,42.43,42.53,40.77,41.04,545,600
2024-12-04,43.00,43.16,42.26,42.43,687,700
2024-12-03,41.90,42.69,41.88,42.48,553,100
2024-12-02,40.06,42.67,40.06,42.56,662,800
2024-11-29,40.30,40.69,39.82,40.06,423,300
2024-11-27,39.81,40.02,38.65,39.31,708,100
2024-11-26,41.78,41.93,39.80,39.82,660,000
2024-11-25,42.05,42.26,41.00,41.24,764,100
2024-11-22,40.68,41.48,40.43,41.33,501,200
2024-11-21,40.00,41.01,39.72,40.78,439,800
2024-11-20,37.70,39.85,37.62,39.66,908,600
2024-11-19,37.35,37.98,37.25,37.87,415,600
2024-11-18,37.69,38.39,37.57,37.74,738,800
2024-11-15,39.14,39.23,37.75,37.80,1,058,600
2024-11-14,40.68,41.00,39.56,39.69,874,900
2024-11-13,41.90,42.64,39.96,40.00,767,800
2024-11-12,41.91,43.70,41.30,42.14,1,018,000
2024-11-11,41.97,42.23,40.51,41.96,738,200
2024-11-08,42.16,42.32,41.66,42.10,883,200
2024-11-07,42.26,43.03,41.79,42.40,653,300
2024-11-06,40.69,41.83,40.10,41.60,625,000
2024-11-05,38.78,39.67,38.59,39.23,552,200
2024-11-04,37.98,40.31,37.98,38.77,1,412,300
2024-11-01,39.19,39.19,38.23,38.75,979,300
2024-10-31,40.15,41.32,37.64,37.98,2,219,900
2024-10-30,43.81,44.70,43.26,43.81,561,000
2024-10-29,44.00,45.44,43.70,45.17,532,000
2024-10-28,45.18,45.28,43.81,44.07,523,700
2024-10-25,44.09,45.47,44.08,44.79,312,700
2024-10-24,43.78,43.98,43.15,43.72,403,700
2024-10-23,43.43,43.80,42.45,43.13,344,500
2024-10-22,43.70,44.14,43.43,43.79,377,500
2024-10-21,43.80,44.15,43.41,44.12,382,100
2024-10-18,44.58,45.36,43.77,43.91,503,900
2024-10-17,45.15,45.15,43.79,44.15,632,500
2024-10-16,45.64,46.14,43.68,43.71,942,300
2024-10-15,48.36,49.06,44.73,44.75,1,215,800
2024-10-14,48.66,49.90,48.65,48.72,459,300
2024-10-11,45.92,48.47,45.92,48.26,551,700
2024-10-10,46.50,46.84,45.59,46.40,755,600
2024-10-09,46.55,48.35,46.18,47.49,519,000
2024-10-08,46.23,46.81,45.92,46.47,429,500
2024-10-07,45.85,46.46,45.48,46.22,598,500
2024-10-04,45.75,46.42,45.06,46.34,576,200
2024-10-03,44.28,45.32,43.95,44.34,221,400
2024-10-02,44.34,45.77,44.24,44.99,331,000
2024-10-01,45.98,46.11,43.84,44.17,462,700
2024-09-30,45.80,46.33,45.43,46.00,748,900
2024-09-27,47.22,47.25,46.02,46.30,347,900
2024-09-26,46.42,47.23,45.50,46.90,496,100
2024-09-25,44.02,44.85,43.92,44.02,419,800
2024-09-24,44.33,44.62,43.32,44.27,443,900
2024-09-23,44.40,44.59,43.88,43.99,277,100
2024-09-20,44.44,44.54,43.34,43.94,1,629,500
2024-09-19,45.01,45.36,44.08,44.78,483,000
2024-09-18,43.14,44.31,42.54,42.84,699,800
2024-09-17,43.30,43.83,42.58,43.14,489,200
2024-09-16,43.07,43.13,41.90,42.20,748,600
2024-09-13,43.43,44.30,42.88,44.08,577,000
2024-09-12,43.65,43.79,42.54,42.81,443,400
2024-09-11,42.49,44.11,41.91,43.91,497,800
2024-09-10,41.28,42.33,40.86,42.13,524,200
2024-09-09,42.68,42.81,41.25,41.28,553,700
2024-09-06,43.40,43.43,41.70,41.88,454,400
2024-09-05,43.66,44.62,43.40,43.92,358,900
2024-09-04,44.00,45.02,43.20,44.46,511,100
2024-09-03,47.40,48.12,44.48,44.55,571,900
2024-08-30,50.09,50.09,48.39,48.77,1,146,600
2024-08-29,49.37,50.77,48.71,48.78,724,400
2024-08-28,50.69,51.13,48.87,48.99,812,000
2024-08-27,49.26,50.77,48.46,50.63,466,700
2024-08-26,51.57,51.68,49.35,49.63,392,400
2024-08-23,50.08,51.66,50.00,51.41,411,300
2024-08-22,50.87,51.11,49.06,49.21,481,200
2024-08-21,50.63,50.97,49.39,50.81,338,600
2024-08-20,50.71,51.30,49.00,49.30,324,300
2024-08-19,49.80,50.91,48.75,50.89,369,800
2024-08-16,48.62,50.05,48.24,49.91,559,900
2024-08-15,48.73,49.32,47.78,49.12,464,100
2024-08-14,46.64,47.42,45.56,46.79,529,100
2024-08-13,44.72,46.27,44.36,46.21,548,800
2024-08-12,43.96,44.35,42.74,43.92,630,600
2024-08-09,44.52,45.23,43.31,43.72,607,300
2024-08-08,43.90,44.63,42.55,44.54,858,500
2024-08-07,43.71,44.65,42.28,43.11,1,297,500
2024-08-06,41.25,42.90,41.02,42.05,735,000
2024-08-05,37.89,41.80,37.73,41.25,1,575,900
2024-08-02,43.81,43.99,40.43,40.90,2,245,600
2024-08-01,53.68,55.20,45.88,47.25,1,974,400
2024-07-31,53.18,54.06,52.22,53.56,1,034,900
2024-07-30,52.08,52.47,50.13,50.50,539,500
2024-07-29,52.47,54.19,51.90,52.05,826,000
2024-07-26,53.56,53.56,50.86,51.24,1,084,800
2024-07-25,56.59,56.87,50.23,51.70,1,287,900
2024-07-24,59.42,60.04,56.74,56.92,539,800
2024-07-23,58.65,60.73,58.63,60.25,475,400
2024-07-22,56.97,59.59,56.04,59.35,533,300
2024-07-19,56.76,56.76,55.32,55.55,447,400
2024-07-18,57.85,57.90,54.92,56.50,943,200
2024-07-17,60.66,60.75,57.02,57.15,883,500
2024-07-16,61.14,62.38,60.92,62.16,602,200
2024-07-15,60.34,61.65,59.26,60.97,553,200
2024-07-12,60.18,61.07,58.87,59.63,559,800
2024-07-11,62.73,62.90,59.61,59.71,693,100
2024-07-10,62.35,62.67,61.59,61.71,450,700
2024-07-09,62.19,62.98,61.54,61.76,395,900
2024-07-08,62.90,63.63,61.50,61.94,474,000
2024-07-05,62.06,62.48,60.64,61.99,317,800
2024-07-03,61.09,62.46,60.16,62.22,273,600
2024-07-02,60.53,61.91,60.35,60.93,465,800
2024-07-01,60.61,61.10,57.79,60.92,591,200
2024-06-28,60.57,62.68,60.05,60.53,1,710,800
2024-06-27,59.48,60.73,58.73,59.63,589,500
2024-06-26,59.28,61.15,59.01,59.53,916,700
2024-06-25,57.90,59.76,57.29,59.65,486,300
2024-06-24,57.33,58.57,56.95,57.66,424,100
2024-06-21,57.43,57.97,55.33,57.95,1,535,100
2024-06-20,59.98,60.73,57.27,57.66,489,100
2024-06-18,58.53,61.34,58.12,59.98,490,500
2024-06-17,57.49,58.70,56.82,58.54,666,600
2024-06-14,56.71,57.56,56.54,57.43,517,400
2024-06-13,56.93,57.87,56.25,57.76,499,800
2024-06-12,56.65,58.13,56.00,57.32,481,200
2024-06-11,53.71,55.25,53.47,55.24,673,900
2024-06-10,52.56,54.41,52.56,54.08,389,800
2024-06-07,54.48,54.65,53.17,53.47,266,100
2024-06-06,55.51,55.74,54.26,54.69,329,200
2024-06-05,54.28,56.25,54.00,55.80,459,100
2024-06-04,53.50,53.55,52.54,53.16,674,200
2024-06-03,54.85,55.27,52.71,53.52,558,400
2024-05-31,56.96,57.23,53.69,54.72,1,063,000
2024-05-30,56.65,57.68,56.14,56.96,691,400
2024-05-29,57.08,57.63,56.39,56.52,360,400
2024-05-28,58.33,58.74,57.35,58.70,374,500
2024-05-24,59.16,59.31,58.18,58.40,349,200
