Date,Open,High,Low,Close,Volume
"Sep 3, 2025","9.60","9.81","9.47","9.77","900,900"
"Sep 2, 2025","9.51","9.62","9.32","9.60","1,267,700"
"Aug 29, 2025","9.71","9.81","9.53","9.62","668,100"
"Aug 28, 2025","9.51","9.74","9.45","9.72","1,355,400"
"Aug 27, 2025","9.41","9.57","9.36","9.49","977,700"
"Aug 26, 2025","9.37","9.51","9.28","9.42","1,369,600"
"Aug 25, 2025","9.15","9.41","9.13","9.35","1,606,300"
"Aug 22, 2025","8.88","9.24","8.85","9.19","2,183,600"
"Aug 21, 2025","8.71","8.85","8.67","8.81","1,221,900"
"Aug 20, 2025","8.98","9.11","8.69","8.76","776,400"
"Aug 19, 2025","9.11","9.16","8.96","9.00","999,700"
"Aug 18, 2025","8.97","9.14","8.89","9.05","939,600"
"Aug 15, 2025","8.92","9.10","8.90","8.97","828,500"
"Aug 14, 2025","9.07","9.14","8.87","8.89","877,900"
"Aug 13, 2025","9.17","9.34","9.14","9.22","1,033,800"
"Aug 12, 2025","8.84","9.15","8.81","9.11","801,300"
"Aug 11, 2025","8.93","9.02","8.67","8.75","1,222,600"
"Aug 8, 2025","8.81","8.96","8.70","8.91","977,000"
"Aug 7, 2025","8.78","8.87","8.66","8.74","1,052,000"
"Aug 6, 2025","8.73","8.79","8.50","8.70","1,205,900"
"Aug 5, 2025","8.71","8.82","8.60","8.73","1,116,200"
"Aug 4, 2025","8.40","8.65","8.40","8.63","851,900"
"Aug 1, 2025","8.43","8.52","8.25","8.35","1,691,900"
"Jul 31, 2025","8.98","8.98","8.48","8.51","1,480,300"
"Jul 30, 2025","8.73","9.14","8.63","8.99","1,460,000"
"Jul 29, 2025","7.85","8.86","7.80","8.72","2,897,400"
"Jul 28, 2025","9.18","9.19","8.99","9.14","2,341,200"
"Jul 25, 2025","8.93","9.00","8.86","9.00","951,200"
"Jul 24, 2025","9.04","9.04","8.82","8.89","926,500"
"Jul 23, 2025","9.30","9.30","9.05","9.06","821,900"
"Jul 22, 2025","9.24","9.29","9.15","9.22","949,000"
"Jul 21, 2025","9.29","9.35","9.22","9.23","800,100"
"Jul 18, 2025","9.37","9.47","9.24","9.25","860,300"
"Jul 17, 2025","9.15","9.40","9.14","9.34","1,552,700"
"Jul 16, 2025","9.10","9.15","8.95","9.12","982,900"
"Jul 15, 2025","9.30","9.39","8.91","9.01","1,359,600"
"Jul 14, 2025","9.13","9.39","9.04","9.24","1,336,700"
"Jul 11, 2025","9.25","9.39","9.01","9.16","1,372,400"
"Jul 10, 2025","9.45","9.52","9.30","9.30","1,666,300"
"Jul 9, 2025","9.21","9.48","9.09","9.46","1,235,900"
"Jul 8, 2025","10.00","10.06","8.81","9.19","2,841,500"
"Jul 7, 2025","9.79","10.20","9.75","10.17","2,384,000"
"Jul 3, 2025","9.82","9.91","9.78","9.81","526,800"
"Jul 2, 2025","9.78","9.81","9.62","9.77","857,300"
"Jul 1, 2025","9.44","9.95","9.43","9.82","1,557,700"
"Jun 30, 2025","9.58","9.65","9.46","9.47","1,169,800"
"Jun 27, 2025","9.45","9.53","9.31","9.49","3,324,500"
"Jun 26, 2025","9.25","9.46","9.15","9.42","940,700"
"Jun 25, 2025","9.33","9.36","9.20","9.25","548,100"
"Jun 24, 2025","9.18","9.34","9.13","9.29","642,800"
"Jun 23, 2025","8.87","9.07","8.82","9.06","499,100"
"Jun 20, 2025","8.91","9.01","8.74","8.88","2,271,100"
"Jun 18, 2025","8.72","8.91","8.71","8.79","1,139,800"
"Jun 17, 2025","8.86","8.96","8.67","8.69","779,700"
"Jun 16, 2025","8.98","9.06","8.89","8.91","680,600"
"Jun 13, 2025","9.11","9.15","8.83","8.85","872,900"
"Jun 12, 2025","9.14","9.40","9.09","9.26","768,300"
"Jun 11, 2025","9.65","9.65","9.17","9.18","723,200"
"Jun 10, 2025","9.68","9.74","9.57","9.59","495,000"
"Jun 9, 2025","9.54","9.65","9.44","9.63","725,700"
"Jun 6, 2025","9.50","9.50","9.34","9.49","460,500"
"Jun 5, 2025","9.39","9.42","9.27","9.32","427,300"
"Jun 4, 2025","9.47","9.50","9.38","9.40","663,100"
"Jun 3, 2025","9.15","9.50","9.12","9.46","859,600"
"Jun 2, 2025","9.00","9.09","8.95","9.05","708,900"
"May 30, 2025","9.12","9.13","8.96","9.02","654,300"
"May 29, 2025","9.27","9.29","9.07","9.19","588,300"
"May 28, 2025","9.15","9.23","9.06","9.17","576,200"
"May 27, 2025","9.06","9.22","8.98","9.14","524,200"
"May 23, 2025","8.96","8.99","8.90","8.94","613,500"
"May 22, 2025","9.24","9.29","9.08","9.09","480,800"
"May 21, 2025","9.19","9.37","9.12","9.24","778,900"
"May 20, 2025","9.35","9.43","9.30","9.34","498,100"
"May 19, 2025","9.43","9.46","9.35","9.38","500,800"
"May 16, 2025","9.61","9.63","9.46","9.54","768,700"
"May 15, 2025","9.60","9.66","9.53","9.60","573,500"
"May 14, 2025","9.76","9.80","9.55","9.60","655,200"
"May 13, 2025","9.72","9.87","9.66","9.73","630,300"
"May 12, 2025","9.47","9.76","9.33","9.72","1,427,900"
"May 9, 2025","9.10","9.22","9.05","9.08","760,000"
"May 8, 2025","9.01","9.15","8.97","9.08","680,700"
"May 7, 2025","8.93","9.00","8.79","8.89","648,200"
"May 6, 2025","8.84","8.98","8.79","8.92","862,600"
"May 5, 2025","8.92","9.07","8.86","8.93","967,600"
"May 2, 2025","9.13","9.18","8.93","9.00","1,710,800"
"May 1, 2025","9.05","9.17","8.98","9.02","944,100"
"Apr 30, 2025","9.26","9.33","8.74","8.98","1,340,800"
"Apr 29, 2025","9.09","9.56","8.73","9.43","2,141,300"
"Apr 28, 2025","9.18","9.33","9.15","9.31","1,154,700"
"Apr 25, 2025","9.01","9.24","9.00","9.21","653,600"
"Apr 24, 2025","8.77","9.09","8.75","9.07","978,400"
"Apr 23, 2025","8.98","9.13","8.74","8.80","1,249,300"
"Apr 22, 2025","8.67","8.77","8.59","8.67","1,370,800"
"Apr 21, 2025","8.80","8.80","8.42","8.53","641,100"
"Apr 17, 2025","8.90","8.99","8.77","8.90","1,030,400"
"Apr 16, 2025","8.88","9.05","8.74","8.88","886,400"
"Apr 15, 2025","8.98","9.17","8.93","9.03","1,380,200"
"Apr 14, 2025","9.13","9.15","8.86","8.96","1,059,800"
"Apr 11, 2025","8.73","8.99","8.66","8.95","1,108,400"
"Apr 10, 2025","8.88","9.04","8.60","8.78","1,226,900"
"Apr 9, 2025","8.18","9.34","8.13","9.13","1,312,400"
"Apr 8, 2025","8.59","8.69","8.14","8.25","1,260,300"
"Apr 7, 2025","8.02","8.77","7.91","8.34","1,532,900"
