Date,Open,High,Low,Close,Volume
2025-09-03,16.61,16.68,16.06,16.07,517,000
2025-09-02,16.09,16.57,15.60,16.48,1,057,800
2025-08-29,17.39,17.41,16.43,16.85,775,400
2025-08-28,17.37,17.63,17.19,17.58,549,000
2025-08-27,17.55,17.69,17.22,17.39,499,600
2025-08-26,17.88,18.18,17.64,17.70,624,500
2025-08-25,18.06,18.21,17.60,17.88,598,200
2025-08-22,17.00,18.54,16.84,18.16,701,100
2025-08-21,16.83,17.13,16.66,16.99,405,400
2025-08-20,17.64,17.65,16.39,16.93,880,500
2025-08-19,18.43,18.64,17.61,17.79,556,400
2025-08-18,17.97,18.85,17.65,18.44,762,800
2025-08-15,18.48,18.61,17.51,17.95,1,052,600
2025-08-14,18.60,19.02,18.11,18.77,836,000
2025-08-13,19.24,19.59,18.06,19.02,1,582,500
2025-08-12,16.92,19.07,16.71,18.91,1,883,800
2025-08-11,17.59,17.85,16.00,16.06,1,422,900
2025-08-08,18.50,18.99,17.06,17.44,2,510,500
2025-08-07,14.78,17.50,14.75,16.66,3,660,900
2025-08-06,14.03,14.68,13.77,14.56,2,256,200
2025-08-05,14.13,14.73,13.12,14.06,4,816,800
2025-08-04,19.46,20.26,19.35,20.14,505,600
2025-08-01,19.20,19.58,18.60,19.38,429,200
2025-07-31,20.05,20.45,18.75,19.79,635,700
2025-07-30,21.35,21.50,20.28,20.41,445,900
2025-07-29,21.72,22.48,20.91,20.99,348,500
2025-07-28,21.06,21.72,21.05,21.47,252,300
2025-07-25,21.14,21.34,20.42,20.66,322,700
2025-07-24,21.40,21.44,20.88,21.05,249,800
2025-07-23,21.89,22.05,21.30,21.51,592,200
2025-07-22,22.50,22.72,21.11,21.67,499,700
2025-07-21,22.91,23.40,22.48,22.60,220,400
2025-07-18,23.58,23.59,22.66,22.75,282,100
2025-07-17,22.84,23.61,22.68,23.27,332,700
2025-07-16,22.70,22.80,21.60,22.60,435,600
2025-07-15,23.66,23.80,22.83,22.98,412,000
2025-07-14,23.45,23.48,22.28,22.90,404,800
2025-07-11,23.74,23.97,23.50,23.75,293,300
2025-07-10,23.81,24.12,23.34,23.71,359,200
2025-07-09,23.01,23.69,22.81,23.47,405,600
2025-07-08,22.01,23.53,22.01,23.08,441,300
2025-07-07,22.49,23.08,21.80,21.85,400,500
2025-07-03,22.50,22.99,22.35,22.72,238,100
2025-07-02,20.86,22.51,20.82,22.31,483,800
2025-07-01,19.33,21.60,19.11,21.08,601,500
2025-06-30,19.70,20.21,19.41,19.64,469,900
2025-06-27,19.28,19.78,19.19,19.51,789,900
2025-06-26,18.96,19.62,18.68,19.22,314,100
2025-06-25,19.37,19.37,18.72,18.82,423,000
2025-06-24,17.58,19.12,17.58,19.11,499,200
2025-06-23,17.17,17.73,16.94,17.21,529,900
2025-06-20,17.76,17.86,16.95,17.21,544,100
2025-06-18,17.40,17.71,17.22,17.46,272,000
2025-06-17,17.72,18.05,17.37,17.40,301,300
2025-06-16,17.87,18.32,17.64,17.88,331,200
2025-06-13,18.18,18.52,17.58,17.60,256,200
2025-06-12,18.77,19.33,18.65,18.80,266,500
2025-06-11,19.40,19.74,18.89,19.13,462,900
2025-06-10,18.88,19.26,18.67,19.24,533,800
2025-06-09,18.45,19.44,18.45,18.62,416,700
2025-06-06,17.95,18.46,17.68,18.04,352,300
2025-06-05,17.72,18.16,17.48,17.57,302,100
2025-06-04,17.55,18.17,17.38,17.64,425,200
2025-06-03,16.21,17.43,15.94,17.40,1,283,100
2025-06-02,15.75,16.12,15.33,16.07,729,800
2025-05-30,16.09,16.11,15.47,15.78,605,400
