Date,Open,High,Low,Close,Adj Close,Volume
2025-09-03,276.11,285.68,276.11,284.77,284.77,353,900
2025-09-02,268.43,278.06,265.14,277.49,277.49,298,700
2025-08-29,273.12,275.00,268.32,271.71,271.71,400,200
2025-08-28,269.94,274.90,269.43,273.51,273.51,350,200
2025-08-27,266.46,270.65,265.35,269.68,269.68,198,700
2025-08-26,265.13,269.36,264.30,266.84,266.84,207,300
2025-08-25,266.00,268.94,265.06,265.21,265.21,513,400
2025-08-22,258.35,268.25,257.00,266.27,266.27,244,900
2025-08-21,258.48,258.93,255.94,258.54,258.54,198,100
2025-08-20,261.03,262.64,255.86,259.96,259.96,299,100
2025-08-19,268.93,270.10,258.88,260.33,260.33,206,700
2025-08-18,268.55,270.89,267.90,269.87,269.87,143,000
2025-08-15,269.75,270.20,266.87,268.74,268.74,157,000
2025-08-14,274.97,275.72,269.05,269.75,269.75,154,900
2025-08-13,275.67,276.88,272.77,276.11,276.11,174,600
2025-08-12,267.77,276.58,266.58,273.62,273.62,226,000
2025-08-11,264.74,270.51,264.74,266.31,266.31,325,300
2025-08-08,267.55,270.00,263.56,264.21,264.21,178,600
2025-08-07,270.30,272.12,261.20,265.98,265.98,186,300
2025-08-06,269.60,271.60,265.61,270.25,270.25,181,600
2025-08-05,270.96,273.16,268.01,269.60,269.60,322,800
2025-08-04,258.43,270.86,256.45,270.45,270.45,388,700
2025-08-01,252.75,258.82,247.67,252.80,252.80,426,800
2025-07-31,252.09,277.95,249.58,258.20,258.20,627,800
2025-07-30,234.88,251.00,229.51,245.18,245.18,928,700
2025-07-29,225.13,226.95,221.31,221.35,221.35,219,500
2025-07-28,225.60,228.48,213.06,222.11,222.11,490,200
2025-07-25,224.95,226.09,221.72,224.38,224.38,118,200
2025-07-24,226.99,228.28,224.50,224.59,224.59,173,300
2025-07-23,226.26,228.92,224.49,227.54,227.54,165,600
2025-07-22,227.29,229.35,224.35,226.45,226.45,178,600
2025-07-21,226.38,229.75,226.10,226.46,226.46,162,000
2025-07-18,232.11,232.50,223.80,225.20,225.20,287,200
2025-07-17,229.23,235.88,229.23,229.51,229.51,336,400
2025-07-16,227.80,230.31,225.86,228.88,228.88,233,600
2025-07-15,226.78,229.55,225.01,226.29,226.29,190,000
2025-07-14,225.80,229.02,225.80,226.74,226.74,138,700
2025-07-11,229.34,232.10,225.01,225.27,225.27,252,500
2025-07-10,226.62,231.00,222.35,229.29,229.29,236,500
2025-07-09,224.71,227.08,222.12,226.62,226.62,204,100
2025-07-08,226.04,228.12,223.29,225.17,224.57,266,300
2025-07-07,224.58,228.25,223.40,226.04,225.44,272,300
2025-07-03,222.13,228.05,222.13,224.52,223.92,120,700
