Date,Open,High,Low,Close,Volume
2025-09-03,80.30,81.35,79.72,81.12,255,300
2025-09-02,79.56,80.35,78.50,80.17,271,300
2025-08-29,84.49,85.00,81.43,81.82,211,300
2025-08-28,84.00,85.29,83.19,84.98,315,400
2025-08-27,82.79,83.72,81.90,83.63,182,000
2025-08-26,81.68,83.33,81.68,83.15,336,500
2025-08-25,81.78,82.76,81.00,81.71,161,500
2025-08-22,79.32,83.17,79.32,82.16,198,900
2025-08-21,74.95,78.69,74.73,78.62,285,300
2025-08-20,76.77,76.77,74.36,75.72,182,800
2025-08-19,78.84,78.92,76.63,77.07,145,500
2025-08-18,78.68,79.18,78.01,78.87,181,100
2025-08-15,79.34,79.87,78.41,78.67,167,700
2025-08-14,78.93,79.80,78.02,79.46,187,800
2025-08-13,78.70,80.49,78.44,80.34,225,100
2025-08-12,76.13,78.53,75.65,78.26,156,400
2025-08-11,75.27,76.15,74.83,75.46,297,000
2025-08-08,75.27,76.61,74.68,75.26,254,600
2025-08-07,74.53,75.42,72.75,74.73,332,400
2025-08-06,74.63,74.63,71.35,72.14,268,200
2025-08-05,81.00,84.42,74.46,74.63,417,500
2025-08-04,76.18,77.80,75.54,77.46,253,000
2025-08-01,73.02,75.57,71.78,75.22,216,700
2025-07-31,76.82,77.74,74.59,74.89,253,100
2025-07-30,78.71,79.08,75.88,77.04,197,800
2025-07-29,80.39,81.09,78.37,78.64,257,900
2025-07-28,78.55,79.94,78.26,79.61,245,300
2025-07-25,76.08,78.33,75.52,78.03,234,400
2025-07-24,76.52,76.52,75.14,75.60,151,500
2025-07-23,76.21,77.46,76.03,76.88,173,500
2025-07-22,74.28,75.63,72.80,75.46,203,900
2025-07-21,75.10,75.60,74.08,74.43,157,400
2025-07-18,75.11,75.56,74.09,74.63,183,700
2025-07-17,73.80,74.79,73.46,74.44,219,600
2025-07-16,73.65,73.67,71.59,73.63,156,600
2025-07-15,75.00,75.04,73.11,73.33,185,300
2025-07-14,73.66,74.40,72.96,74.21,180,600
2025-07-11,74.27,74.66,73.46,74.15,168,500
2025-07-10,74.14,75.47,73.82,75.04,183,500
2025-07-09,73.86,74.40,72.00,73.83,167,100
2025-07-08,71.70,74.01,71.70,73.00,294,600
2025-07-07,72.69,73.25,71.02,71.35,172,300
2025-07-03,73.88,74.40,73.56,73.63,139,300
2025-07-02,70.96,73.42,69.03,73.38,191,400
2025-07-01,67.85,71.94,66.82,71.05,387,100
2025-06-30,69.12,69.26,67.45,68.65,158,800
2025-06-27,69.13,69.37,67.44,68.52,323,600
2025-06-26,68.36,68.94,67.83,68.84,156,600
2025-06-25,68.87,68.87,66.70,67.79,259,600
2025-06-24,68.20,69.08,67.27,68.48,196,700
2025-06-23,65.74,67.60,65.64,67.43,200,500
2025-06-20,67.63,67.63,65.25,66.01,673,300
2025-06-18,66.76,67.68,66.55,66.74,239,900
2025-06-17,67.20,68.45,66.77,66.81,202,000
2025-06-16,66.99,68.35,66.60,68.10,182,300
2025-06-13,66.85,67.31,65.57,65.91,161,300
2025-06-12,67.18,68.67,67.18,68.19,152,000
2025-06-11,68.77,68.77,67.22,67.97,190,900
2025-06-10,69.72,69.72,68.03,68.11,192,000
2025-06-09,69.74,70.75,69.07,69.26,280,600
2025-06-06,69.60,70.49,68.69,68.94,284,000
2025-06-05,68.34,69.42,67.73,68.44,200,600
2025-06-04,69.63,69.72,68.10,68.23,210,500
2025-06-03,66.51,69.19,65.44,68.97,203,400
2025-06-02,66.12,66.78,65.91,66.46,321,400
2025-05-30,66.21,66.55,64.93,66.26,556,800
2025-05-29,67.64,68.26,65.94,67.04,351,400
2025-05-28,66.99,67.14,65.95,66.78,326,700
2025-05-27,66.19,67.12,65.14,66.96,255,800
2025-05-23,63.54,64.84,63.33,64.60,318,500
2025-05-22,64.74,65.76,63.94,65.49,392,300
2025-05-21,65.93,66.18,63.97,65.45,525,700
2025-05-20,65.02,66.65,65.02,66.49,198,500
2025-05-19,64.92,65.67,64.40,65.51,285,700
2025-05-16,65.18,66.55,64.69,66.49,275,800
2025-05-15,65.20,65.55,64.20,65.40,192,900
2025-05-14,65.65,66.00,64.84,65.35,216,600
2025-05-13,65.05,65.76,64.64,65.59,228,600
2025-05-12,64.10,65.08,63.35,64.81,264,700
2025-05-09,59.04,60.76,59.04,60.15,323,400
2025-05-08,59.19,60.18,58.09,58.73,403,500
2025-05-07,54.74,58.23,53.98,57.88,832,700
2025-05-06,56.65,56.68,51.77,54.91,890,600
2025-05-05,62.88,64.21,62.33,63.13,413,300
2025-05-02,62.74,64.58,62.47,63.80,197,100
2025-05-01,60.60,62.27,60.53,61.80,286,900
2025-04-30,57.77,60.15,57.25,59.89,331,100
2025-04-29,58.21,59.44,57.80,59.19,250,400
2025-04-28,58.07,60.39,57.89,58.85,321,800
2025-04-25,57.05,58.42,56.73,58.15,215,200
2025-04-24,55.84,58.12,55.84,57.94,180,100
2025-04-23,56.58,58.67,54.92,55.09,241,400
2025-04-22,53.00,53.86,52.45,53.53,328,300
2025-04-21,52.35,53.35,51.06,51.98,317,900
2025-04-17,52.19,53.33,51.94,53.30,392,500
2025-04-16,52.34,52.95,50.12,51.83,336,900
2025-04-15,54.24,55.10,52.85,53.40,302,500
2025-04-14,55.43,56.33,53.95,54.50,285,900
