Date,Open,High,Low,Close,Volume
2025-09-03,249.50,250.19,245.06,247.58,986,100
2025-09-02,248.26,251.07,247.20,250.91,1,057,600
2025-08-29,247.68,251.36,247.06,251.19,920,100
2025-08-28,247.24,248.56,245.15,247.73,881,800
2025-08-27,242.62,246.38,242.47,246.36,1,037,800
2025-08-26,241.05,244.23,241.05,243.13,2,532,900
2025-08-25,249.50,249.50,241.20,241.47,1,209,800
2025-08-22,246.41,252.13,245.04,249.90,1,274,200
2025-08-21,243.72,247.39,242.31,244.66,1,722,400
2025-08-20,243.18,248.79,242.55,244.20,1,300,700
2025-08-19,240.00,248.14,239.65,242.88,1,511,900
2025-08-18,239.71,242.20,237.66,238.94,1,927,000
2025-08-15,243.26,245.03,238.63,238.69,1,616,000
2025-08-14,240.83,244.70,237.81,243.07,1,982,500
2025-08-13,230.00,242.69,229.62,242.66,1,678,200
2025-08-12,226.12,229.67,223.65,229.39,1,584,900
2025-08-11,228.11,235.40,225.78,225.98,2,008,800
2025-08-08,230.07,233.10,227.14,229.00,2,105,600
2025-08-07,246.92,246.92,228.90,229.69,2,913,800
2025-08-06,244.00,250.50,240.58,243.71,2,574,600
2025-08-05,242.49,247.99,231.00,243.93,4,541,200
2025-08-04,331.00,337.29,330.04,336.71,1,619,600
2025-08-01,334.66,335.84,326.93,328.54,1,286,200
2025-07-31,343.25,345.50,337.40,338.65,897,800
2025-07-30,350.62,352.08,342.00,343.80,709,300
2025-07-29,353.71,353.77,348.64,350.40,865,200
2025-07-28,356.74,357.33,352.47,352.47,617,900
2025-07-25,356.01,359.36,354.24,356.64,753,800
2025-07-24,355.00,358.22,353.72,356.14,516,600
2025-07-23,358.40,360.02,354.27,357.98,770,400
2025-07-22,354.95,360.49,353.57,356.52,1,169,900
2025-07-21,356.64,357.00,352.29,353.10,953,000
2025-07-18,361.20,361.20,352.65,355.40,1,318,600
2025-07-17,363.35,368.73,352.37,361.41,1,045,400
2025-07-16,360.51,363.58,356.70,363.58,1,425,800
2025-07-15,374.77,374.90,358.50,359.87,1,107,700
2025-07-14,373.50,375.84,370.69,373.28,1,095,000
2025-07-11,385.25,386.06,373.87,374.40,817,800
2025-07-10,392.61,394.09,386.75,387.78,809,200
2025-07-09,399.35,401.60,391.24,394.44,626,100
2025-07-08,400.05,403.96,398.49,399.15,449,200
2025-07-07,398.07,401.91,395.00,399.73,786,400
2025-07-03,398.07,402.25,395.18,400.28,341,200
2025-07-02,405.16,407.24,392.19,395.44,816,200
2025-07-01,403.54,409.76,401.47,406.70,1,299,300
2025-06-30,404.11,406.58,402.12,404.22,957,700
2025-06-27,403.68,408.56,400.01,402.76,1,040,400
2025-06-26,404.69,404.96,398.47,404.60,897,500
2025-06-25,403.14,404.31,397.38,402.64,832,100
2025-06-24,400.89,402.31,395.26,400.39,936,000
2025-06-23,394.01,398.52,390.71,398.50,1,715,900
2025-06-20,399.47,401.25,390.16,392.94,1,951,500
2025-06-18,404.24,406.64,398.84,399.37,712,100
2025-06-17,406.84,409.95,404.00,404.68,460,000
2025-06-16,408.60,409.98,405.78,409.12,680,400
2025-06-13,409.07,413.26,404.51,404.97,558,800
2025-06-12,412.20,416.74,410.92,413.59,1,023,800
2025-06-11,421.15,424.87,411.59,413.50,1,042,100
2025-06-10,423.06,430.19,419.86,422.48,913,200
2025-06-09,423.73,426.29,420.33,421.53,509,100
2025-06-06,423.34,425.28,416.97,422.55,863,300
2025-06-05,425.96,425.96,419.68,421.26,672,200
2025-06-04,433.43,433.43,424.87,425.62,756,100
2025-06-03,428.11,432.82,424.44,432.23,595,300
2025-06-02,432.27,434.12,424.72,429.86,583,300
2025-05-30,435.89,437.42,430.04,436.42,2,049,100
2025-05-29,436.36,437.84,431.80,435.57,743,500
2025-05-28,444.47,445.50,434.67,435.18,468,800
2025-05-27,443.92,446.32,443.15,444.86,426,600
2025-05-23,439.13,441.14,436.86,438.36,440,400
2025-05-22,443.49,447.08,442.18,443.66,462,000
2025-05-21,443.63,450.60,442.90,442.91,495,000
2025-05-20,448.30,449.87,445.51,447.90,328,200
2025-05-19,444.94,450.25,441.08,449.52,298,600
2025-05-16,446.23,448.83,443.57,448.29,407,100
2025-05-15,446.11,449.10,443.55,446.49,569,200
2025-05-14,449.00,449.29,443.89,446.10,450,600
2025-05-13,445.91,451.73,444.60,448.70,531,400
2025-05-12,443.06,447.41,440.46,446.95,511,600
2025-05-09,437.43,438.34,430.93,432.50,415,500
2025-05-08,440.16,443.44,435.43,437.43,437,600
2025-05-07,433.25,442.55,432.18,437.85,668,000
2025-05-06,417.55,439.17,409.98,432.92,963,700
2025-05-05,426.36,431.05,425.41,426.98,662,100
2025-05-02,425.89,431.15,425.74,427.49,398,600
2025-05-01,421.63,425.52,419.35,419.60,551,900
2025-04-30,416.39,421.64,411.29,421.08,683,200
2025-04-29,416.09,422.15,416.09,420.59,374,200
2025-04-28,416.00,418.31,410.93,415.81,561,300
2025-04-25,415.84,417.80,411.20,416.09,714,600
2025-04-24,406.38,418.59,406.26,417.85,574,800
2025-04-23,412.31,420.20,404.55,406.49,433,800
2025-04-22,396.11,401.96,395.60,400.31,386,400
2025-04-21,399.82,399.82,386.66,392.47,454,100
2025-04-17,403.40,407.06,400.97,401.65,443,400
2025-04-16,401.74,408.24,398.09,402.29,461,400
2025-04-15,406.40,410.72,402.41,403.61,508,400
2025-04-14,405.17,410.81,402.69,407.96,519,200
2025-04-11,397.59,402.32,388.98,399.88,574,900
2025-04-10,394.08,396.99,382.58,392.03,605,100
2025-04-09,373.41,407.16,367.58,406.13,1,550,000
2025-04-08,391.98,397.33,370.50,377.50,925,600
2025-04-07,374.09,391.99,366.05,382.57,1,232,400
2025-04-04,396.04,398.53,382.23,383.24,995,800
2025-04-03,410.94,413.15,402.30,404.95,888,200
2025-04-02,411.74,425.14,410.78,424.37,1,376,400
2025-04-01,416.85,422.05,409.00,413.72,1,237,700
2025-03-31,415.54,422.21,412.14,419.74,858,100
2025-03-28,423.66,430.99,416.99,418.25,661,800
2025-03-27,425.25,428.14,419.41,424.89,559,300
2025-03-26,422.61,428.62,420.06,426.77,745,200
2025-03-25,428.68,429.30,414.05,421.76,1,383,600
2025-03-24,437.26,437.26,429.28,429.79,685,600
2025-03-21,417.19,435.91,409.50,430.38,1,798,400
2025-03-20,444.66,445.74,412.68,418.77,1,681,100
2025-03-19,451.01,452.91,442.20,449.43,1,095,400
2025-03-18,460.68,460.68,444.76,447.78,1,519,800
2025-03-17,459.27,464.87,457.12,461.70,691,900
2025-03-14,453.74,458.35,451.76,457.41,469,000
2025-03-13,457.60,459.70,447.48,452.06,450,500
2025-03-12,469.73,470.37,458.57,459.74,354,700
2025-03-11,471.22,471.69,460.41,466.30,470,100
2025-03-10,475.69,476.35,469.98,471.61,552,200
2025-03-07,480.03,485.33,467.91,482.10,566,100
2025-03-06,483.31,490.13,478.35,483.08,519,800
2025-03-05,481.49,490.84,481.09,490.27,527,800
2025-03-04,489.44,492.06,479.41,482.06,660,700
2025-03-03,498.50,499.72,487.84,491.13,512,600
2025-02-28,492.19,499.01,486.65,498.32,515,200
2025-02-27,497.00,500.20,490.77,491.39,335,900
2025-02-26,500.32,507.79,497.50,498.17,351,700
2025-02-25,499.21,505.78,497.78,503.07,548,800
2025-02-24,489.64,501.12,487.93,497.56,691,300
2025-02-21,503.25,503.25,485.86,487.90,522,700
2025-02-20,512.91,513.42,502.54,503.16,441,900
2025-02-19,510.68,517.06,509.15,516.01,431,200
2025-02-18,513.62,514.33,507.30,513.15,417,200
2025-02-14,516.38,519.37,512.97,514.67,353,800
2025-02-13,515.78,518.49,510.79,517.17,502,500
2025-02-12,516.71,518.03,510.26,513.77,503,600
2025-02-11,525.08,529.13,518.23,522.12,472,800
2025-02-10,532.20,534.50,526.49,528.87,649,900
2025-02-07,535.55,535.94,525.72,529.29,369,800
2025-02-06,542.90,544.93,529.79,534.45,498,000
2025-02-05,541.76,546.21,534.30,541.11,633,500
2025-02-04,574.84,584.01,541.45,547.16,927,800
2025-02-03,536.56,551.45,533.71,547.80,566,800
2025-01-31,547.05,550.45,540.25,542.83,511,800
2025-01-30,545.50,552.14,542.39,548.38,474,000
2025-01-29,541.00,542.31,535.59,537.99,336,700
2025-01-28,537.91,544.34,533.64,542.54,406,500
2025-01-27,522.35,537.84,522.35,537.05,420,000
2025-01-24,520.47,530.10,519.88,528.53,375,500
2025-01-23,525.00,526.01,518.40,524.75,341,200
2025-01-22,525.72,529.58,520.92,524.82,525,800
2025-01-21,519.22,528.65,517.07,524.79,473,500
2025-01-17,516.67,517.63,512.05,515.70,971,200
2025-01-16,508.94,513.43,505.70,512.06,354,400
2025-01-15,507.23,511.86,505.74,509.28,501,300
2025-01-14,495.42,500.62,494.73,499.80,416,600
2025-01-13,485.05,493.68,483.72,493.13,393,900
2025-01-10,492.69,494.39,483.53,489.00,478,500
2025-01-08,493.53,495.56,488.40,495.44,413,200
2025-01-07,493.33,493.61,486.91,491.48,460,300
2025-01-06,487.11,491.88,486.17,491.72,468,200
2025-01-03,486.00,487.01,481.38,485.97,300,900
2025-01-02,487.19,489.91,480.20,483.30,384,600
2024-12-31,486.80,487.22,482.31,484.47,239,700
2024-12-30,481.33,487.49,478.15,485.45,317,100
2024-12-27,487.84,489.69,483.57,486.96,231,000
2024-12-26,488.29,491.27,486.42,489.22,194,500
2024-12-24,488.21,492.99,485.93,489.96,152,300
2024-12-23,488.89,489.27,480.50,487.22,411,000
2024-12-20,476.97,491.36,474.87,491.25,1,385,400
2024-12-19,487.34,491.16,480.87,481.22,459,300
2024-12-18,499.74,501.01,481.34,481.77,412,800
2024-12-17,502.07,507.58,496.44,497.42,683,800
2024-12-16,510.88,512.87,501.28,502.58,394,200
2024-12-13,514.00,519.39,506.00,508.46,239,100
2024-12-12,519.29,519.96,513.74,514.13,295,600
2024-12-11,516.02,521.48,514.40,518.54,263,100
2024-12-10,511.11,516.53,505.24,512.65,393,700
2024-12-09,519.27,519.27,510.16,514.44,518,200
2024-12-06,518.26,524.55,516.30,517.37,341,500
2024-12-05,519.40,521.48,516.26,516.60,322,400
2024-12-04,517.25,524.45,515.85,522.53,538,400
2024-12-03,515.00,516.63,512.42,515.66,510,000
2024-12-02,517.86,521.73,516.17,517.00,410,300
2024-11-29,519.28,521.98,517.60,517.93,247,300
2024-11-27,523.68,524.66,518.78,519.23,333,800
2024-11-26,520.20,528.22,518.92,523.00,545,700
2024-11-25,522.47,525.87,518.30,518.97,778,000
2024-11-22,519.79,526.85,516.41,519.78,415,900
2024-11-21,520.19,523.70,516.44,519.24,526,000
2024-11-20,517.43,519.32,513.85,518.00,482,500
2024-11-19,514.70,519.45,514.63,517.73,380,700
2024-11-18,520.93,526.82,518.25,520.73,368,100
2024-11-15,528.61,535.92,522.47,522.86,460,000
2024-11-14,552.49,555.10,532.60,537.10,450,800
2024-11-13,548.65,555.98,546.24,551.80,420,100
2024-11-12,550.58,553.46,547.22,550.66,335,100
2024-11-11,551.17,559.00,548.29,548.96,367,000
