Date,Open,High,Low,Close,Volume
"Sep 3, 2025","163.82","165.94","163.82","165.32","976,100"
"Sep 2, 2025","159.89","163.88","159.82","163.79","1,298,500"
"Aug 29, 2025","165.66","165.85","163.11","163.43","703,400"
"Aug 28, 2025","165.86","166.56","164.72","166.53","958,500"
"Aug 27, 2025","163.98","165.38","163.65","165.02","771,500"
"Aug 26, 2025","165.20","166.74","164.17","164.39","1,296,600"
"Aug 25, 2025","166.51","166.69","164.69","165.32","798,000"
"Aug 22, 2025","162.17","167.99","161.16","166.87","1,035,100"
"Aug 21, 2025","157.98","160.71","157.73","160.59","1,209,600"
"Aug 20, 2025","155.87","158.88","152.85","158.51","2,598,700"
"Aug 19, 2025","165.01","166.20","163.12","163.48","1,546,300"
"Aug 18, 2025","163.62","165.38","163.44","164.43","1,411,100"
"Aug 15, 2025","164.55","164.55","162.62","163.40","1,061,200"
"Aug 14, 2025","168.25","168.52","162.72","164.48","841,700"
"Aug 13, 2025","167.74","170.54","167.34","170.22","1,158,400"
"Aug 12, 2025","162.45","167.16","161.92","167.09","857,700"
"Aug 11, 2025","164.74","165.90","161.25","161.49","744,600"
"Aug 8, 2025","162.44","165.92","161.40","164.96","715,600"
"Aug 7, 2025","162.99","162.99","160.00","161.25","589,600"
"Aug 6, 2025","161.90","162.20","159.76","160.75","666,600"
"Aug 5, 2025","162.64","162.97","158.76","161.32","1,014,500"
"Aug 4, 2025","159.44","161.84","158.72","161.72","1,028,600"
"Aug 1, 2025","161.06","161.06","156.13","158.68","853,200"
"Jul 31, 2025","166.47","167.65","163.88","163.91","791,200"
"Jul 30, 2025","168.00","168.73","166.04","167.55","887,100"
"Jul 29, 2025","168.10","168.61","165.93","167.01","791,700"
"Jul 28, 2025","166.49","167.37","165.83","166.60","652,000"
"Jul 25, 2025","165.43","166.74","164.97","166.45","766,700"
"Jul 24, 2025","167.01","167.13","164.77","165.61","758,400"
"Jul 23, 2025","166.00","168.11","164.76","167.99","755,800"
"Jul 22, 2025","162.89","165.90","162.33","165.27","692,400"
