Date,Open,High,Low,Close,Adj Close,Volume
"Sep 3, 2025","847.66","847.66","832.24","843.90","843.90","933,600"
"Sep 2, 2025","845.84","852.85","836.73","846.35","846.35","1,241,600"
"Aug 29, 2025","881.50","885.00","864.81","872.00","872.00","954,300"
"Aug 28, 2025","893.01","897.00","885.00","894.00","894.00","964,200"
"Aug 27, 2025","885.89","890.63","879.99","888.89","888.89","528,500"
"Aug 26, 2025","881.27","892.88","881.27","888.10","888.10","812,300"
"Aug 25, 2025","870.27","886.75","866.02","879.55","879.55","469,300"
"Aug 22, 2025","872.39","893.83","869.23","870.28","870.28","946,300"
"Aug 21, 2025","876.44","881.29","866.62","872.39","872.39","730,500"
"Aug 20, 2025","878.53","880.23","860.21","878.44","878.44","978,500"
"Aug 19, 2025","883.39","889.25","874.13","876.08","876.08","986,700"
"Aug 18, 2025","1.9","","","","",""
"Aug 18, 2025","873.04","883.76","870.43","883.39","883.39","853,800"
"Aug 15, 2025","924.23","924.23","873.16","874.94","873.04","2,064,500"
"Aug 14, 2025","941.66","959.26","934.92","955.41","953.34","1,005,300"
"Aug 13, 2025","940.00","952.35","937.55","949.48","947.42","900,700"
"Aug 12, 2025","913.68","939.26","907.48","935.53","933.50","1,027,900"
"Aug 11, 2025","922.15","933.34","907.64","910.18","908.20","814,000"
"Aug 8, 2025","913.00","917.94","905.68","914.80","912.81","719,500"
"Aug 7, 2025","912.40","917.53","904.98","912.06","910.08","717,200"
"Aug 6, 2025","883.41","889.12","869.22","888.28","886.35","935,000"
"Aug 5, 2025","917.00","921.99","875.96","883.41","881.49","1,178,300"
"Aug 4, 2025","896.75","917.78","891.00","915.62","913.63","1,064,500"
"Aug 1, 2025","856.20","894.16","855.28","886.64","884.71","1,474,600"
"Jul 31, 2025","864.45","897.19","860.00","879.03","877.12","2,284,100"
"Jul 30, 2025","922.65","927.82","913.38","924.99","922.98","1,058,200"
"Jul 29, 2025","928.59","936.97","915.10","916.09","914.10","1,027,200"
"Jul 28, 2025","917.36","931.94","915.00","923.15","921.15","839,900"
"Jul 25, 2025","892.34","905.00","888.07","902.09","900.13","808,000"
"Jul 24, 2025","901.81","912.32","894.20","904.18","902.22","549,700"
"Jul 23, 2025","899.39","900.00","879.81","897.09","895.14","1,207,500"
"Jul 22, 2025","938.67","938.67","890.00","892.22","890.28","1,619,800"
"Jul 21, 2025","928.46","945.01","925.65","937.76","935.72","673,700"
"Jul 18, 2025","945.87","945.87","924.82","931.12","929.10","682,000"
"Jul 17, 2025","924.01","942.97","910.00","937.08","935.05","1,135,300"
"Jul 16, 2025","913.12","936.38","897.38","933.49","931.46","1,226,900"
"Jul 15, 2025","934.00","942.34","929.65","936.53","934.50","746,200"
"Jul 14, 2025","916.72","926.76","906.26","921.84","919.84","567,800"
"Jul 11, 2025","925.50","930.18","921.21","924.58","922.57","570,500"
