Date,Open,High,Low,Close,Volume
2025-09-03,209.49,212.72,207.17,207.31,453,200
2025-09-02,211.40,213.34,208.69,209.86,518,500
2025-08-29,219.23,220.00,213.54,215.44,417,300
2025-08-28,219.08,219.88,217.25,218.46,516,500
2025-08-27,214.97,219.72,214.97,218.91,517,100
2025-08-26,214.83,218.10,214.00,214.64,639,600
2025-08-25,215.87,216.29,214.12,214.87,338,700
2025-08-22,212.42,218.21,212.29,216.26,422,100
2025-08-21,211.03,212.57,208.40,212.41,403,000
2025-08-20,214.71,215.53,209.37,212.02,562,000
2025-08-19,217.85,220.59,215.01,215.55,417,600
2025-08-18,214.79,217.08,213.35,216.85,534,900
2025-08-15,215.21,216.09,214.07,214.79,368,800
2025-08-14,218.31,220.17,214.93,215.20,679,100
2025-08-13,214.58,220.72,211.22,220.19,548,800
2025-08-12,205.50,213.40,205.50,212.75,481,000
2025-08-11,205.80,207.16,203.99,205.25,506,500
2025-08-08,211.89,212.57,204.77,205.80,389,700
2025-08-07,217.38,218.25,208.68,211.28,618,100
2025-08-06,216.44,219.24,213.85,215.99,336,200
2025-08-05,219.46,219.46,214.28,215.77,453,500
2025-08-04,217.21,218.64,215.75,218.55,455,400
2025-08-01,216.83,218.67,212.49,214.66,476,300
2025-07-31,227.43,227.43,219.63,219.66,850,900
2025-07-30,225.90,229.58,223.00,227.94,1,351,300
2025-07-29,220.84,226.28,218.81,225.41,918,500
2025-07-28,219.25,224.00,219.25,221.47,544,300
2025-07-25,221.14,222.72,217.65,217.75,479,300
2025-07-24,214.69,222.20,214.32,220.28,1,157,000
2025-07-23,245.00,247.22,212.34,217.71,1,903,500
2025-07-22,200.19,203.83,199.22,202.79,649,100
2025-07-21,202.24,203.57,198.87,199.73,616,500
2025-07-18,204.24,204.24,200.46,202.05,337,700
2025-07-17,200.59,204.12,199.75,203.90,558,500
2025-07-16,197.69,200.24,195.57,199.99,418,900
2025-07-15,198.90,199.24,196.00,196.16,351,400
2025-07-14,193.09,198.44,192.99,197.85,585,600
2025-07-11,198.79,198.90,195.79,196.16,357,900
2025-07-10,202.68,203.02,197.41,199.78,422,600
2025-07-09,203.44,203.51,199.94,202.84,306,900
2025-07-08,201.33,204.09,201.23,202.75,685,200
2025-07-07,198.75,201.36,198.12,201.00,496,600
2025-07-03,199.32,201.81,197.43,199.93,269,900
2025-07-02,197.09,199.16,196.93,198.71,416,600
2025-07-01,196.29,200.46,194.52,198.01,670,600
2025-06-30,197.35,198.74,195.00,197.47,556,000
2025-06-27,194.23,198.02,191.93,197.25,1,127,500
2025-06-26,191.92,194.65,188.49,194.22,680,600
2025-06-25,195.80,195.95,191.34,191.48,410,500
2025-06-24,193.27,195.37,193.06,194.64,385,600
2025-06-23,186.16,193.41,185.72,192.67,740,200
2025-06-20,188.78,189.99,184.57,186.29,1,065,800
2025-06-18,191.60,191.60,187.60,188.50,709,700
2025-06-17,191.65,193.64,191.04,191.52,580,600
2025-06-16,190.30,192.74,189.85,192.63,531,000
2025-06-13,186.86,191.25,186.86,189.31,566,900
2025-06-12,188.75,193.69,188.75,192.88,742,800
2025-06-11,193.40,194.77,188.28,189.33,694,700
2025-06-10,192.26,194.41,190.61,193.28,838,600
2025-06-09,193.00,195.26,191.58,193.65,640,400
2025-06-06,192.15,193.09,189.41,192.78,625,100
2025-06-05,191.84,192.70,189.85,190.18,679,500
2025-06-04,186.98,191.90,185.32,190.87,871,400
2025-06-03,184.28,187.71,182.34,186.98,1,411,300
2025-06-02,186.98,188.02,181.85,184.49,1,089,200
2025-05-30,187.40,190.00,184.47,188.78,6,197,600
2025-05-29,188.99,189.02,185.62,188.89,750,000
2025-05-28,191.08,192.74,187.95,188.28,667,700
2025-05-27,188.00,191.11,186.50,191.03,616,100
2025-05-23,182.52,186.01,181.86,185.23,692,300
2025-05-22,187.91,189.44,186.60,187.49,556,700
2025-05-21,188.58,191.13,187.23,187.97,706,800
2025-05-20,192.58,192.58,189.73,191.85,608,700
2025-05-19,190.26,193.30,190.03,193.06,447,500
2025-05-16,193.56,194.66,192.88,194.49,451,000
2025-05-15,194.01,194.56,191.31,193.10,648,900
2025-05-14,194.82,195.73,191.33,194.20,887,300
2025-05-13,196.00,197.32,194.70,195.54,581,200
2025-05-12,192.85,196.14,192.21,196.00,797,100
2025-05-09,187.05,187.36,183.67,184.37,377,400
2025-05-08,185.95,188.16,184.82,186.86,458,200
2025-05-07,183.30,186.81,182.40,183.91,761,600
2025-05-06,180.89,185.26,180.72,182.83,635,400
2025-05-05,181.69,185.87,181.02,183.99,535,400
2025-05-02,181.78,184.31,181.40,183.41,527,700
2025-05-01,179.94,181.39,177.65,178.63,536,200
2025-04-30,173.52,177.73,171.42,177.39,658,600
2025-04-29,173.34,178.54,172.82,176.25,738,100
2025-04-28,174.79,175.58,172.13,174.38,649,700
2025-04-25,174.25,176.18,171.86,174.58,569,800
2025-04-24,171.95,174.42,168.16,174.21,670,000
2025-04-23,178.47,188.36,171.22,171.95,2,099,300
2025-04-22,161.83,163.86,158.80,162.25,1,487,100
2025-04-21,160.75,161.67,157.26,160.51,739,700
2025-04-17,161.93,164.32,161.01,163.57,643,600
2025-04-16,163.00,164.50,159.09,161.09,854,500
2025-04-15,163.20,165.47,162.53,164.35,568,900
2025-04-14,163.00,163.45,157.51,162.61,913,000
2025-04-11,157.99,159.59,152.53,158.67,890,100
2025-04-10,157.83,160.57,153.34,157.64,1,045,300
2025-04-09,142.68,167.99,142.68,166.26,1,343,500
2025-04-08,151.05,152.40,141.88,143.90,1,007,600
2025-04-07,146.88,155.20,140.81,146.40,1,659,900
2025-04-04,154.43,156.13,150.20,152.05,1,148,700
2025-04-03,170.53,170.62,160.93,161.76,887,200
2025-04-02,172.64,179.13,172.06,178.89,608,200
2025-04-01,173.57,175.23,170.59,174.76,646,900
2025-03-31,171.36,174.12,169.16,173.04,792,500
2025-03-28,174.84,176.20,171.33,173.48,691,700
2025-03-27,175.55,176.55,172.90,174.82,358,300
2025-03-26,178.69,179.12,175.42,175.62,491,600
2025-03-25,177.96,179.96,176.94,179.55,671,500
2025-03-24,174.22,178.21,173.09,177.97,745,300
2025-03-21,169.86,174.13,168.30,171.08,2,852,800
2025-03-20,173.36,175.66,172.19,172.44,861,300
2025-03-19,173.71,176.55,173.08,174.49,659,900
2025-03-18,175.56,175.95,171.21,172.78,628,500
2025-03-17,171.62,177.69,171.62,175.65,874,400
2025-03-14,164.62,174.14,164.07,172.50,1,102,600
2025-03-13,166.85,166.85,163.10,163.50,584,100
2025-03-12,168.48,168.77,166.17,166.66,655,000
2025-03-11,165.44,169.45,164.85,167.52,723,800
2025-03-10,168.71,168.71,164.48,165.64,887,000
2025-03-07,169.08,171.92,166.31,170.73,845,800
2025-03-06,170.09,173.55,167.79,169.06,996,300
2025-03-05,169.87,173.35,168.04,172.93,568,100
2025-03-04,171.22,173.86,169.20,171.41,715,900
2025-03-03,178.35,178.35,172.92,173.09,663,800
2025-02-28,174.61,177.73,173.02,176.88,837,200
2025-02-27,179.61,180.69,174.91,175.20,464,700
2025-02-26,178.12,181.23,176.59,177.61,478,200
2025-02-25,177.54,180.83,175.49,178.08,1,443,100
2025-02-24,181.96,181.96,174.79,176.95,2,041,300
2025-02-21,185.84,186.76,180.81,182.51,735,500
2025-02-20,182.08,186.15,181.80,185.98,560,100
2025-02-19,186.29,187.49,182.40,183.21,623,000
2025-02-18,190.18,191.99,185.61,187.52,759,700
2025-02-14,187.59,192.29,186.71,190.41,857,800
2025-02-13,184.09,188.94,182.02,187.58,1,617,400
2025-02-12,176.12,182.81,175.62,181.95,1,614,400
2025-02-11,177.19,179.05,169.94,178.33,4,000,300
2025-02-10,198.14,198.65,177.12,177.70,2,844,300
2025-02-07,199.57,203.66,199.00,200.90,701,400
2025-02-06,201.72,204.00,197.60,198.07,618,800
2025-02-05,199.71,201.16,196.09,200.72,716,200
2025-02-04,200.40,201.80,196.04,196.51,799,500
2025-02-03,204.76,205.42,199.35,200.28,1,037,100
2025-01-31,215.13,218.25,206.71,208.59,1,299,300
2025-01-30,224.51,224.85,213.99,214.14,1,473,300
2025-01-29,222.80,238.00,218.30,222.84,3,271,300
2025-01-28,288.01,299.27,285.59,295.10,703,700
2025-01-27,283.26,294.25,282.16,288.23,482,900
2025-01-24,285.95,289.67,282.93,289.38,556,900
2025-01-23,280.85,285.05,279.37,284.96,275,700
2025-01-22,284.78,285.45,280.27,281.95,274,200
2025-01-21,274.27,282.52,274.27,282.08,334,500
2025-01-17,278.92,278.92,272.90,273.43,241,500
2025-01-16,275.21,277.33,273.12,275.43,336,500
2025-01-15,273.71,278.31,273.24,274.46,415,400
2025-01-14,265.92,271.70,265.92,271.00,426,300
2025-01-13,262.26,266.24,262.07,265.33,277,200
2025-01-10,267.09,268.95,263.91,265.38,327,500
2025-01-08,267.62,273.03,266.66,272.49,249,100
2025-01-07,273.30,274.18,265.89,268.20,293,300
2025-01-06,273.99,281.00,263.86,271.36,374,500
2025-01-03,268.84,273.99,267.08,272.84,280,400
2025-01-02,271.88,273.09,267.14,268.84,293,500
2024-12-31,272.04,275.19,268.99,270.24,330,900
2024-12-30,272.09,272.82,267.69,271.14,199,600
2024-12-27,279.08,279.08,269.83,275.19,482,700
2024-12-26,281.66,282.00,277.31,279.30,276,200
2024-12-24,279.02,282.30,277.78,282.27,130,300
2024-12-23,277.82,279.36,275.30,278.82,306,300
2024-12-20,279.00,282.74,275.51,280.26,976,300
2024-12-19,285.29,287.48,282.05,282.54,342,200
2024-12-18,295.70,295.70,280.73,281.63,368,400
2024-12-17,299.18,299.94,293.26,295.06,354,800
2024-12-16,298.65,301.08,296.99,300.88,245,600
2024-12-13,309.11,309.52,294.68,298.17,305,700
2024-12-12,300.48,312.60,298.95,309.78,416,600
2024-12-11,299.58,302.96,298.58,300.67,242,000
2024-12-10,299.76,302.79,295.03,297.67,377,000
2024-12-09,301.33,302.74,297.51,299.70,323,600
2024-12-06,304.42,306.21,299.96,302.59,341,800
2024-12-05,301.08,304.14,299.56,302.60,511,700
2024-12-04,300.00,306.63,298.01,303.33,401,300
2024-12-03,285.05,299.76,284.81,297.09,549,300
2024-12-02,284.05,286.54,282.44,286.37,323,700
2024-11-29,287.82,291.78,285.43,285.44,171,200
2024-11-27,288.45,288.95,283.77,287.68,274,700
2024-11-26,290.13,294.90,286.40,288.95,413,500
2024-11-25,286.94,293.35,285.35,290.74,1,168,400
2024-11-22,271.67,281.31,271.67,280.40,444,900
2024-11-21,274.44,275.50,271.37,271.89,394,500
2024-11-20,271.93,274.20,268.22,271.56,229,900
2024-11-19,268.77,271.83,266.46,270.74,299,700
2024-11-18,273.50,277.09,270.76,271.64,354,100
2024-11-15,277.51,280.85,272.01,272.62,302,700
2024-11-14,285.80,287.14,277.40,279.75,348,600
2024-11-13,284.65,292.55,284.65,287.39,361,000
2024-11-12,282.95,286.47,281.00,284.34,237,000
2024-11-11,284.68,286.40,282.54,283.08,293,400
2024-11-08,282.89,285.44,281.23,283.48,284,000
2024-11-07,282.11,287.00,282.11,283.67,430,400
2024-11-06,283.95,285.00,278.46,281.03,609,000
2024-11-05,265.73,266.43,262.92,266.43,399,200
2024-11-04,263.36,269.19,263.18,266.64,317,300
2024-11-01,264.54,266.45,263.44,264.35,329,400
2024-10-31,263.72,265.77,261.67,263.36,399,400
2024-10-30,276.72,276.72,265.27,265.79,468,200
2024-10-29,275.36,279.24,274.17,277.26,407,100
2024-10-28,278.65,278.65,274.00,275.39,418,100
2024-10-25,273.65,278.52,273.65,275.70,375,300
2024-10-24,270.53,275.70,269.85,273.49,685,600
2024-10-23,280.00,280.00,264.08,271.36,1,446,700
2024-10-22,295.02,296.52,292.20,292.32,759,800
2024-10-21,297.73,299.32,292.32,295.54,535,000
2024-10-18,304.68,306.40,297.80,298.28,333,800
2024-10-17,304.70,305.43,302.27,304.54,343,700
2024-10-16,302.35,303.89,300.76,303.36,600,400
2024-10-15,304.83,307.50,301.27,301.40,472,200
2024-10-14,300.74,305.61,298.34,304.64,528,100
2024-10-11,294.94,299.67,294.94,299.50,365,200
2024-10-10,290.48,294.27,289.45,294.00,498,100
2024-10-09,286.89,292.41,286.89,292.26,240,200
2024-10-08,280.96,286.54,280.45,286.28,264,200
2024-10-07,282.00,284.91,279.36,280.67,522,800
2024-10-04,280.28,282.63,277.06,282.41,284,000
2024-10-03,277.36,280.34,276.71,277.28,240,000
2024-10-02,273.82,279.89,273.82,277.36,514,600
2024-10-01,282.37,282.37,274.24,274.75,398,100
2024-09-30,279.91,282.13,278.94,281.38,392,100
2024-09-27,283.81,284.22,279.63,280.25,192,300
2024-09-26,287.63,287.63,281.33,283.81,367,500
