Date,Open,High,Low,Close,Adj Close,Volume
2025-09-03,7.67,7.80,7.64,7.65,7.65,385,200
2025-09-02,7.55,7.79,7.44,7.78,7.78,370,500
2025-08-29,7.84,7.90,7.64,7.73,7.73,248,500
2025-08-28,7.82,7.88,7.67,7.80,7.80,393,800
2025-08-27,7.58,7.83,7.58,7.76,7.76,342,300
2025-08-26,7.56,7.73,7.56,7.64,7.64,458,000
2025-08-25,7.45,7.64,7.42,7.51,7.51,388,800
2025-08-22,6.72,7.62,6.68,7.50,7.50,605,700
2025-08-21,6.64,6.70,6.52,6.66,6.66,332,100
2025-08-20,6.80,6.88,6.65,6.68,6.68,347,700
2025-08-19,6.75,6.81,6.66,6.78,6.78,340,300
2025-08-18,6.70,6.78,6.64,6.73,6.73,233,100
2025-08-15,6.85,6.93,6.62,6.69,6.69,265,900
2025-08-14,6.84,6.92,6.62,6.81,6.81,444,800
2025-08-13,7.05,7.17,6.88,6.95,6.95,468,300
2025-08-12,6.67,6.99,6.59,6.97,6.97,1,116,300
2025-08-11,6.51,6.58,6.41,6.56,6.56,410,500
2025-08-08,6.49,6.52,6.21,6.48,6.48,522,500
2025-08-07,6.47,6.50,6.29,6.36,6.36,273,100
2025-08-06,6.21,6.35,6.16,6.33,6.33,350,800
2025-08-05,6.31,6.37,6.10,6.16,6.16,311,700
2025-08-04,6.38,6.44,6.24,6.24,6.24,228,900
2025-08-01,6.37,6.41,6.22,6.33,6.33,358,400
2025-07-31,6.51,6.68,6.50,6.56,6.56,362,000
2025-07-30,6.64,6.74,6.51,6.58,6.58,431,200
2025-07-29,6.78,6.78,6.57,6.60,6.60,333,100
2025-07-28,6.63,6.82,6.55,6.74,6.74,304,500
2025-07-25,6.58,6.75,6.51,6.61,6.61,423,400
2025-07-24,6.78,6.78,6.50,6.51,6.51,358,000
2025-07-23,6.78,6.87,6.60,6.84,6.84,754,900
2025-07-22,6.71,6.88,6.62,6.65,6.65,584,400
2025-07-21,6.63,6.72,6.54,6.70,6.70,551,900
2025-07-18,6.75,6.80,6.61,6.62,6.55,441,700
2025-07-17,6.66,6.78,6.62,6.75,6.68,456,500
2025-07-16,6.54,6.67,6.32,6.63,6.56,664,300
2025-07-15,6.73,6.73,6.42,6.48,6.41,889,700
2025-07-14,6.93,7.04,6.57,6.72,6.65,872,500
2025-07-11,7.54,7.57,6.92,6.93,6.86,1,350,400
2025-07-10,8.10,8.58,7.67,7.70,7.62,1,618,700
2025-07-09,10.39,10.57,10.02,10.29,10.18,690,100
2025-07-08,10.15,10.78,10.15,10.39,10.28,479,100
2025-07-07,9.99,10.24,9.88,10.07,9.96,310,100
2025-07-03,10.12,10.24,9.86,10.04,9.93,166,300
2025-07-02,9.82,10.15,9.82,9.94,9.83,248,700
2025-07-01,9.40,10.00,9.35,9.88,9.78,227,100
2025-06-30,9.50,9.61,9.35,9.51,9.41,184,500
2025-06-27,9.32,9.50,9.27,9.47,9.37,488,100
2025-06-26,9.30,9.42,9.23,9.36,9.26,153,100
2025-06-25,9.19,9.31,9.02,9.23,9.13,189,600
2025-06-24,9.06,9.18,9.00,9.12,9.02,185,500
2025-06-23,8.87,8.92,8.57,8.89,8.80,259,100
2025-06-20,9.15,9.26,8.97,8.98,8.89,551,000
2025-06-18,9.10,9.33,9.04,9.10,9.00,271,000
2025-06-17,9.21,9.41,9.07,9.09,8.99,298,600
2025-06-16,8.96,9.56,8.96,9.39,9.29,442,100
2025-06-13,8.78,8.96,8.75,8.81,8.72,337,500
2025-06-12,8.92,9.19,8.79,9.00,8.90,322,700
2025-06-11,8.73,9.10,8.67,9.04,8.94,421,700
2025-06-10,8.67,8.83,8.56,8.68,8.59,400,500
2025-06-09,8.35,8.65,8.32,8.57,8.48,258,500
2025-06-06,8.23,8.37,8.12,8.19,8.10,146,900
2025-06-05,8.04,8.13,7.91,8.00,7.92,230,400
2025-06-04,8.32,8.38,8.02,8.02,7.94,249,500
2025-06-03,7.92,8.32,7.90,8.31,8.22,274,200
2025-06-02,7.88,8.02,7.79,7.87,7.79,210,500
2025-05-30,7.91,8.04,7.86,7.95,7.87,228,300
2025-05-29,7.90,8.05,7.72,8.04,7.95,191,400
2025-05-28,7.89,7.91,7.79,7.80,7.72,229,300
2025-05-27,7.57,7.91,7.46,7.89,7.81,189,000
2025-05-23,7.11,7.49,7.11,7.48,7.40,247,200
2025-05-22,7.29,7.45,7.25,7.37,7.29,224,400
2025-05-21,7.36,7.51,7.33,7.36,7.28,198,800
2025-05-20,7.38,7.62,7.37,7.52,7.44,220,900
2025-05-19,7.35,7.45,7.28,7.43,7.35,189,500
2025-05-16,7.54,7.65,7.47,7.58,7.50,177,100
2025-05-15,7.45,7.60,7.40,7.53,7.45,226,400
2025-05-14,7.83,7.83,7.51,7.54,7.46,213,100
2025-05-13,7.76,7.96,7.65,7.85,7.77,215,300
2025-05-12,7.64,7.93,7.57,7.72,7.64,332,700
2025-05-09,7.06,7.15,6.99,7.10,7.02,208,800
2025-05-08,6.72,7.16,6.63,7.07,7.00,295,100
2025-05-07,6.49,6.70,6.41,6.59,6.52,279,000
2025-05-06,6.47,6.52,6.35,6.37,6.30,175,000
2025-05-05,6.61,6.68,6.46,6.60,6.53,168,900
2025-05-02,6.50,6.78,6.48,6.68,6.61,255,900
2025-05-01,6.32,6.45,6.28,6.38,6.31,275,900
2025-04-30,6.20,6.33,6.10,6.27,6.20,269,500
2025-04-29,6.38,6.43,6.19,6.39,6.32,559,800
2025-04-28,6.39,6.50,6.26,6.41,6.34,525,300
2025-04-25,6.19,6.40,6.13,6.40,6.33,363,900
2025-04-24,6.02,6.29,5.97,6.27,6.20,418,700
2025-04-23,6.11,6.25,5.95,5.97,5.91,292,000
2025-04-22,5.82,5.89,5.66,5.84,5.78,338,300
2025-04-21,5.58,5.77,5.47,5.71,5.65,259,900
2025-04-17,5.49,5.73,5.44,5.69,5.63,322,600
2025-04-16,5.65,5.79,5.56,5.64,5.44,289,900
2025-04-15,5.61,5.74,5.53,5.69,5.49,448,500
2025-04-14,5.94,5.94,5.49,5.70,5.50,301,700
2025-04-11,5.68,5.78,5.41,5.72,5.52,321,100
2025-04-10,5.75,5.87,5.50,5.73,5.53,687,800
2025-04-09,5.28,6.27,5.23,5.96,5.75,546,300
2025-04-08,5.96,5.96,5.25,5.35,5.16,326,000
2025-04-07,5.27,6.32,5.27,5.68,5.48,490,600
2025-04-04,5.55,5.90,5.08,5.78,5.58,749,700
2025-04-03,6.04,6.15,5.85,5.86,5.65,505,000
2025-04-02,6.22,6.59,6.22,6.56,6.33,310,600
2025-04-01,6.36,6.51,6.21,6.39,6.17,282,300
2025-03-31,6.40,6.52,6.25,6.38,6.16,325,200
2025-03-28,6.70,6.80,6.34,6.51,6.28,356,800
2025-03-27,6.83,6.84,6.61,6.75,6.51,286,700
2025-03-26,6.86,6.95,6.69,6.88,6.64,346,400
2025-03-25,6.85,7.02,6.74,6.85,6.61,360,800
2025-03-24,6.86,6.98,6.80,6.87,6.63,246,800
2025-03-21,6.60,6.75,6.56,6.68,6.45,684,800
2025-03-20,6.63,6.86,6.63,6.77,6.53,349,300
2025-03-19,6.60,6.98,6.52,6.81,6.57,496,700
