Date,Open,High,Low,Close,Adj Close,Volume
"Sep 3, 2025","101.84","102.45","98.59","100.24","100.24","933,900"
"Sep 2, 2025","99.85","102.01","97.50","101.95","101.95","844,900"
"Aug 29, 2025","106.33","106.96","102.24","103.34","103.34","993,200"
"Aug 28, 2025","106.40","107.84","105.31","107.52","107.52","705,900"
"Aug 27, 2025","106.55","106.55","105.04","105.68","105.68","749,300"
"Aug 26, 2025","106.25","107.84","106.16","106.55","106.55","1,187,300"
"Aug 25, 2025","0.22","","","","",""
"Aug 25, 2025","105.00","106.83","103.19","106.22","106.22","693,300"
"Aug 22, 2025","100.20","106.35","100.20","105.25","105.03","910,000"
"Aug 21, 2025","98.37","99.69","97.79","99.42","99.21","554,600"
"Aug 20, 2025","100.35","100.76","97.30","99.37","99.16","900,800"
"Aug 19, 2025","101.86","102.19","99.93","100.68","100.47","934,100"
"Aug 18, 2025","100.38","102.00","100.35","101.10","100.89","927,300"
"Aug 15, 2025","102.79","103.59","99.94","100.22","100.01","1,054,900"
"Aug 14, 2025","101.78","105.25","101.18","104.73","104.51","852,700"
"Aug 13, 2025","104.14","106.19","103.15","104.36","104.14","900,900"
"Aug 12, 2025","99.65","103.61","97.62","103.45","103.23","1,403,900"
"Aug 11, 2025","99.86","101.85","98.00","98.17","97.96","1,069,600"
"Aug 8, 2025","99.55","100.47","98.55","99.37","99.16","1,204,400"
"Aug 7, 2025","97.15","100.71","95.54","98.77","98.56","2,057,500"
"Aug 6, 2025","91.39","91.74","88.49","89.62","89.43","1,516,600"
"Aug 5, 2025","94.61","96.01","90.41","92.02","91.83","935,800"
"Aug 4, 2025","93.67","94.68","93.02","94.00","93.80","940,600"
"Aug 1, 2025","92.10","94.27","90.38","92.75","92.56","1,473,600"
"Jul 31, 2025","97.42","97.98","93.86","95.18","94.98","1,799,000"
"Jul 30, 2025","102.88","103.14","99.31","100.42","100.21","983,900"
"Jul 29, 2025","103.65","104.80","100.13","101.65","101.44","854,300"
"Jul 28, 2025","101.44","103.25","100.66","102.33","102.12","832,000"
"Jul 25, 2025","99.01","99.85","98.01","99.50","99.29","607,800"
"Jul 24, 2025","99.44","100.57","97.92","99.54","99.33","749,700"
"Jul 23, 2025","102.93","103.12","98.83","99.55","99.34","1,469,900"
"Jul 22, 2025","103.32","104.21","100.38","102.42","102.21","984,900"
"Jul 21, 2025","105.69","107.31","103.16","103.34","103.12","695,100"
"Jul 18, 2025","105.29","105.29","102.58","104.71","104.49","661,600"
"Jul 17, 2025","102.42","104.43","101.57","103.94","103.72","987,700"
"Jul 16, 2025","102.48","102.48","98.07","101.97","101.76","1,465,300"
"Jul 15, 2025","106.79","107.61","103.85","103.92","103.70","972,400"
"Jul 14, 2025","105.48","105.48","102.22","104.68","104.46","801,500"
"Jul 11, 2025","105.10","106.89","105.01","106.45","106.23","663,500"
"Jul 10, 2025","105.50","107.88","104.38","107.00","106.78","827,200"
"Jul 9, 2025","104.16","106.07","103.39","105.78","105.56","986,400"
"Jul 8, 2025","103.46","106.66","102.49","104.53","104.31","956,700"
"Jul 7, 2025","102.44","104.71","101.92","102.18","101.97","981,700"
"Jul 3, 2025","104.32","105.48","103.32","104.56","104.34","569,700"
"Jul 2, 2025","100.50","104.72","100.47","104.62","104.40","888,100"
"Jul 1, 2025","97.81","102.41","97.16","100.72","100.51","778,400"
"Jun 30, 2025","100.41","100.61","98.82","99.36","99.15","742,800"
"Jun 27, 2025","100.27","100.80","98.21","100.21","100.00","1,483,800"
"Jun 26, 2025","99.48","100.51","98.25","100.27","100.06","858,500"
"Jun 25, 2025","98.52","98.97","97.11","98.66","98.45","781,500"
"Jun 24, 2025","94.88","98.42","94.73","97.82","97.62","1,515,500"
"Jun 23, 2025","90.05","92.24","89.02","92.07","91.88","1,097,100"
"Jun 20, 2025","92.98","93.40","88.86","90.71","90.52","1,747,200"
"Jun 18, 2025","92.64","93.53","91.81","92.17","91.98","548,600"
"Jun 17, 2025","92.79","94.62","91.95","92.01","91.82","606,700"
"Jun 16, 2025","91.28","93.99","90.91","93.61","93.41","799,300"
"Jun 13, 2025","90.52","92.36","89.09","89.37","89.18","1,085,300"
"Jun 12, 2025","92.95","94.60","92.35","93.75","93.55","937,900"
"Jun 11, 2025","96.12","96.12","92.52","93.67","93.47","925,200"
"Jun 10, 2025","92.19","95.00","92.06","94.15","93.95","1,134,200"
"Jun 9, 2025","90.20","92.83","89.79","91.59","91.40","1,131,500"
"Jun 6, 2025","89.00","90.26","88.46","88.64","88.45","509,900"
"Jun 5, 2025","88.30","89.31","86.05","87.16","86.98","721,200"
"Jun 4, 2025","86.59","88.73","86.26","87.88","87.70","821,200"
