Date,Open,High,Low,Close,Adj Close,Volume
"Sep 3, 2025","830.26","830.26","809.54","827.56","827.56","432,600"
"Sep 2, 2025","811.11","824.97","800.97","823.65","823.65","517,400"
"Aug 29, 2025","849.41","853.49","825.16","835.76","835.76","568,900"
"Aug 28, 2025","866.98","875.05","857.40","858.46","858.46","468,100"
"Aug 27, 2025","847.90","870.00","843.53","866.32","866.32","326,600"
"Aug 26, 2025","839.86","857.99","839.86","850.64","850.64","404,000"
"Aug 25, 2025","841.41","850.44","832.20","837.86","837.86","348,000"
"Aug 22, 2025","822.24","859.79","820.64","844.00","844.00","548,800"
"Aug 21, 2025","814.22","831.31","812.00","820.74","820.74","413,000"
"Aug 20, 2025","840.83","847.57","805.94","826.27","826.27","673,100"
"Aug 19, 2025","854.40","868.00","839.96","844.80","844.80","557,900"
"Aug 18, 2025","823.59","853.24","823.01","850.31","850.31","563,800"
"Aug 15, 2025","851.92","851.92","823.85","826.47","826.47","575,600"
"Aug 14, 2025","845.53","854.99","836.51","848.81","848.81","582,300"
"Aug 13, 2025","845.60","865.13","840.00","861.80","861.80","543,900"
"Aug 12, 2025","807.80","844.00","803.00","840.56","840.56","713,900"
"Aug 11, 2025","806.23","815.40","795.82","797.51","797.51","540,400"
"Aug 8, 2025","798.52","815.00","794.50","804.29","804.29","399,400"
"Aug 7, 2025","816.30","819.50","785.00","797.94","797.94","640,200"
"Aug 6, 2025","802.00","807.40","790.07","805.85","805.85","416,400"
"Aug 5, 2025","830.00","834.44","774.14","802.78","802.78","988,800"
"Aug 4, 2025","791.42","831.97","778.90","830.63","830.63","1,360,400"
"Aug 1, 2025","740.00","803.00","711.46","785.62","785.62","1,524,100"
"Jul 31, 2025","731.24","740.00","706.00","711.24","711.24","1,344,500"
"Jul 30, 2025","734.46","747.50","726.05","730.54","730.54","629,600"
"Jul 29, 2025","745.52","751.49","715.00","724.37","724.37","488,700"
"Jul 28, 2025","722.56","741.07","721.72","738.55","738.55","545,500"
"Jul 25, 2025","711.61","718.25","704.02","714.68","714.68","275,900"
"Jul 24, 2025","717.46","720.82","702.56","713.00","713.00","343,500"
"Jul 23, 2025","717.88","721.46","708.00","720.01","720.01","401,900"
"Jul 22, 2025","723.49","729.95","702.32","719.98","719.98","554,200"
"Jul 21, 2025","728.59","737.76","723.91","724.77","724.77","409,700"
"Jul 18, 2025","719.89","725.83","705.84","725.24","725.24","432,700"
"Jul 17, 2025","709.89","717.72","703.43","713.57","713.57","431,700"
"Jul 16, 2025","716.54","722.23","686.87","714.03","714.03","779,700"
"Jul 15, 2025","742.75","754.99","716.95","717.62","717.62","585,700"
"Jul 14, 2025","729.43","729.58","703.06","721.14","721.14","561,100"
"Jul 11, 2025","739.14","747.60","725.00","736.06","736.06","383,100"
"Jul 10, 2025","756.41","756.41","735.40","740.45","740.45","386,900"
"Jul 9, 2025","762.01","778.86","730.00","751.14","751.14","584,700"
"Jul 8, 2025","753.16","770.15","750.16","761.31","761.31","504,200"
"Jul 7, 2025","748.23","755.31","736.63","741.17","741.17","450,600"
"Jul 3, 2025","770.00","776.88","754.41","758.64","758.64","400,100"
"Jul 2, 2025","743.09","770.00","735.76","764.40","764.40","578,700"
"Jul 1, 2025","729.23","756.74","722.25","746.97","746.97","587,100"
"Jun 30, 2025","1.56","","","","",""
"Jun 30, 2025","737.48","741.49","723.20","731.38","731.38","396,500"
"Jun 27, 2025","736.09","745.48","724.98","736.03","734.47","562,300"
"Jun 26, 2025","728.00","744.01","718.99","735.17","733.61","494,500"
"Jun 25, 2025","717.32","724.99","708.83","722.82","721.29","337,400"
"Jun 24, 2025","705.85","719.15","700.65","716.58","715.06","709,700"
"Jun 23, 2025","685.90","695.00","671.18","692.62","691.15","480,600"
"Jun 20, 2025","704.97","704.97","676.66","685.90","684.45","1,074,600"
"Jun 18, 2025","693.85","706.40","686.06","693.24","691.77","455,200"
