Date,Open,High,Low,Close,Adj Close,Volume
"Sep 3, 2025","503.79","507.79","502.32","505.35","505.35","16,215,400"
"Sep 2, 2025","500.47","506.00","496.81","505.12","505.12","18,128,000"
"Aug 29, 2025","508.66","509.60","504.49","506.69","506.69","20,961,600"
"Aug 28, 2025","507.09","511.09","505.50","509.64","509.64","18,015,600"
"Aug 27, 2025","502.00","507.29","499.90","506.74","506.74","17,277,900"
"Aug 26, 2025","504.36","504.98","498.51","502.04","502.04","30,835,700"
"Aug 25, 2025","506.63","508.19","504.12","504.26","504.26","21,638,600"
"Aug 22, 2025","504.25","510.73","502.41","507.23","507.23","24,324,200"
"Aug 21, 2025","0.83","","","","",""
"Aug 21, 2025","503.69","507.63","502.72","504.24","504.24","18,443,300"
"Aug 20, 2025","509.87","511.00","504.44","505.72","504.89","27,723,000"
"Aug 19, 2025","515.00","515.16","508.55","509.77","508.93","21,481,000"
"Aug 18, 2025","521.59","522.82","514.02","517.10","516.25","23,760,600"
"Aug 15, 2025","522.77","526.10","519.08","520.17","519.32","25,213,300"
"Aug 14, 2025","522.56","525.95","520.14","522.48","521.62","20,269,100"
"Aug 13, 2025","532.11","532.70","519.37","520.58","519.73","19,619,200"
"Aug 12, 2025","523.75","530.98","522.70","529.24","528.37","18,667,000"
"Aug 11, 2025","522.30","527.59","519.72","521.77","520.91","20,194,400"
"Aug 8, 2025","522.60","524.66","519.41","522.04","521.18","15,531,000"
"Aug 7, 2025","526.80","528.09","517.55","520.84","519.99","16,079,100"
"Aug 6, 2025","530.90","531.70","524.03","524.94","524.08","21,355,700"
"Aug 5, 2025","537.18","537.30","527.24","527.75","526.88","19,171,600"
"Aug 4, 2025","528.27","538.25","528.13","535.64","534.76","25,349,000"
"Aug 1, 2025","535.00","535.80","520.86","524.11","523.25","28,977,600"
"Jul 31, 2025","555.23","555.45","531.90","533.50","532.62","51,617,300"
"Jul 30, 2025","515.17","515.95","509.44","513.24","512.40","26,380,400"
"Jul 29, 2025","515.53","517.62","511.56","512.57","511.73","16,469,200"
"Jul 28, 2025","514.08","515.00","510.12","512.50","511.66","14,308,000"
"Jul 25, 2025","512.47","518.29","510.36","513.71","512.87","19,125,700"
"Jul 24, 2025","508.77","513.67","507.30","510.88","510.04","16,107,000"
"Jul 23, 2025","506.75","506.79","500.70","505.87","505.04","16,396,600"
"Jul 22, 2025","510.97","511.20","505.27","505.27","504.44","13,868,600"
"Jul 21, 2025","506.71","512.09","505.55","510.06","509.22","14,066,800"
"Jul 18, 2025","514.48","514.64","507.43","510.05","509.21","21,209,700"
"Jul 17, 2025","505.68","513.37","505.62","511.70","510.86","17,503,100"
"Jul 16, 2025","505.18","506.72","501.89","505.62","504.79","15,154,400"
"Jul 15, 2025","503.02","508.30","502.79","505.82","504.99","14,927,200"
"Jul 14, 2025","501.52","503.97","501.03","503.02","502.19","12,058,800"
"Jul 11, 2025","498.47","505.03","497.80","503.32","502.49","16,459,500"
"Jul 10, 2025","503.05","504.44","497.75","501.48","500.66","16,492,100"
"Jul 9, 2025","500.30","506.78","499.74","503.51","502.68","18,659,500"
"Jul 8, 2025","497.24","498.20","494.11","496.62","495.80","11,846,600"
"Jul 7, 2025","497.38","498.75","495.23","497.72","496.90","13,981,600"
"Jul 3, 2025","493.81","500.13","493.44","498.84","498.02","13,984,800"
"Jul 2, 2025","489.99","493.50","488.70","491.09","490.28","16,319,600"
"Jul 1, 2025","496.47","498.05","490.98","492.05","491.24","19,945,400"
"Jun 30, 2025","497.04","500.76","495.33","497.41","496.59","28,369,000"
"Jun 27, 2025","497.55","499.30","493.03","495.94","495.13","34,539,200"
"Jun 26, 2025","492.98","498.04","492.81","497.45","496.63","21,578,900"
"Jun 25, 2025","492.04","494.56","489.39","492.27","491.46","17,495,100"
"Jun 24, 2025","488.95","491.85","486.80","490.11","489.31","22,305,600"
"Jun 23, 2025","478.21","487.75","472.51","486.00","485.20","24,864,000"
"Jun 20, 2025","482.23","483.46","476.87","477.40","476.62","37,576,200"
"Jun 18, 2025","478.00","481.00","474.46","480.24","479.45","17,526,500"
"Jun 17, 2025","475.40","478.74","474.08","478.04","477.26","15,414,100"
"Jun 16, 2025","475.21","480.69","475.00","479.14","478.35","15,626,100"
"Jun 13, 2025","476.41","479.18","472.76","474.96","474.18","16,814,500"
"Jun 12, 2025","475.02","480.42","473.52","478.87","478.08","18,950,600"
"Jun 11, 2025","470.02","475.47","469.66","472.62","471.84","16,399,200"
"Jun 10, 2025","471.19","472.80","466.96","470.92","470.15","15,375,900"
"Jun 9, 2025","469.70","473.43","468.62","472.75","471.97","16,469,900"
"Jun 6, 2025","470.09","473.34","468.78","470.38","469.61","15,285,600"
"Jun 5, 2025","464.96","469.65","464.03","467.68","466.91","20,131,700"
"Jun 4, 2025","464.00","465.69","463.02","463.87","463.11","14,162,700"
"Jun 3, 2025","461.47","464.14","460.86","462.97","462.21","15,743,800"
"Jun 2, 2025","457.14","462.11","456.89","461.97","461.21","16,626,500"
"May 30, 2025","459.72","461.68","455.54","460.36","459.60","34,770,500"
"May 29, 2025","461.55","461.72","455.31","458.68","457.93","13,974,800"
"May 28, 2025","461.22","462.52","456.93","457.36","456.61","17,086,300"
"May 27, 2025","456.48","460.95","456.12","460.69","459.93","20,974,300"
"May 23, 2025","449.98","453.69","448.91","450.18","449.44","16,883,500"
"May 22, 2025","454.95","460.25","453.90","454.86","454.11","18,025,600"
"May 21, 2025","454.57","457.78","451.81","452.57","451.83","19,216,900"
"May 20, 2025","455.59","458.34","454.32","458.17","457.42","15,441,800"
"May 19, 2025","450.88","459.59","450.80","458.87","458.12","21,336,500"
"May 16, 2025","452.05","454.36","448.73","454.27","453.52","23,849,800"
"May 15, 2025","0.83","","","","",""
"May 15, 2025","450.77","456.19","450.43","453.13","452.39","21,992,300"
"May 14, 2025","448.14","453.90","448.14","452.94","451.37","19,902,800"
"May 13, 2025","447.78","450.67","445.36","449.14","447.58","23,618,800"
"May 12, 2025","445.94","449.37","439.78","449.26","447.70","22,821,900"
"May 9, 2025","440.00","440.74","435.88","438.73","437.21","15,324,200"
"May 8, 2025","437.93","443.67","435.66","438.17","436.65","23,491,300"
"May 7, 2025","433.84","438.12","431.11","433.35","431.85","23,295,300"
"May 6, 2025","432.20","437.73","431.17","433.31","431.81","15,104,200"
"May 5, 2025","432.87","439.50","432.11","436.17","434.66","20,136,100"
"May 2, 2025","431.74","439.44","429.99","435.28","433.77","30,757,400"
"May 1, 2025","431.11","436.99","424.90","425.40","423.92","58,938,100"
"Apr 30, 2025","390.30","396.66","384.44","395.26","393.89","36,461,100"
"Apr 29, 2025","391.30","395.10","390.38","394.04","392.67","14,974,000"
"Apr 28, 2025","391.96","392.74","386.64","391.16","389.80","16,579,400"
"Apr 25, 2025","387.00","392.16","384.60","391.85","390.49","18,973,200"
"Apr 24, 2025","375.70","388.45","375.19","387.30","385.96","22,232,300"
"Apr 23, 2025","376.06","380.39","373.02","374.39","373.09","20,545,500"
"Apr 22, 2025","363.38","367.77","359.86","366.82","365.55","19,485,000"
"Apr 21, 2025","362.82","364.48","355.67","359.12","357.87","20,807,300"
"Apr 17, 2025","373.75","374.32","366.89","367.78","366.50","21,120,200"
"Apr 16, 2025","380.67","381.61","368.00","371.61","370.32","21,967,800"
"Apr 15, 2025","388.51","391.89","384.16","385.73","384.39","17,199,900"
"Apr 14, 2025","393.22","394.65","384.21","387.81","386.46","19,251,200"
"Apr 11, 2025","380.64","390.05","378.89","388.45","387.10","23,839,200"
"Apr 10, 2025","382.06","383.90","367.80","381.35","380.03","38,024,400"
"Apr 9, 2025","353.54","393.23","353.10","390.49","389.13","50,199,700"
"Apr 8, 2025","368.26","373.65","350.25","354.56","353.33","35,868,900"
"Apr 7, 2025","350.88","371.00","344.79","357.86","356.62","50,425,000"
"Apr 4, 2025","364.13","374.59","359.48","359.84","358.59","49,209,900"
"Apr 3, 2025","374.79","377.48","369.35","373.11","371.82","30,198,000"
"Apr 2, 2025","377.97","385.08","376.62","382.14","380.81","16,092,600"
"Apr 1, 2025","374.65","382.85","373.23","382.19","380.86","19,689,500"
"Mar 31, 2025","372.54","377.07","367.24","375.39","374.09","35,184,700"
"Mar 28, 2025","388.08","389.13","376.93","378.80","377.49","21,632,000"
"Mar 27, 2025","390.13","392.24","387.40","390.58","389.22","13,766,800"
"Mar 26, 2025","395.00","395.31","388.57","389.97","388.62","16,108,400"
"Mar 25, 2025","393.92","396.36","392.64","395.16","393.79","15,775,000"
"Mar 24, 2025","395.40","395.40","389.81","393.08","391.72","21,004,500"
"Mar 21, 2025","383.22","391.74","382.80","391.26","389.90","39,675,900"
"Mar 20, 2025","385.74","391.79","383.28","386.84","385.50","18,470,500"
"Mar 19, 2025","385.53","389.68","384.00","387.82","386.47","19,185,500"
"Mar 18, 2025","387.07","387.37","381.10","383.52","382.19","19,486,900"
"Mar 17, 2025","386.70","392.71","385.57","388.70","387.35","22,474,300"
"Mar 14, 2025","379.78","390.23","379.51","388.56","387.21","19,952,800"
