Date,Open,High,Low,Close,Adj Close,Volume
"Sep 3, 2025","477.50","479.44","470.26","474.16","474.16","796,300"
"Sep 2, 2025","469.96","479.23","466.70","479.00","479.00","1,615,000"
"Aug 29, 2025","470.14","474.20","469.08","472.46","472.46","961,000"
"Aug 28, 2025","462.56","470.54","462.07","470.10","470.10","972,700"
"Aug 27, 2025","457.15","466.49","455.17","464.41","464.41","729,400"
"Aug 26, 2025","460.94","461.00","451.63","455.62","455.62","2,148,400"
"Aug 25, 2025","462.80","464.81","458.90","460.68","460.68","496,000"
"Aug 22, 2025","464.08","466.75","460.82","461.91","461.91","610,600"
"Aug 21, 2025","460.81","463.36","457.99","462.43","462.43","789,800"
"Aug 20, 2025","462.00","463.73","459.47","462.13","462.13","834,300"
"Aug 19, 2025","461.26","467.86","459.98","460.41","460.41","1,140,900"
"Aug 18, 2025","460.24","462.39","459.20","461.18","461.18","733,100"
"Aug 15, 2025","461.36","462.31","457.46","460.31","460.31","1,274,700"
"Aug 14, 2025","467.32","468.12","461.04","461.61","461.61","976,100"
"Aug 13, 2025","471.29","472.00","467.78","470.20","470.20","913,600"
"Aug 12, 2025","463.00","474.11","461.74","471.20","471.20","1,636,500"
"Aug 11, 2025","456.25","466.24","454.13","460.94","460.94","1,538,800"
"Aug 8, 2025","451.82","458.34","434.64","453.41","453.41","1,617,500"
"Aug 7, 2025","445.00","446.74","440.49","445.10","445.10","1,143,500"
"Aug 6, 2025","433.65","442.73","433.04","442.12","442.12","669,300"
"Aug 5, 2025","439.54","442.80","433.73","434.05","434.05","1,205,900"
"Aug 4, 2025","436.63","446.15","435.85","439.97","439.97","1,043,700"
"Aug 1, 2025","438.53","440.74","429.71","436.71","436.71","1,176,400"
"Jul 31, 2025","436.42","441.72","436.42","438.98","438.98","1,440,600"
"Jul 30, 2025","433.39","437.56","433.00","436.07","436.07","1,101,300"
"Jul 29, 2025","430.76","436.27","427.29","433.95","433.95","814,100"
"Jul 28, 2025","427.09","430.50","425.40","429.97","429.97","974,100"
"Jul 25, 2025","424.87","428.32","424.30","428.00","428.00","633,200"
"Jul 24, 2025","423.75","425.53","421.75","424.83","424.83","569,600"
"Jul 23, 2025","420.88","423.76","419.64","422.17","422.17","615,700"
"Jul 22, 2025","421.19","424.08","419.27","421.27","421.27","542,500"
"Jul 21, 2025","419.46","424.75","417.02","420.91","420.91","642,400"
"Jul 18, 2025","423.21","424.14","420.35","420.46","420.46","741,400"
"Jul 17, 2025","415.21","422.50","413.87","421.04","421.04","793,600"
"Jul 16, 2025","412.95","416.41","410.57","416.29","416.29","973,500"
"Jul 15, 2025","413.33","416.27","408.60","408.73","408.73","817,800"
"Jul 14, 2025","415.32","417.27","413.21","413.62","413.62","638,100"
"Jul 11, 2025","415.98","418.76","415.10","416.03","416.03","720,300"
"Jul 10, 2025","415.85","419.86","414.24","417.72","417.72","701,900"
"Jul 9, 2025","417.02","418.98","415.12","417.88","417.88","698,900"
"Jul 8, 2025","422.13","425.29","415.79","417.36","417.36","895,800"
"Jul 7, 2025","424.81","428.00","423.85","426.37","426.37","610,100"
"Jul 3, 2025","422.70","426.34","421.16","424.84","424.84","494,700"
"Jul 2, 2025","423.82","424.83","416.54","422.27","422.27","826,700"
"Jul 1, 2025","420.87","427.40","417.57","425.65","425.65","1,220,900"
"Jun 30, 2025","420.21","421.93","417.73","420.46","420.46","1,477,900"
"Jun 27, 2025","415.35","419.24","414.74","418.66","418.66","908,800"
"Jun 26, 2025","420.49","421.33","411.60","415.27","415.27","724,800"
"Jun 25, 2025","417.33","420.39","416.67","419.00","419.00","660,800"
"Jun 24, 2025","411.33","419.70","409.73","418.35","418.35","979,100"
"Jun 23, 2025","407.24","410.87","404.87","410.87","410.87","1,268,100"
"Jun 20, 2025","406.05","411.20","404.37","406.25","406.25","1,457,800"
"Jun 18, 2025","406.80","407.53","403.92","404.74","404.74","972,000"
"Jun 17, 2025","407.29","408.52","404.03","406.41","406.41","863,000"
"Jun 16, 2025","408.07","412.33","406.41","407.46","407.46","1,015,300"
"Jun 13, 2025","1.09","","","","",""
"Jun 13, 2025","411.57","413.51","406.97","408.10","408.10","718,100"
"Jun 12, 2025","412.04","414.51","407.83","413.07","411.98","643,700"
"Jun 11, 2025","412.40","413.03","407.48","409.07","407.99","840,900"
"Jun 10, 2025","412.97","414.14","410.48","412.24","411.15","677,300"
"Jun 9, 2025","416.54","417.80","411.76","412.77","411.68","616,400"
"Jun 6, 2025","418.12","421.22","416.58","417.92","416.82","594,700"
"Jun 5, 2025","418.86","419.75","413.22","416.12","415.02","993,000"
"Jun 4, 2025","424.12","424.52","417.37","417.40","416.30","1,068,200"
"Jun 3, 2025","416.93","425.08","416.93","422.21","421.10","1,196,300"
"Jun 2, 2025","415.13","419.23","413.15","419.17","418.06","767,200"
"May 30, 2025","418.00","418.00","409.67","415.38","414.28","3,176,700"
"May 29, 2025","419.80","421.73","412.36","418.43","417.33","864,500"
"May 28, 2025","421.21","425.00","417.90","420.83","419.72","1,098,400"
"May 27, 2025","421.41","425.21","419.83","420.44","419.33","923,900"
"May 23, 2025","420.06","421.30","416.97","418.92","417.81","563,200"
"May 22, 2025","426.70","428.56","420.75","421.72","420.61","623,800"
"May 21, 2025","422.04","428.87","421.09","426.44","425.31","1,116,400"
"May 20, 2025","424.58","426.41","422.00","422.93","421.81","653,000"
"May 19, 2025","423.93","427.18","422.30","425.29","424.17","771,500"
"May 16, 2025","425.13","425.36","420.70","424.18","423.06","1,659,000"
"May 15, 2025","417.72","425.70","417.50","425.58","424.46","906,600"
"May 14, 2025","415.00","418.53","411.61","415.20","414.10","924,100"
"May 13, 2025","412.91","418.22","411.94","413.28","412.19","850,000"
"May 12, 2025","408.20","413.13","401.36","412.91","411.82","1,034,600"
"May 9, 2025","411.57","411.57","404.22","406.50","405.43","940,600"
"May 8, 2025","417.56","418.20","409.21","410.37","409.29","940,800"
"May 7, 2025","411.32","418.02","411.32","415.15","414.05","949,000"
"May 6, 2025","402.16","413.79","400.50","412.64","411.55","1,023,300"
"May 5, 2025","405.94","407.17","399.06","405.37","404.30","1,157,000"
"May 2, 2025","417.35","420.77","397.00","406.42","405.35","2,340,600"
"May 1, 2025","440.50","444.37","438.77","439.16","438.00","981,700"
"Apr 30, 2025","435.84","441.55","430.98","440.39","439.23","795,100"
"Apr 29, 2025","430.22","438.14","430.22","435.76","434.61","509,800"
"Apr 28, 2025","430.12","433.83","428.51","431.01","429.87","661,700"
"Apr 25, 2025","430.00","430.59","425.54","430.22","429.08","436,300"
"Apr 24, 2025","422.98","429.25","421.53","428.14","427.01","425,000"
"Apr 23, 2025","423.61","429.64","422.18","424.16","423.04","601,400"
"Apr 22, 2025","416.29","421.37","414.22","419.79","418.68","842,000"
"Apr 21, 2025","417.56","418.33","408.27","412.35","411.26","567,300"
"Apr 17, 2025","425.91","426.36","419.41","420.95","419.84","651,900"
"Apr 16, 2025","425.73","430.70","418.90","420.45","419.34","619,700"
"Apr 15, 2025","428.95","431.74","427.59","430.64","429.50","691,400"
"Apr 14, 2025","425.00","429.11","423.35","426.45","425.32","999,600"
"Apr 11, 2025","415.92","424.64","410.70","422.37","421.26","789,900"
"Apr 10, 2025","414.63","420.09","404.73","414.87","413.78","1,061,400"
"Apr 9, 2025","393.13","419.94","391.09","417.19","416.09","1,563,500"
"Apr 8, 2025","407.00","418.19","390.14","394.72","393.68","1,311,600"
"Apr 7, 2025","402.15","416.70","388.90","403.12","402.06","1,958,400"
"Apr 4, 2025","428.71","439.88","401.71","402.13","401.07","1,726,300"
"Apr 3, 2025","427.94","441.21","427.94","435.50","434.35","1,497,700"
"Apr 2, 2025","431.66","439.58","430.44","436.99","435.84","822,700"
"Apr 1, 2025","436.38","439.67","433.99","435.99","434.84","1,014,100"
"Mar 31, 2025","431.51","439.77","431.51","437.81","436.65","1,224,300"
"Mar 28, 2025","433.27","434.49","431.67","432.99","431.85","833,500"
"Mar 27, 2025","430.67","433.56","427.00","432.33","431.19","660,700"
"Mar 26, 2025","430.88","436.29","428.73","431.23","430.09","598,300"
"Mar 25, 2025","429.95","435.45","427.99","429.19","428.06","612,600"
"Mar 24, 2025","427.49","430.37","424.49","429.34","428.21","575,400"
"Mar 21, 2025","422.34","424.89","419.09","422.71","421.59","1,140,500"
"Mar 20, 2025","422.19","425.16","419.19","422.28","421.17","556,900"
"Mar 19, 2025","422.59","424.97","420.01","424.36","423.24","495,100"
"Mar 18, 2025","420.28","423.43","419.44","421.90","420.79","567,200"
"Mar 17, 2025","416.80","423.90","415.40","421.59","420.48","856,500"
"Mar 14, 2025","1.09","","","","",""
"Mar 14, 2025","415.06","418.29","412.69","417.96","416.86","714,600"
"Mar 13, 2025","412.28","416.75","404.14","414.12","411.94","1,034,400"
"Mar 12, 2025","413.96","417.01","410.59","412.88","410.71","908,500"
"Mar 11, 2025","416.33","416.99","410.50","411.73","409.56","992,500"
"Mar 10, 2025","420.13","422.42","412.01","415.67","413.48","1,114,400"
"Mar 7, 2025","421.66","425.80","416.35","423.13","420.90","856,800"
"Mar 6, 2025","422.25","428.31","417.17","423.31","421.08","1,283,800"
"Mar 5, 2025","420.49","427.36","419.90","426.10","423.86","559,600"
"Mar 4, 2025","424.39","428.39","421.12","423.06","420.83","713,900"
"Mar 3, 2025","438.97","440.68","423.16","427.35","425.10","938,700"
"Feb 28, 2025","433.75","441.63","430.97","440.22","437.90","1,619,900"
"Feb 27, 2025","426.81","432.73","426.39","429.55","427.29","827,300"
"Feb 26, 2025","424.82","429.82","424.76","426.27","424.03","638,500"
"Feb 25, 2025","424.46","428.44","421.51","426.47","424.23","893,700"
"Feb 24, 2025","421.05","424.25","418.99","420.70","418.49","712,800"
"Feb 21, 2025","432.73","433.16","420.14","421.90","419.68","1,180,100"
"Feb 20, 2025","439.07","439.52","430.16","434.51","432.22","988,400"
"Feb 19, 2025","426.00","439.31","426.00","439.08","436.77","1,397,600"
"Feb 18, 2025","434.96","439.64","423.79","425.98","423.74","1,674,400"
"Feb 14, 2025","471.05","472.58","436.83","438.14","435.83","1,545,100"
"Feb 13, 2025","467.02","470.59","461.39","466.05","463.60","1,369,200"
"Feb 12, 2025","468.00","472.62","463.27","466.90","464.44","718,500"
"Feb 11, 2025","481.00","481.00","473.01","474.58","472.08","552,600"
"Feb 10, 2025","480.00","484.73","478.73","481.76","479.22","634,800"
"Feb 7, 2025","483.45","485.97","478.33","479.31","476.79","426,700"
"Feb 6, 2025","482.05","483.18","478.29","482.10","479.56","345,900"
"Feb 5, 2025","475.47","481.22","471.50","481.02","478.49","494,600"
"Feb 4, 2025","470.03","473.54","468.75","471.38","468.90","622,100"
