Date,Open,High,Low,Close,Volume
"Sep 3, 2025","15.63","15.87","15.04","15.23","1,101,000"
"Sep 2, 2025","15.14","15.67","15.09","15.62","1,131,300"
"Aug 29, 2025","16.50","16.54","15.64","15.72","1,028,500"
"Aug 28, 2025","16.70","16.99","16.48","16.76","1,975,600"
"Aug 27, 2025","17.14","17.15","16.68","16.74","1,424,100"
"Aug 26, 2025","16.69","17.43","16.58","17.22","2,857,700"
"Aug 25, 2025","16.33","17.08","16.25","16.63","2,091,000"
"Aug 22, 2025","15.27","16.43","15.07","16.35","2,273,300"
"Aug 21, 2025","14.13","15.17","14.13","15.15","1,167,100"
"Aug 20, 2025","14.33","14.48","13.91","14.27","1,745,700"
"Aug 19, 2025","15.39","15.39","14.31","14.36","1,480,100"
"Aug 18, 2025","15.31","15.47","15.21","15.42","764,000"
"Aug 15, 2025","15.49","15.49","14.98","15.29","1,253,100"
"Aug 14, 2025","15.62","15.73","15.26","15.54","706,200"
"Aug 13, 2025","16.09","16.23","15.63","15.98","1,142,200"
"Aug 12, 2025","15.23","16.10","15.18","15.97","1,285,300"
"Aug 11, 2025","15.13","15.36","15.00","15.07","1,163,500"
"Aug 8, 2025","15.35","15.54","15.02","15.13","1,809,900"
"Aug 7, 2025","15.40","15.41","14.98","15.31","928,500"
"Aug 6, 2025","15.06","15.27","14.85","15.20","1,335,600"
"Aug 5, 2025","15.41","15.41","14.72","15.12","1,487,300"
"Aug 4, 2025","15.35","15.53","14.96","15.25","2,350,600"
"Aug 1, 2025","15.30","15.66","14.96","15.21","1,928,700"
"Jul 31, 2025","16.85","16.98","15.64","15.82","1,619,700"
"Jul 30, 2025","17.67","17.67","16.64","16.99","1,464,000"
"Jul 29, 2025","16.98","17.57","16.52","17.31","2,198,600"
"Jul 28, 2025","16.56","16.79","15.98","16.74","2,208,400"
"Jul 25, 2025","17.30","17.31","15.94","16.36","2,783,900"
"Jul 24, 2025","19.80","20.00","16.71","17.25","11,124,600"
"Jul 23, 2025","15.31","15.68","15.14","15.32","2,066,500"
"Jul 22, 2025","15.82","15.82","14.88","15.44","1,549,100"
"Jul 21, 2025","16.46","16.64","15.80","15.92","1,033,400"
"Jul 18, 2025","16.05","16.50","15.93","16.20","1,348,000"
"Jul 17, 2025","14.71","16.02","14.71","15.59","1,630,700"
"Jul 16, 2025","14.39","14.70","14.03","14.58","955,000"
"Jul 15, 2025","15.22","15.35","14.40","14.40","1,254,500"
"Jul 14, 2025","14.90","15.07","14.23","14.96","641,600"
"Jul 11, 2025","14.86","15.14","14.76","14.94","462,500"
"Jul 10, 2025","15.03","15.40","14.76","15.13","753,900"
"Jul 9, 2025","14.84","15.26","14.78","14.91","1,054,100"
"Jul 8, 2025","14.47","14.92","14.26","14.91","812,600"
"Jul 7, 2025","14.50","14.61","14.24","14.32","753,000"
"Jul 3, 2025","14.73","14.96","14.58","14.79","507,500"
"Jul 2, 2025","14.19","14.71","14.12","14.57","720,100"
"Jul 1, 2025","14.05","14.36","13.86","14.20","812,700"
"Jun 30, 2025","14.23","14.44","14.10","14.21","800,400"
"Jun 27, 2025","14.37","14.37","14.00","14.14","2,716,700"
"Jun 26, 2025","13.73","14.39","13.57","14.32","1,006,500"
"Jun 25, 2025","13.75","13.75","13.32","13.71","649,500"
"Jun 24, 2025","13.31","13.75","13.25","13.60","643,100"
"Jun 23, 2025","13.07","13.28","12.73","13.09","694,700"
"Jun 20, 2025","13.27","13.39","12.87","13.17","1,247,800"
"Jun 18, 2025","12.87","13.22","12.80","13.11","1,329,100"
"Jun 17, 2025","11.99","12.80","11.86","12.76","1,113,400"
"Jun 16, 2025","11.90","12.28","11.74","12.11","622,100"
"Jun 13, 2025","11.99","12.23","11.63","11.67","698,500"
"Jun 12, 2025","12.27","12.53","12.27","12.34","570,100"
"Jun 11, 2025","12.75","12.80","12.30","12.43","878,600"
"Jun 10, 2025","12.73","12.84","12.51","12.57","833,400"
"Jun 9, 2025","12.50","12.89","12.41","12.58","1,169,300"
"Jun 6, 2025","12.26","12.54","12.13","12.28","849,800"
"Jun 5, 2025","12.35","12.53","12.04","12.11","982,300"
"Jun 4, 2025","12.20","12.45","12.05","12.21","846,100"
