Date,Open,High,Low,Close,Volume
2025-09-03,127.41,128.04,123.98,125.53,256,400
2025-09-02,128.85,129.04,126.33,127.43,346,100
2025-08-29,129.93,131.11,129.11,130.16,290,900
2025-08-28,129.81,130.52,127.80,129.65,270,000
2025-08-27,126.17,129.13,124.58,128.72,497,900
2025-08-26,131.12,132.37,126.54,126.69,542,100
2025-08-25,133.41,133.41,131.11,131.45,243,200
2025-08-22,129.40,135.89,129.39,133.86,318,700
2025-08-21,129.26,130.68,127.55,128.43,351,800
2025-08-20,131.48,132.44,129.52,129.52,288,900
2025-08-19,132.31,133.58,130.88,131.86,312,900
2025-08-18,130.07,132.82,129.05,131.92,535,400
2025-08-15,133.48,133.50,128.50,130.07,333,500
2025-08-14,133.16,133.21,131.03,132.64,299,300
2025-08-13,128.40,134.37,128.40,134.24,280,900
2025-08-12,124.89,129.66,124.47,128.52,388,000
2025-08-11,122.57,124.79,122.37,123.82,459,300
2025-08-08,118.18,123.90,118.18,123.13,446,000
2025-08-07,118.55,121.29,116.42,117.25,471,400
2025-08-06,117.61,119.43,115.99,117.23,316,000
2025-08-05,120.34,122.10,115.68,118.31,423,600
2025-08-04,120.50,122.96,117.34,119.91,546,300
2025-08-01,119.58,125.17,118.56,120.40,665,100
2025-07-31,139.14,142.43,118.30,118.58,1,080,800
2025-07-30,146.42,148.19,143.54,144.59,363,100
2025-07-29,146.65,148.58,145.62,146.66,256,400
2025-07-28,146.11,146.82,144.87,145.59,192,600
2025-07-25,145.14,146.21,143.39,145.82,130,500
2025-07-24,144.97,145.85,144.07,144.45,116,700
2025-07-23,143.70,146.33,143.70,146.17,126,500
2025-07-22,139.68,143.19,139.68,142.55,213,100
2025-07-21,140.31,142.12,138.98,139.88,187,600
2025-07-18,142.58,143.25,139.33,139.39,230,400
2025-07-17,138.05,141.51,136.00,141.25,315,100
2025-07-16,138.34,139.73,136.02,137.96,444,500
2025-07-15,141.73,144.12,137.21,137.21,195,900
2025-07-14,139.43,141.91,139.13,140.78,219,500
2025-07-11,142.81,143.99,139.26,139.99,163,100
2025-07-10,145.06,146.83,144.09,144.09,217,500
2025-07-09,145.50,145.77,143.03,145.44,141,200
2025-07-08,142.15,145.33,141.33,145.02,236,100
2025-07-07,142.58,145.01,140.71,142.38,272,800
2025-07-03,144.12,146.31,142.79,143.97,273,500
2025-07-02,141.32,144.66,141.00,142.76,414,200
2025-07-01,137.22,144.00,137.14,141.80,319,500
2025-06-30,135.82,139.41,135.25,138.09,398,300
2025-06-27,135.91,137.64,134.26,135.03,839,600
2025-06-26,134.93,136.28,134.20,135.79,140,700
2025-06-25,136.44,136.44,134.26,134.60,165,000
2025-06-24,134.09,136.64,133.46,135.85,256,500
2025-06-23,131.21,134.26,130.99,133.37,159,400
2025-06-20,134.54,135.67,131.15,131.57,637,300
2025-06-18,133.51,135.40,133.30,134.19,280,000
2025-06-17,130.58,135.40,130.58,133.41,304,300
2025-06-16,131.76,134.82,130.82,131.72,282,700
2025-06-13,131.86,133.31,130.58,131.05,266,000
2025-06-12,132.09,134.22,131.19,134.22,179,200
2025-06-11,137.81,139.72,132.80,133.34,298,200
2025-06-10,135.08,137.78,134.21,137.60,244,200
2025-06-09,135.10,136.57,134.03,134.20,218,900
2025-06-06,133.27,134.84,132.00,133.82,195,500
2025-06-05,130.80,132.54,128.74,132.23,209,600
2025-06-04,131.46,132.39,129.89,130.17,160,200
2025-06-03,128.78,131.41,127.06,131.31,212,900
2025-06-02,129.06,129.84,126.96,128.66,238,000
2025-05-30,131.68,133.75,129.01,130.39,297,700
2025-05-29,134.34,134.35,130.56,132.16,337,900
2025-05-28,136.64,137.06,133.78,133.97,278,500
2025-05-27,134.33,137.46,132.38,136.93,292,700
2025-05-23,130.67,134.80,130.66,132.08,187,100
2025-05-22,133.23,133.94,131.90,133.32,341,900
2025-05-21,135.19,136.72,133.03,133.44,247,500
2025-05-20,135.28,136.48,134.14,136.34,221,600
2025-05-19,135.40,136.33,135.06,135.28,253,900
2025-05-16,134.27,137.26,132.94,137.08,552,400
2025-05-15,135.61,136.25,133.26,134.60,354,700
