Date,Open,High,Low,Close,Adj Close,Volume
2025-09-03,38.57,39.86,38.44,39.76,39.76,580,000
2025-09-02,37.84,38.52,37.52,38.49,38.49,668,100
2025-08-29,38.14,38.14,37.50,38.05,38.05,445,300
2025-08-28,38.47,38.55,37.78,38.33,38.33,434,800
2025-08-27,37.16,38.60,37.05,38.41,38.41,612,700
2025-08-26,34.25,37.45,34.25,37.40,37.40,1,125,000
2025-08-25,34.44,35.76,31.47,33.64,33.64,1,493,300
2025-08-22,30.59,31.86,30.40,31.70,31.70,318,900
2025-08-21,30.14,30.53,30.03,30.39,30.39,251,300
2025-08-20,30.90,30.90,29.88,30.19,30.19,219,900
2025-08-19,30.68,31.21,30.57,30.80,30.80,186,200
2025-08-18,30.58,30.73,30.31,30.65,30.65,270,400
2025-08-15,31.16,31.16,30.29,30.49,30.49,186,200
2025-08-14,31.97,32.06,30.87,31.10,31.10,299,000
2025-08-13,31.08,32.49,31.07,32.45,32.45,340,800
2025-08-12,29.95,31.15,29.74,30.96,30.96,244,000
2025-08-11,29.90,30.04,29.59,29.72,29.72,132,100
2025-08-08,29.81,30.37,29.63,29.90,29.90,218,000
2025-08-07,29.99,30.04,29.27,29.57,29.57,240,100
2025-08-06,30.40,30.52,29.58,29.59,29.59,240,900
2025-08-05,31.10,31.10,30.44,30.46,30.46,255,400
2025-08-04,30.34,31.05,30.34,30.99,30.99,168,600
2025-08-01,30.11,30.34,29.69,30.23,30.23,213,700
2025-07-31,30.84,31.32,30.40,30.53,30.53,267,800
2025-07-30,30.93,31.64,30.71,30.95,30.95,269,700
2025-07-29,31.37,31.70,30.84,30.89,30.89,280,500
2025-07-28,30.50,31.05,30.32,31.03,31.03,279,700
2025-07-25,29.87,30.44,29.84,30.42,30.42,267,400
2025-07-24,30.49,30.55,29.55,29.70,29.70,388,600
2025-07-23,30.52,30.91,30.21,30.55,30.55,230,800
2025-07-22,30.39,30.47,30.12,30.31,30.31,241,400
2025-07-21,30.47,30.72,30.32,30.44,30.44,155,500
2025-07-18,31.06,31.07,30.33,30.37,30.37,165,400
2025-07-17,30.56,31.05,30.54,30.85,30.85,235,000
2025-07-16,30.22,30.54,29.80,30.51,30.51,227,700
2025-07-15,30.87,31.05,30.20,30.20,30.20,194,400
2025-07-14,30.83,30.90,30.32,30.58,30.58,233,100
2025-07-11,31.35,31.41,30.67,30.86,30.86,457,000
2025-07-10,30.84,32.06,30.78,31.65,31.65,388,400
2025-07-09,29.80,30.24,29.49,30.20,30.20,252,500
2025-07-08,29.61,29.97,29.46,29.78,29.78,249,600
2025-07-07,29.97,30.12,29.22,29.42,29.42,408,500
2025-07-03,30.00,30.59,30.00,30.14,30.14,74,000
2025-07-02,30.02,30.41,29.91,30.10,30.10,258,500
2025-07-01,29.50,30.33,29.44,29.96,29.96,228,900
2025-06-30,29.77,29.84,29.38,29.69,29.69,202,200
2025-06-27,29.89,30.23,29.35,29.63,29.63,451,600
2025-06-26,29.50,29.90,29.29,29.82,29.82,273,000
2025-06-25,28.83,29.72,28.64,29.51,29.51,336,100
2025-06-24,27.87,28.33,27.71,28.29,28.29,275,200
2025-06-23,27.35,27.98,27.03,27.59,27.59,266,800
2025-06-20,28.39,28.60,26.44,27.35,27.35,481,500
2025-06-18,28.67,29.17,28.39,28.39,28.39,318,200
2025-06-17,28.26,28.83,27.56,28.64,28.64,259,200
2025-06-16,27.63,28.53,27.63,28.51,28.51,253,600
2025-06-13,27.77,27.92,27.15,27.60,27.60,442,900
2025-06-12,28.44,28.67,28.16,28.26,28.26,157,100
2025-06-11,28.91,29.15,28.38,28.72,28.58,348,900
2025-06-10,28.84,29.01,28.59,28.75,28.61,284,600
2025-06-09,29.05,29.11,28.69,28.69,28.55,253,400
2025-06-06,29.08,29.21,28.69,28.84,28.70,396,700
2025-06-05,28.52,28.74,28.31,28.68,28.54,461,900
2025-06-04,28.63,28.88,28.53,28.58,28.44,349,900
2025-06-03,28.14,28.69,28.10,28.62,28.48,324,000
2025-06-02,27.81,28.17,27.70,28.07,27.93,361,800
2025-05-30,27.92,28.16,27.84,27.90,27.76,498,500
2025-05-29,28.20,28.20,27.67,28.02,27.88,329,300
2025-05-28,28.51,28.51,27.83,27.90,27.76,352,700
2025-05-27,28.50,28.51,28.19,28.34,28.20,312,600
2025-05-23,27.81,28.35,27.67,28.10,27.96,352,300
2025-05-22,28.17,28.56,27.96,28.49,28.35,388,600
2025-05-21,28.07,28.59,28.06,28.30,28.16,489,800
2025-05-20,27.95,28.54,27.90,28.34,28.20,637,900
2025-05-19,27.36,27.97,27.32,27.95,27.81,303,800
2025-05-16,27.63,27.92,27.42,27.83,27.69,316,200
2025-05-15,27.55,28.05,27.30,27.63,27.50,798,100
2025-05-14,27.58,27.85,27.25,27.63,27.50,381,300
2025-05-13,27.45,27.87,27.18,27.58,27.45,333,700
2025-05-12,27.50,27.82,26.88,27.41,27.28,386,600
2025-05-09,26.21,26.64,26.21,26.37,26.24,459,600
2025-05-08,25.07,26.26,24.82,26.20,26.07,491,100
2025-05-07,24.91,25.04,24.60,24.93,24.81,388,700
2025-05-06,24.38,24.98,24.13,24.72,24.60,542,000
2025-05-05,26.56,27.74,24.61,24.65,24.53,1,826,000
2025-05-02,23.34,23.93,23.10,23.78,23.66,457,500
2025-05-01,22.90,23.30,22.73,23.00,22.89,448,100
2025-04-30,22.45,22.94,22.14,22.85,22.74,343,300
2025-04-29,22.69,23.05,22.64,22.87,22.76,312,400
2025-04-28,22.92,22.96,22.46,22.78,22.67,226,100
2025-04-25,22.64,22.94,22.39,22.88,22.77,249,200
2025-04-24,22.04,22.91,22.04,22.77,22.66,363,700
2025-04-23,22.64,22.88,21.87,21.99,21.88,388,000
2025-04-22,21.60,21.82,21.35,21.77,21.66,533,500
2025-04-21,21.43,21.73,21.14,21.41,21.31,255,600
2025-04-17,21.60,21.91,21.44,21.69,21.58,285,600
2025-04-16,21.40,21.93,21.24,21.60,21.49,373,100
2025-04-15,21.95,22.35,21.57,21.64,21.53,642,500
2025-04-14,22.14,22.28,21.56,22.08,21.97,445,300
2025-04-11,20.93,21.73,20.71,21.59,21.48,580,800
2025-04-10,21.24,21.37,20.01,21.01,20.91,554,200
2025-04-09,19.64,22.34,19.42,21.90,21.79,796,200
2025-04-08,21.07,21.11,19.52,19.82,19.72,731,600
2025-04-07,19.52,20.96,19.00,20.26,20.16,952,700
2025-04-04,20.48,20.89,19.63,20.28,20.18,769,300
2025-04-03,22.20,22.32,20.94,21.16,21.06,374,700
2025-04-02,22.38,23.06,22.25,22.89,22.78,263,900
2025-04-01,23.40,23.60,22.49,22.67,22.56,377,500
2025-03-31,22.82,23.05,22.36,23.02,22.91,470,300
2025-03-28,23.17,23.33,22.62,23.10,22.99,511,300
2025-03-27,23.80,24.06,23.17,23.34,23.23,431,100
2025-03-26,24.36,24.46,23.81,23.82,23.70,311,000
2025-03-25,24.62,24.66,23.55,24.27,24.15,615,500
2025-03-24,24.44,24.70,23.99,24.62,24.50,643,800
2025-03-21,23.90,24.15,23.31,23.94,23.82,454,400
2025-03-20,23.91,24.47,23.85,24.24,24.12,593,800
2025-03-19,24.98,25.05,23.89,24.04,23.92,511,700
2025-03-18,24.77,25.19,24.72,24.82,24.70,264,800
2025-03-17,25.15,25.48,24.94,25.18,25.06,282,100
2025-03-14,25.14,25.36,24.82,25.19,25.07,229,800
2025-03-13,24.85,25.30,24.42,24.70,24.58,604,500
2025-03-12,25.44,25.61,24.66,24.97,24.85,562,400
2025-03-11,25.03,25.48,24.43,25.24,24.99,635,000
2025-03-10,25.41,25.68,25.11,25.22,24.97,508,400
2025-03-07,24.88,25.77,24.80,25.74,25.49,419,900
2025-03-06,23.98,25.18,23.98,24.91,24.67,486,300
2025-03-05,23.81,24.38,23.57,24.34,24.10,809,300
2025-03-04,23.30,24.11,23.00,23.86,23.63,462,000
2025-03-03,24.65,24.80,23.52,23.59,23.36,363,400
2025-02-28,24.19,24.65,23.84,24.56,24.32,536,300
2025-02-27,24.59,24.84,24.24,24.26,24.02,386,400
2025-02-26,24.46,24.78,24.26,24.48,24.24,370,000
2025-02-25,24.52,24.68,24.02,24.36,24.12,452,800
2025-02-24,24.68,25.00,24.20,24.36,24.12,423,900
2025-02-21,25.48,25.51,24.48,24.76,24.52,432,300
2025-02-20,25.66,25.68,25.10,25.11,24.86,761,700
2025-02-19,25.26,25.77,25.00,25.76,25.51,367,400
2025-02-18,25.83,25.92,25.30,25.30,25.05,518,900
2025-02-14,25.44,25.88,25.21,25.65,25.40,446,700
2025-02-13,25.30,25.88,24.92,25.28,25.03,819,900
2025-02-12,25.43,25.86,25.02,25.05,24.80,587,800
2025-02-11,25.79,26.43,25.53,25.84,25.59,636,000
2025-02-10,25.97,26.50,25.84,26.04,25.78,787,800
2025-02-07,26.59,27.43,25.36,25.73,25.48,848,200
2025-02-06,25.92,26.96,25.77,26.59,26.33,906,600
2025-02-05,26.27,26.47,24.90,25.65,25.40,1,465,900
2025-02-04,26.00,26.57,25.54,26.42,26.16,1,889,200
2025-02-03,29.30,30.00,25.51,26.93,26.67,3,168,000
2025-01-31,37.41,37.87,35.96,36.70,36.34,1,284,200
2025-01-30,36.28,37.26,35.99,37.20,36.84,409,900
2025-01-29,35.75,37.42,35.55,35.98,35.63,594,500
2025-01-28,35.33,35.77,34.63,35.68,35.33,397,200
2025-01-27,35.76,36.48,34.74,35.15,34.81,498,000
2025-01-24,36.96,37.38,36.38,36.54,36.18,400,400
2025-01-23,36.02,37.37,35.87,36.93,36.57,419,300
2025-01-22,35.50,36.16,35.50,36.13,35.78,394,400
2025-01-21,35.37,35.69,35.07,35.22,34.87,527,300
2025-01-17,35.42,35.93,34.88,34.96,34.62,342,100
2025-01-16,34.67,35.18,34.40,34.83,34.49,298,200
2025-01-15,34.70,34.89,34.30,34.59,34.25,336,800
2025-01-14,33.85,34.38,33.47,33.84,33.51,210,400
2025-01-13,33.48,33.92,32.96,33.41,33.08,249,400
2025-01-10,34.78,34.78,33.64,33.78,33.45,320,800
2025-01-08,34.58,35.42,34.20,35.12,34.78,275,800
2025-01-07,36.06,36.53,34.62,34.72,34.38,257,800
2025-01-06,35.93,36.55,35.89,35.91,35.56,211,100
2025-01-03,35.06,35.80,34.94,35.70,35.35,382,100
2025-01-02,35.80,36.35,34.88,34.99,34.65,227,400
2024-12-31,35.52,36.09,35.30,35.56,35.21,221,700
2024-12-30,35.14,35.57,34.52,35.38,35.03,173,900
2024-12-27,35.88,36.11,35.12,35.50,35.15,240,900
2024-12-26,35.88,36.45,35.78,36.28,35.92,123,100
2024-12-24,35.85,36.26,35.69,36.09,35.74,98,700
2024-12-23,36.42,36.42,35.52,35.73,35.38,206,700
2024-12-20,36.21,36.99,35.88,36.29,35.93,658,300
2024-12-19,36.57,37.35,36.34,36.68,36.32,427,700
2024-12-18,37.56,37.77,36.15,36.46,36.10,463,500
2024-12-17,37.68,38.14,36.00,37.18,36.82,424,400
2024-12-16,37.00,38.37,36.72,37.85,37.48,670,900
2024-12-13,38.31,38.40,36.60,37.00,36.64,450,000
2024-12-12,38.32,38.90,37.91,38.04,37.67,318,100
2024-12-11,39.00,39.26,38.25,38.36,37.86,254,200
2024-12-10,38.28,39.37,38.00,38.62,38.12,296,200
2024-12-09,39.60,39.84,38.33,38.35,37.85,213,000
2024-12-06,40.28,40.50,39.32,39.64,39.12,205,200
2024-12-05,40.61,40.73,39.92,39.96,39.44,233,200
2024-12-04,40.17,41.41,40.09,40.80,40.27,261,600
2024-12-03,39.90,40.09,39.41,40.04,39.52,174,500
