Date,Open,High,Low,Close,Adj Close,Volume
2025-09-03,137.81,139.24,137.00,139.09,139.09,480,400
2025-09-02,136.41,138.47,135.18,138.34,138.34,513,500
2025-08-29,140.64,141.29,137.70,138.59,138.59,446,700
2025-08-28,141.90,142.00,138.85,141.22,141.22,561,700
2025-08-27,142.67,143.17,140.71,141.05,141.05,509,300
2025-08-26,143.15,145.02,143.00,143.55,143.55,899,300
2025-08-25,144.65,144.90,142.75,142.93,142.93,323,200
2025-08-22,140.52,146.29,140.42,144.87,144.87,520,100
2025-08-21,138.85,140.88,138.57,140.33,140.33,327,700
2025-08-20,140.11,140.76,138.14,140.29,140.29,428,300
2025-08-19,141.88,143.53,140.00,140.75,140.75,393,600
2025-08-18,142.07,143.08,140.57,141.88,141.88,319,700
2025-08-15,143.69,143.88,141.38,141.47,141.47,494,200
2025-08-14,142.32,144.48,141.46,143.58,143.58,359,200
2025-08-13,141.22,145.61,139.70,145.14,145.14,503,600
2025-08-12,137.02,141.03,136.63,140.48,140.48,664,500
2025-08-11,137.62,138.77,135.19,135.81,135.81,533,500
2025-08-08,138.67,139.50,137.16,137.65,137.65,454,400
2025-08-07,141.17,141.84,137.16,138.53,138.53,563,800
2025-08-06,139.89,140.58,138.50,138.99,138.99,424,900
2025-08-05,143.40,143.50,139.43,140.12,140.12,655,500
2025-08-04,145.94,145.94,141.15,143.27,143.27,686,300
2025-08-01,146.10,152.39,140.78,144.98,144.98,1,119,400
2025-07-31,144.77,146.20,142.17,144.40,144.40,1,110,700
2025-07-30,148.59,148.59,145.73,146.45,146.45,536,300
2025-07-29,151.72,151.72,146.00,147.61,147.61,661,100
2025-07-28,150.73,151.60,149.88,150.79,150.79,337,100
2025-07-25,150.00,150.00,148.21,149.21,149.21,296,800
2025-07-24,150.46,150.69,148.19,149.51,149.51,223,500
2025-07-23,153.17,153.17,150.77,151.92,151.92,326,300
2025-07-22,150.23,152.85,149.76,151.71,151.71,456,000
2025-07-21,152.04,154.07,150.01,150.23,150.23,370,400
2025-07-18,152.72,153.92,150.03,151.22,151.22,269,400
2025-07-17,151.77,153.25,151.00,151.40,151.40,346,300
2025-07-16,151.78,152.09,148.47,151.91,151.91,416,200
2025-07-15,155.18,155.96,151.50,151.66,151.66,425,800
2025-07-14,154.39,154.97,151.83,153.05,153.05,421,600
2025-07-11,156.31,156.46,154.11,155.49,155.49,393,000
2025-07-10,157.78,159.27,156.67,157.68,157.68,340,700
2025-07-09,159.55,160.98,155.77,157.20,157.20,374,900
2025-07-08,158.06,161.97,156.54,158.97,158.97,545,600
2025-07-07,158.50,160.72,154.96,155.31,155.31,513,400
2025-07-03,162.36,162.36,159.11,160.11,160.11,274,500
2025-07-02,156.69,162.07,156.69,161.44,161.44,523,700
2025-07-01,153.54,158.94,153.49,156.80,156.80,415,500
2025-06-30,156.60,157.41,153.50,154.46,154.46,352,300
2025-06-27,157.02,157.25,153.88,156.27,156.27,1,268,300
2025-06-26,156.61,158.30,155.86,156.40,156.40,436,500
2025-06-25,156.76,156.96,154.26,156.05,156.05,378,700
2025-06-24,154.08,156.91,153.19,155.68,155.68,626,200
2025-06-23,150.29,153.67,148.80,152.20,152.20,382,200
2025-06-20,154.46,154.59,149.48,151.26,151.26,893,000
2025-06-18,152.72,155.18,152.61,153.34,153.34,385,700
2025-06-17,154.26,156.81,152.26,152.28,152.28,428,000
2025-06-16,155.64,157.55,154.88,155.88,155.88,497,800
2025-06-13,156.36,157.18,153.23,153.52,153.07,559,000
2025-06-12,159.62,160.80,158.76,159.13,158.66,303,200
2025-06-11,162.75,163.21,159.18,160.78,160.31,521,500
2025-06-10,156.87,161.59,156.15,161.02,160.55,679,500
2025-06-09,153.76,159.00,152.66,155.88,155.42,672,500
2025-06-06,151.87,153.51,150.92,151.31,150.87,328,700
2025-06-05,151.52,153.43,148.42,149.46,149.02,480,000
2025-06-04,150.46,152.24,148.29,150.23,149.79,564,600
2025-06-03,146.33,150.54,144.81,150.16,149.72,584,800
2025-06-02,143.55,147.30,143.01,146.45,146.02,560,000
2025-05-30,143.79,144.61,140.93,143.35,142.93,720,600
2025-05-29,146.85,146.93,142.80,145.44,145.01,413,700
2025-05-28,147.31,147.50,143.66,144.23,143.81,333,400
2025-05-27,146.60,148.36,144.14,146.95,146.52,519,000
2025-05-23,141.04,143.62,139.00,143.01,142.59,435,200
2025-05-22,145.95,147.43,145.14,145.50,145.07,255,200
2025-05-21,148.98,150.12,144.57,145.96,145.53,611,100
2025-05-20,151.40,151.47,149.10,151.11,150.67,347,700
2025-05-19,151.37,153.25,150.09,152.23,151.78,466,000
2025-05-16,152.64,156.06,151.29,155.51,155.05,574,400
2025-05-15,152.30,153.87,151.31,153.11,152.66,462,200
2025-05-14,154.73,155.09,151.90,154.04,153.59,452,900
2025-05-13,154.68,155.98,153.34,154.53,154.08,633,300
2025-05-12,153.99,157.57,150.50,154.95,154.50,976,900
2025-05-09,144.04,146.35,142.71,143.91,143.49,381,100
2025-05-08,145.46,146.00,141.85,142.10,141.68,524,600
2025-05-07,141.29,143.80,139.23,143.31,142.89,608,900
2025-05-06,140.99,142.16,139.13,140.53,140.12,702,700
2025-05-05,141.50,145.10,140.38,143.22,142.80,660,100
2025-05-02,145.00,146.50,139.23,144.02,143.60,1,307,000
2025-05-01,130.50,146.14,126.66,141.20,140.79,2,818,100
2025-04-30,122.83,126.02,120.49,125.63,125.26,568,000
2025-04-29,124.92,126.65,123.53,124.18,123.82,534,900
2025-04-28,126.80,127.67,122.41,126.55,126.18,499,200
2025-04-25,123.33,126.60,123.24,126.41,126.04,440,800
2025-04-24,119.97,125.73,119.89,125.45,125.08,561,500
2025-04-23,120.92,123.18,117.41,118.48,118.13,596,600
2025-04-22,114.60,117.57,114.03,116.08,115.74,571,000
2025-04-21,112.83,114.08,110.60,113.78,113.45,598,100
2025-04-17,114.11,114.80,111.58,113.98,113.65,458,100
2025-04-16,113.56,115.50,109.03,113.67,113.34,855,900
2025-04-15,115.70,118.10,115.13,116.54,116.20,424,400
2025-04-14,116.89,118.60,112.37,116.14,115.80,670,000
2025-04-11,107.86,113.69,104.60,112.72,112.39,903,300
2025-04-10,119.00,119.11,106.18,108.11,107.79,1,546,900
2025-04-09,106.96,126.00,106.03,125.17,124.80,1,936,600
2025-04-08,115.79,117.19,103.70,106.60,106.29,1,131,700
2025-04-07,107.72,119.14,104.90,112.84,112.51,1,871,200
2025-04-04,112.27,117.52,109.66,113.42,113.09,1,339,900
2025-04-03,132.47,134.24,117.35,117.52,117.18,1,349,500
2025-04-02,137.17,141.53,136.17,138.90,138.49,394,700
2025-04-01,139.09,140.99,136.87,138.89,138.48,468,700
2025-03-31,142.55,143.00,136.70,139.48,139.07,864,400
2025-03-28,148.53,149.27,144.20,145.17,144.74,476,100
2025-03-27,149.77,152.19,147.19,149.74,149.30,414,100
2025-03-26,152.14,152.54,149.95,151.93,151.48,508,700
2025-03-25,153.08,153.76,151.54,152.30,151.85,507,400
2025-03-24,151.28,155.97,151.20,153.54,153.09,659,100
2025-03-21,149.07,150.69,146.98,148.50,148.06,1,898,700
2025-03-20,153.73,154.83,150.96,151.38,150.94,456,900
