Date,Open,High,Low,Close,Adj Close,Volume
"Sep 3, 2025","225.90","225.90","221.75","223.45","223.45","8,898,000"
"Sep 2, 2025","222.00","225.45","218.79","225.30","225.30","10,461,900"
"Aug 29, 2025","237.61","238.22","223.11","226.13","226.13","16,618,600"
"Aug 28, 2025","235.54","241.95","235.12","240.32","240.32","8,691,500"
"Aug 27, 2025","235.00","236.53","232.68","235.81","235.81","5,637,600"
"Aug 26, 2025","235.00","236.91","232.71","234.21","234.21","11,805,200"
"Aug 25, 2025","237.35","239.03","235.27","235.41","235.41","6,308,600"
"Aug 22, 2025","234.06","238.50","231.46","236.37","236.37","9,343,600"
"Aug 21, 2025","233.05","235.92","232.43","233.16","233.16","7,403,100"
"Aug 20, 2025","232.18","235.88","228.25","235.06","235.06","11,256,400"
"Aug 19, 2025","249.25","249.25","232.23","234.62","234.62","16,819,300"
"Aug 18, 2025","246.20","249.16","243.62","249.07","249.07","6,759,900"
"Aug 15, 2025","246.92","250.63","242.93","248.28","248.28","11,554,000"
"Aug 14, 2025","244.95","248.92","242.57","244.96","244.96","10,285,600"
"Aug 13, 2025","257.17","257.67","242.64","244.18","244.18","14,182,100"
"Aug 12, 2025","252.58","257.87","251.08","253.86","253.86","9,998,400"
"Aug 11, 2025","248.40","254.69","245.56","252.68","252.68","9,012,100"
"Aug 8, 2025","250.03","250.89","247.86","250.05","250.05","8,313,300"
"Aug 7, 2025","257.71","257.76","246.52","249.39","249.39","11,954,200"
"Aug 6, 2025","256.84","256.84","251.72","256.43","256.43","9,930,200"
"Aug 5, 2025","255.41","258.49","251.37","255.67","255.67","11,197,300"
"Aug 4, 2025","245.90","252.91","245.90","252.53","252.53","8,614,800"
"Aug 1, 2025","247.83","248.41","242.00","244.42","244.42","12,718,200"
"Jul 31, 2025","255.77","260.87","253.32","253.77","253.77","15,548,700"
"Jul 30, 2025","248.64","251.05","245.60","250.60","250.60","8,441,400"
"Jul 29, 2025","248.70","253.07","246.59","249.98","249.98","8,415,300"
"Jul 28, 2025","246.00","247.78","243.42","247.71","247.71","6,756,800"
"Jul 25, 2025","242.34","245.47","241.43","245.12","245.12","7,149,600"
"Jul 24, 2025","242.41","244.08","240.56","242.83","242.83","8,237,900"
"Jul 23, 2025","239.95","243.42","238.66","241.90","241.90","7,255,800"
"Jul 22, 2025","241.98","242.29","235.41","238.11","238.11","11,380,900"
"Jul 21, 2025","245.31","246.80","243.24","243.54","243.54","7,348,400"
"Jul 18, 2025","248.50","249.68","245.00","245.45","245.45","9,678,100"
"Jul 17, 2025","243.34","251.60","242.01","248.75","248.75","17,631,300"
"Jul 16, 2025","235.50","241.33","233.19","241.30","241.30","12,597,500"
"Jul 15, 2025","232.41","235.60","229.20","234.96","234.96","10,728,800"
"Jul 14, 2025","229.45","230.64","225.12","229.28","229.28","11,337,000"
"Jul 11, 2025","231.37","234.00","229.87","230.56","230.56","10,208,200"
"Jul 10, 2025","0.5","","","","",""
"Jul 10, 2025","239.94","240.06","233.50","235.00","235.00","11,486,300"
"Jul 9, 2025","235.51","236.51","232.00","235.81","235.31","10,871,600"
"Jul 8, 2025","237.13","241.44","233.19","234.50","234.00","20,401,800"
"Jul 7, 2025","235.11","235.25","229.50","232.26","231.77","16,584,300"
"Jul 3, 2025","233.22","237.99","231.20","237.32","236.82","18,441,400"
"Jul 2, 2025","217.68","231.90","216.72","229.98","229.49","22,326,900"
"Jul 1, 2025","219.30","223.17","216.31","218.96","218.50","16,962,200"
"Jun 30, 2025","226.50","228.22","218.38","218.63","218.17","31,844,200"
"Jun 27, 2025","213.69","214.65","209.96","210.24","209.79","14,127,500"
"Jun 26, 2025","212.00","214.42","210.36","212.82","212.37","10,531,100"
"Jun 25, 2025","214.94","216.93","210.23","210.72","210.27","11,804,600"
"Jun 24, 2025","209.99","216.37","208.55","215.27","214.81","19,030,600"
"Jun 23, 2025","205.51","207.27","202.54","207.04","206.60","13,418,400"
"Jun 20, 2025","213.35","213.80","204.64","205.17","204.73","20,879,100"
"Jun 18, 2025","211.09","214.72","209.57","210.87","210.42","15,055,400"
"Jun 17, 2025","210.66","215.88","207.48","208.18","207.74","17,819,200"
"Jun 16, 2025","213.20","215.17","209.98","211.10","210.65","22,665,300"
"Jun 13, 2025","201.58","216.60","201.20","215.22","214.76","53,707,400"
"Jun 12, 2025","189.96","202.49","188.88","199.86","199.44","54,610,000"
"Jun 11, 2025","177.55","179.55","176.20","176.38","176.01","18,002,900"
"Jun 10, 2025","177.71","177.85","174.28","177.48","177.10","11,056,700"
"Jun 9, 2025","174.86","178.72","173.79","177.15","176.77","9,668,900"
"Jun 6, 2025","174.00","174.79","172.66","174.02","173.65","6,833,700"
"Jun 5, 2025","169.00","172.26","168.76","171.14","170.78","7,707,800"
"Jun 4, 2025","169.71","170.48","167.57","168.10","167.74","6,375,800"
"Jun 3, 2025","166.80","169.33","166.59","169.14","168.78","7,155,300"
"Jun 2, 2025","164.17","167.00","162.60","166.57","166.22","7,166,000"
"May 30, 2025","163.43","165.75","161.55","165.53","165.18","17,547,900"
"May 29, 2025","165.00","165.32","161.49","162.90","162.55","6,994,700"
"May 28, 2025","161.87","164.32","161.28","163.85","163.50","8,090,700"
"May 27, 2025","159.32","162.40","158.92","161.91","161.57","6,976,800"
"May 23, 2025","154.99","157.38","154.26","155.97","155.64","6,527,500"
"May 22, 2025","156.98","159.19","156.82","157.31","156.98","7,603,300"
"May 21, 2025","158.35","160.90","156.46","157.18","156.85","6,011,000"
"May 20, 2025","158.63","160.36","157.53","160.31","159.97","7,576,400"
"May 19, 2025","158.30","161.97","157.83","159.64","159.30","10,268,900"
"May 16, 2025","160.00","160.84","158.52","160.49","160.15","8,515,500"
"May 15, 2025","161.36","161.74","158.91","159.40","159.06","10,169,200"
"May 14, 2025","162.36","163.41","161.06","162.95","162.60","7,499,400"
"May 13, 2025","158.22","163.22","157.57","162.27","161.93","11,955,200"
"May 12, 2025","156.31","157.43","154.42","157.22","156.89","7,875,500"
"May 9, 2025","150.04","151.80","149.79","150.34","150.02","4,707,100"
"May 8, 2025","149.05","151.81","148.61","150.30","149.98","6,113,600"
"May 7, 2025","147.50","149.90","147.24","149.37","149.05","6,049,600"
"May 6, 2025","146.98","148.94","145.72","147.70","147.39","5,108,600"
"May 5, 2025","149.44","150.82","148.52","149.29","148.97","5,187,400"
"May 2, 2025","148.33","153.06","148.33","150.73","150.41","11,346,000"
"May 1, 2025","146.56","148.64","145.34","145.49","145.18","11,525,800"
"Apr 30, 2025","138.48","141.30","135.57","140.72","140.42","9,443,500"
"Apr 29, 2025","139.81","141.16","139.55","140.79","140.49","4,851,500"
"Apr 28, 2025","139.65","140.67","138.08","140.14","139.84","6,985,100"
"Apr 25, 2025","137.49","139.00","136.76","138.49","138.20","5,476,400"
"Apr 24, 2025","132.51","137.86","132.00","137.51","137.22","7,305,900"
"Apr 23, 2025","134.91","135.87","130.99","131.40","131.12","9,528,900"
"Apr 22, 2025","124.50","127.99","123.39","127.24","126.97","11,233,700"
"Apr 21, 2025","126.89","127.20","121.24","122.82","122.56","12,201,200"
"Apr 17, 2025","130.90","131.30","128.44","128.62","128.35","8,925,500"
