Date,Open,High,Low,Close,Adj Close,Volume
"Sep 3, 2025","32.87","33.08","32.22","32.91","32.91","1,510,300"
"Sep 2, 2025","32.52","33.22","32.49","32.89","32.89","1,919,100"
"Aug 29, 2025","32.98","33.26","32.81","33.07","33.07","1,489,900"
"Aug 28, 2025","33.19","33.37","32.93","32.97","32.97","1,337,500"
"Aug 27, 2025","32.23","33.07","32.12","33.00","33.00","1,699,100"
"Aug 26, 2025","32.13","32.48","32.13","32.23","32.23","1,214,300"
"Aug 25, 2025","32.61","32.64","32.22","32.22","32.22","856,200"
"Aug 22, 2025","32.07","32.79","31.87","32.63","32.63","818,500"
"Aug 21, 2025","31.79","32.23","31.72","31.91","31.91","1,286,300"
"Aug 20, 2025","31.35","32.19","31.35","32.02","32.02","2,231,500"
"Aug 19, 2025","31.94","31.94","31.26","31.47","31.47","1,407,000"
"Aug 18, 2025","31.70","31.82","31.42","31.72","31.72","1,045,000"
"Aug 15, 2025","31.07","31.87","31.07","31.69","31.69","1,678,300"
"Aug 14, 2025","30.62","31.24","30.50","31.04","31.04","1,919,100"
"Aug 13, 2025","29.66","31.03","29.40","30.86","30.86","1,509,000"
"Aug 12, 2025","29.95","30.15","29.00","29.49","29.49","3,105,000"
"Aug 11, 2025","31.44","32.88","30.11","30.22","30.22","3,200,500"
"Aug 8, 2025","29.11","31.12","29.11","30.91","30.91","3,266,200"
"Aug 7, 2025","29.26","29.26","27.99","28.14","28.14","1,612,200"
"Aug 6, 2025","28.84","29.16","28.82","28.95","28.95","1,380,500"
"Aug 5, 2025","29.04","29.23","28.64","28.65","28.65","1,215,600"
"Aug 4, 2025","28.56","28.99","28.56","28.96","28.96","485,400"
"Aug 1, 2025","29.29","29.35","28.37","28.38","28.38","1,072,700"
"Jul 31, 2025","30.01","30.01","29.39","29.43","29.43","780,400"
"Jul 30, 2025","30.10","30.27","29.74","29.87","29.87","1,061,300"
"Jul 29, 2025","30.27","30.32","29.73","30.27","30.27","1,208,800"
"Jul 28, 2025","30.75","30.81","30.10","30.12","30.12","811,100"
"Jul 25, 2025","30.22","30.81","30.11","30.70","30.70","929,600"
"Jul 24, 2025","29.98","30.26","29.95","30.21","30.21","984,300"
"Jul 23, 2025","30.00","30.37","29.79","30.22","30.22","1,560,500"
"Jul 22, 2025","28.98","29.91","28.95","29.87","29.87","1,388,900"
"Jul 21, 2025","28.63","28.95","28.53","28.84","28.84","757,400"
"Jul 18, 2025","28.88","28.88","28.45","28.46","28.46","483,500"
"Jul 17, 2025","28.24","28.74","28.17","28.69","28.69","599,000"
"Jul 16, 2025","28.14","28.40","27.79","28.36","28.36","777,400"
"Jul 15, 2025","28.25","28.40","27.90","27.93","27.93","781,600"
"Jul 14, 2025","27.90","28.27","27.83","28.10","28.10","1,247,300"
"Jul 11, 2025","28.95","28.96","28.00","28.02","28.02","1,097,600"
"Jul 10, 2025","28.71","29.24","28.67","29.23","29.23","1,034,500"
"Jul 9, 2025","30.10","30.26","28.46","28.87","28.87","3,483,000"
"Jul 8, 2025","29.94","30.27","29.81","30.19","30.19","990,500"
"Jul 7, 2025","29.70","30.02","29.56","29.84","29.84","721,800"
"Jul 3, 2025","29.83","30.19","29.80","29.99","29.99","841,700"
"Jul 2, 2025","29.33","29.85","28.94","29.82","29.82","925,600"
"Jul 1, 2025","29.11","29.82","29.01","29.56","29.56","775,200"
"Jun 30, 2025","28.85","29.23","28.76","29.20","29.20","853,500"
"Jun 27, 2025","28.95","29.04","28.43","28.68","28.68","1,349,600"
"Jun 26, 2025","28.76","28.95","28.54","28.87","28.87","1,303,000"
"Jun 25, 2025","28.65","28.79","28.53","28.62","28.62","1,216,900"
"Jun 24, 2025","27.90","28.81","27.87","28.65","28.65","1,591,000"
"Jun 23, 2025","27.78","27.85","27.40","27.75","27.75","1,155,900"
"Jun 20, 2025","28.47","28.60","27.62","27.83","27.83","1,664,100"
"Jun 18, 2025","28.21","28.59","28.21","28.32","28.32","891,900"
"Jun 17, 2025","28.33","28.56","28.23","28.28","28.28","1,455,500"
"Jun 16, 2025","28.60","28.67","28.37","28.52","28.52","2,132,300"
"Jun 13, 2025","28.61","28.77","28.21","28.26","28.26","1,479,700"
"Jun 12, 2025","28.72","29.05","28.57","29.02","29.02","1,108,100"
"Jun 11, 2025","28.77","29.04","28.60","28.77","28.77","1,506,400"
"Jun 10, 2025","28.27","28.81","28.13","28.78","28.78","1,444,200"
"Jun 9, 2025","28.05","28.27","27.64","28.16","28.16","905,500"
"Jun 6, 2025","0.263","","","","",""
"Jun 6, 2025","28.23","28.34","27.86","27.89","27.89","992,900"
"Jun 5, 2025","28.58","28.82","28.25","28.40","28.14","11,090,800"
"Jun 4, 2025","28.42","28.59","28.24","28.46","28.20","1,176,900"
"Jun 3, 2025","27.94","28.46","27.86","28.36","28.10","1,395,200"
"Jun 2, 2025","28.31","28.58","27.95","28.08","27.82","1,827,800"
"May 30, 2025","27.99","28.42","27.90","28.31","28.05","1,419,300"
"May 29, 2025","28.47","28.54","27.93","28.02","27.76","736,500"
"May 28, 2025","28.31","28.57","28.19","28.25","27.99","1,551,100"
"May 27, 2025","28.46","28.60","28.28","28.44","28.18","2,210,100"
"May 23, 2025","27.83","28.15","27.70","27.95","27.69","764,000"
"May 22, 2025","27.85","28.25","27.84","28.13","27.87","616,200"
"May 21, 2025","28.19","28.56","27.98","28.02","27.76","892,800"
"May 20, 2025","28.10","28.40","28.08","28.35","28.09","1,331,600"
"May 19, 2025","27.85","28.16","27.85","28.12","27.86","385,500"
"May 16, 2025","27.94","28.18","27.90","28.14","27.88","1,456,800"
"May 15, 2025","27.81","28.08","27.64","27.97","27.71","1,469,900"
"May 14, 2025","28.13","28.21","27.82","27.87","27.61","1,930,200"
"May 13, 2025","27.96","28.35","27.66","28.19","27.93","1,513,000"
"May 12, 2025","27.75","27.97","27.37","27.94","27.68","1,050,800"
"May 9, 2025","27.52","27.62","26.97","27.14","26.89","831,600"
"May 8, 2025","27.07","27.67","26.78","27.40","27.15","924,800"
"May 7, 2025","26.85","27.03","26.56","26.89","26.64","1,009,600"
"May 6, 2025","26.51","26.86","26.38","26.68","26.43","1,017,200"
"May 5, 2025","26.12","27.05","26.10","26.82","26.57","1,209,300"
"May 2, 2025","25.96","26.39","25.71","26.16","25.92","1,873,300"
"May 1, 2025","27.34","28.19","25.78","25.85","25.61","3,763,900"
"Apr 30, 2025","26.80","27.20","26.40","27.10","26.85","1,621,700"
