Date,Open,High,Low,Close,Volume
2025-09-03,23.89,24.23,23.60,23.82,709,100
2025-09-02,23.38,23.89,23.13,23.84,649,200
2025-08-29,24.44,24.44,23.98,24.13,460,000
2025-08-28,24.37,24.74,24.30,24.62,450,100
2025-08-27,24.29,24.39,24.04,24.26,422,700
2025-08-26,24.49,24.80,23.83,24.43,440,700
2025-08-25,24.38,24.76,24.22,24.47,536,500
2025-08-22,23.61,24.62,23.25,24.35,574,800
2025-08-21,23.26,23.86,23.18,23.65,501,400
2025-08-20,23.90,23.90,22.90,23.26,1,104,400
2025-08-19,24.67,25.14,23.95,24.09,1,066,200
2025-08-18,23.81,24.74,23.55,24.72,1,422,300
2025-08-15,24.18,24.18,23.73,23.77,577,200
2025-08-14,23.73,24.26,23.55,24.17,406,900
2025-08-13,24.34,24.51,24.08,24.14,733,000
2025-08-12,23.61,24.51,23.35,24.24,630,600
2025-08-11,23.41,23.73,23.27,23.37,814,700
2025-08-08,23.00,23.41,22.75,23.26,482,300
2025-08-07,23.39,23.45,22.67,22.84,489,200
2025-08-06,23.08,23.22,22.43,22.90,1,002,100
2025-08-05,23.79,24.18,23.12,23.13,1,241,400
2025-08-04,23.06,23.70,22.85,23.70,621,000
2025-08-01,23.10,23.25,22.68,22.81,852,000
2025-07-31,23.81,23.90,23.10,23.57,961,500
2025-07-30,24.67,24.97,23.75,23.99,835,100
2025-07-29,25.35,25.81,24.39,24.63,1,711,900
2025-07-28,25.36,25.86,24.82,25.07,1,223,800
2025-07-25,25.08,25.19,24.72,25.16,690,900
2025-07-24,24.75,24.94,24.20,24.90,806,000
2025-07-23,24.86,25.28,24.50,24.90,1,287,900
2025-07-22,25.10,25.15,24.19,24.45,1,043,900
2025-07-21,24.50,25.14,24.21,24.58,883,900
2025-07-18,25.05,25.23,24.13,24.43,939,800
2025-07-17,24.58,25.02,24.34,24.88,988,600
2025-07-16,24.83,24.83,23.93,24.63,1,299,000
2025-07-15,25.50,25.94,24.79,24.84,1,495,300
2025-07-14,24.28,24.83,23.62,24.70,1,383,500
2025-07-11,23.53,24.18,23.24,24.10,1,049,000
2025-07-10,23.60,23.98,23.05,23.83,1,438,500
2025-07-09,20.90,23.59,20.32,23.43,4,212,400
2025-07-08,21.24,21.66,20.61,21.19,2,881,800
2025-07-07,20.99,21.78,20.87,20.94,1,579,500
2025-07-03,20.20,21.27,20.11,20.87,643,400
2025-07-02,20.36,20.43,20.02,20.20,941,700
2025-07-01,19.88,20.49,19.65,20.17,666,200
2025-06-30,20.86,20.86,19.79,19.81,848,300
2025-06-27,20.50,20.64,20.08,20.58,2,035,400
2025-06-26,20.70,20.85,20.28,20.44,718,500
2025-06-25,20.76,20.78,20.15,20.38,907,100
2025-06-24,19.98,20.43,19.84,20.35,715,100
2025-06-23,19.55,19.70,19.05,19.59,685,000
2025-06-20,19.99,20.07,19.00,19.61,1,856,200
