Date,Open,High,Low,Close,Adj Close,Volume
2025-09-03,70.83,71.72,69.27,69.57,69.57,202,800
2025-09-02,71.22,71.90,70.30,71.04,71.04,114,600
2025-08-29,73.04,73.77,71.93,72.37,72.37,123,900
2025-08-28,72.99,73.16,71.60,72.96,72.96,128,900
2025-08-27,71.04,72.73,71.02,72.56,72.56,103,700
2025-08-26,72.32,73.11,71.52,71.52,71.52,140,100
2025-08-25,73.38,73.38,72.04,72.35,72.10,156,500
2025-08-22,71.29,74.10,70.96,73.66,73.41,170,900
2025-08-21,71.06,71.33,70.14,70.71,70.47,145,600
2025-08-20,71.86,71.86,70.52,71.20,70.95,129,400
2025-08-19,72.04,73.17,70.02,72.23,71.98,102,900
2025-08-18,73.45,74.30,71.68,72.05,71.80,134,100
2025-08-15,73.97,73.97,72.66,73.11,72.86,159,600
2025-08-14,73.72,74.58,73.11,73.68,73.43,193,200
2025-08-13,72.58,75.41,72.56,74.03,73.77,234,400
2025-08-12,70.57,72.47,68.07,72.11,71.86,271,200
2025-08-11,69.16,71.33,68.85,69.65,69.41,381,200
2025-08-08,68.44,72.19,67.00,69.26,69.02,599,400
2025-08-07,64.35,64.67,62.42,63.30,63.08,144,800
2025-08-06,63.55,64.18,62.52,63.60,63.38,148,600
2025-08-05,64.67,65.39,63.31,63.81,63.59,189,000
2025-08-04,62.43,64.47,62.11,64.31,64.09,160,100
2025-08-01,63.06,63.88,62.20,62.28,62.06,146,900
2025-07-31,66.45,66.78,63.83,64.78,64.56,185,100
2025-07-30,68.51,68.80,66.69,67.12,66.89,142,000
2025-07-29,68.44,69.70,67.71,68.59,68.35,133,400
2025-07-28,67.12,67.94,66.24,67.83,67.60,138,900
2025-07-25,66.75,67.35,66.19,67.12,66.89,84,900
2025-07-24,66.78,67.65,66.15,66.41,66.18,140,900
2025-07-23,66.61,67.33,66.61,67.18,66.95,139,400
2025-07-22,66.76,67.60,66.25,66.35,66.12,140,700
2025-07-21,68.60,69.03,66.65,66.77,66.54,129,700
2025-07-18,69.90,69.90,67.99,68.43,68.19,132,100
2025-07-17,69.39,70.27,68.28,69.27,69.03,149,900
2025-07-16,68.67,69.78,67.98,69.32,69.08,175,900
2025-07-15,70.36,70.89,68.27,68.34,68.10,117,100
2025-07-14,70.04,70.64,69.25,69.93,69.69,137,600
2025-07-11,70.97,71.30,69.56,70.27,70.03,131,500
2025-07-10,71.70,72.37,71.02,71.22,70.97,111,400
2025-07-09,70.82,71.62,70.10,71.58,71.33,146,900
2025-07-08,70.53,71.10,69.86,70.37,70.13,179,200
2025-07-07,72.00,73.00,70.33,70.53,70.29,198,400
2025-07-03,71.86,72.78,71.73,72.46,72.21,149,200
2025-07-02,71.35,72.48,70.16,71.75,71.50,226,800
2025-07-01,72.75,75.80,71.19,71.45,71.20,568,400
2025-06-30,73.30,73.58,71.20,72.10,71.85,193,300
2025-06-27,73.44,74.24,72.64,73.21,72.96,745,200
2025-06-26,73.04,73.85,72.12,73.18,72.93,192,000
2025-06-25,74.44,74.44,72.21,73.10,72.85,224,700
2025-06-24,74.26,74.62,72.89,74.09,73.83,260,900
2025-06-23,71.63,73.78,71.19,73.71,73.46,141,600
2025-06-20,71.92,72.05,70.84,71.79,71.54,497,600
2025-06-18,70.18,71.40,70.17,71.25,71.00,161,700
2025-06-17,68.86,70.62,68.00,70.42,70.18,143,600
2025-06-16,69.37,70.21,68.70,69.37,69.13,117,300
2025-06-13,69.81,70.86,68.62,68.94,68.70,152,600
2025-06-12,71.07,71.66,70.45,70.83,70.59,118,600
2025-06-11,72.86,73.36,71.52,71.67,71.42,153,700
2025-06-10,72.53,73.09,72.25,72.80,72.55,114,700
2025-06-09,71.71,72.72,71.55,72.16,71.91,115,600
2025-06-06,72.20,72.20,70.72,71.11,70.86,125,900
2025-06-05,70.82,71.36,70.47,70.94,70.69,128,700
2025-06-04,72.15,72.75,70.82,70.84,70.60,124,700
2025-06-03,70.80,72.36,70.80,72.20,71.95,182,900
2025-06-02,70.97,71.35,69.49,70.75,70.51,228,400
2025-05-30,70.90,71.68,70.53,71.37,71.12,287,300
2025-05-29,70.39,71.39,69.68,71.12,70.87,157,400
2025-05-28,70.05,70.63,69.30,70.33,70.09,196,200
2025-05-27,67.50,70.69,67.35,70.29,70.05,206,100
2025-05-23,65.71,71.35,65.46,66.97,66.74,293,100
2025-05-22,65.00,66.07,64.46,65.69,65.46,197,400
2025-05-21,65.76,66.36,65.02,65.39,65.16,143,400
2025-05-20,66.06,66.68,65.70,66.50,66.27,86,500
2025-05-19,66.25,66.54,65.85,66.10,65.87,118,900
2025-05-16,66.12,67.41,65.87,67.14,66.91,161,300
2025-05-15,65.29,66.25,65.01,66.12,65.89,126,400
2025-05-14,66.81,67.19,65.28,65.29,65.06,157,400
2025-05-13,66.00,67.17,66.00,66.90,66.67,120,000
2025-05-12,66.59,67.02,65.20,65.72,65.49,154,000
2025-05-09,65.46,65.50,63.80,63.85,63.63,149,400
2025-05-08,63.10,65.69,63.02,65.46,65.23,267,600
2025-05-07,63.43,63.70,62.36,62.89,62.67,173,100
2025-05-06,63.54,63.61,62.81,63.10,62.88,95,700
2025-05-05,63.36,64.68,63.36,64.10,63.88,256,700
2025-05-02,63.68,64.38,63.25,63.88,63.66,184,700
2025-05-01,62.71,63.48,62.23,63.01,62.79,91,400
2025-04-30,62.21,62.78,61.00,62.36,62.14,127,800
2025-04-29,62.28,62.95,62.12,62.88,62.66,86,300
2025-04-28,62.80,63.27,61.59,62.47,62.25,82,900
2025-04-25,62.49,63.16,61.26,62.88,62.66,120,100
2025-04-24,60.87,62.65,60.20,62.55,62.33,100,500
2025-04-23,61.49,62.54,60.59,60.90,60.69,142,800
2025-04-22,58.39,60.42,58.39,60.10,59.89,182,800
2025-04-21,58.57,58.94,57.44,58.58,58.38,155,500
2025-04-17,58.28,59.34,58.08,59.08,58.88,129,800
2025-04-16,57.95,58.42,57.14,58.22,58.02,181,100
2025-04-15,57.73,58.85,57.73,58.52,58.32,154,300
2025-04-14,59.58,59.58,57.58,58.20,58.00,156,800
2025-04-11,57.61,58.70,56.34,58.23,58.03,121,600
2025-04-10,57.69,58.62,56.24,57.84,57.64,233,700
2025-04-09,54.45,59.71,54.27,59.41,59.20,352,100
2025-04-08,57.63,58.09,54.06,54.77,54.58,270,100
2025-04-07,55.00,58.54,53.83,56.42,56.23,353,100
2025-04-04,56.32,57.91,55.39,57.14,56.94,326,200
2025-04-03,59.45,59.90,56.51,58.41,58.21,263,700
2025-04-02,60.30,62.19,60.30,62.09,61.88,165,900
2025-04-01,60.73,61.49,60.28,61.30,61.09,148,900
2025-03-31,61.43,61.76,60.11,61.03,60.82,220,400
2025-03-28,64.14,64.25,61.17,61.93,61.72,146,600
2025-03-27,64.47,64.47,62.98,64.25,64.03,230,300
2025-03-26,64.52,66.03,63.78,64.74,64.52,207,200
2025-03-25,65.62,65.96,64.29,64.32,64.10,195,200
2025-03-24,65.35,66.17,64.86,65.96,65.73,211,000
2025-03-21,63.08,64.41,61.75,64.15,63.93,1,610,600
2025-03-20,64.69,65.96,63.75,63.86,63.64,160,300
2025-03-19,63.97,66.31,63.72,65.49,65.26,313,300
2025-03-18,64.02,65.58,63.07,64.00,63.78,202,700
2025-03-17,63.86,64.64,63.21,64.36,64.14,206,300
2025-03-14,63.08,64.79,63.08,64.08,63.86,220,500
2025-03-13,63.64,64.69,62.05,62.57,62.35,164,000
2025-03-12,65.24,65.97,63.24,63.32,63.10,204,200
2025-03-11,66.42,66.53,64.88,64.94,64.72,227,400
2025-03-10,64.91,66.64,64.01,66.42,66.19,205,400
2025-03-07,64.17,66.06,63.77,65.58,65.35,184,600
2025-03-06,63.73,64.44,63.12,64.17,63.95,187,700
2025-03-05,63.05,64.61,62.76,64.33,64.11,226,700
2025-03-04,62.23,64.16,61.91,62.95,62.73,263,200
2025-03-03,64.48,65.36,62.55,62.88,62.66,270,800
2025-02-28,63.73,65.70,63.43,64.38,64.16,222,900
2025-02-27,65.73,66.44,63.79,63.85,63.63,195,300
2025-02-26,66.97,68.71,65.47,66.11,65.88,333,000
2025-02-25,66.92,67.58,65.59,66.69,66.46,297,700
