Date,Open,High,Low,Close,Adj Close,Volume
2025-09-03,44.11,44.23,43.94,44.16,44.16,223,600
2025-09-02,43.93,44.10,43.76,44.08,44.08,205,000
2025-08-29,44.33,44.40,44.19,44.32,44.32,182,400
2025-08-28,44.40,44.40,44.17,44.35,44.35,203,400
2025-08-27,44.09,44.35,44.09,44.30,44.30,178,600
2025-08-26,43.96,44.13,43.93,44.10,44.10,173,800
2025-08-25,44.18,44.19,44.00,44.00,44.00,261,500
2025-08-22,43.68,44.32,43.64,44.24,44.24,237,100
2025-08-21,43.46,43.59,43.33,43.50,43.50,302,700
2025-08-20,43.65,43.70,43.45,43.60,43.60,260,300
2025-08-19,43.54,43.82,43.52,43.64,43.64,402,600
2025-08-18,43.51,43.61,43.49,43.52,43.52,239,700
2025-08-15,43.77,43.77,43.54,43.54,43.54,220,100
2025-08-14,43.49,43.69,43.41,43.66,43.66,297,100
2025-08-13,43.47,43.73,43.38,43.71,43.71,315,400
2025-08-12,42.90,43.32,42.90,43.30,43.30,263,400
2025-08-11,42.87,43.02,42.68,42.74,42.74,295,100
2025-08-08,42.70,42.90,42.64,42.85,42.85,260,800
2025-08-07,42.78,42.86,42.43,42.57,42.57,358,500
2025-08-06,42.55,42.68,42.43,42.55,42.55,308,100
2025-08-05,42.53,42.64,42.30,42.48,42.48,248,600
2025-08-04,42.25,42.50,42.25,42.50,42.50,298,500
2025-08-01,42.27,42.37,41.83,42.04,42.04,507,300
2025-07-31,42.91,43.06,42.54,42.60,42.60,391,100
2025-07-30,43.19,43.19,42.71,42.88,42.88,325,600
2025-07-29,43.22,43.26,43.05,43.11,43.11,202,200
2025-07-28,43.36,43.36,43.10,43.16,43.16,177,000
2025-07-25,43.26,43.36,43.10,43.34,43.34,218,200
2025-07-24,43.35,43.45,43.18,43.18,43.18,672,500
2025-07-23,43.16,43.40,43.13,43.39,43.39,548,400
2025-07-22,42.74,43.06,42.74,43.01,43.01,159,000
2025-07-21,42.76,42.95,42.68,42.70,42.70,268,900
2025-07-18,42.88,42.88,42.59,42.66,42.66,203,800
2025-07-17,42.46,42.75,42.38,42.73,42.73,189,500
2025-07-16,42.45,42.52,42.07,42.47,42.47,226,900
2025-07-15,42.92,42.95,42.36,42.37,42.37,225,900
2025-07-14,42.74,42.89,42.69,42.85,42.85,195,800
2025-07-11,42.88,42.92,42.70,42.82,42.82,228,000
2025-07-10,42.85,43.16,42.78,43.05,43.05,201,700
2025-07-09,42.83,42.88,42.63,42.82,42.82,230,700
2025-07-08,42.70,42.86,42.64,42.71,42.71,211,900
2025-07-07,42.90,43.00,42.48,42.67,42.67,296,900
2025-07-03,42.80,43.11,42.80,43.05,43.05,159,500
2025-07-02,42.68,42.81,42.57,42.79,42.79,157,100
2025-07-01,42.18,42.79,42.18,42.70,42.70,265,800
2025-06-30,42.25,42.32,42.07,42.27,42.27,245,900
2025-06-27,42.05,42.22,41.85,42.08,42.08,320,700
2025-06-26,41.71,41.95,41.71,41.92,41.92,416,000
2025-06-25,41.72,41.81,41.50,41.53,41.53,1,858,500
2025-06-24,41.60,41.82,41.56,41.71,41.71,5,959,700
2025-06-23,41.16,41.42,40.88,41.41,41.41,204,700
2025-06-20,41.45,41.50,41.19,41.25,41.08,246,900
2025-06-18,41.21,41.47,41.21,41.24,41.07,316,900
2025-06-17,41.33,41.46,41.14,41.17,41.00,326,500
2025-06-16,41.35,41.64,41.35,41.49,41.31,237,300
2025-06-13,41.29,41.50,41.09,41.19,41.02,193,100
2025-06-12,41.34,41.57,41.25,41.57,41.39,195,200
2025-06-11,41.61,41.64,41.34,41.45,41.27,154,100
2025-06-10,41.38,41.61,41.36,41.56,41.38,247,600
2025-06-09,41.35,41.46,41.22,41.30,41.12,280,100
2025-06-06,41.14,41.31,41.09,41.25,41.08,200,200
2025-06-05,41.03,41.03,40.70,40.79,40.62,309,800
2025-06-04,41.14,41.15,40.89,40.89,40.72,286,800
2025-06-03,40.76,41.10,40.67,41.07,40.90,221,900
