Date,Open,High,Low,Close,Volume
2025-09-03,15.24,15.37,14.92,15.26,432,600
2025-09-02,15.29,15.49,14.95,15.28,1,085,400
2025-08-29,15.41,15.58,15.23,15.50,629,500
2025-08-28,15.38,15.57,15.14,15.32,403,600
2025-08-27,15.12,15.46,15.10,15.25,512,700
2025-08-26,15.34,15.52,14.97,15.04,545,100
2025-08-25,15.62,15.70,15.33,15.37,528,300
2025-08-22,15.10,15.84,14.97,15.83,824,300
2025-08-21,14.50,14.94,14.36,14.94,566,400
2025-08-20,14.67,14.77,14.45,14.53,762,700
2025-08-19,15.15,15.24,14.66,14.72,564,100
2025-08-18,14.78,15.31,14.76,15.09,1,076,300
2025-08-15,14.35,14.72,14.23,14.59,831,000
2025-08-14,14.83,14.83,14.19,14.26,1,298,900
2025-08-13,14.48,15.16,14.37,15.00,1,541,700
2025-08-12,14.24,14.59,14.11,14.33,828,100
2025-08-11,14.60,14.95,14.05,14.10,1,262,200
2025-08-08,14.63,14.86,14.31,14.65,859,500
2025-08-07,14.96,14.99,14.30,14.58,774,400
2025-08-06,14.94,15.08,14.55,14.76,771,500
2025-08-05,15.38,15.38,14.71,14.80,1,012,300
2025-08-04,14.83,15.63,14.83,15.10,1,309,500
2025-08-01,15.33,15.99,14.38,14.89,1,965,800
2025-07-31,15.74,15.91,15.51,15.69,1,023,600
2025-07-30,16.29,16.29,15.71,15.84,629,800
2025-07-29,16.93,16.96,16.10,16.21,666,800
2025-07-28,16.44,17.10,16.25,16.81,766,800
2025-07-25,15.76,16.67,15.43,16.35,2,059,800
2025-07-24,16.06,16.47,15.48,15.70,1,885,700
2025-07-23,15.67,16.20,15.51,16.17,1,625,000
2025-07-22,15.59,16.09,15.49,15.65,1,715,300
2025-07-21,15.86,15.97,15.44,15.56,548,900
2025-07-18,15.75,15.90,15.45,15.69,772,900
2025-07-17,15.18,15.66,15.18,15.59,897,200
2025-07-16,15.34,15.34,14.75,15.05,550,300
2025-07-15,15.70,15.77,15.07,15.11,462,400
2025-07-14,15.78,16.02,15.22,15.48,691,200
2025-07-11,16.13,16.26,15.83,15.93,703,300
2025-07-10,16.49,16.55,16.13,16.27,570,000
2025-07-09,16.76,16.86,16.45,16.55,511,500
2025-07-08,16.37,16.77,16.27,16.51,660,300
2025-07-07,16.46,16.77,16.19,16.36,618,800
2025-07-03,16.15,16.76,16.15,16.61,470,300
2025-07-02,16.04,16.61,15.82,16.20,1,165,500
2025-07-01,15.68,16.57,15.68,16.15,1,299,800
2025-06-30,15.25,15.70,15.19,15.66,1,091,900
2025-06-27,15.35,15.52,14.76,14.99,2,080,500
2025-06-26,15.01,15.40,15.01,15.27,685,500
2025-06-25,14.55,15.09,14.52,14.97,1,170,300
2025-06-24,14.45,14.83,14.02,14.60,1,022,800
2025-06-23,13.85,14.33,13.61,14.08,1,067,200
2025-06-20,14.53,14.53,13.93,13.98,1,863,400
2025-06-18,14.51,14.61,13.96,14.40,1,872,100
2025-06-17,15.00,15.27,14.45,14.55,1,678,100
2025-06-16,15.71,15.87,15.02,15.22,2,630,000
2025-06-13,17.46,17.46,15.56,15.78,2,174,200
2025-06-12,18.74,19.02,18.02,18.10,640,300
2025-06-11,20.10,20.17,18.88,19.11,760,500
2025-06-10,19.79,20.28,19.66,20.02,592,600
2025-06-09,19.22,19.88,19.17,19.71,588,000
2025-06-06,18.66,19.28,18.61,19.13,515,900
2025-06-05,18.73,18.84,18.40,18.40,479,300
2025-06-04,18.60,19.12,18.31,18.73,591,500
2025-06-03,17.75,18.69,17.64,18.59,631,500
2025-06-02,17.45,17.75,17.16,17.74,631,100
2025-05-30,17.95,18.16,17.53,17.59,730,600
2025-05-29,18.23,18.33,17.72,18.01,432,900
2025-05-28,17.27,18.06,17.22,18.04,545,600
2025-05-27,17.16,17.25,16.87,17.25,415,800
2025-05-23,16.85,17.03,16.69,16.84,410,100
2025-05-22,17.23,17.54,17.20,17.25,276,300
2025-05-21,17.83,17.94,17.12,17.24,443,900
2025-05-20,17.99,18.12,17.74,18.10,349,600
2025-05-19,18.07,18.26,17.78,18.02,491,000
2025-05-16,18.70,18.94,18.40,18.43,534,500
2025-05-15,18.60,18.92,18.46,18.65,550,200
2025-05-14,18.51,18.84,18.51,18.81,545,500
2025-05-13,18.34,18.99,18.34,18.63,555,200
2025-05-12,17.53,18.52,17.52,18.25,727,400
2025-05-09,16.94,17.18,16.65,16.91,391,500
2025-05-08,16.75,17.04,16.42,16.87,485,000
2025-05-07,16.50,16.61,16.12,16.58,474,300
2025-05-06,16.06,16.47,15.71,16.33,547,300
2025-05-05,16.37,16.98,16.23,16.29,747,800
2025-05-02,17.35,17.76,15.67,16.43,1,857,500
2025-05-01,17.43,17.54,16.76,16.85,799,300
2025-04-30,17.49,17.49,16.88,17.08,551,600
2025-04-29,17.72,18.06,17.67,17.75,308,400
2025-04-28,17.76,18.11,17.54,17.75,353,100
2025-04-25,17.30,17.90,17.30,17.88,550,600
2025-04-24,16.82,17.59,16.72,17.40,860,300
2025-04-23,16.90,17.74,16.63,16.70,431,200
2025-04-22,15.93,16.32,15.74,16.31,488,300
2025-04-21,15.88,16.06,15.22,15.78,411,800
2025-04-17,16.02,16.34,15.87,16.07,305,100
2025-04-16,16.22,16.32,15.65,16.00,429,500
2025-04-15,16.18,16.58,16.18,16.43,446,900
2025-04-14,16.86,16.86,15.95,16.20,452,500
2025-04-11,16.39,16.60,15.94,16.46,422,700
2025-04-10,16.72,17.00,16.24,16.53,608,000
2025-04-09,15.18,17.16,15.18,17.16,1,693,800
2025-04-08,15.51,16.03,14.81,15.26,1,047,000
2025-04-07,15.89,16.32,14.87,15.04,1,470,000
2025-04-04,17.67,17.67,16.60,16.68,803,100
2025-04-03,18.17,18.41,17.79,18.12,514,100
2025-04-02,18.84,19.55,18.84,19.22,313,100
2025-04-01,18.99,19.29,18.63,19.22,504,700
2025-03-31,19.47,19.47,18.78,19.03,454,300
2025-03-28,20.70,20.70,19.58,19.89,357,900
2025-03-27,20.91,21.12,20.59,20.70,193,700
2025-03-26,21.20,21.34,20.71,20.95,182,500
2025-03-25,21.17,21.40,21.03,21.18,206,400
2025-03-24,21.03,21.53,20.94,21.16,254,900
2025-03-21,20.23,20.80,20.21,20.60,621,500
2025-03-20,20.78,21.07,20.51,20.67,228,600
2025-03-19,20.60,21.26,20.38,20.97,409,900
2025-03-18,20.87,20.98,20.27,20.53,536,700
2025-03-17,20.26,21.08,20.26,21.03,378,200
2025-03-14,20.45,21.06,20.34,20.61,528,900
2025-03-13,20.99,21.21,19.89,20.14,544,000
2025-03-12,21.54,21.67,21.00,21.18,406,300
2025-03-11,21.84,22.12,20.97,21.20,711,300
2025-03-10,22.21,22.61,21.52,21.85,382,800
2025-03-07,23.90,24.10,22.00,22.79,622,700
2025-03-06,24.60,24.81,23.90,24.07,451,100
2025-03-05,23.50,25.15,23.33,25.00,581,100
2025-03-04,23.23,23.84,22.80,23.52,451,700
2025-03-03,24.31,24.67,23.78,23.79,307,100
2025-02-28,24.24,24.41,23.88,24.18,340,800
2025-02-27,24.99,25.22,24.46,24.51,179,700
2025-02-26,25.17,25.27,24.69,25.00,189,400
2025-02-25,25.24,25.36,24.62,25.02,282,800
2025-02-24,25.79,25.81,24.84,25.30,428,700
2025-02-21,26.56,26.56,25.46,25.67,344,500
2025-02-20,26.39,26.48,26.03,26.33,248,000
2025-02-19,26.98,27.18,26.20,26.46,292,800
2025-02-18,27.08,27.26,26.69,27.25,392,900
2025-02-14,27.33,27.39,26.89,26.96,232,400
2025-02-13,27.36,27.36,26.79,27.26,343,500
2025-02-12,27.12,27.44,26.74,27.29,419,300
2025-02-11,27.12,27.47,26.98,27.07,455,900
2025-02-10,27.34,27.85,26.94,27.39,645,800
2025-02-07,28.83,29.84,26.65,27.29,1,479,000
2025-02-06,25.05,25.28,24.54,24.92,672,800
2025-02-05,24.60,25.50,24.51,25.30,384,200
2025-02-04,24.03,24.71,23.33,24.68,529,600
2025-02-03,22.99,24.24,22.88,24.03,666,800
2025-01-31,23.64,24.09,23.28,23.62,453,600
2025-01-30,24.20,24.44,23.26,23.46,388,600
2025-01-29,24.79,24.79,23.93,24.34,409,200
2025-01-28,24.25,25.14,23.81,24.84,381,700
2025-01-27,23.95,25.06,23.95,24.23,416,100
2025-01-24,24.36,24.44,24.12,24.24,203,300
2025-01-23,23.71,24.45,23.71,24.30,410,500
2025-01-22,23.85,24.03,23.63,23.93,309,600
2025-01-21,22.72,23.77,22.56,23.74,474,800
2025-01-17,22.09,22.42,21.71,22.35,329,500
2025-01-16,21.73,22.05,21.59,21.72,358,700
2025-01-15,22.50,22.72,22.21,22.25,213,000
2025-01-14,21.83,22.09,21.38,21.95,289,100
2025-01-13,21.32,21.68,21.00,21.59,508,800
2025-01-10,21.15,21.91,21.01,21.91,749,000
2025-01-08,21.53,21.78,21.20,21.74,540,000
2025-01-07,22.26,22.40,21.54,21.81,436,900
2025-01-06,22.29,22.46,21.85,22.08,481,300
2025-01-03,21.79,22.18,21.40,21.93,309,100
2025-01-02,22.34,22.34,21.27,21.49,274,500
2024-12-31,22.03,22.43,21.79,21.96,229,800
2024-12-30,21.85,22.07,21.55,21.84,219,100
2024-12-27,22.69,22.69,21.84,22.09,336,500
2024-12-26,22.48,23.20,22.45,22.83,262,300
2024-12-24,22.53,22.71,22.38,22.55,110,200
2024-12-23,22.44,22.59,22.10,22.51,312,600
2024-12-20,22.22,22.95,22.22,22.50,733,900
2024-12-19,23.27,23.43,22.58,22.67,458,300
2024-12-18,24.07,24.37,22.44,22.85,660,500
2024-12-17,23.96,24.35,23.59,23.97,488,200
2024-12-16,23.32,24.39,23.32,24.38,458,100
2024-12-13,24.63,24.76,23.43,23.46,488,800
2024-12-12,24.24,24.79,24.24,24.69,421,000
2024-12-11,24.79,25.00,24.29,24.32,384,000
2024-12-10,24.05,25.12,23.97,24.78,398,400
2024-12-09,24.81,25.39,24.32,24.37,445,200
2024-12-06,25.04,25.51,24.52,24.84,440,400
2024-12-05,25.66,25.72,24.72,24.73,572,200
2024-12-04,23.04,26.10,22.81,25.40,1,382,100
2024-12-03,23.32,23.60,22.33,22.35,1,130,200
2024-12-02,23.15,24.00,22.99,23.76,397,400
2024-11-29,23.42,23.57,23.15,23.17,149,800
2024-11-27,23.05,23.50,22.86,23.27,357,400
2024-11-26,23.80,23.80,22.78,23.00,294,200
2024-11-25,24.00,24.74,23.99,24.05,463,500
2024-11-22,23.66,24.19,23.55,23.92,412,900
2024-11-21,22.73,23.85,22.37,23.63,525,100
2024-11-20,22.14,22.62,21.89,22.52,592,800
2024-11-19,21.40,22.33,21.40,22.15,537,700
2024-11-18,22.90,22.90,21.54,21.64,643,700
2024-11-15,23.35,23.49,22.34,22.74,505,800
2024-11-14,23.35,23.57,22.74,23.35,456,700
2024-11-13,23.21,23.69,22.84,23.33,694,300
2024-11-12,22.42,23.11,22.26,23.10,738,900
2024-11-11,22.73,22.82,22.22,22.67,466,600
2024-11-08,23.17,23.17,21.96,22.48,587,200
2024-11-07,23.04,24.05,23.04,23.26,732,200
2024-11-06,22.74,23.30,22.01,23.10,922,400
2024-11-05,20.67,21.46,20.44,21.32,464,100
2024-11-04,20.82,21.34,20.50,20.73,427,600
2024-11-01,20.09,21.10,20.02,20.95,608,600
2024-10-31,20.80,21.00,19.56,19.80,1,033,800
2024-10-30,23.00,23.00,20.41,20.85,1,554,700
2024-10-29,18.99,19.56,18.82,19.38,477,900
2024-10-28,18.82,19.41,18.71,19.07,333,500
2024-10-25,18.25,18.61,18.15,18.56,276,700
2024-10-24,17.83,18.19,17.75,18.14,350,200
2024-10-23,17.86,18.00,17.49,17.69,443,200
2024-10-22,18.62,18.62,17.97,17.99,280,000
2024-10-21,19.62,19.75,18.28,18.64,403,000
2024-10-18,19.65,19.88,19.37,19.68,324,900
2024-10-17,18.99,19.60,18.53,19.51,315,200
2024-10-16,18.83,19.01,18.50,18.97,582,700
2024-10-15,18.50,18.84,18.32,18.66,317,600
2024-10-14,18.70,18.83,18.38,18.59,292,000
2024-10-11,18.38,18.83,18.27,18.65,341,600
2024-10-10,18.01,18.58,18.01,18.47,250,600
2024-10-09,17.77,18.57,17.77,18.28,297,700
2024-10-08,17.82,18.27,17.76,17.96,277,500
2024-10-07,18.25,18.25,17.56,17.82,414,100
2024-10-04,18.18,18.48,17.88,18.36,313,700
