Date,Open,High,Low,Close,Adj Close,Volume
"Sep 3, 2025","159.40","159.57","156.06","157.28","157.28","6,335,100"
"Sep 2, 2025","157.82","158.94","154.60","158.78","158.78","7,520,300"
"Aug 29, 2025","159.53","161.60","159.40","160.73","160.73","9,949,100"
"Aug 28, 2025","159.91","161.22","159.03","160.80","160.80","8,156,300"
"Aug 27, 2025","158.36","159.97","157.80","159.77","159.77","4,549,900"
"Aug 26, 2025","157.66","159.96","157.41","159.17","159.17","9,173,000"
"Aug 25, 2025","157.61","158.05","155.40","156.42","156.42","4,653,000"
"Aug 22, 2025","154.83","159.89","154.56","158.01","158.01","7,711,500"
"Aug 21, 2025","154.82","155.20","153.05","154.13","154.13","4,997,300"
"Aug 20, 2025","156.39","156.64","153.46","155.44","155.44","7,151,700"
"Aug 19, 2025","159.07","159.43","156.05","156.25","156.25","6,396,500"
"Aug 18, 2025","157.78","159.75","157.24","158.90","158.90","4,774,400"
"Aug 15, 2025","158.04","159.26","156.69","157.85","157.85","7,583,700"
"Aug 14, 2025","154.90","158.65","154.90","158.09","158.09","6,294,800"
"Aug 13, 2025","153.97","157.11","153.63","156.59","156.59","7,103,300"
"Aug 12, 2025","148.79","153.90","148.57","153.73","153.73","9,304,100"
"Aug 11, 2025","148.57","151.06","147.71","147.97","147.97","6,215,900"
"Aug 8, 2025","146.35","148.02","145.69","147.56","147.56","5,028,700"
"Aug 7, 2025","148.32","148.32","144.81","145.90","145.90","6,753,500"
"Aug 6, 2025","146.65","146.71","144.11","145.84","145.84","8,475,700"
"Aug 5, 2025","148.52","148.65","145.67","146.71","146.71","7,794,500"
"Aug 4, 2025","148.51","150.79","147.07","147.51","147.51","8,150,200"
"Aug 1, 2025","146.46","149.17","145.79","148.19","148.19","12,706,700"
"Jul 31, 2025","153.11","156.80","145.58","146.76","146.76","24,440,100"
"Jul 30, 2025","163.00","163.27","158.00","159.06","159.06","14,382,500"
"Jul 29, 2025","162.04","163.60","161.14","162.08","162.08","9,460,900"
"Jul 28, 2025","159.76","161.96","159.16","161.05","161.05","9,627,300"
"Jul 25, 2025","158.90","159.20","157.41","158.40","158.40","4,808,200"
"Jul 24, 2025","158.35","159.09","156.79","158.84","158.84","5,014,800"
"Jul 23, 2025","158.59","160.04","156.93","159.88","159.88","7,296,200"
"Jul 22, 2025","158.96","159.04","156.17","157.99","157.99","6,951,600"
"Jul 21, 2025","154.92","159.93","154.91","158.97","158.97","7,662,300"
"Jul 18, 2025","153.04","155.43","152.73","154.80","154.80","7,433,900"
"Jul 17, 2025","153.00","153.53","151.80","152.61","152.61","7,018,600"
"Jul 16, 2025","154.30","154.50","151.54","154.07","154.07","7,106,700"
"Jul 15, 2025","156.29","156.71","154.12","154.30","154.30","6,467,300"
"Jul 14, 2025","156.42","156.50","153.48","154.29","154.29","7,382,600"
"Jul 11, 2025","159.00","159.17","157.15","157.46","157.46","5,907,700"
"Jul 10, 2025","158.99","160.29","157.79","159.09","159.09","5,674,400"
"Jul 9, 2025","159.40","161.48","158.25","159.35","159.35","4,190,100"
"Jul 8, 2025","159.47","161.83","158.61","159.45","159.45","6,879,100"
"Jul 7, 2025","161.11","161.49","157.57","158.09","158.09","7,187,400"
"Jul 3, 2025","163.04","163.96","162.09","162.21","162.21","4,280,800"
"Jul 2, 2025","159.68","162.79","158.80","162.32","162.32","8,916,400"
"Jul 1, 2025","158.22","161.65","157.98","159.40","159.40","8,942,300"
"Jun 30, 2025","158.39","159.86","157.80","159.26","159.26","7,988,200"
"Jun 27, 2025","158.65","161.10","157.57","158.54","158.54","22,100,300"
"Jun 26, 2025","156.50","158.42","155.91","158.19","158.19","6,278,200"
"Jun 25, 2025","156.10","156.53","154.59","155.93","155.93","5,280,100"
"Jun 24, 2025","154.73","156.30","154.15","155.71","155.71","7,692,700"
"Jun 23, 2025","151.23","153.52","149.68","153.14","153.14","6,860,700"
"Jun 20, 2025","154.23","155.12","150.63","151.32","151.32","15,501,900"
"Jun 18, 2025","155.00","156.10","153.15","153.63","153.63","6,708,700"
"Jun 17, 2025","156.65","157.58","154.39","154.46","154.46","7,146,900"
"Jun 16, 2025","157.03","158.45","155.64","156.87","156.87","8,686,300"
"Jun 13, 2025","156.34","157.17","154.44","154.72","154.72","8,446,400"
"Jun 12, 2025","159.00","159.61","157.95","158.70","158.70","5,689,400"
"Jun 11, 2025","160.00","162.14","157.70","159.48","159.48","8,859,900"
"Jun 10, 2025","156.19","159.51","155.07","159.13","159.13","9,068,400"
"Jun 9, 2025","151.81","156.12","151.17","155.41","155.41","10,589,400"
"Jun 6, 2025","149.80","150.59","149.05","149.24","149.24","5,794,700"
"Jun 5, 2025","0.89","","","","",""
"Jun 5, 2025","148.80","150.08","147.00","147.56","147.56","5,605,500"
"Jun 4, 2025","150.00","150.05","147.38","149.05","148.16","7,143,800"
