Date,Open,High,Low,Close,Volume
2025-09-03,133.74,136.47,133.11,135.88,340,900
2025-09-02,133.00,134.07,131.36,133.77,378,900
2025-08-29,135.52,137.27,132.00,135.81,332,300
2025-08-28,134.66,135.34,134.05,135.33,219,000
2025-08-27,132.00,135.49,132.00,134.66,345,500
2025-08-26,132.30,133.29,131.49,131.49,535,000
2025-08-25,134.53,134.74,132.23,132.49,203,300
2025-08-22,130.87,135.83,130.87,134.54,289,400
2025-08-21,131.19,131.65,129.88,130.62,220,400
2025-08-20,133.28,133.57,131.35,132.11,299,100
2025-08-19,131.30,133.69,131.30,133.10,304,400
2025-08-18,129.57,130.75,128.84,130.65,223,300
2025-08-15,129.72,131.00,128.71,129.15,232,700
2025-08-14,131.54,131.77,129.08,129.16,236,600
2025-08-13,130.02,132.67,129.41,132.18,283,700
2025-08-12,128.51,129.93,127.77,129.45,331,700
2025-08-11,128.43,131.50,127.71,127.89,302,300
2025-08-08,128.91,129.95,127.70,128.46,310,800
2025-08-07,130.97,132.68,127.27,128.63,488,200
2025-08-06,132.14,133.80,124.10,130.33,879,100
2025-08-05,136.24,136.24,130.42,130.61,633,200
2025-08-04,131.09,136.14,131.08,135.82,523,400
2025-08-01,132.50,132.78,130.32,130.53,319,700
2025-07-31,135.77,136.36,132.89,133.07,281,100
2025-07-30,137.99,140.23,134.51,135.53,298,900
2025-07-29,138.53,139.20,136.06,137.43,261,600
2025-07-28,137.75,138.60,135.55,137.30,310,300
2025-07-25,139.36,139.43,136.60,136.81,375,600
2025-07-24,139.69,140.31,138.72,139.15,307,500
2025-07-23,140.80,141.27,139.37,140.34,176,600
2025-07-22,140.19,142.27,139.97,141.06,253,400
2025-07-21,139.71,141.39,139.36,139.51,213,100
2025-07-18,140.44,140.50,138.92,139.31,237,700
2025-07-17,137.91,140.06,137.80,139.55,344,200
2025-07-16,138.53,139.07,137.04,138.47,239,800
2025-07-15,139.45,140.81,137.51,137.71,305,300
2025-07-14,135.82,139.82,134.06,139.19,324,300
2025-07-11,140.76,141.32,135.28,135.61,295,100
2025-07-10,145.58,145.58,141.29,141.39,338,000
2025-07-09,147.59,147.84,143.48,146.01,255,600
2025-07-08,147.16,149.21,146.85,147.78,332,800
2025-07-07,151.10,151.10,146.76,146.94,375,100
2025-07-03,148.01,150.80,147.01,150.07,362,000
2025-07-02,144.10,144.74,142.95,143.98,318,400
2025-07-01,142.84,144.79,141.49,144.47,264,000
2025-06-30,142.04,143.14,141.20,142.87,191,200
2025-06-27,141.78,141.96,139.76,141.03,446,800
2025-06-26,142.08,142.76,140.03,141.78,229,100
2025-06-25,140.27,142.00,139.82,141.19,218,100
2025-06-24,140.76,141.60,138.76,140.00,229,900
2025-06-23,135.92,140.54,134.99,140.38,228,000
2025-06-20,137.45,138.41,134.87,135.73,881,100
2025-06-18,139.63,140.85,137.01,137.20,344,200
2025-06-17,137.96,140.98,137.48,140.20,325,900
2025-06-16,139.07,140.78,138.00,139.24,303,700
2025-06-13,138.78,140.58,137.35,138.78,291,200
2025-06-12,140.01,141.75,139.60,140.68,194,900
2025-06-11,141.20,142.27,139.62,140.01,287,700
2025-06-10,141.77,142.94,141.00,141.72,273,100
2025-06-09,142.00,142.67,140.87,141.77,291,500
2025-06-06,141.28,142.32,140.48,141.86,270,400
2025-06-05,139.19,140.88,138.95,139.70,336,700
2025-06-04,141.90,143.16,137.65,138.40,314,800
2025-06-03,141.16,142.76,140.53,142.56,237,500
2025-06-02,138.59,140.79,138.59,140.71,299,700
2025-05-30,136.97,139.01,135.60,138.55,348,500
2025-05-29,136.78,137.58,134.75,137.25,320,900
2025-05-28,137.47,138.21,135.86,136.18,251,600
2025-05-27,136.20,137.54,135.56,137.54,318,300
2025-05-23,134.43,135.69,133.66,134.51,273,700
2025-05-22,135.63,138.24,135.08,136.43,396,900
2025-05-21,136.69,138.17,135.32,135.83,301,800
2025-05-20,136.37,138.76,135.68,138.08,230,900
2025-05-19,135.24,137.39,134.00,136.90,237,100
2025-05-16,136.17,137.62,135.01,136.88,312,100
2025-05-15,135.50,136.83,134.99,135.90,274,100
2025-05-14,136.77,137.40,135.52,135.63,238,700
2025-05-13,136.50,137.80,136.15,136.75,323,000
2025-05-12,135.37,137.32,133.14,136.49,408,400
2025-05-09,133.48,134.29,131.91,132.31,341,400
