Date,Open,High,Low,Close,Volume
"Sep 3, 2025","90.78","90.99","89.57","90.88","1,167,300"
"Sep 2, 2025","89.00","90.40","88.12","90.34","1,041,000"
"Aug 29, 2025","91.36","91.82","89.88","90.70","1,451,500"
"Aug 28, 2025","92.02","92.39","90.92","91.49","1,453,500"
"Aug 27, 2025","92.20","92.64","91.50","91.91","1,632,900"
"Aug 26, 2025","92.05","93.38","91.99","92.37","1,467,400"
"Aug 25, 2025","92.49","92.91","91.87","92.12","934,700"
"Aug 22, 2025","89.52","94.04","89.21","92.95","1,870,900"
"Aug 21, 2025","88.01","89.14","87.78","89.07","829,900"
"Aug 20, 2025","89.07","89.26","87.53","89.05","1,771,000"
"Aug 19, 2025","89.31","90.08","89.17","89.54","1,348,100"
"Aug 18, 2025","89.06","89.95","88.49","89.25","1,149,000"
"Aug 15, 2025","90.09","90.37","88.86","89.35","1,268,200"
"Aug 14, 2025","88.79","90.90","88.79","90.66","1,200,300"
"Aug 13, 2025","90.35","90.94","89.80","90.14","1,656,200"
"Aug 12, 2025","87.34","89.97","87.04","89.77","1,501,200"
"Aug 11, 2025","88.23","88.85","86.73","86.98","1,254,900"
"Aug 8, 2025","88.10","89.32","87.58","88.09","1,423,800"
"Aug 7, 2025","85.20","87.62","84.52","87.55","2,293,000"
"Aug 6, 2025","84.89","84.98","83.56","84.19","1,245,200"
"Aug 5, 2025","85.31","85.82","83.64","84.95","2,146,000"
"Aug 4, 2025","84.85","85.25","84.21","85.17","1,427,300"
"Aug 1, 2025","82.24","84.88","81.54","84.11","2,343,200"
"Jul 31, 2025","85.49","85.67","82.61","83.60","2,447,300"
"Jul 30, 2025","91.29","91.43","81.60","86.50","5,858,000"
"Jul 29, 2025","84.97","85.54","83.82","84.67","4,167,600"
"Jul 28, 2025","86.13","86.29","84.14","84.32","2,483,600"
"Jul 25, 2025","86.00","86.09","84.75","85.28","1,868,300"
"Jul 24, 2025","87.70","87.86","85.92","86.19","1,346,900"
"Jul 23, 2025","88.67","88.94","86.61","88.53","1,127,300"
"Jul 22, 2025","88.04","88.84","86.80","87.80","1,527,500"
"Jul 21, 2025","89.18","90.66","87.88","87.93","1,243,500"
"Jul 18, 2025","88.82","89.31","87.76","88.57","1,021,000"
"Jul 17, 2025","88.00","89.17","87.58","88.63","1,214,300"
"Jul 16, 2025","87.00","88.35","86.19","88.00","1,445,200"
"Jul 15, 2025","88.74","89.19","86.89","87.03","1,291,500"
"Jul 14, 2025","87.55","88.14","86.14","87.48","1,259,000"
"Jul 11, 2025","89.08","89.46","87.89","88.23","1,484,500"
"Jul 10, 2025","89.22","91.29","89.06","90.32","1,068,300"
"Jul 9, 2025","88.21","90.10","87.69","89.88","2,213,200"
"Jul 8, 2025","87.89","89.62","86.76","88.03","2,619,700"
"Jul 7, 2025","87.49","89.91","86.36","87.04","2,309,100"
"Jul 3, 2025","88.62","89.58","87.78","88.78","1,361,300"
"Jul 2, 2025","86.21","88.33","85.36","88.28","1,485,600"
"Jul 1, 2025","84.31","87.45","84.25","86.08","1,778,800"
"Jun 30, 2025","83.81","85.21","82.75","84.91","1,771,500"
"Jun 27, 2025","82.75","84.56","82.41","83.85","2,836,400"
"Jun 26, 2025","82.88","83.51","82.43","82.99","2,009,200"
"Jun 25, 2025","82.58","82.78","81.55","82.74","914,100"
"Jun 24, 2025","81.43","82.78","81.32","81.59","1,814,300"
"Jun 23, 2025","79.90","81.70","79.32","80.92","1,130,000"
"Jun 20, 2025","80.53","81.31","78.32","79.91","5,448,000"
"Jun 18, 2025","80.40","81.37","79.86","80.30","846,900"
"Jun 17, 2025","80.32","81.50","80.00","80.18","1,262,800"
"Jun 16, 2025","80.46","81.13","79.52","80.74","1,830,200"
"Jun 13, 2025","79.99","81.06","79.33","79.42","1,492,300"
"Jun 12, 2025","81.81","82.29","81.42","81.76","1,275,000"
"Jun 11, 2025","83.70","83.89","81.98","82.63","1,221,400"
"Jun 10, 2025","81.82","83.31","81.40","83.01","1,867,600"
"Jun 9, 2025","79.67","82.31","79.67","81.09","1,723,400"
"Jun 6, 2025","79.57","79.82","78.49","78.58","1,016,000"
"Jun 5, 2025","79.88","80.64","77.52","78.12","2,085,500"
"Jun 4, 2025","79.21","80.41","78.98","79.23","2,400,300"
"Jun 3, 2025","76.00","79.46","75.27","79.26","3,270,700"
"Jun 2, 2025","75.60","76.86","74.77","76.37","2,020,100"
"May 30, 2025","75.63","76.31","74.03","76.02","2,665,500"
"May 29, 2025","77.46","77.47","75.62","76.41","1,316,400"
"May 28, 2025","77.25","77.58","75.80","75.91","1,505,900"
"May 27, 2025","76.20","77.75","75.07","76.95","2,314,600"
"May 23, 2025","73.45","75.59","73.00","74.60","2,134,300"
"May 22, 2025","76.75","77.24","75.73","76.10","1,014,200"
"May 21, 2025","78.00","78.80","76.09","76.51","1,609,900"
"May 20, 2025","77.73","79.13","77.73","78.92","1,560,500"
"May 19, 2025","77.84","79.02","77.84","78.82","974,700"
"May 16, 2025","78.49","79.81","77.86","79.64","1,290,100"
"May 15, 2025","78.50","78.96","77.52","78.42","1,469,000"
"May 14, 2025","78.39","79.48","77.94","79.44","1,828,700"
"May 13, 2025","78.37","80.10","78.07","78.58","2,410,200"
"May 12, 2025","78.26","79.26","76.71","78.42","3,319,400"
"May 9, 2025","72.93","73.73","71.73","73.19","1,374,900"
"May 8, 2025","71.64","74.21","71.64","72.37","2,646,000"
"May 7, 2025","70.51","71.63","69.31","71.30","1,805,400"
"May 6, 2025","70.02","70.45","69.03","70.31","2,300,000"
"May 5, 2025","69.95","71.50","69.51","70.72","2,058,400"
"May 2, 2025","71.74","72.69","70.59","70.90","1,955,700"
"May 1, 2025","71.92","72.13","69.42","69.81","2,956,700"
"Apr 30, 2025","67.95","71.84","67.09","71.67","6,059,700"
"Apr 29, 2025","63.06","63.79","62.34","62.65","3,292,700"
"Apr 28, 2025","63.51","64.71","62.55","63.80","2,218,800"
"Apr 25, 2025","62.54","64.37","62.29","63.78","989,000"
"Apr 24, 2025","61.74","63.71","60.92","63.51","1,894,400"
"Apr 23, 2025","62.00","62.72","59.58","59.91","2,073,100"
"Apr 22, 2025","58.23","60.11","58.23","59.12","2,254,700"
"Apr 21, 2025","56.06","58.33","56.00","58.20","1,899,000"
"Apr 17, 2025","57.41","58.02","56.20","57.63","1,332,000"
"Apr 16, 2025","56.05","57.65","54.49","56.82","3,235,100"
"Apr 15, 2025","58.88","59.53","57.65","57.81","2,985,700"
"Apr 14, 2025","58.40","59.86","57.60","58.93","2,345,400"
"Apr 11, 2025","54.06","56.63","52.62","56.27","2,075,900"
"Apr 10, 2025","59.06","59.55","53.10","55.12","2,973,600"
"Apr 9, 2025","51.36","62.56","50.33","62.11","6,423,900"
"Apr 8, 2025","58.63","58.73","49.46","50.81","6,468,500"
"Apr 7, 2025","55.12","61.12","53.18","56.39","5,924,800"
"Apr 4, 2025","58.17","58.75","53.90","56.35","4,493,500"
"Apr 3, 2025","68.68","69.54","60.88","61.09","3,453,400"
"Apr 2, 2025","71.26","73.65","70.99","72.64","913,400"
"Apr 1, 2025","72.10","72.68","70.72","72.23","1,130,200"
"Mar 31, 2025","70.19","72.70","69.70","72.41","1,634,100"
"Mar 28, 2025","73.31","73.93","71.10","71.50","2,241,800"
"Mar 27, 2025","74.05","74.54","72.87","73.69","1,353,500"
"Mar 26, 2025","75.35","76.08","74.14","75.00","1,572,100"
"Mar 25, 2025","72.52","75.86","72.44","75.63","2,634,700"
"Mar 24, 2025","73.61","74.54","72.46","72.91","2,018,200"
