Date,Open,High,Low,Close,Volume
"Sep 3, 2025","73.52","74.87","72.68","73.67","1,027,300"
"Sep 2, 2025","71.72","73.90","70.90","73.49","1,387,300"
"Aug 29, 2025","80.21","80.79","73.07","73.77","2,313,800"
"Aug 28, 2025","77.85","81.89","76.49","81.09","2,271,300"
"Aug 27, 2025","74.33","76.19","74.18","75.05","1,041,300"
"Aug 26, 2025","73.89","75.69","73.83","75.03","1,089,200"
"Aug 25, 2025","73.52","74.39","73.13","73.30","563,900"
"Aug 22, 2025","70.53","74.63","70.45","73.77","1,005,900"
"Aug 21, 2025","69.46","71.13","69.36","70.44","640,900"
"Aug 20, 2025","69.64","69.87","67.15","69.68","1,548,600"
"Aug 19, 2025","75.37","75.37","69.64","69.78","1,753,500"
"Aug 18, 2025","74.15","75.79","73.75","75.77","605,500"
"Aug 15, 2025","75.58","75.58","73.60","74.22","867,600"
"Aug 14, 2025","75.37","76.70","75.21","76.00","798,700"
"Aug 13, 2025","77.75","78.16","75.40","76.79","1,006,300"
"Aug 12, 2025","73.30","76.63","72.34","76.44","1,108,900"
"Aug 11, 2025","73.84","74.87","72.43","72.77","1,240,600"
"Aug 8, 2025","72.50","73.97","72.03","72.86","896,100"
"Aug 7, 2025","73.20","73.83","70.58","71.95","1,067,800"
"Aug 6, 2025","73.03","73.42","70.91","71.56","1,116,300"
"Aug 5, 2025","75.83","76.20","73.08","73.79","1,459,600"
"Aug 4, 2025","73.10","75.77","72.41","75.73","1,318,700"
"Aug 1, 2025","71.00","73.19","69.51","72.41","1,910,600"
"Jul 31, 2025","74.00","74.94","73.15","73.93","1,942,200"
"Jul 30, 2025","73.44","76.07","73.03","75.09","2,295,700"
"Jul 29, 2025","68.00","73.30","65.31","73.15","3,639,100"
"Jul 28, 2025","63.78","65.38","63.30","64.24","1,885,900"
"Jul 25, 2025","64.02","64.34","62.81","62.85","974,100"
"Jul 24, 2025","65.67","65.92","63.00","64.21","1,214,200"
"Jul 23, 2025","66.40","66.69","64.84","65.95","1,087,200"
"Jul 22, 2025","68.51","68.70","65.18","66.61","1,238,700"
"Jul 21, 2025","68.88","70.05","68.31","68.91","1,729,600"
"Jul 18, 2025","68.95","69.43","67.57","68.21","1,037,500"
"Jul 17, 2025","67.45","68.83","66.88","68.17","1,651,800"
"Jul 16, 2025","64.31","66.86","63.72","66.79","1,226,700"
"Jul 15, 2025","64.77","65.45","64.11","64.53","814,300"
"Jul 14, 2025","63.50","63.63","61.16","63.28","1,023,000"
"Jul 11, 2025","64.00","64.58","63.56","64.06","478,500"
"Jul 10, 2025","65.64","65.64","64.19","64.60","580,200"
"Jul 9, 2025","65.13","65.76","64.26","64.79","533,400"
"Jul 8, 2025","64.50","65.71","63.55","65.18","928,900"
"Jul 7, 2025","65.15","65.44","63.56","63.79","743,200"
"Jul 3, 2025","65.76","66.36","65.26","65.89","664,700"
"Jul 2, 2025","63.69","65.42","63.59","65.00","1,024,200"
"Jul 1, 2025","63.39","64.56","61.99","64.14","1,125,200"
"Jun 30, 2025","64.51","64.90","63.28","64.02","1,192,500"
"Jun 27, 2025","62.88","64.07","62.30","64.00","1,940,500"
"Jun 26, 2025","62.88","62.88","61.90","62.52","783,900"
"Jun 25, 2025","62.55","62.94","61.12","61.90","654,500"
"Jun 24, 2025","61.01","62.82","60.96","62.30","835,600"
"Jun 23, 2025","59.46","60.98","58.82","60.00","662,800"
"Jun 20, 2025","61.05","61.55","58.92","59.38","1,070,500"
"Jun 18, 2025","60.09","61.11","59.87","60.55","595,800"
"Jun 17, 2025","59.75","60.95","59.75","59.94","745,100"
"Jun 16, 2025","58.91","60.57","58.81","60.37","967,500"
"Jun 13, 2025","59.49","59.88","57.98","58.10","893,200"
"Jun 12, 2025","60.47","61.38","60.30","60.66","713,100"
"Jun 11, 2025","61.30","63.15","60.61","61.21","1,286,500"
"Jun 10, 2025","59.46","60.25","59.27","59.70","627,800"
"Jun 9, 2025","58.39","59.88","58.01","59.03","645,000"
"Jun 6, 2025","57.65","57.86","57.12","57.43","825,400"
"Jun 5, 2025","57.74","58.10","56.21","56.56","977,200"
"Jun 4, 2025","56.73","57.59","56.08","57.15","669,900"
"Jun 3, 2025","54.79","56.41","54.05","56.30","1,179,500"
"Jun 2, 2025","53.17","55.02","53.11","54.75","907,700"
"May 30, 2025","54.04","54.09","52.12","53.47","1,374,100"
"May 29, 2025","55.36","55.36","53.96","54.60","674,800"
"May 28, 2025","55.11","55.28","54.21","54.23","852,900"
"May 27, 2025","55.06","55.31","54.03","55.06","778,200"
"May 23, 2025","53.00","53.95","52.70","53.48","772,100"
"May 22, 2025","54.75","55.88","54.44","54.52","654,700"
"May 21, 2025","55.00","56.19","54.32","54.63","1,153,200"
"May 20, 2025","55.15","55.88","54.92","55.65","564,700"
"May 19, 2025","54.79","55.84","54.79","55.81","619,800"
"May 16, 2025","56.70","56.90","55.71","56.35","870,400"
"May 15, 2025","56.99","57.68","56.25","56.77","1,155,200"
"May 14, 2025","56.68","58.20","56.59","57.65","946,100"
"May 13, 2025","54.25","57.34","54.25","56.67","1,120,200"
"May 12, 2025","55.17","55.22","53.55","54.11","1,533,500"
"May 9, 2025","52.13","52.60","50.89","51.02","830,100"
"May 8, 2025","52.02","52.45","51.15","51.60","1,280,800"
"May 7, 2025","50.15","51.20","49.61","50.87","963,300"
"May 6, 2025","49.51","50.47","49.29","50.17","704,600"
"May 5, 2025","50.31","51.70","50.29","50.72","907,300"
"May 2, 2025","50.04","51.95","49.87","51.29","1,026,600"
"May 1, 2025","50.05","51.00","48.80","48.88","1,289,300"
