Date,Open,High,Low,Close,Volume
2025-09-03,76.83,78.09,76.42,76.92,218,100
2025-09-02,77.19,78.39,76.30,77.37,212,500
2025-08-29,78.59,79.56,77.85,78.46,251,100
2025-08-28,79.80,79.80,78.36,78.41,154,300
2025-08-27,78.88,80.00,78.56,79.45,174,100
2025-08-26,78.46,80.52,78.38,79.37,257,100
2025-08-25,79.32,79.42,77.81,78.51,217,300
2025-08-22,75.14,80.10,75.14,79.54,291,300
2025-08-21,73.50,75.11,72.49,74.77,155,000
2025-08-20,76.23,77.29,73.34,74.01,215,000
2025-08-19,76.30,77.87,75.97,76.91,244,300
2025-08-18,76.92,77.60,75.68,75.78,213,900
2025-08-15,76.72,77.13,75.53,76.64,209,100
2025-08-14,75.89,76.80,73.97,76.52,461,700
2025-08-13,74.92,78.22,74.41,77.95,238,600
2025-08-12,70.12,74.92,70.12,74.85,208,800
2025-08-11,70.45,71.29,69.61,69.85,200,900
2025-08-08,71.99,72.88,69.32,70.21,330,600
2025-08-07,76.00,76.89,72.08,72.19,397,200
2025-08-06,71.45,72.40,69.60,70.51,519,100
2025-08-05,70.04,71.42,68.76,71.30,427,200
2025-08-04,67.49,69.71,66.97,69.67,286,200
2025-08-01,66.27,67.39,61.17,67.30,880,800
2025-07-31,65.31,67.02,64.99,65.58,395,900
2025-07-30,66.41,68.89,66.14,66.40,386,000
2025-07-29,66.14,67.07,66.00,66.41,368,700
2025-07-28,65.69,66.77,64.46,66.15,576,300
2025-07-25,65.84,65.84,64.85,65.28,153,200
2025-07-24,66.88,67.22,65.25,65.50,121,700
2025-07-23,68.19,68.66,66.94,67.56,141,700
2025-07-22,64.81,67.96,64.81,67.12,220,400
2025-07-21,66.17,66.47,64.69,64.78,201,700
2025-07-18,67.12,67.12,64.82,65.50,357,800
2025-07-17,66.00,67.17,66.00,66.50,334,800
2025-07-16,66.10,66.72,64.59,65.76,223,400
2025-07-15,68.92,68.92,64.94,65.64,297,600
2025-07-14,71.26,71.87,65.95,67.82,435,500
2025-07-11,73.02,73.68,72.12,73.27,99,500
2025-07-10,73.70,75.00,73.39,73.69,98,300
2025-07-09,72.94,73.56,71.36,73.42,102,600
2025-07-08,71.85,74.10,71.85,73.16,96,000
2025-07-07,72.53,73.36,70.87,71.00,106,200
