Date,Open,High,Low,Close,Adj Close,Volume
2025-09-03,517.28,524.68,517.28,524.13,524.13,713,000
2025-09-02,524.09,525.01,516.25,518.99,518.99,681,100
2025-08-29,529.50,532.18,524.11,526.31,526.31,872,100
2025-08-28,528.21,528.83,524.88,526.59,526.59,794,000
2025-08-27,525.31,529.84,523.49,528.66,528.66,656,800
2025-08-26,529.00,531.09,522.34,524.45,524.45,752,700
2025-08-25,535.90,536.57,529.26,530.29,530.29,570,700
2025-08-22,529.75,538.21,528.01,536.84,536.84,673,500
2025-08-21,537.37,540.34,526.66,526.94,526.94,1,191,400
2025-08-20,536.27,544.94,533.39,540.52,540.52,1,337,500
2025-08-19,532.28,538.04,531.00,532.59,532.59,762,700
2025-08-18,529.99,533.98,529.99,532.28,532.28,735,600
2025-08-15,523.63,530.62,523.19,529.64,529.64,697,600
2025-08-14,523.55,526.10,518.10,524.96,524.96,890,000
2025-08-13,521.42,523.96,514.05,522.53,522.53,1,105,800
2025-08-12,527.77,529.95,518.22,519.50,519.50,844,900
2025-08-11,534.38,536.96,525.77,527.48,527.48,504,900
2025-08-08,536.71,538.83,531.60,534.38,534.38,358,700
2025-08-07,546.03,546.52,535.32,536.71,536.71,423,300
2025-08-06,539.83,542.21,535.88,541.84,541.84,493,700
2025-08-05,549.24,549.24,537.37,537.93,537.93,668,800
2025-08-04,543.04,547.14,542.05,546.42,546.42,473,800
2025-08-01,551.10,551.11,539.91,542.11,542.11,497,000
2025-07-31,550.68,556.23,549.00,550.40,550.40,708,100
2025-07-30,563.58,564.68,549.95,552.34,552.34,666,600
2025-07-29,561.70,563.33,556.19,563.06,563.06,695,800
2025-07-28,561.62,564.16,558.76,559.03,559.03,439,600
2025-07-25,560.70,563.41,557.11,563.03,563.03,278,500
2025-07-24,556.54,562.86,554.21,560.37,560.37,544,500
2025-07-23,563.85,566.24,556.42,557.02,557.02,885,400
2025-07-22,554.16,564.63,551.42,563.84,563.84,812,400
2025-07-21,549.62,555.93,535.70,551.91,551.91,914,200
2025-07-18,549.52,549.52,540.40,544.79,544.79,642,200
2025-07-17,543.28,546.99,543.28,546.35,546.35,461,000
2025-07-16,545.59,548.95,541.90,545.23,545.23,669,500
2025-07-15,548.42,551.02,544.78,544.82,544.82,669,100
2025-07-14,546.02,548.58,541.20,548.33,548.33,545,800
2025-07-11,549.83,551.97,545.75,547.46,547.46,743,000
2025-07-10,553.59,555.88,544.67,549.80,549.80,944,600
2025-07-09,566.00,571.36,551.51,558.64,558.64,861,800
2025-07-08,564.45,569.34,562.19,564.59,564.59,699,400
2025-07-07,573.00,575.77,565.32,566.00,565.17,651,900
2025-07-03,569.95,574.81,568.73,573.00,572.16,244,000
2025-07-02,571.73,571.73,563.57,566.08,565.25,460,600
2025-07-01,567.24,574.95,565.91,572.71,571.88,563,400
2025-06-30,564.69,567.63,562.00,566.84,566.01,910,300
2025-06-27,565.31,569.37,560.65,563.51,562.69,653,000
2025-06-26,566.08,566.38,558.28,565.31,564.49,509,800
2025-06-25,570.84,573.10,562.99,566.94,566.11,494,400
2025-06-24,568.50,571.55,563.28,571.02,570.19,460,600
2025-06-23,562.59,566.29,558.14,566.18,565.35,374,700
2025-06-20,558.98,564.36,557.78,561.99,561.17,1,124,300
2025-06-18,562.58,562.58,555.04,555.75,554.94,447,100
2025-06-17,565.32,565.91,559.57,562.58,561.76,454,900
2025-06-16,562.48,567.90,562.48,565.66,564.84,372,600
2025-06-13,566.68,570.84,560.27,560.75,559.93,436,800
2025-06-12,570.06,573.08,569.77,572.03,571.20,274,900
2025-06-11,572.08,573.80,568.72,569.56,568.73,336,700
2025-06-10,562.73,574.32,562.73,572.18,571.35,352,900
2025-06-09,572.24,576.49,568.20,573.08,572.24,419,300
2025-06-06,572.79,575.00,570.99,572.87,572.03,336,700
2025-06-05,568.41,571.08,565.50,569.49,568.66,656,700
2025-06-04,567.28,569.29,563.30,568.01,567.18,737,200
2025-06-03,564.39,568.21,561.84,567.87,567.04,332,500
2025-06-02,565.94,568.38,563.08,566.69,565.86,385,700
2025-05-30,564.95,572.70,563.20,570.27,569.44,808,800
2025-05-29,570.13,571.52,562.54,564.27,563.45,782,000
2025-05-28,574.27,576.55,568.65,569.13,568.30,360,900
2025-05-27,571.21,574.73,568.43,573.82,572.98,433,700
2025-05-23,564.43,569.73,563.80,567.03,566.20,375,100
2025-05-22,568.45,573.09,568.45,569.07,568.24,346,400
2025-05-21,573.76,583.95,569.93,572.81,571.98,432,200
2025-05-20,577.91,578.67,573.74,578.21,577.37,460,200
2025-05-19,581.75,584.03,578.40,580.47,579.62,533,500
2025-05-16,579.01,583.02,574.22,582.88,582.03,611,500
2025-05-15,565.74,574.77,565.28,574.40,573.56,515,800
2025-05-14,572.81,576.87,563.49,565.94,565.12,623,100
2025-05-13,577.82,582.57,575.46,577.07,576.23,554,600
2025-05-12,579.92,579.92,566.80,575.84,575.00,750,900
2025-05-09,574.54,574.54,564.37,570.48,569.65,333,200
2025-05-08,576.76,582.17,572.52,574.98,574.14,485,200
2025-05-07,570.43,576.43,569.49,574.29,573.45,396,000
2025-05-06,565.45,574.02,560.94,569.70,568.87,584,900
2025-05-05,565.92,575.32,563.31,571.13,570.30,647,800
2025-05-02,562.10,569.40,562.10,566.04,565.21,556,000
2025-05-01,564.14,564.21,556.53,557.59,556.78,590,200
2025-04-30,554.90,560.90,547.75,560.08,559.26,670,400
2025-04-29,553.42,558.06,552.03,556.17,555.36,716,500
2025-04-28,537.95,558.20,535.53,551.95,551.15,805,900
2025-04-25,559.24,559.24,551.04,557.70,556.89,671,000
2025-04-24,551.12,561.43,548.00,559.66,558.84,674,300
2025-04-23,555.82,564.12,550.35,551.08,550.28,623,400
2025-04-22,545.58,551.79,543.55,551.30,550.50,517,600
2025-04-21,550.42,555.34,534.91,539.27,538.48,372,600
2025-04-17,561.50,564.47,556.43,557.24,556.43,343,100
2025-04-16,562.58,569.89,552.53,556.27,555.46,635,200
2025-04-15,569.88,571.68,563.34,567.08,566.25,340,700
2025-04-14,568.44,570.73,558.66,565.88,565.06,378,400
2025-04-11,548.75,564.72,543.32,560.16,559.34,669,100
2025-04-10,547.94,554.47,533.10,549.60,548.80,944,000
2025-04-09,517.51,556.26,513.87,553.76,552.95,1,153,100
2025-04-08,534.82,541.89,513.92,519.19,518.43,806,300
2025-04-07,533.05,547.68,519.52,532.54,531.76,1,109,300
2025-04-04,576.78,578.34,540.76,541.80,541.01,1,672,600
2025-04-03,589.86,590.50,576.81,579.70,578.03,994,200
2025-04-02,584.19,592.95,580.07,590.36,588.66,411,900
2025-04-01,585.80,593.00,584.23,590.78,589.08,438,600
2025-03-31,582.83,592.01,580.19,589.58,587.88,994,700
2025-03-28,589.36,591.72,580.62,582.64,580.96,876,500
2025-03-27,587.67,594.25,578.11,592.55,590.84,627,300
2025-03-26,579.56,585.27,579.56,582.71,581.03,336,500
2025-03-25,575.77,582.16,572.52,579.07,577.40,735,500
2025-03-24,577.29,579.54,574.16,576.65,574.99,568,900
2025-03-21,569.92,573.09,564.26,572.18,570.53,879,700
2025-03-20,574.31,577.44,570.85,575.45,573.79,439,200
2025-03-19,579.21,580.33,572.28,577.83,576.17,488,800
2025-03-18,573.84,577.38,569.66,576.86,575.20,459,800
2025-03-17,569.29,578.24,569.29,575.59,573.93,499,000
2025-03-14,566.31,571.79,565.72,569.29,567.65,428,900
2025-03-13,563.44,567.90,560.78,562.88,561.26,431,800
2025-03-12,566.66,569.23,559.60,566.42,564.79,621,500
