Date,Open,High,Low,Close,Volume
2025-09-03,20.08,20.50,20.01,20.42,653,100
2025-09-02,20.54,20.67,19.91,20.17,631,500
2025-08-29,20.95,21.26,20.60,20.71,778,100
2025-08-28,20.85,21.01,20.61,20.90,504,000
2025-08-27,20.24,20.70,20.24,20.67,575,500
2025-08-26,20.15,20.42,19.91,20.14,1,044,700
2025-08-25,20.68,20.77,20.15,20.17,449,900
2025-08-22,20.25,21.27,20.10,20.75,799,400
2025-08-21,20.07,20.25,19.86,20.12,741,000
2025-08-20,21.08,21.19,20.15,20.27,658,200
2025-08-19,21.48,21.77,20.99,21.14,611,600
2025-08-18,21.19,21.48,20.68,21.46,1,002,700
2025-08-15,21.11,21.57,20.90,21.27,1,006,300
2025-08-14,21.33,21.78,20.73,20.94,1,004,000
2025-08-13,20.24,21.39,19.80,21.32,1,402,200
2025-08-12,18.88,20.45,18.67,20.14,1,708,100
2025-08-11,17.90,18.78,17.90,18.77,1,934,100
2025-08-08,19.59,20.13,17.83,17.88,2,167,100
2025-08-07,20.28,20.32,19.21,19.82,1,135,700
2025-08-06,20.30,20.61,19.92,19.99,667,200
2025-08-05,20.86,20.86,20.07,20.17,988,300
2025-08-04,20.26,20.81,20.22,20.74,573,700
2025-08-01,21.06,21.06,20.22,20.36,741,900
2025-07-31,21.59,21.64,20.98,21.12,948,600
2025-07-30,22.65,22.65,21.41,21.67,1,100,900
2025-07-29,22.75,22.89,22.25,22.59,633,200
2025-07-28,22.85,23.02,22.59,22.65,518,800
2025-07-25,22.62,22.93,22.43,22.71,432,900
2025-07-24,22.67,22.90,22.30,22.53,657,300
2025-07-23,23.00,23.26,22.44,22.86,702,200
2025-07-22,22.67,23.05,22.58,22.79,825,000
2025-07-21,22.43,22.79,22.30,22.67,619,900
2025-07-18,22.60,22.73,22.16,22.31,1,211,800
2025-07-17,22.50,22.75,22.30,22.33,709,100
2025-07-16,22.57,22.70,22.20,22.56,502,100
2025-07-15,23.00,23.10,22.52,22.53,603,100
2025-07-14,22.86,23.07,22.71,22.80,588,400
2025-07-11,23.96,24.42,22.92,22.99,841,700
2025-07-10,25.40,25.57,24.11,24.11,944,200
2025-07-09,24.38,25.85,24.33,25.59,997,700
2025-07-08,23.98,24.64,23.88,24.40,754,200
2025-07-07,24.16,24.69,23.83,23.89,484,700
2025-07-03,24.22,24.53,24.18,24.37,317,300
2025-07-02,23.99,24.16,23.40,24.00,614,600
2025-07-01,23.14,24.19,22.86,24.04,818,000
2025-06-30,22.97,23.28,22.74,23.13,837,600
2025-06-27,23.27,23.33,22.60,22.70,1,400,800
2025-06-26,23.44,23.57,22.95,23.14,757,400
2025-06-25,23.36,24.26,23.31,23.39,571,800
2025-06-24,23.49,23.91,22.56,23.40,963,200
2025-06-23,23.05,23.40,22.75,23.22,575,500
2025-06-20,23.69,23.69,22.66,23.39,3,177,000
2025-06-18,23.18,23.70,23.15,23.53,932,400
2025-06-17,23.23,23.89,23.23,23.33,828,500
2025-06-16,23.62,23.90,23.25,23.54,713,600
2025-06-13,23.48,24.17,23.39,23.52,803,000
2025-06-12,23.97,24.14,23.64,23.73,516,100
2025-06-11,24.50,24.72,23.92,24.01,720,100
2025-06-10,23.90,24.49,23.73,24.34,653,600
2025-06-09,23.92,23.96,23.60,23.61,499,800
2025-06-06,23.47,23.98,23.25,23.72,723,900
2025-06-05,23.37,23.68,23.07,23.17,522,400
2025-06-04,23.99,24.48,23.29,23.36,885,100
2025-06-03,23.26,24.03,23.11,23.99,608,700
2025-06-02,22.76,23.45,22.68,23.26,809,000
