Date,Open,High,Low,Close,Volume
2025-09-03,117.09,117.83,115.06,116.50,487,600
2025-09-02,114.83,117.41,113.99,117.09,636,300
2025-08-29,119.04,119.12,116.16,117.52,638,000
2025-08-28,117.82,120.27,117.82,119.37,756,300
2025-08-27,115.14,117.07,113.95,116.95,723,100
2025-08-26,115.75,117.37,114.99,115.22,703,600
2025-08-25,115.65,117.56,115.37,115.44,481,200
2025-08-22,111.11,115.72,111.01,115.48,573,700
2025-08-21,109.72,111.77,108.50,111.04,341,900
2025-08-20,111.69,112.01,108.37,109.61,527,500
2025-08-19,116.90,117.29,112.23,112.47,742,600
2025-08-18,116.38,117.79,116.16,117.41,435,200
2025-08-15,116.82,117.12,115.32,116.98,524,200
2025-08-14,118.42,119.08,116.33,116.80,486,400
2025-08-13,124.12,125.76,120.25,120.34,769,100
2025-08-12,120.50,124.10,119.76,123.84,950,000
2025-08-11,121.06,122.94,117.50,119.16,677,000
2025-08-08,120.00,122.08,119.17,121.25,1,082,700
2025-08-07,117.70,119.12,115.97,119.02,644,700
2025-08-06,116.97,117.54,113.84,117.51,607,400
2025-08-05,116.87,118.85,114.78,117.05,1,152,700
2025-08-04,112.91,117.16,111.38,116.69,982,100
2025-08-01,113.06,113.51,110.33,110.96,1,826,900
2025-07-31,117.21,118.00,113.67,116.04,1,007,200
2025-07-30,120.75,121.70,114.83,115.90,1,363,100
2025-07-29,105.00,121.55,103.95,120.76,3,396,500
2025-07-28,98.38,99.39,97.77,98.35,852,800
2025-07-25,96.51,98.76,95.49,98.58,792,400
2025-07-24,99.84,99.95,95.71,95.79,832,800
2025-07-23,100.35,101.36,99.92,100.65,427,200
2025-07-22,101.81,102.12,99.11,99.65,603,600
2025-07-21,101.31,102.58,100.23,102.00,448,900
2025-07-18,105.57,105.57,100.77,101.31,677,400
2025-07-17,103.86,107.03,103.86,104.61,883,900
2025-07-16,103.11,105.20,102.45,104.17,710,400
2025-07-15,106.05,106.83,103.04,103.08,676,700
2025-07-14,103.98,105.74,102.48,104.92,473,100
2025-07-11,103.42,105.06,103.26,104.17,745,400
2025-07-10,104.18,105.72,102.97,104.34,601,500
2025-07-09,102.93,103.67,101.81,103.46,552,000
2025-07-08,101.92,102.50,100.81,102.23,550,900
2025-07-07,101.90,103.10,101.11,101.29,435,300
2025-07-03,101.49,103.03,101.07,102.34,186,500
2025-07-02,98.58,101.46,98.20,101.24,349,200
2025-07-01,97.19,99.06,97.18,98.49,307,800
2025-06-30,98.36,98.54,97.15,97.83,453,300
2025-06-27,97.44,98.46,96.75,98.07,1,305,800
2025-06-26,95.88,97.09,95.37,97.01,379,300
2025-06-25,94.00,95.96,93.82,95.25,456,600
2025-06-24,92.75,93.86,91.80,93.65,325,400
2025-06-23,89.98,91.80,89.68,91.71,278,900
2025-06-20,90.68,90.97,89.10,89.85,845,100
2025-06-18,88.98,90.89,88.52,90.05,377,000
2025-06-17,87.70,90.57,87.70,88.96,437,100
2025-06-16,86.82,88.53,86.57,87.97,359,200
2025-06-13,86.30,87.44,85.66,86.33,654,900
2025-06-12,87.19,88.41,86.25,87.45,411,400
2025-06-11,88.35,88.97,87.52,87.78,360,000
2025-06-10,88.45,88.71,87.67,88.27,266,400
2025-06-09,87.95,88.41,87.33,87.91,303,100
2025-06-06,87.76,87.82,86.36,87.16,244,300
2025-06-05,88.16,88.25,85.87,86.03,469,000
2025-06-04,88.31,88.50,87.65,87.97,433,100
2025-06-03,85.96,88.35,85.89,88.16,656,100
2025-06-02,84.10,86.10,84.00,85.98,625,900
2025-05-30,83.48,84.78,83.19,84.69,674,700
2025-05-29,84.83,85.00,82.45,83.95,413,000
2025-05-28,86.61,87.26,84.18,84.62,571,400
2025-05-27,85.50,87.61,85.20,86.61,595,100
2025-05-23,83.09,84.74,83.00,84.20,412,800
2025-05-22,82.04,84.75,81.69,84.45,600,600
2025-05-21,81.57,83.01,81.25,82.11,626,700
2025-05-20,82.20,83.27,81.63,82.32,641,500
2025-05-19,81.50,81.50,78.43,81.37,1,073,300
2025-05-16,83.97,84.73,83.59,84.56,218,500
2025-05-15,84.25,85.11,83.13,84.12,226,900
2025-05-14,85.25,86.31,84.65,84.72,273,300
2025-05-13,84.22,85.73,83.65,85.27,223,600
2025-05-12,83.61,84.57,82.75,83.46,377,500
2025-05-09,81.06,81.14,79.40,79.95,257,900
2025-05-08,80.71,81.85,79.96,80.54,387,700
2025-05-07,78.80,79.76,78.12,79.67,267,400
2025-05-06,77.91,79.03,77.35,78.70,234,600
2025-05-05,79.54,80.47,78.68,78.86,317,100
2025-05-02,79.78,80.67,78.31,80.23,336,200
2025-05-01,77.55,79.34,76.94,78.51,509,200
2025-04-30,77.62,77.62,75.40,76.79,638,200
2025-04-29,75.05,79.40,74.90,79.01,663,800
2025-04-28,82.18,82.50,78.97,80.73,561,100
2025-04-25,79.65,82.27,79.17,82.24,273,300
2025-04-24,77.99,80.50,77.36,80.26,293,700
2025-04-23,77.80,79.21,76.52,77.39,331,300
2025-04-22,74.21,75.38,73.56,74.50,242,600
2025-04-21,73.94,74.53,71.84,73.06,222,800
2025-04-17,75.04,75.62,72.75,74.92,358,100
2025-04-16,75.06,76.34,73.26,75.18,357,200
2025-04-15,75.75,77.75,75.64,76.55,263,300
2025-04-14,77.72,78.33,74.78,75.80,357,200
2025-04-11,73.90,76.36,73.03,75.95,301,800
2025-04-10,74.79,76.42,72.85,74.64,424,900
2025-04-09,70.00,79.65,69.97,77.79,613,500
2025-04-08,73.29,74.13,69.32,70.52,542,100
2025-04-07,64.42,72.22,63.71,70.60,852,400
2025-04-04,65.51,68.14,63.67,67.30,732,300
2025-04-03,73.12,73.17,69.00,69.16,495,700
2025-04-02,74.71,78.29,74.71,77.51,337,500
2025-04-01,75.57,76.68,74.53,76.04,291,900
2025-03-31,75.25,76.83,74.12,76.18,423,300
2025-03-28,77.43,77.75,75.16,76.65,417,700
2025-03-27,78.26,78.88,77.02,77.74,341,700
2025-03-26,79.60,80.66,77.69,78.53,256,300
2025-03-25,80.68,81.31,78.57,78.58,633,900
2025-03-24,79.81,80.99,79.56,80.80,233,800
2025-03-21,77.70,78.51,76.94,78.31,771,000
2025-03-20,77.46,79.53,77.39,78.32,240,700
2025-03-19,76.44,78.97,76.38,78.25,286,900
2025-03-18,75.45,76.58,75.41,76.19,274,600
2025-03-17,75.29,77.04,75.29,76.12,339,300
2025-03-14,74.47,75.92,73.90,75.63,275,100
2025-03-13,74.79,75.34,72.97,73.38,361,800
2025-03-12,76.01,76.10,74.68,74.79,272,900
2025-03-11,73.85,76.32,73.22,74.90,378,500
2025-03-10,75.04,75.23,72.85,73.81,454,000
2025-03-07,75.59,76.51,74.01,76.28,331,000
2025-03-06,76.00,77.47,75.39,75.66,408,300
2025-03-05,75.35,77.51,75.20,77.20,426,500
2025-03-04,75.19,76.55,74.12,74.90,469,900
2025-03-03,82.10,82.44,76.02,76.39,610,400
2025-02-28,81.66,82.27,80.60,81.92,559,300
