Date,Open,High,Low,Close,Volume
2025-09-03,43.57,44.21,43.32,44.16,307,300
2025-09-02,43.06,43.85,42.86,43.62,246,500
2025-08-29,44.36,44.98,43.36,43.65,202,000
2025-08-28,44.69,44.98,43.98,44.17,194,500
2025-08-27,43.27,44.93,43.27,44.69,411,300
2025-08-26,44.36,44.95,43.41,43.57,384,500
2025-08-25,44.63,45.24,44.26,44.34,305,500
2025-08-22,40.00,44.93,39.94,44.63,644,000
2025-08-21,44.07,44.50,39.60,39.91,751,400
2025-08-20,43.14,43.14,41.45,42.53,486,300
2025-08-19,42.58,43.34,42.57,43.06,223,000
2025-08-18,42.65,43.51,42.55,42.70,189,300
2025-08-15,43.90,44.04,42.42,42.60,268,100
2025-08-14,44.50,45.23,43.18,43.90,298,400
2025-08-13,43.70,45.63,43.70,45.27,302,200
2025-08-12,41.94,43.45,41.94,43.42,248,300
2025-08-11,41.42,41.97,41.33,41.56,277,200
2025-08-08,39.99,41.57,39.91,41.32,305,600
2025-08-07,40.04,40.27,39.13,39.74,226,200
2025-08-06,38.73,39.69,38.27,39.49,258,200
2025-08-05,38.76,38.91,38.17,38.57,201,800
2025-08-04,37.86,38.72,37.86,38.72,222,800
2025-08-01,38.42,38.87,37.72,37.78,288,000
2025-07-31,40.01,40.06,38.38,38.84,258,000
2025-07-30,40.83,41.05,39.72,40.03,192,800
2025-07-29,41.49,41.75,40.65,40.88,179,000
2025-07-28,41.17,41.39,40.85,41.13,204,400
2025-07-25,41.37,41.41,40.27,41.05,181,700
2025-07-24,41.79,41.85,40.96,41.05,213,900
2025-07-23,41.04,42.10,40.92,42.09,233,700
2025-07-22,40.38,41.13,40.29,40.76,229,400
2025-07-21,40.82,41.39,40.12,40.41,208,200
2025-07-18,41.35,41.45,40.19,40.53,234,900
2025-07-17,40.48,41.08,40.18,41.02,225,600
2025-07-16,40.93,40.98,39.88,40.51,230,300
2025-07-15,41.87,41.93,40.37,40.57,236,300
2025-07-14,41.22,41.84,41.11,41.66,219,700
2025-07-11,41.92,42.45,41.12,41.40,195,400
2025-07-10,42.72,42.80,41.96,42.04,184,100
2025-07-09,42.12,42.55,41.27,42.54,232,600
2025-07-08,42.47,42.70,41.84,42.13,209,200
2025-07-07,42.57,43.12,42.20,42.47,216,400
2025-07-03,43.02,43.22,42.17,42.90,83,700
2025-07-02,42.50,43.33,42.15,42.76,191,300
2025-07-01,41.56,43.31,41.51,42.42,208,100
2025-06-30,42.22,42.24,41.42,41.81,233,700
2025-06-27,41.93,42.04,41.49,41.95,305,300
2025-06-26,41.79,42.37,41.39,41.89,121,100
2025-06-25,41.92,41.96,41.52,41.76,157,100
2025-06-24,41.76,42.38,41.36,41.81,144,700
2025-06-23,40.30,41.48,40.30,41.44,160,200
2025-06-20,41.27,41.37,40.07,40.48,608,500
2025-06-18,40.57,41.49,40.47,40.71,239,200
2025-06-17,40.43,41.70,40.00,40.57,170,000
2025-06-16,40.67,41.01,40.28,40.82,196,300
2025-06-13,40.77,41.44,40.25,40.44,146,000
2025-06-12,41.13,41.62,40.98,41.36,159,100
2025-06-11,42.52,42.52,41.42,41.52,217,600
2025-06-10,42.03,42.62,41.77,42.15,148,800
2025-06-09,41.93,42.27,41.79,41.97,129,700
2025-06-06,42.00,42.37,41.16,41.50,168,000
2025-06-05,41.14,41.71,40.92,41.43,170,800
2025-06-04,41.29,41.48,41.00,41.09,186,300
2025-06-03,39.97,41.41,39.97,41.37,173,400
2025-06-02,40.30,40.30,38.97,40.02,204,500
2025-05-30,40.46,40.63,40.14,40.38,256,400
2025-05-29,40.71,41.10,40.23,40.65,124,800
2025-05-28,40.96,41.29,40.35,40.64,140,500
2025-05-27,39.78,41.11,39.55,41.06,147,000
2025-05-23,39.03,39.65,38.03,39.27,124,900
2025-05-22,39.56,40.01,39.05,39.80,188,700
2025-05-21,39.78,40.37,38.95,39.58,186,400
2025-05-20,40.53,40.75,40.09,40.22,244,400
2025-05-19,40.12,40.75,40.01,40.48,131,700
2025-05-16,40.59,40.98,40.27,40.79,165,900
2025-05-15,40.50,40.91,40.38,40.78,122,000
