Date,Open,High,Low,Close,Volume
"Sep 3, 2025","234.85","236.50","227.84","229.33","6,626,500"
"Sep 2, 2025","234.00","235.26","228.40","233.60","7,218,000"
"Aug 29, 2025","236.93","241.50","233.29","238.66","11,742,100"
"Aug 28, 2025","222.00","249.99","218.09","241.00","42,167,400"
"Aug 27, 2025","201.75","202.54","196.66","200.39","17,841,900"
"Aug 26, 2025","195.20","196.50","193.42","194.35","4,665,900"
"Aug 25, 2025","199.00","200.47","194.67","194.68","3,770,600"
"Aug 22, 2025","195.16","199.91","193.87","196.81","3,107,900"
"Aug 21, 2025","192.81","195.29","191.24","194.68","2,848,400"
"Aug 20, 2025","197.61","197.77","189.99","194.80","4,945,600"
"Aug 19, 2025","199.39","199.95","191.32","192.63","3,582,700"
"Aug 18, 2025","197.47","198.64","196.11","198.24","2,378,900"
"Aug 15, 2025","195.25","200.34","194.80","199.08","3,344,900"
"Aug 14, 2025","195.94","197.50","193.71","194.90","2,791,000"
"Aug 13, 2025","194.13","198.24","193.00","196.87","4,429,400"
"Aug 12, 2025","191.75","194.00","188.00","193.06","3,942,400"
"Aug 11, 2025","192.16","196.73","191.12","191.80","5,214,000"
"Aug 8, 2025","205.79","206.40","191.33","191.73","8,616,100"
"Aug 7, 2025","215.00","215.39","200.80","206.40","4,619,400"
"Aug 6, 2025","205.97","211.00","205.80","210.54","3,236,600"
"Aug 5, 2025","208.25","209.89","204.66","205.77","4,003,900"
"Aug 4, 2025","207.70","210.41","205.65","208.48","3,422,700"
"Aug 1, 2025","216.80","216.80","202.87","205.02","8,578,000"
"Jul 31, 2025","225.13","229.27","220.94","223.50","6,227,700"
"Jul 30, 2025","218.75","222.19","217.71","220.28","3,175,300"
"Jul 29, 2025","220.36","220.60","217.01","218.76","2,487,900"
"Jul 28, 2025","219.93","222.30","216.92","218.67","3,441,500"
"Jul 25, 2025","215.43","220.92","215.14","219.51","3,259,100"
"Jul 24, 2025","214.51","217.00","212.11","215.02","2,226,100"
"Jul 23, 2025","211.77","213.61","210.40","212.56","1,692,500"
"Jul 22, 2025","214.90","216.60","211.40","212.25","2,537,000"
"Jul 21, 2025","217.00","218.72","214.26","215.65","2,922,500"
"Jul 18, 2025","212.69","217.54","212.20","216.89","3,384,200"
"Jul 17, 2025","211.75","214.03","210.31","211.58","2,681,800"
"Jul 16, 2025","212.98","214.00","209.25","211.94","2,789,100"
"Jul 15, 2025","213.75","215.10","212.25","212.79","3,249,100"
"Jul 14, 2025","209.87","214.94","208.60","213.52","2,863,800"
"Jul 11, 2025","213.48","215.49","209.46","210.84","3,868,600"
"Jul 10, 2025","221.83","222.30","213.22","214.42","4,794,700"
"Jul 9, 2025","224.60","224.75","220.93","221.90","2,658,400"
"Jul 8, 2025","225.60","226.60","220.84","223.50","3,412,500"
"Jul 7, 2025","221.43","225.86","220.18","225.79","4,090,000"
"Jul 3, 2025","217.74","222.60","217.74","221.49","2,761,800"
"Jul 2, 2025","215.61","218.29","214.52","217.34","2,363,700"
"Jul 1, 2025","218.90","223.16","214.42","215.97","5,398,100"
"Jun 30, 2025","224.40","225.51","222.61","223.77","3,492,400"
"Jun 27, 2025","222.43","224.43","219.82","222.61","4,924,400"
"Jun 26, 2025","222.05","222.79","215.53","221.92","5,086,100"
"Jun 25, 2025","223.19","225.68","219.99","221.52","3,550,200"
"Jun 24, 2025","219.49","224.61","219.25","223.14","7,206,500"
"Jun 23, 2025","209.63","214.88","207.36","213.71","3,146,800"
"Jun 20, 2025","213.35","215.99","210.85","211.99","4,246,300"
"Jun 18, 2025","210.36","212.70","209.47","212.08","4,218,200"
"Jun 17, 2025","208.00","210.30","206.26","209.45","2,217,900"
"Jun 16, 2025","210.31","211.00","207.05","209.12","2,579,600"
"Jun 13, 2025","208.00","212.30","207.44","208.18","3,636,500"
"Jun 12, 2025","206.14","213.10","206.14","211.28","5,138,800"
"Jun 11, 2025","207.99","210.20","205.23","208.61","5,140,200"
"Jun 10, 2025","210.07","212.40","206.22","208.24","3,598,100"
"Jun 9, 2025","211.31","212.09","208.50","210.85","3,548,200"
"Jun 6, 2025","211.45","213.00","209.40","210.84","3,798,900"
"Jun 5, 2025","211.23","214.37","208.89","210.10","5,230,300"
"Jun 4, 2025","213.43","214.83","205.29","209.60","6,648,500"
"Jun 3, 2025","210.50","210.82","207.20","209.15","4,063,000"
