Date,Open,High,Low,Close,Volume
2025-09-03,590.76,593.70,586.77,592.12,962,400
2025-09-02,589.05,596.82,584.01,592.01,1,399,600
2025-08-29,608.98,612.00,601.94,603.52,992,800
2025-08-28,605.03,614.63,604.99,612.17,902,200
2025-08-27,596.94,603.87,593.32,603.17,916,200
2025-08-26,595.93,600.13,593.00,596.00,1,224,400
2025-08-25,604.97,605.34,596.10,597.00,783,800
2025-08-22,600.36,612.98,597.48,606.52,863,200
2025-08-21,597.19,603.94,593.05,598.17,1,145,600
2025-08-20,611.09,613.83,595.10,601.13,1,659,500
2025-08-19,620.61,624.82,611.00,612.79,1,170,700
2025-08-18,617.91,626.24,615.12,625.33,749,600
2025-08-15,616.36,620.00,606.31,617.91,881,800
2025-08-14,616.50,619.79,612.17,616.36,954,200
2025-08-13,628.75,628.89,612.69,618.57,1,012,400
2025-08-12,615.42,627.12,609.16,625.80,1,168,400
2025-08-11,620.40,623.47,613.65,616.12,956,000
2025-08-08,625.00,625.23,618.36,619.42,700,600
2025-08-07,632.83,632.99,608.19,620.33,1,428,600
2025-08-06,627.50,630.29,615.95,625.88,1,016,300
2025-08-05,634.77,636.25,624.08,628.50,1,032,200
2025-08-04,622.42,636.61,615.79,636.02,1,121,700
2025-08-01,617.55,625.31,608.10,618.65,1,300,400
2025-07-31,644.78,646.29,632.74,633.47,1,165,900
2025-07-30,635.14,651.73,632.67,645.35,1,919,000
2025-07-29,614.06,647.20,613.58,635.81,3,293,600
2025-07-28,605.28,607.71,588.37,592.63,1,770,500
2025-07-25,611.65,611.65,600.86,601.55,1,819,800
2025-07-24,611.55,615.05,606.31,609.68,1,414,300
2025-07-23,612.80,618.49,605.03,614.42,2,002,300
2025-07-22,583.92,617.00,578.87,615.13,2,890,600
2025-07-21,587.59,596.43,582.65,591.46,2,445,000
2025-07-18,588.21,600.90,578.87,584.76,3,682,300
2025-07-17,567.51,590.00,563.00,589.01,3,621,100
2025-07-16,569.25,574.98,550.62,571.20,7,936,000
2025-07-15,553.89,570.38,549.00,569.10,3,178,400
2025-07-14,575.00,579.00,542.49,549.53,5,084,300
2025-07-11,563.97,572.91,559.14,559.28,1,358,500
2025-07-10,552.49,569.44,545.83,566.19,1,775,200
2025-07-09,552.38,554.42,544.06,550.95,839,900
2025-07-08,540.67,552.35,538.98,551.51,1,314,800
2025-07-07,544.11,545.08,534.34,536.52,1,391,000
2025-07-03,544.70,555.00,536.35,548.74,2,020,000
2025-07-02,517.18,526.09,514.00,523.11,979,100
2025-07-01,509.22,522.85,506.08,521.78,1,512,800
2025-06-30,505.89,517.40,503.92,512.68,1,343,700
2025-06-27,500.01,521.69,500.01,502.63,2,153,600
2025-06-26,489.01,496.71,486.06,495.70,1,019,300
2025-06-25,478.98,487.68,474.00,487.27,867,900
2025-06-24,474.30,481.00,472.56,478.98,866,200
2025-06-23,468.89,474.20,460.89,470.98,897,500
2025-06-20,480.00,482.53,468.54,470.53,1,510,900
2025-06-18,473.33,478.49,468.76,473.62,1,040,500
2025-06-17,477.81,484.53,473.82,475.40,765,500
2025-06-16,480.50,482.83,473.75,479.41,1,386,400
2025-06-13,486.44,488.65,477.53,478.86,1,162,500
2025-06-12,497.26,500.89,494.72,494.99,867,800
2025-06-11,503.25,505.98,498.24,500.73,1,104,800
2025-06-10,495.77,504.53,493.28,504.40,1,085,000
2025-06-09,503.88,512.00,495.01,495.77,1,612,100
2025-06-06,486.32,490.76,482.48,486.00,943,200
2025-06-05,475.60,490.67,472.88,482.20,1,676,800
2025-06-04,467.32,474.22,463.60,473.19,972,400
2025-06-03,464.56,471.96,461.12,466.26,1,295,200
2025-06-02,459.92,466.46,452.49,466.15,1,299,300
2025-05-30,450.36,465.76,447.48,463.98,3,356,200
2025-05-29,473.00,487.99,437.69,454.99,4,314,300
2025-05-28,511.02,514.99,445.00,462.43,4,806,200
2025-05-27,507.14,515.08,504.36,511.79,1,251,900
2025-05-23,495.32,501.97,493.73,498.85,670,000
2025-05-22,500.74,506.59,497.12,503.48,774,900
2025-05-21,507.22,514.02,501.28,501.46,866,100
2025-05-20,512.50,515.73,508.00,515.61,740,800
2025-05-19,507.50,518.47,504.14,516.01,848,600
2025-05-16,514.48,516.67,509.74,514.43,948,100
2025-05-15,516.63,521.10,512.19,514.48,826,600
2025-05-14,512.36,518.08,512.36,517.66,881,600
2025-05-13,506.58,516.58,505.58,515.71,823,400
2025-05-12,503.66,506.66,497.05,505.59,1,099,700
2025-05-09,487.11,487.84,479.04,482.90,571,500
2025-05-08,485.00,491.32,482.72,484.50,1,011,800
2025-05-07,474.15,483.86,473.11,480.54,899,300
2025-05-06,468.76,478.54,467.86,473.55,834,200
2025-05-05,469.17,482.87,465.59,477.41,1,074,600
2025-05-02,469.85,476.44,467.59,472.28,1,293,700
2025-05-01,462.47,467.73,457.70,459.36,1,137,700
2025-04-30,449.67,460.71,448.65,459.01,1,338,900
2025-04-29,445.83,462.43,444.24,460.77,1,415,400
2025-04-28,444.39,447.46,436.88,443.97,1,117,100
2025-04-25,435.64,447.31,433.31,446.62,1,032,100
2025-04-24,426.16,440.19,423.00,438.90,1,093,000
2025-04-23,432.34,441.38,420.17,422.23,1,008,100
2025-04-22,407.69,417.16,402.86,413.40,946,500
2025-04-21,406.26,407.29,396.03,402.36,901,400
2025-04-17,421.38,421.78,412.10,413.32,1,002,400
2025-04-16,416.19,423.56,408.62,415.65,1,064,000
2025-04-15,423.09,430.32,422.23,425.65,1,016,100
2025-04-14,428.90,430.55,416.00,421.98,1,119,500
2025-04-11,407.07,425.71,402.83,421.21,1,745,600
2025-04-10,415.32,417.73,391.61,406.89,1,537,600
2025-04-09,380.88,432.54,375.97,428.70,2,146,100
