Date,Open,High,Low,Close,Adj Close,Volume
"Sep 3, 2025","42.90","43.00","42.89","43.00","43.00","781,200"
"Sep 2, 2025","42.84","42.92","42.84","42.90","42.90","782,700"
"Aug 29, 2025","42.92","42.94","42.85","42.90","42.90","396,100"
"Aug 28, 2025","42.87","42.94","42.82","42.86","42.86","689,300"
"Aug 27, 2025","42.81","42.93","42.80","42.93","42.93","607,500"
"Aug 26, 2025","42.78","42.92","42.78","42.81","42.81","519,300"
"Aug 25, 2025","42.77","42.81","42.74","42.78","42.78","849,700"
"Aug 22, 2025","42.70","42.87","42.70","42.77","42.77","957,700"
"Aug 21, 2025","42.65","42.72","42.63","42.71","42.71","568,700"
"Aug 20, 2025","42.63","42.75","42.57","42.71","42.71","1,179,900"
"Aug 19, 2025","42.65","42.72","42.57","42.64","42.64","1,700,500"
"Aug 18, 2025","42.57","42.75","42.57","42.68","42.68","2,916,700"
"Aug 15, 2025","42.65","42.76","42.61","42.69","42.69","1,558,000"
"Aug 14, 2025","42.51","42.70","42.49","42.67","42.67","5,893,500"
"Aug 13, 2025","42.58","42.68","42.42","42.56","42.56","19,318,600"
"Aug 12, 2025","29.00","29.56","28.60","29.50","29.50","517,100"
"Aug 11, 2025","31.60","31.87","28.58","28.77","28.77","915,400"
"Aug 8, 2025","26.64","26.86","26.39","26.52","26.52","209,900"
"Aug 7, 2025","26.65","26.87","26.14","26.49","26.49","213,500"
"Aug 6, 2025","26.67","26.92","26.60","26.85","26.85","187,800"
"Aug 5, 2025","26.68","27.13","26.65","26.95","26.95","244,700"
"Aug 4, 2025","26.98","27.18","26.82","27.09","27.09","436,100"
"Aug 1, 2025","27.25","27.51","26.64","26.75","26.75","518,700"
"Jul 31, 2025","28.10","28.12","27.37","27.41","27.41","334,000"
"Jul 30, 2025","28.70","28.70","28.10","28.18","28.18","132,800"
"Jul 29, 2025","29.11","29.13","28.62","28.84","28.84","134,300"
"Jul 28, 2025","29.13","29.31","28.71","29.16","29.16","254,800"
"Jul 25, 2025","28.74","29.01","28.59","28.86","28.86","206,600"
"Jul 24, 2025","30.59","30.66","28.72","28.77","28.77","238,100"
"Jul 23, 2025","30.72","30.80","30.42","30.78","30.78","173,900"
"Jul 22, 2025","30.36","30.57","30.24","30.53","30.53","150,400"
"Jul 21, 2025","30.29","30.50","30.18","30.28","30.28","205,200"
"Jul 18, 2025","30.25","30.25","29.77","30.05","30.05","218,700"
"Jul 17, 2025","29.93","30.20","29.82","30.06","30.06","155,300"
"Jul 16, 2025","29.83","29.86","29.45","29.82","29.82","247,400"
"Jul 15, 2025","29.87","29.88","29.53","29.61","29.61","214,400"
"Jul 14, 2025","29.54","29.76","29.33","29.71","29.71","206,300"
"Jul 11, 2025","29.69","29.72","29.41","29.51","29.51","164,600"
"Jul 10, 2025","30.46","30.54","29.89","30.01","30.01","151,800"
"Jul 9, 2025","30.26","30.42","29.90","30.41","30.41","175,500"
"Jul 8, 2025","29.64","29.87","29.61","29.61","29.61","122,000"
"Jul 7, 2025","30.28","30.39","29.50","29.81","29.81","280,500"
"Jul 3, 2025","30.01","30.21","29.97","30.09","30.09","83,200"
"Jul 2, 2025","29.50","29.76","29.31","29.67","29.67","210,700"
"Jul 1, 2025","29.42","29.72","29.19","29.36","29.36","265,000"
"Jun 30, 2025","29.16","29.33","29.03","29.25","29.25","133,700"
"Jun 27, 2025","28.86","29.08","28.66","28.75","28.75","195,100"
"Jun 26, 2025","28.58","28.85","28.44","28.84","28.84","89,100"
"Jun 25, 2025","29.33","29.33","28.69","28.70","28.70","116,400"
"Jun 24, 2025","29.39","29.56","28.93","29.36","29.36","237,500"
"Jun 23, 2025","28.61","29.02","28.13","29.00","29.00","131,100"
"Jun 20, 2025","28.46","28.56","28.19","28.39","28.39","166,000"
"Jun 18, 2025","28.57","28.80","28.35","28.42","28.42","104,700"
"Jun 17, 2025","28.79","28.79","28.35","28.38","28.38","123,400"
"Jun 16, 2025","28.94","28.94","28.13","28.51","28.51","198,300"
"Jun 13, 2025","28.30","28.40","27.82","27.94","27.94","149,000"
"Jun 12, 2025","28.83","29.11","28.37","28.49","28.49","131,100"
"Jun 11, 2025","29.63","29.72","29.23","29.26","29.26","132,700"
"Jun 10, 2025","29.69","30.07","29.59","29.70","29.70","158,800"
"Jun 9, 2025","29.72","30.42","29.62","30.03","30.03","256,900"
"Jun 6, 2025","29.76","29.83","29.45","29.72","29.72","142,600"
"Jun 5, 2025","29.31","29.73","29.31","29.59","29.59","147,000"
"Jun 4, 2025","28.71","29.23","28.71","29.19","29.19","119,600"
"Jun 3, 2025","28.42","28.75","28.37","28.72","28.72","79,100"
"Jun 2, 2025","28.56","28.77","28.32","28.60","28.60","92,500"
"May 30, 2025","28.60","28.82","28.39","28.70","28.70","92,400"
"May 29, 2025","28.45","28.84","28.18","28.64","28.64","150,700"
"May 28, 2025","28.32","28.41","28.02","28.14","28.14","145,700"
"May 27, 2025","28.31","28.32","27.88","28.14","28.14","132,200"
"May 23, 2025","27.47","27.72","27.36","27.61","27.61","111,600"
"May 22, 2025","27.71","28.02","27.63","27.80","27.80","122,800"
"May 21, 2025","27.88","28.04","27.59","27.90","27.90","93,900"
"May 20, 2025","28.38","28.38","27.89","28.20","28.20","102,700"
"May 19, 2025","28.40","28.58","28.07","28.32","28.32","119,500"
"May 16, 2025","28.50","28.70","28.00","28.54","28.54","121,000"
"May 15, 2025","28.31","28.72","28.09","28.51","28.51","153,100"
"May 14, 2025","28.66","28.72","28.09","28.19","28.19","146,800"
"May 13, 2025","28.42","28.59","28.33","28.39","28.39","144,200"
"May 12, 2025","28.78","29.04","27.99","28.30","28.30","228,400"
"May 9, 2025","28.33","28.88","27.82","28.39","28.39","144,100"
"May 8, 2025","29.89","29.90","28.10","28.33","28.33","281,600"
"May 7, 2025","29.41","29.49","28.82","29.06","29.06","384,000"
"May 6, 2025","28.00","29.56","28.00","28.68","28.68","724,200"
"May 5, 2025","27.47","28.28","27.47","28.20","28.20","221,300"
"May 2, 2025","27.55","28.21","27.54","28.17","28.17","143,800"
"May 1, 2025","27.51","27.60","27.26","27.32","27.32","190,600"
"Apr 30, 2025","27.47","27.50","26.99","27.39","27.39","142,300"
"Apr 29, 2025","27.24","27.65","27.23","27.64","27.64","110,000"
"Apr 28, 2025","27.70","27.77","26.78","27.33","27.33","189,200"
"Apr 25, 2025","27.58","27.90","27.37","27.89","27.89","131,900"
"Apr 24, 2025","27.33","27.82","27.28","27.66","27.66","122,600"
"Apr 23, 2025","27.17","27.48","26.89","27.26","27.26","186,800"
"Apr 22, 2025","26.00","26.40","25.78","26.36","26.36","107,800"
"Apr 21, 2025","25.96","26.03","25.13","25.44","25.44","121,400"
"Apr 17, 2025","25.97","26.24","25.85","25.99","25.99","133,000"
"Apr 16, 2025","26.13","26.32","26.01","26.03","26.03","137,700"
"Apr 15, 2025","25.90","26.39","25.90","26.24","26.24","94,700"
"Apr 14, 2025","26.34","26.37","25.86","26.13","26.13","150,600"
"Apr 11, 2025","25.66","26.19","25.17","26.04","26.04","94,300"
"Apr 10, 2025","25.50","26.02","25.24","25.68","25.68","164,300"
"Apr 9, 2025","24.20","26.51","24.12","26.20","26.20","205,200"
"Apr 8, 2025","24.74","24.86","23.69","23.92","23.92","226,600"
"Apr 7, 2025","0.66","","","","",""
"Apr 7, 2025","24.96","25.55","24.02","24.52","24.52","283,600"
"Apr 4, 2025","25.97","26.06","25.40","25.65","24.99","170,100"
"Apr 3, 2025","27.05","27.22","26.39","26.66","25.97","158,300"
"Apr 2, 2025","27.28","27.83","27.19","27.66","26.95","116,700"
"Apr 1, 2025","27.17","27.54","27.00","27.51","26.80","139,600"
"Mar 31, 2025","27.27","27.42","26.91","27.09","26.39","210,100"
"Mar 28, 2025","27.64","27.73","26.90","27.27","26.57","99,400"
"Mar 27, 2025","27.37","27.91","27.16","27.68","26.97","136,800"
"Mar 26, 2025","27.27","27.51","27.19","27.37","26.67","123,600"
"Mar 25, 2025","27.35","27.57","27.22","27.29","26.59","88,300"
"Mar 24, 2025","27.29","27.49","27.29","27.46","26.75","132,000"
"Mar 21, 2025","26.99","27.16","26.77","27.03","26.33","258,500"
"Mar 20, 2025","27.32","27.57","27.05","27.06","26.36","121,200"
"Mar 19, 2025","27.67","27.84","27.34","27.54","26.83","132,500"
"Mar 18, 2025","27.48","27.79","27.42","27.75","27.04","128,000"
"Mar 17, 2025","27.40","28.02","27.35","27.93","27.21","163,000"
"Mar 14, 2025","27.55","28.12","27.33","27.66","26.95","117,100"
"Mar 13, 2025","27.15","27.43","26.98","27.27","26.57","140,600"
"Mar 12, 2025","27.30","27.50","27.16","27.32","26.62","157,900"
"Mar 11, 2025","27.46","27.74","27.17","27.30","26.60","157,900"
"Mar 10, 2025","28.21","28.21","27.00","27.23","26.53","146,300"
"Mar 7, 2025","27.84","28.23","27.70","28.15","27.43","135,900"
"Mar 6, 2025","27.65","28.02","27.53","27.83","27.11","142,500"
"Mar 5, 2025","27.12","28.08","27.12","27.97","27.25","129,600"
"Mar 4, 2025","26.87","27.52","26.74","27.29","26.59","148,400"
"Mar 3, 2025","27.52","27.78","27.06","27.18","26.48","154,500"
"Feb 28, 2025","27.57","27.60","27.13","27.58","26.87","147,800"
"Feb 27, 2025","28.10","28.10","27.55","27.57","26.86","116,000"
"Feb 26, 2025","27.77","28.09","27.77","27.98","27.26","131,500"
"Feb 25, 2025","27.72","27.96","27.66","27.90","27.18","132,500"
"Feb 24, 2025","28.01","28.01","27.51","27.72","27.01","150,000"
"Feb 21, 2025","28.93","28.93","27.58","27.95","27.23","172,900"
"Feb 20, 2025","28.90","28.90","28.38","28.76","28.02","208,400"
"Feb 19, 2025","27.45","28.41","27.33","28.34","27.61","261,900"
"Feb 18, 2025","26.29","27.85","26.29","27.62","26.91","260,400"
"Feb 14, 2025","26.92","26.92","26.38","26.39","25.71","114,300"
"Feb 13, 2025","26.37","26.85","26.32","26.85","26.16","132,600"
"Feb 12, 2025","26.16","26.71","26.15","26.40","25.72","194,800"
"Feb 11, 2025","26.47","26.70","26.36","26.58","25.90","116,700"
"Feb 10, 2025","27.05","27.15","26.52","26.61","25.93","110,600"
"Feb 7, 2025","27.49","27.75","26.73","26.95","26.26","143,800"
"Feb 6, 2025","26.83","27.47","26.82","27.46","26.75","261,600"
"Feb 5, 2025","26.73","27.09","26.57","27.05","26.35","145,400"
"Feb 4, 2025","26.21","26.72","26.21","26.69","26.00","200,400"
"Feb 3, 2025","25.47","26.40","25.26","26.30","25.62","299,100"
"Jan 31, 2025","26.58","27.48","26.43","27.36","26.66","526,000"
"Jan 30, 2025","26.95","27.06","26.42","26.58","25.90","87,600"
"Jan 29, 2025","26.79","26.87","26.52","26.70","26.01","148,000"
"Jan 28, 2025","26.43","26.90","26.36","26.61","25.93","158,600"
"Jan 27, 2025","25.82","26.44","25.73","26.34","25.66","281,000"
"Jan 24, 2025","26.38","26.69","26.21","26.35","25.67","187,500"
"Jan 23, 2025","26.31","26.63","26.19","26.43","25.75","184,700"
"Jan 22, 2025","25.68","26.70","25.68","26.42","25.74","684,200"
"Jan 21, 2025","25.62","25.87","25.56","25.69","25.03","242,100"
"Jan 17, 2025","25.97","25.98","25.49","25.52","24.86","173,700"
"Jan 16, 2025","25.87","25.97","25.55","25.64","24.98","354,700"
"Jan 15, 2025","25.69","26.00","25.65","25.90","25.23","298,800"
"Jan 14, 2025","26.02","26.02","25.40","25.50","24.84","324,000"
"Jan 13, 2025","25.33","25.92","25.13","25.69","25.03","238,200"
"Jan 10, 2025","25.42","25.59","25.01","25.30","24.65","277,800"
"Jan 8, 2025","25.86","26.00","25.65","25.76","25.10","125,400"
"Jan 7, 2025","26.35","26.40","25.87","26.14","25.47","125,600"
"Jan 6, 2025","26.44","26.52","26.16","26.19","25.52","134,600"
"Jan 3, 2025","26.21","26.51","26.15","26.28","25.60","128,300"
"Jan 2, 2025","26.75","26.85","26.09","26.09","25.42","111,800"
"Dec 31, 2024","26.89","27.16","26.62","26.87","26.18","72,000"
"Dec 30, 2024","26.93","26.93","26.62","26.74","26.05","83,400"
"Dec 27, 2024","27.59","27.68","26.98","27.13","26.43","67,900"
"Dec 26, 2024","27.18","27.89","27.12","27.59","26.88","124,600"
"Dec 24, 2024","27.42","27.54","27.36","27.44","26.73","44,100"
"Dec 23, 2024","27.63","27.76","27.37","27.42","26.71","102,100"
"Dec 20, 2024","27.30","28.21","27.13","27.76","27.05","220,200"
"Dec 19, 2024","27.82","27.93","27.38","27.57","26.86","128,800"
"Dec 18, 2024","28.62","29.16","27.77","27.78","27.07","262,200"
"Dec 17, 2024","28.89","28.94","28.52","28.59","27.85","215,700"
"Dec 16, 2024","28.70","29.62","28.27","29.12","28.37","318,700"
"Dec 13, 2024","28.43","28.63","27.95","28.48","27.75","233,400"
"Dec 12, 2024","28.42","28.61","28.13","28.43","27.70","129,800"
"Dec 11, 2024","28.26","28.73","28.11","28.47","27.74","198,500"
"Dec 10, 2024","28.22","28.40","28.01","28.11","27.39","166,000"
"Dec 9, 2024","28.25","28.76","28.13","28.17","27.45","124,800"
"Dec 6, 2024","28.20","28.43","27.75","28.29","27.56","115,100"
"Dec 5, 2024","28.22","28.53","27.96","28.14","27.42","183,100"
"Dec 4, 2024","27.76","28.36","27.73","28.21","27.48","129,600"
"Dec 3, 2024","27.38","27.77","27.21","27.71","27.00","122,500"
"Dec 2, 2024","27.17","27.57","27.03","27.46","26.75","384,200"
"Nov 29, 2024","27.43","27.66","27.29","27.33","26.63","118,200"
"Nov 27, 2024","27.32","27.51","27.16","27.20","26.50","150,600"
"Nov 26, 2024","27.55","27.98","27.22","27.29","26.59","301,600"
"Nov 25, 2024","28.03","28.33","27.46","27.49","26.78","249,800"
"Nov 22, 2024","27.66","28.32","27.52","27.73","27.02","169,000"
"Nov 21, 2024","27.23","27.79","27.15","27.55","26.84","127,500"
"Nov 20, 2024","26.89","27.46","26.82","27.12","26.42","158,600"
"Nov 19, 2024","27.01","27.50","26.87","27.20","26.50","241,000"
"Nov 18, 2024","28.12","28.57","27.15","27.15","26.45","176,600"
"Nov 15, 2024","28.56","28.74","27.56","28.00","27.28","190,800"
"Nov 14, 2024","28.39","28.72","28.03","28.56","27.83","209,000"
"Nov 13, 2024","27.85","28.65","27.85","28.53","27.80","242,800"
"Nov 12, 2024","28.92","29.99","27.56","28.11","27.39","447,100"
"Nov 11, 2024","29.80","30.00","28.88","29.10","28.35","839,600"
"Nov 8, 2024","39.65","39.65","39.26","39.45","38.43","164,300"
"Nov 7, 2024","39.27","39.99","39.27","39.48","38.46","134,400"
"Nov 6, 2024","38.22","39.55","38.22","38.98","37.98","206,800"
"Nov 5, 2024","37.00","37.50","36.89","37.11","36.16","71,900"
"Nov 4, 2024","37.04","37.67","36.83","37.25","36.29","98,900"
"Nov 1, 2024","37.11","37.11","36.51","37.01","36.06","80,300"
"Oct 31, 2024","37.98","38.14","36.88","36.88","35.93","72,800"
"Oct 30, 2024","37.38","38.16","37.06","37.98","37.00","80,400"
