Date,Open,High,Low,Close,Volume
2025-09-03,106.37,108.69,105.94,108.01,595,300
2025-09-02,108.92,108.92,105.45,106.64,368,600
2025-08-29,111.35,112.37,109.72,110.30,453,400
2025-08-28,113.82,113.82,110.66,110.93,338,700
2025-08-27,111.54,113.08,111.03,112.94,465,200
2025-08-26,112.13,113.41,110.98,111.29,800,100
2025-08-25,115.21,116.00,111.75,112.23,294,000
2025-08-22,113.58,117.37,113.58,115.82,449,300
2025-08-21,110.81,113.38,110.00,113.31,416,500
2025-08-20,113.61,114.00,110.86,111.44,374,200
2025-08-19,114.68,116.00,112.91,113.89,344,100
2025-08-18,112.56,114.87,112.56,114.50,358,200
2025-08-15,114.48,116.08,111.98,112.04,468,600
2025-08-14,113.91,114.74,111.78,113.54,527,900
2025-08-13,109.25,115.60,108.41,115.35,641,800
2025-08-12,105.02,109.21,104.45,108.48,348,300
2025-08-11,106.21,107.96,103.72,104.67,433,900
2025-08-08,109.18,109.20,105.27,106.25,370,100
2025-08-07,111.53,111.53,106.68,108.94,577,900
2025-08-06,108.52,110.46,106.86,110.40,471,200
2025-08-05,108.32,110.16,106.21,109.20,557,300
2025-08-04,105.74,107.37,102.05,107.09,897,300
2025-08-01,108.13,108.13,103.18,103.88,817,300
2025-07-31,115.50,124.08,108.85,108.87,1,639,400
2025-07-30,140.17,141.98,137.37,139.56,315,600
2025-07-29,141.24,141.85,138.89,140.10,269,000
2025-07-28,137.97,140.68,137.22,140.21,429,000
2025-07-25,137.79,137.84,134.89,136.49,364,900
2025-07-24,139.33,140.05,137.00,137.79,268,400
2025-07-23,140.03,141.75,138.19,140.26,235,200
2025-07-22,138.20,139.16,137.30,137.57,286,900
2025-07-21,139.00,140.65,136.42,137.54,286,200
2025-07-18,143.55,143.55,138.90,138.98,420,200
2025-07-17,140.62,142.67,139.60,142.50,311,800
2025-07-16,139.35,141.04,138.45,140.35,278,700
2025-07-15,141.02,141.13,137.46,138.11,368,500
2025-07-14,133.52,142.85,133.00,140.88,533,800
2025-07-11,135.41,136.44,131.24,131.73,222,900
2025-07-10,138.46,138.49,135.62,136.00,245,900
2025-07-09,139.90,140.53,136.24,138.73,217,900
2025-07-08,138.28,140.88,137.39,139.64,301,900
2025-07-07,140.23,142.09,137.27,137.39,312,200
2025-07-03,140.87,142.80,140.37,141.36,179,300
2025-07-02,138.11,140.16,137.34,139.94,341,500
2025-07-01,135.70,140.04,134.78,138.87,344,200
2025-06-30,134.24,137.15,133.50,136.09,445,500
2025-06-27,134.00,135.78,132.26,133.13,678,900
2025-06-26,134.28,134.66,132.63,134.07,300,100
2025-06-25,136.77,138.66,133.21,133.61,246,200
2025-06-24,138.44,138.51,136.00,136.48,179,500
2025-06-23,133.91,137.09,133.80,136.65,241,800
2025-06-20,133.70,135.10,132.65,133.47,359,600
2025-06-18,133.65,135.35,132.60,134.09,256,800
2025-06-17,134.64,136.30,134.00,134.36,261,700
2025-06-16,135.93,136.79,134.01,134.64,279,600
2025-06-13,135.62,137.18,134.03,134.80,276,500
2025-06-12,136.02,138.26,135.17,137.89,613,700
2025-06-11,145.00,145.00,136.13,136.21,574,700
2025-06-10,141.78,144.89,140.25,144.50,336,100
2025-06-09,143.48,143.50,139.81,141.11,344,700
2025-06-06,144.06,144.06,141.76,142.35,291,100
2025-06-05,144.68,145.64,142.18,142.27,277,400
2025-06-04,142.22,147.61,142.22,145.01,406,800
2025-06-03,139.61,142.36,137.78,142.13,239,800
2025-06-02,140.25,141.97,136.75,138.91,279,500
2025-05-30,141.73,141.73,139.58,140.76,448,300
2025-05-29,143.87,144.64,141.45,141.73,234,500
2025-05-28,145.98,146.94,142.55,142.76,170,900
2025-05-27,145.55,146.34,142.32,145.87,220,800
2025-05-23,142.64,144.61,142.64,142.89,214,600
2025-05-22,144.00,146.19,143.15,145.67,282,200
2025-05-21,147.02,147.79,143.40,144.05,171,500
2025-05-20,149.18,150.20,147.74,149.00,206,000
2025-05-19,148.38,149.93,148.04,149.28,107,600
2025-05-16,148.74,151.41,147.51,150.94,212,400
2025-05-15,149.63,149.82,146.86,148.63,180,000
2025-05-14,152.01,152.80,149.69,149.75,318,000
2025-05-13,152.43,153.16,151.17,152.67,257,800
2025-05-12,150.30,151.89,147.38,151.87,246,600
2025-05-09,145.13,145.85,143.49,143.87,181,500
2025-05-08,144.16,146.33,142.07,145.13,156,200
2025-05-07,142.93,144.68,140.64,141.86,156,500
2025-05-06,141.88,143.67,141.57,142.74,253,800
2025-05-05,141.90,146.45,140.43,144.26,266,400
2025-05-02,143.65,145.69,142.16,143.79,469,600
2025-05-01,144.94,144.94,141.70,142.09,487,500
2025-04-30,140.36,143.77,137.82,143.51,448,400
2025-04-29,138.85,142.54,138.74,142.00,486,800
2025-04-28,138.58,140.27,136.27,139.53,583,200
2025-04-25,134.70,138.80,130.01,137.81,644,900
2025-04-24,135.64,139.66,131.77,139.03,591,800
2025-04-23,134.48,139.39,132.03,132.52,350,100
2025-04-22,128.33,130.23,126.87,129.72,250,100
2025-04-21,127.29,128.29,124.68,126.99,271,500
2025-04-17,128.80,129.76,127.79,129.06,243,700
2025-04-16,130.30,130.80,126.51,128.66,294,800
2025-04-15,130.58,133.22,129.81,130.75,206,800
2025-04-14,133.86,134.31,129.74,130.18,294,100
2025-04-11,129.59,131.90,126.60,131.69,283,800
2025-04-10,132.52,134.01,126.06,130.08,398,200
2025-04-09,120.29,138.01,120.29,135.84,491,100
2025-04-08,127.22,129.11,120.09,121.61,568,900
2025-04-07,122.70,131.59,122.05,123.28,661,700
2025-04-04,125.54,130.42,121.52,127.90,568,700
2025-04-03,131.43,133.05,126.40,129.63,443,800
2025-04-02,132.10,138.35,131.80,137.66,295,300
2025-04-01,132.07,135.54,131.25,134.25,292,500
2025-03-31,131.50,133.23,128.44,132.73,339,000
2025-03-28,135.61,135.61,131.99,133.50,272,400
2025-03-27,136.21,137.19,133.57,136.24,282,300
2025-03-26,136.36,137.16,134.15,135.65,299,800
2025-03-25,135.24,135.62,132.88,135.00,410,100
2025-03-24,131.99,135.67,130.64,135.31,322,400
2025-03-21,126.58,130.44,125.23,130.13,658,000
2025-03-20,127.29,130.24,126.69,128.28,388,200
2025-03-19,128.90,131.32,128.13,128.66,307,600
2025-03-18,127.48,128.80,126.22,128.61,286,500
2025-03-17,128.27,131.67,128.27,128.91,294,700
2025-03-14,124.97,130.45,124.28,129.43,784,800
2025-03-13,126.44,126.44,122.58,123.05,251,100
2025-03-12,127.25,127.91,124.29,126.48,350,200
2025-03-11,125.92,127.83,124.22,126.51,252,300
2025-03-10,125.69,128.61,122.74,125.92,425,600
2025-03-07,131.97,133.95,125.95,128.22,268,400
2025-03-06,131.73,133.93,130.79,132.73,268,100
2025-03-05,131.93,133.98,130.36,133.83,209,300
2025-03-04,130.59,134.40,130.43,132.16,288,100
2025-03-03,134.01,135.94,131.33,132.00,413,800
2025-02-28,132.24,134.56,131.31,133.20,379,300
2025-02-27,135.55,136.44,131.90,132.04,366,600
2025-02-26,138.99,139.97,135.65,135.94,330,400
2025-02-25,137.84,139.12,136.04,138.43,264,600
2025-02-24,142.45,142.72,136.94,138.05,382,400
2025-02-21,144.97,144.97,139.59,141.22,662,700
2025-02-20,145.81,146.38,142.81,143.54,366,000
