Date,Open,High,Low,Close,Volume
2025-09-03,68.00,68.66,66.90,67.84,264,400
2025-09-02,67.95,68.13,66.58,68.00,248,000
2025-08-29,71.28,71.40,69.22,69.86,335,500
2025-08-28,71.28,71.61,70.64,71.37,273,600
2025-08-27,69.96,71.11,69.84,70.80,197,800
2025-08-26,70.66,71.12,70.00,70.55,410,100
2025-08-25,71.00,71.00,69.93,70.39,312,400
2025-08-22,67.01,72.22,66.79,71.45,678,000
2025-08-21,66.39,66.80,65.97,66.32,268,700
2025-08-20,68.02,68.08,65.48,66.76,541,000
2025-08-19,70.47,70.50,68.08,68.26,501,500
2025-08-18,67.73,70.62,67.31,70.12,680,000
2025-08-15,68.18,68.44,66.17,66.80,409,800
2025-08-14,67.21,68.15,66.06,68.03,381,400
2025-08-13,67.77,69.32,66.89,68.73,466,200
2025-08-12,65.15,68.49,64.89,67.49,688,400
2025-08-11,63.85,65.00,63.63,64.12,798,700
2025-08-08,61.60,64.18,58.31,63.52,894,500
2025-08-07,61.31,61.41,58.86,59.70,729,200
2025-08-06,61.42,61.52,59.07,60.10,482,700
2025-08-05,62.63,62.78,60.93,61.61,385,000
2025-08-04,60.84,62.13,60.72,62.10,510,800
2025-08-01,61.21,61.36,58.93,60.47,569,300
2025-07-31,64.63,64.63,61.78,62.70,564,100
2025-07-30,68.45,68.45,64.10,64.89,506,200
2025-07-29,68.19,69.39,67.14,67.41,262,400
2025-07-28,67.07,67.88,67.07,67.80,364,500
2025-07-25,66.23,66.70,65.72,66.45,230,000
2025-07-24,66.63,67.07,65.81,66.22,355,500
2025-07-23,67.55,67.83,66.15,67.24,254,900
2025-07-22,67.12,67.73,66.11,67.28,354,600
2025-07-21,66.82,68.50,66.62,67.26,429,200
2025-07-18,67.72,67.74,65.97,66.22,391,800
2025-07-17,65.75,67.49,65.65,67.00,423,200
2025-07-16,65.90,66.25,64.56,66.00,388,900
2025-07-15,68.81,68.99,65.94,66.00,331,400
2025-07-14,67.87,68.01,66.09,67.54,207,600
2025-07-11,68.61,69.24,68.13,68.31,177,000
2025-07-10,69.30,70.68,68.20,69.58,262,000
2025-07-09,68.51,69.47,67.95,68.99,327,700
2025-07-08,67.23,69.86,67.01,68.48,411,900
2025-07-07,67.36,68.44,66.24,66.53,246,400
2025-07-03,68.60,69.34,68.36,68.71,203,200
2025-07-02,66.51,68.75,66.24,68.36,332,400
2025-07-01,64.30,68.00,64.27,66.41,462,000
2025-06-30,65.12,65.54,64.46,64.82,338,100
2025-06-27,65.95,66.08,63.63,64.78,516,600
2025-06-26,66.00,66.35,64.72,65.63,338,400
2025-06-25,66.48,66.70,64.94,65.36,258,500
2025-06-24,64.40,66.12,64.15,65.89,483,600
2025-06-23,63.00,64.30,61.82,63.57,284,500
2025-06-20,63.87,63.90,62.18,63.32,473,300
