Date,Open,High,Low,Close,Volume
"Sep 3, 2025","78.18","78.64","77.88","78.60","1,513,900"
"Sep 2, 2025","79.64","80.25","78.22","78.57","1,938,100"
"Aug 29, 2025","82.16","82.19","80.63","80.82","1,210,100"
"Aug 28, 2025","82.41","82.81","82.16","82.21","957,300"
"Aug 27, 2025","81.55","82.31","81.45","82.18","1,245,000"
"Aug 26, 2025","81.38","81.63","80.57","81.44","3,727,600"
"Aug 25, 2025","82.44","82.94","81.38","81.43","949,100"
"Aug 22, 2025","80.91","83.03","80.55","82.58","880,300"
"Aug 21, 2025","79.84","80.48","79.46","80.27","1,032,900"
"Aug 20, 2025","81.12","81.12","78.79","80.20","1,449,300"
"Aug 19, 2025","82.88","83.66","80.92","81.12","2,139,500"
"Aug 18, 2025","81.71","82.85","81.22","82.80","1,445,100"
"Aug 15, 2025","83.74","83.74","81.89","82.24","2,024,600"
"Aug 14, 2025","84.12","84.12","83.24","83.67","1,283,900"
"Aug 13, 2025","83.87","84.55","83.44","84.47","1,569,700"
"Aug 12, 2025","82.93","83.65","82.06","83.61","1,554,600"
"Aug 11, 2025","83.77","84.64","82.37","82.59","1,728,500"
"Aug 8, 2025","83.19","84.65","82.29","83.77","2,390,700"
"Aug 7, 2025","85.04","85.42","81.85","82.52","2,236,600"
"Aug 6, 2025","86.17","87.50","81.42","84.13","3,352,300"
"Aug 5, 2025","84.25","84.29","82.11","82.70","2,127,700"
"Aug 4, 2025","83.26","84.37","82.49","84.25","1,876,300"
"Aug 1, 2025","82.49","82.74","80.23","82.64","2,156,200"
"Jul 31, 2025","85.08","85.99","83.63","83.89","2,034,400"
"Jul 30, 2025","84.84","85.84","84.37","85.19","2,541,600"
"Jul 29, 2025","85.22","85.86","83.75","84.69","1,905,600"
"Jul 28, 2025","85.31","86.42","84.65","85.07","2,783,900"
"Jul 25, 2025","84.54","85.30","84.07","85.24","1,873,700"
"Jul 24, 2025","83.22","84.31","82.57","84.19","1,585,700"
"Jul 23, 2025","82.34","83.81","82.30","83.62","2,836,900"
"Jul 22, 2025","80.56","82.66","80.27","82.52","1,775,700"
"Jul 21, 2025","82.04","82.25","81.21","81.43","2,088,600"
"Jul 18, 2025","82.44","82.44","81.69","82.04","1,597,200"
"Jul 17, 2025","80.47","82.14","80.03","82.02","1,517,900"
"Jul 16, 2025","79.93","80.78","79.14","80.67","1,376,600"
"Jul 15, 2025","80.61","80.63","79.42","79.47","1,623,800"
"Jul 14, 2025","79.91","80.32","79.44","80.20","944,200"
"Jul 11, 2025","80.19","80.38","79.68","79.99","1,207,100"
"Jul 10, 2025","79.88","81.66","79.41","80.83","1,546,900"
"Jul 9, 2025","79.80","79.80","78.22","79.62","1,319,500"
