Date,Open,High,Low,Close,Volume
"Sep 3, 2025","45.39","46.52","45.10","46.23","1,532,900"
"Sep 2, 2025","42.88","45.05","42.69","44.96","2,557,400"
"Aug 29, 2025","46.41","46.59","44.38","44.57","1,517,800"
"Aug 28, 2025","45.20","46.99","44.86","46.90","1,888,700"
"Aug 27, 2025","44.76","44.87","43.28","44.50","1,839,400"
"Aug 26, 2025","44.07","45.93","44.07","44.87","2,284,100"
"Aug 25, 2025","44.44","45.14","44.00","44.09","1,421,200"
"Aug 22, 2025","40.86","44.61","40.46","44.43","2,773,900"
"Aug 21, 2025","40.12","40.94","39.66","40.78","2,295,500"
"Aug 20, 2025","40.43","40.80","39.20","40.06","2,196,800"
"Aug 19, 2025","41.49","41.53","39.93","40.50","2,511,600"
"Aug 18, 2025","41.61","42.10","41.19","41.82","1,323,300"
"Aug 15, 2025","42.36","42.42","40.78","41.80","3,586,600"
"Aug 14, 2025","43.60","43.98","41.93","42.62","2,323,300"
"Aug 13, 2025","47.13","47.50","44.55","44.96","1,859,500"
"Aug 12, 2025","45.20","46.75","44.94","46.63","1,332,400"
"Aug 11, 2025","45.45","46.11","44.43","44.61","2,021,400"
"Aug 8, 2025","43.55","45.43","42.90","45.28","1,807,300"
"Aug 7, 2025","44.17","44.20","42.82","43.36","1,590,100"
"Aug 6, 2025","43.74","43.77","42.34","43.21","2,084,300"
"Aug 5, 2025","44.96","45.52","43.41","43.85","2,137,100"
"Aug 4, 2025","44.47","45.46","44.25","44.83","2,578,000"
"Aug 1, 2025","45.36","45.39","42.84","43.34","5,241,100"
"Jul 31, 2025","47.19","51.15","46.31","47.25","5,728,000"
"Jul 30, 2025","48.68","50.43","48.22","48.73","5,149,400"
"Jul 29, 2025","47.05","50.06","46.91","48.52","4,039,900"
"Jul 28, 2025","45.80","46.15","45.30","45.95","1,761,500"
"Jul 25, 2025","44.64","45.89","44.51","45.29","2,128,000"
"Jul 24, 2025","46.56","46.56","44.26","44.27","1,977,800"
"Jul 23, 2025","45.58","46.66","45.38","46.46","1,883,700"
"Jul 22, 2025","47.05","47.17","43.50","45.04","3,270,200"
"Jul 21, 2025","45.35","48.59","45.10","47.47","5,789,800"
"Jul 18, 2025","46.76","46.76","44.75","45.03","2,969,000"
"Jul 17, 2025","45.81","47.63","45.77","46.22","2,082,300"
"Jul 16, 2025","45.84","46.51","45.39","45.81","1,916,600"
"Jul 15, 2025","45.45","46.28","44.83","45.79","2,548,800"
"Jul 14, 2025","43.76","45.24","43.32","44.30","1,871,300"
"Jul 11, 2025","43.46","44.41","43.00","44.11","1,091,900"
"Jul 10, 2025","43.77","44.52","43.29","43.88","1,636,400"
"Jul 9, 2025","42.71","44.33","42.17","43.99","2,149,500"
"Jul 8, 2025","43.52","45.00","42.40","42.63","2,568,500"
"Jul 7, 2025","43.24","43.72","41.70","41.88","2,671,500"
"Jul 3, 2025","41.85","44.43","41.34","44.02","2,151,800"
"Jul 2, 2025","40.26","42.01","40.02","41.76","1,401,800"
